# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_40N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1210832559 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_40N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40
-4965.5,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,65.007,117.432,120.957,152.782,154.246,157.44,186.63,195.989,235.8,242.765,243.057,259.917,260.1,265.741,270.712,280.484,288.252,301.691,310.389,332.891,340.935,353.67,360.044,367.173,376.465,382.298,386.412,391.992,395.256,404.538,418.721,422.309,426.858,437.256,440.873,441.179,445.158,451.247,453.334,457.368,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,-24.8172,-23.1437,-24.3741,-23.6127,-26.168,-33.2321,-36.9672,-32.8605,-32.9225,-38.8953,-45.5604,-43.0928,-44.2674,-51.1866,-50.1148,-46.9606,-50.154,-49.4459,-49.5658,-53.2655,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09,340.526,354.77,360.196,364.608,372.546,383.568,388.745,394.037,394.425,404.849,415.996,418.307,427.994,437.819,440.874,442.347,447.737,450.332,451.887,455.628
-276.767,0.122435,0.428631,0.469058,0.315378,0.166997,0.00587256,0.0566267,0.369175,0.191764,0.394091,0.693226,0.224456,0.10922,0.122435,0.0566267,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,55.8534,108.125,120.527,140.075,143.172,147.096,175.648,182.585,209.936,231.134,234.087,237.341,247.224,250.04,256.535,268.582,275.192,286.664,289.542,297.589,299.465,323.541,327.3,331.072,331.146,344.228,344.269,348.403,361.455,363.582,372.771,377.168,378.587,380.749,387.749,391.636,391.102,392.605,404.376,405.581,4.75121,4.44759,-6.25257,5.54794,5.21713,3.62819,3.70292,2.67037,11.3387,-2.00395,-1.03345,8.95443,4.91536,1.75608,-2.96168,-1.39491,0.384405,4.11053,5.47763,13.391,15.2835,9.23559,9.37086,11.57,13.1231,10.573,6.01396,10.5166,-2.56366,1.14945,-2.68634,0.429928,4.85274,2.628,5.71403,3.98559,4.81646,7.40566,0.436568,-2.58393,55.6743,107.88,120.828,139.51,143.85,146.364,177.096,186.467,211.069,231.959,234.328,238.831,246.663,251.648,258.352,267.321,275.456,285.224,288.132,295.357,300.426,322.39,326.451,329.425,333.255,339.763,345.764,350.66,364.066,364.805,373.122,374.784,378.874,384.004,385.045,391.4,392.767,393.48,401.884,404.946
-49.4293,0.123807,0.434009,0.470622,0.278646,0.164495,0.00586726,0.0776815,0.376514,0.246618,0.394685,0.587364,0.23082,0.144227,0.123807,0.0776815,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.5373,109.618,120.054,142.602,147.755,147.61,179.235,188.648,215.975,233.179,238.742,246.035,249.587,253.99,259.638,273.17,278.601,292.061,288.784,303.574,307.458,326.611,336.185,336.016,344.256,342.831,357.098,362.782,372.03,377.966,379.435,385.586,387.576,392.352,394.826,399.45,401.405,402.366,407.708,411.627,3.07452,2.57941,-6.25085,2.59238,2.369,2.42251,2.29667,1.09739,5.97689,-4.05338,-3.14002,2.91602,1.61823,0.199172,-4.36844,-5.41572,-1.37137,-0.369636,1.13898,6.44795,7.48202,2.98471,-0.182115,2.79902,2.13421,3.47331,-4.40515,-1.41788,-12.6715,-10.8421,-9.2266,-10.4865,-6.25527,-7.29839,-5.70808,-5.53698,-4.55873,-2.82989,-8.74843,-12.9813,57.351,109.749,120.826,142.466,146.698,147.569,178.502,188.04,216.431,234.008,236.435,244.869,249.96,253.205,259.758,271.342,277.211,289.705,292.471,302.3,308.227,328.641,336.004,338.196,344.244,346.863,356.183,362.595,374.174,376.796,379.663,385.7,389.982,393.93,396.467,400.923,402.142,403.716,411.069,415.343
-11.5581,0.121252,0.429701,0.467569,0.274091,0.175573,0.00596073,0.0778052,0.363773,0.244656,0.379969,0.572233,0.249467,0.160628,0.121252,0.0778052,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.6885,110.443,120.327,143.756,146.642,147.302,176.555,187.537,218.094,233.822,234.603,244.903,252.719,255.626,261.954,269.466,277.481,287.066,292.807,300.758,310.407,327.023,337.249,337.133,341.527,346.812,355.347,363.388,370.533,374.709,375.931,381.244,389.207,391.223,394.559,399.75,401.739,402.275,406.16,412.107,3.0753,2.59374,-5.70617,2.73305,2.47552,2.44989,2.38508,1.18785,6.18115,-3.64735,-2.66186,3.10062,1.93123,0.391713,-3.80855,-4.83422,-1.0092,0.0479584,1.57068,7.02892,8.14866,3.73407,0.553139,3.58734,3.08901,4.36114,-3.52924,-0.421927,-11.2478,-9.83444,-7.60194,-8.83515,-4.68696,-5.68134,-3.96803,-3.50554,-2.70299,-1.13627,-6.61708,-10.2469,57.3502,109.734,120.281,142.325,146.591,147.542,178.414,187.949,216.227,233.602,235.957,244.684,249.647,253.012,259.199,270.76,276.849,289.287,292.039,301.719,307.56,327.892,335.269,337.408,343.289,345.975,355.307,361.599,372.75,375.788,378.038,384.049,388.414,392.313,394.727,398.892,400.286,402.022,408.938,412.609
89.4402,0.109031,0.409922,0.452705,0.235191,0.235273,0.00646423,0.0873654,0.28765,0.243323,0.281097,0.392557,0.364699,0.315691,0.109031,0.0873654,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.3774,109.865,115.748,141.02,146.068,148.935,177.884,186.963,217.105,235.431,233.753,247.043,248.175,254.765,254.639,268.552,274.458,288.943,289.627,299.237,305.191,323.482,327.253,337.003,344.346,340.344,352.216,354.582,365.691,369.627,371.405,375.59,384.902,384.043,389.12,386.887,392.442,392.691,396.638,397.997,2.43486,1.99598,-1.83236,2.75837,2.34264,2.09776,2.46112,1.21386,5.6235,-1.20254,0.0569575,2.7332,2.37071,1.00898,-0.435137,-1.21001,0.908276,1.58174,3.25111,7.87121,9.45972,6.37795,3.66326,5.65966,5.23705,7.78194,-0.495488,3.17676,-2.19132,-3.41044,-2.57986,-0.908673,1.48844,1.4063,2.7779,4.56502,5.33292,4.43432,5.25151,1.1422,57.9906,110.332,116.407,142.3,146.724,147.894,178.338,187.923,216.785,231.158,233.238,245.052,249.207,252.395,255.825,267.136,274.932,287.753,290.359,300.877,306.249,325.248,332.159,335.335,341.141,342.554,352.273,358,363.693,369.364,373.016,376.123,382.239,385.226,387.981,390.821,392.25,396.452,397.069,401.22
117.743,0.108854,0.410416,0.452706,0.22758,0.231289,0.00647379,0.0914176,0.292249,0.251286,0.285009,0.374384,0.362525,0.31963,0.108854,0.0914176,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.1504,109.56,116.164,143.328,146.496,147.069,178.338,188.298,218.153,231.693,232.157,245.626,248.855,252.828,254.888,268.409,274.086,288.793,290.421,303.357,307.658,323.764,332.462,333.214,344.599,341.109,357.176,355.642,363.615,371.174,376.376,376.961,385.986,388.667,389.44,389.29,396.581,398.303,398.333,406.644,2.14603,1.67036,-1.9244,2.27518,1.91297,1.84077,2.202,0.936519,4.70714,-1.51856,-0.297308,2.03631,1.59793,0.725368,-0.751846,-1.72317,0.603436,0.977707,2.60954,6.46169,7.94879,5.18053,2.67742,4.44237,3.60455,6.68487,-1.69268,1.73079,-3.04808,-4.1763,-4.13674,-1.92469,0.388549,0.004626,0.938293,3.1586,3.84273,3.75855,3.85037,-0.567415,58.2795,110.658,116.499,142.783,147.154,148.151,178.597,188.2,217.701,231.474,233.592,245.749,249.98,252.679,256.142,267.649,275.237,288.357,291,302.286,307.76,326.445,333.145,336.553,342.773,343.651,353.471,359.446,364.55,370.13,374.573,377.139,383.338,386.627,389.821,392.227,393.74,397.127,398.471,402.929
165.385,0.103939,0.404853,0.447266,0.18606,0.243314,0.0067087,0.109396,0.272489,0.261908,0.246892,0.197059,0.41176,0.436803,0.103939,0.109396,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.9344,111.099,114.534,144.522,148.128,148.988,179.626,188.928,220.438,228.629,233.943,247.867,253.385,251.524,254.476,269.438,279.107,287.871,292.326,306.73,311.793,330.83,330.342,338.195,343.945,347.316,352.737,362.559,360.198,370.488,376.729,379.089,382.887,386.145,387.314,393.477,388.211,397.041,392.245,400.454,0.962396,0.431371,-0.061226,1.11313,0.855244,0.843225,1.49681,0.170742,1.88995,-0.777459,0.275903,1.15578,-1.04431,0.202901,-0.0261479,-0.220842,0.772197,0.765261,1.7247,2.89957,4.38171,3.1328,2.54963,3.20718,1.92156,4.01972,-0.782073,1.78336,-0.459636,-1.78496,-2.85776,-1.80514,2.15361,-1.26028,0.623323,3.55916,4.34261,7.11609,4.40616,0.571252,59.4631,111.897,114.636,143.945,148.212,149.149,179.302,188.966,220.518,230.732,233.019,246.629,252.622,253.201,255.416,266.147,275.068,288.57,291.885,305.848,311.327,328.493,333.272,337.788,344.456,346.316,352.56,359.394,361.962,367.739,373.294,377.019,381.573,387.892,390.136,391.827,393.24,393.77,397.915,401.791
179.193,0.103348,0.406067,0.447266,0.169997,0.229091,0.00672415,0.118035,0.288726,0.279123,0.265055,0.182372,0.397683,0.418792,0.103348,0.118035,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.6224,111.736,114.326,147.248,147.584,150.336,178.655,189.281,221.715,230.569,234.313,249.058,252.798,255.465,259.455,265.492,278.079,289.782,292.628,305.694,312.948,328.65,333.001,339.576,344.937,346.803,354.995,361.38,362.195,366.947,371.698,375.615,388.225,387.142,391.268,390.321,395.595,398.03,398.878,400.589,0.407882,-0.219956,-0.602453,0.12892,0.131571,0.158188,0.916238,-0.42911,0.107743,-1.60647,-0.637265,0.0244476,-1.87379,-1.20949,-0.956633,-1.57501,-0.0504858,-0.477209,0.194715,0.186981,1.39488,0.5517,0.40704,0.93975,-0.298942,1.07701,-2.63315,-0.31421,-2.47564,-3.53885,-3.96566,-3.38946,-0.758383,-2.12305,-2.44978,0.55106,1.45178,2.69498,1.87171,-2.12352,60.0176,112.548,115.177,144.929,148.935,149.834,179.883,189.566,222.3,231.561,233.932,247.761,253.452,254.613,256.347,267.501,275.89,289.812,293.415,308.561,314.314,331.074,335.415,340.055,346.677,349.259,354.411,361.491,363.978,369.493,374.402,378.603,384.485,388.755,393.209,394.835,396.131,398.191,400.449,404.486
182.569,0.101619,0.403985,0.445362,0.157153,0.233151,0.00680481,0.123416,0.281928,0.277559,0.251615,0.124488,0.415497,0.458338,0.101619,0.123416,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.8755,112.929,114.555,146.087,147.946,149.645,179.219,189.446,220.821,232.109,232.793,247.271,253.581,256.706,257.517,264.06,279.513,290.388,295.565,309.579,313.832,327.674,333.91,342.886,345.707,347.57,352.18,357.135,364.435,372.361,373.052,379.055,385.721,385.298,396.274,390.654,399.903,402.65,396.715,403.962,0.0893107,-0.542082,0.0646095,-0.0688987,-0.0746266,-0.0841159,0.750144,-0.600121,-0.535135,-1.19828,-0.29452,0.123851,-1.89613,-1.62407,-0.889523,-0.740697,0.101911,-0.209724,0.139998,-0.45252,0.78161,0.371868,0.858532,1.22422,-0.167308,0.791622,-1.19421,0.695759,-1.40514,-2.17114,-2.5679,-1.86241,-0.240867,0.0309968,-2.07579,1.94504,2.57948,2.77102,2.79732,-0.893144,60.3362,112.87,114.51,145.127,149.142,150.076,180.049,189.737,222.943,231.153,233.59,247.661,253.474,255.028,256.28,266.667,275.738,289.545,293.47,309.201,314.927,331.254,334.963,339.771,346.545,349.544,352.972,360.481,362.907,368.125,373.004,377.076,383.968,386.601,392.835,393.441,395.004,398.115,399.524,403.255
182.704,0.101285,0.403631,0.445081,0.154938,0.23255,0.00680692,0.124346,0.282126,0.278164,0.251445,0.118506,0.416332,0.460572,0.101285,0.124346,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.4388,113.774,115.069,145.446,150.376,150.473,180.004,188.072,222.92,230.653,235.614,249.183,253.625,256.29,258.217,271.016,275.023,290.43,294.536,310.832,318.944,332.194,338.323,337.075,349.378,349.461,355.843,360.837,363.952,367.813,370.244,378.982,380.851,389.956,391.593,392.39,393.989,404.917,401.588,404.465,0.034724,-0.602148,0.100317,-0.129713,-0.123958,-0.138846,0.708897,-0.641216,-0.67185,-1.19054,-0.296616,0.0968917,-1.91141,-1.69522,-0.947206,-0.716621,0.0873782,-0.222362,0.0824706,-0.608872,0.614903,0.273604,0.84236,1.19286,-0.212689,0.713669,-1.07548,0.790421,-1.31382,-2.02858,-2.36428,-1.62931,-0.234149,0.390843,-1.99497,2.00153,2.58569,2.64786,2.82997,-0.788678,60.3908,112.93,114.475,145.188,149.191,150.131,180.09,189.778,223.08,231.146,233.592,247.688,253.489,255.099,256.337,266.643,275.753,289.557,293.528,309.357,315.094,331.352,334.98,339.802,346.591,349.622,352.853,360.387,362.816,367.983,372.8,376.843,383.961,386.241,392.754,393.384,394.997,398.238,399.491,403.151
