# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_45N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1256091372 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_45N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45
-6472.54,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,64.4336,117.805,120.812,153.716,155.162,157.841,186.371,195.048,238.189,241.965,242.296,262.415,259.883,266.428,269.656,280.807,287.051,306.313,309.286,332.614,342.139,354.081,360.864,362.455,373.88,382.909,391.251,393.294,394.526,401.105,419.138,417.312,431.939,434.837,441.61,441.755,445.529,449.279,452.572,460.329,462.646,459.846,469.668,475.162,479.346,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,-24.8172,-23.1437,-24.3741,-23.6127,-26.168,-33.2321,-36.9672,-32.8605,-32.9225,-38.8953,-45.5604,-43.0928,-44.2674,-51.1866,-50.1148,-46.9606,-50.154,-49.4459,-49.5658,-53.2655,-54.4057,-54.8168,-51.5679,-57.423,-55.0756,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09,340.526,354.77,360.196,364.608,372.546,383.568,388.745,394.037,394.425,404.849,415.996,418.307,427.994,437.819,440.874,442.347,447.737,450.332,451.887,455.628,461.781,463.657,467.515,475.449,479.233
-182.307,0.126661,0.440498,0.47351,0.271938,0.161093,0.00572967,0.0842803,0.385693,0.263454,0.400659,0.562967,0.226116,0.148683,0.126661,0.0842803,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.8009,110.751,121.408,142.166,148.8,148.114,180.022,187.657,218.099,234.784,235.096,247.979,251.459,252.226,258.513,271.739,277.964,290.747,294.026,302.913,313.183,329.573,337.008,338.637,349.301,348.255,359.201,361.717,376.263,382.484,377.473,391.437,392.95,394.837,401.947,405.488,403.995,405.969,417.268,418.914,418.509,426.091,426.876,436.509,437.117,2.57134,2.00695,-6.52014,1.67019,1.58559,1.92908,1.81704,0.56648,4.32104,-4.81763,-3.9347,1.12758,0.438684,-0.462832,-5.05876,-6.68818,-2.08601,-1.83587,-0.264459,3.89552,4.73271,0.658273,-2.77649,-0.0853345,-1.5747,0.807523,-7.78389,-5.20198,-15.3564,-14.9472,-11.6973,-14.5185,-10.6717,-11.1984,-10.5304,-9.42698,-9.19901,-8.01399,-13.2538,-16.7062,-13.7033,-13.6751,-9.16599,-16.4388,-13.628,57.8542,110.321,121.095,143.388,147.481,148.063,178.982,188.571,218.087,234.773,237.23,246.657,251.139,253.867,260.449,272.614,277.926,291.171,293.874,304.852,310.976,330.968,338.598,341.08,347.953,349.528,359.562,366.379,376.858,380.901,382.133,389.733,394.399,397.83,401.289,404.813,406.782,408.9,415.575,419.068,421.078,422.515,425.113,434.465,437.785
-80.9081,0.124554,0.435375,0.471005,0.295731,0.168047,0.00573872,0.0698221,0.375418,0.227345,0.393752,0.62803,0.229854,0.132713,0.124554,0.0698221,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.4101,109.142,121.28,139.778,147.422,147.295,178.246,188.509,214.043,236.175,233.459,243.779,250.442,253.054,260.761,268.073,277.483,285.925,289.62,301.869,308.533,330.193,336.367,334.799,338.721,345.159,347.765,361.788,373.269,373.073,381.978,387.731,388.351,392.631,392.964,397.251,395.873,399.25,411.597,410.72,417.195,416.483,418.01,425.928,426.452,3.67862,3.24896,-6.34808,3.60608,3.33033,2.88196,2.78482,1.63654,7.81988,-3.47372,-2.5743,4.94537,2.67135,0.693627,-3.98956,-4.26988,-0.86385,1.00041,2.40084,8.88528,10.1349,4.934,2.47956,5.44881,5.58567,5.53475,-1.13534,2.30812,-10.4028,-6.93811,-8.2136,-7.40004,-2.90281,-4.54449,-2.34894,-3.3201,-1.65195,0.658524,-6.3783,-11.6361,-9.11388,-8.63433,-2.02507,-6.05968,-3.16737,56.7469,109.079,120.923,141.452,145.737,147.11,178.014,187.5,214.588,233.429,235.869,242.84,248.907,252.71,259.38,270.196,276.704,288.335,291.209,299.863,305.574,326.692,333.342,335.546,340.792,344.801,352.913,358.869,371.905,372.892,378.65,382.614,386.63,391.176,393.108,398.706,399.235,400.227,408.699,413.998,416.489,417.474,417.972,424.086,427.324
-75.6675,0.124445,0.43534,0.470872,0.293863,0.168612,0.00574431,0.0707387,0.374963,0.229574,0.392897,0.62269,0.231227,0.135109,0.124445,0.0707387,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.9177,108.584,121.741,141.716,145.542,147.228,178.404,187.775,214.622,236.533,234.234,242.308,248.895,252.498,257.26,269.976,279.378,290.764,290.048,300.586,307.089,326.606,330.032,333.791,340.352,345.91,357.114,361.714,372.94,370.187,377.37,383.143,386.296,391.067,393.214,399.947,399.752,401.138,407.875,409.84,417.263,414.851,418.685,428.24,430.407,3.60722,3.17012,-6.31494,3.48974,3.21695,2.83112,2.73034,1.57536,7.60691,-3.53266,-2.62909,4.70196,2.55434,0.639004,-4.01351,-4.39647,-0.914199,0.842714,2.25456,8.62032,9.84461,4.72183,2.14793,5.1458,5.18556,5.30443,-1.51784,1.87477,-10.6806,-7.38832,-8.31111,-7.78029,-3.28745,-4.85483,-2.72198,-3.65723,-1.91098,0.358295,-6.61838,-11.8382,-9.23128,-8.84573,-2.25097,-6.7259,-3.61538,56.8183,109.158,120.89,141.568,145.85,147.161,178.069,187.562,214.801,233.488,235.924,243.083,249.024,252.765,259.404,270.322,276.754,288.492,291.355,300.128,305.864,326.904,333.674,335.849,341.192,345.032,353.296,359.302,372.183,373.342,378.747,382.994,387.014,391.487,393.481,399.043,399.494,400.528,408.939,414.2,416.606,417.686,418.198,424.752,427.772
-19.6933,0.121809,0.432627,0.467677,0.27354,0.180878,0.00583969,0.0795435,0.362671,0.24839,0.375016,0.561346,0.256141,0.169653,0.121809,0.0795435,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.4014,110.941,119.568,141.803,146.029,146.97,178.122,185.479,216.065,233.619,235.539,245.152,252.046,253.944,258.832,270.756,276.854,288.671,293.633,301.872,306.616,328.158,338.209,336.999,345.394,347.5,353.782,360.839,372.599,376.524,381.704,386.776,391.54,388.318,399.387,396.803,400.859,402.486,406.871,411.337,414.423,418.745,415.964,428.877,430.14,2.94317,2.4447,-5.63097,2.52483,2.28052,2.34055,2.27885,1.06483,5.78699,-3.76004,-2.76612,2.64673,1.66229,0.235552,-3.84927,-5.03657,-1.12237,-0.27787,1.26634,6.46082,7.55229,3.22947,-0.0344938,2.9148,2.18205,3.8207,-4.28213,-1.25448,-11.6966,-10.7896,-8.03686,-9.70913,-5.67857,-6.53955,-4.99942,-4.33717,-3.70123,-2.21667,-7.5764,-10.9368,-8.53349,-8.89105,-3.01637,-10.5843,-6.69774,57.4823,109.883,120.206,142.533,146.786,147.651,178.52,188.072,216.621,233.715,236.061,245.138,249.916,253.168,259.239,270.963,276.962,289.613,292.344,302.287,308.157,328.397,335.856,338.08,344.196,346.515,356.06,362.431,373.199,376.744,378.473,384.923,389.406,393.172,395.758,399.723,401.284,403.103,409.897,413.299,415.908,417.731,418.963,428.61,430.855
113.376,0.113962,0.423398,0.458047,0.225293,0.2196,0.00611317,0.0990527,0.318116,0.272841,0.309365,0.377254,0.338528,0.298562,0.113962,0.0990527,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.961,111.25,118.485,144.129,148.565,147.778,181.348,187.407,218.587,234.9,234.801,250.183,251.989,252.678,256.804,273.658,276.931,289.105,287.988,303.473,310.398,330.14,338.997,342.008,346.421,346.13,359.362,365.014,368.583,374.651,383.332,384.28,388.588,394.029,396.691,400.311,398.756,406.211,411.094,405.897,413.173,413.565,421.106,427.061,431.255,1.58565,1.0033,-2.99803,1.06453,0.973852,1.1653,1.51987,0.198471,2.61181,-2.98151,-1.85965,0.0862743,-0.369703,-0.378926,-2.34612,-3.99072,-0.756393,-1.18499,0.316078,2.74331,3.89379,1.2841,-1.25274,0.379788,-0.889677,1.61368,-6.27421,-3.57383,-8.18511,-9.13688,-9.91243,-8.23764,-5.93086,-6.61902,-6.75503,-3.75005,-3.64797,-3.26844,-3.5189,-7.26066,-5.72984,-5.24764,-2.03303,-9.78959,-4.95752,58.8398,111.325,117.573,143.993,148.093,148.827,179.279,188.939,219.796,232.937,235.155,247.699,251.948,253.783,257.736,269.917,276.596,290.52,293.294,306.005,311.815,330.342,337.075,340.615,347.268,348.722,358.052,364.751,369.687,375.091,380.348,383.452,389.658,393.251,397.514,399.136,401.231,404.154,405.84,409.623,413.105,414.088,417.98,427.816,429.115
195.987,0.108398,0.416317,0.450693,0.187218,0.259308,0.00631808,0.11455,0.267123,0.261711,0.22787,0.142345,0.429649,0.493455,0.108398,0.11455,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.5514,112.277,114.427,145.591,147.846,148.39,181.298,191.163,220.208,231.054,233.516,247.145,253.989,255.539,257.536,262.602,279.649,290.809,295.16,309.239,309.45,330.648,335.778,338.259,344.894,351.886,357.018,363.287,362.152,368.923,380.752,380.524,386.509,386.115,389.181,393.51,395.683,396.856,396.35,404.444,410.162,412.569,411.832,412.028,421.099,0.609415,0.0819707,0.50048,0.797079,0.569649,0.536523,1.23553,-0.143259,1.05006,-0.742351,0.236281,0.666971,-1.72561,-0.698293,-0.295848,0.217993,0.434775,0.233379,0.844764,1.3998,2.90356,1.65848,1.21729,1.72964,0.34398,0.930291,-1.55413,0.0258831,-2.21706,-3.44505,-6.51371,-4.71694,-1.44621,-4.73528,-2.86235,0.678543,1.2128,3.79564,1.65364,-2.52515,0.253179,-4.21737,2.12858,1.56936,2.95556,59.8161,112.246,114.075,144.261,148.497,149.455,179.563,189.28,221.358,230.697,233.059,247.118,253.304,254.102,255.686,265.708,275.405,289.102,292.765,307.348,312.805,329.968,334.605,339.265,346.034,349.406,353.332,361.151,363.719,369.399,376.95,379.931,385.173,391.367,393.621,394.707,396.37,397.09,400.667,404.887,407.122,413.057,413.818,416.457,421.201
196.396,0.108265,0.416173,0.450522,0.186257,0.260033,0.00632279,0.114958,0.266086,0.261169,0.22604,0.135934,0.431641,0.498724,0.108265,0.114958,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.7682,111.479,113.379,145.568,148.528,149.061,180.843,188.352,223.647,232.63,231.658,245.333,253.963,252.319,258.969,266.857,275.659,286.657,296.722,307.268,312.398,329.744,333.823,339.761,346.73,349.263,355.535,367.397,364.321,367.678,372.74,376.948,385.838,394.867,394.167,392.883,397.978,398.737,402.428,403.794,407.611,414.821,411.279,416.558,424.552,0.584654,0.0594946,0.585273,0.794182,0.562693,0.521686,1.22875,-0.15065,1.01248,-0.68217,0.291291,0.697539,-1.70612,-0.72681,-0.277481,0.341863,0.465645,0.285147,0.866983,1.37468,2.88726,1.68466,1.30449,1.79945,0.394569,0.928269,-1.35454,0.158697,-2.0948,-3.28652,-6.38637,-4.59757,-1.31405,-4.64754,-2.63906,0.85824,1.41636,3.88591,1.83963,-2.36154,0.351054,-4.08656,2.2661,1.81129,3.18291,59.8408,112.269,113.99,144.264,148.504,149.47,179.57,189.288,221.396,230.637,233.004,247.087,253.284,254.131,255.667,265.584,275.374,289.05,292.743,307.373,312.822,329.941,334.518,339.196,345.983,349.408,353.133,361.018,363.597,369.241,376.822,379.812,385.041,391.28,393.398,394.528,396.167,397,400.481,404.724,407.024,412.927,413.681,416.215,420.974
197.255,0.107931,0.415894,0.450136,0.18395,0.260613,0.0063337,0.115972,0.265009,0.260884,0.223681,0.124769,0.434467,0.506727,0.107931,0.115972,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.1063,110.598,113.409,145.215,149.78,149.671,180.036,189.6,220.94,231.22,233.331,245.943,251,252.814,252.65,267.816,275.034,284.288,291.323,307.036,310.279,327.256,334.279,339.298,346.642,351.213,355.193,362.299,367.249,371.691,374.765,378.303,387.939,391.764,390.31,392.931,396.295,399.446,402.09,405.303,408.428,412.381,412.819,415.404,419.652,0.522623,-0.00260469,0.704546,0.752768,0.522802,0.473192,1.19662,-0.183694,0.88329,-0.610594,0.350809,0.713545,-1.68781,-0.822433,-0.288355,0.498014,0.492459,0.335864,0.858577,1.23936,2.75545,1.64951,1.3943,1.8572,0.418499,0.85019,-1.06518,0.321387,-1.94918,-3.06328,-6.14955,-4.42704,-1.11541,-4.58539,-2.24874,1.08925,1.74293,3.94788,2.10798,-2.13216,0.438137,-3.9635,2.49671,2.08322,3.44335,59.9029,112.331,113.87,144.305,148.544,149.519,179.602,189.321,221.525,230.566,232.944,247.071,253.266,254.226,255.678,265.428,275.348,288.999,292.751,307.509,312.954,329.976,334.428,339.138,345.96,349.486,352.843,360.856,363.451,369.017,376.586,379.641,384.842,391.217,393.008,394.297,395.84,396.938,400.213,404.494,406.937,412.803,413.45,415.943,420.714
200.344,0.106115,0.414637,0.448146,0.171508,0.260656,0.00638863,0.121564,0.263031,0.261525,0.216321,0.0756643,0.444696,0.537623,0.106115,0.121564,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.0977,112.756,113.911,144.24,150.577,149.995,179.655,190.165,222.062,229.619,231.799,247.026,252.516,252.487,252.968,266.944,275.549,288.287,294.468,312.23,312.828,327.963,337.451,340.634,350.245,350.744,351.316,358.501,363.292,370.188,376.864,378.397,379.831,387.025,390.9,394.043,393.548,398.895,400.889,398.589,409.585,409.699,408.342,415.663,414.238,0.184149,-0.355178,1.12804,0.451933,0.255792,0.18262,0.983035,-0.399162,0.101122,-0.406425,0.491201,0.672032,-1.63092,-1.26177,-0.640161,0.993669,0.513691,0.437218,0.666964,0.356669,1.84786,1.25765,1.57877,1.93451,0.328831,0.317534,0.0601934,0.860901,-1.52148,-2.23054,-4.9568,-3.65197,-0.428891,-4.08048,-0.756455,1.88726,3.10981,3.74767,3.08941,-1.23691,0.411738,-3.32414,3.53135,2.52891,3.79775,60.2414,112.683,113.447,144.606,148.811,149.809,179.816,189.536,222.307,230.361,232.804,247.113,253.209,254.666,256.03,264.932,275.326,288.898,292.943,308.391,313.861,330.368,334.243,339.06,346.049,350.018,351.718,360.316,363.023,368.185,375.393,378.866,384.156,390.712,391.515,393.499,394.473,397.138,399.232,403.599,406.963,412.164,412.416,415.497,420.359
