# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_60N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1220256575 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_60N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,yhat.56,yhat.57,yhat.58,yhat.59,yhat.60,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,residual.56,residual.57,residual.58,residual.59,residual.60,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55,calcfq.56,calcfq.57,calcfq.58,calcfq.59,calcfq.60
-10874,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,64.8879,117.888,121.394,152.78,155.741,159.237,183.782,197.915,236.046,241.58,241.612,257.132,261.515,267.281,269.572,282.134,286.573,303.602,308.558,331.005,338.902,353.404,361.369,363.949,370.044,386.199,388.153,394.196,395.927,405.984,418.487,418.279,429.799,437.631,442.147,437.083,449.574,448.67,451.118,450.71,464.097,462.448,472.915,477.207,484.581,483.739,488.027,487.959,489.999,498.135,490.609,504.344,508.52,516.624,512.102,519.92,519.995,521.127,522.098,535.025,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,-24.8172,-23.1437,-24.3741,-23.6127,-26.168,-33.2321,-36.9672,-32.8605,-32.9225,-38.8953,-45.5604,-43.0928,-44.2674,-51.1866,-50.1148,-46.9606,-50.154,-49.4459,-49.5658,-53.2655,-54.4057,-54.8168,-51.5679,-57.423,-55.0756,-56.0382,-52.3731,-54.6052,-54.7458,-57.0846,-54.6235,-56.9767,-63.0263,-61.4596,-59.8062,-60.2966,-57.7842,-58.952,-59.4096,-67.9217,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09,340.526,354.77,360.196,364.608,372.546,383.568,388.745,394.037,394.425,404.849,415.996,418.307,427.994,437.819,440.874,442.347,447.737,450.332,451.887,455.628,461.781,463.657,467.515,475.449,479.233,483.048,484.959,489.483,491.922,497.061,497.19,503.876,510.874,513.17,515.38,519.263,520.656,523.643,526.798,533.274
-185.398,0.119707,0.427387,0.464621,0.302392,0.17893,0.00595174,0.0624975,0.358479,0.206406,0.376879,0.651319,0.245184,0.134281,0.119707,0.0624975,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,55.9987,107.527,121.064,139.837,144.455,146.177,177.676,186.647,210.657,231.719,233.005,239.5,248.802,253.722,257.233,267.778,275.763,285.094,289.043,296.54,305.218,325.901,330.56,332.452,333.434,340.828,346.79,349.539,366.775,368.077,371.05,376.288,382.666,380.783,383.876,395.248,395.266,392.759,402.599,410.728,409.008,411.746,409.494,415.402,420.258,419.709,419.442,431.308,426.384,431.486,431.312,432.56,436.867,441.386,440.443,447.154,453.454,450.134,455.808,458.571,4.27675,3.93224,-5.74597,4.81691,4.47495,3.33828,3.40526,2.32856,10.0014,-2.24237,-1.24674,7.41018,4.32324,1.57692,-2.80679,-2.16551,0.252251,3.2505,4.57516,12.2671,13.9,8.34969,6.96907,9.96058,11.1,9.38514,3.90145,8.07679,-5.21643,-0.824012,-3.60424,-0.971623,3.67529,1.7413,4.34897,3.11358,4.61127,7.01644,0.494219,-4.45318,-2.64716,-1.61702,4.83196,3.76052,5.90311,7.36563,9.70782,8.93407,10.9038,9.56246,10.0017,11.6122,9.69974,10.149,11.299,9.82287,11.599,12.1817,13.8873,7.81928,56.1487,108.396,120.321,140.241,144.592,146.654,177.394,186.808,212.407,232.197,234.542,240.375,247.255,251.827,258.197,268.092,275.588,286.084,289.035,296.481,301.809,323.276,328.853,331.034,335.278,340.951,347.877,353.1,366.718,366.778,374.04,376.186,380.052,384.891,386.41,392.272,392.972,393.87,401.827,406.815,410.022,410.457,411.115,414.265,418.254,419.644,422.878,425.944,426.272,430.414,432.565,435.287,438.148,441.561,444.275,449.143,451.273,452.509,453.501,457.533
67.4248,0.120819,0.431399,0.465915,0.275285,0.1765,0.00595069,0.0780572,0.364536,0.245372,0.37775,0.571745,0.249758,0.162234,0.120819,0.0780572,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.4698,109.194,119.456,141.152,147.297,146.333,176.839,188.133,214.404,236.297,238.542,244.634,248.992,250.921,258.885,271.54,277.294,288.825,290.61,300.029,303.436,326.542,337.103,340.518,342.051,349.907,353.715,359.193,369.886,375.827,376.666,382.717,386.15,388.475,394.151,398.469,399.712,404.511,410.328,415.837,414.187,419.05,416.197,428.353,432.376,435.294,432.676,436.463,440.828,440.886,444.574,444.973,446.722,452.453,452.307,458.792,460.964,467.77,462.052,464.92,3.05716,2.57046,-5.7332,2.69648,2.44261,2.43584,2.37364,1.17744,6.12021,-3.66554,-2.6858,3.06327,1.91277,0.401387,-3.82282,-4.88076,-1.00326,0.0457101,1.57222,6.98198,8.08757,3.74044,0.57065,3.60807,3.13324,4.38889,-3.50995,-0.411634,-11.2117,-9.83785,-7.47497,-8.65446,-4.57008,-5.55003,-3.8349,-3.24283,-2.54105,-1.09745,-6.40943,-9.8661,-7.56352,-8.09814,-1.68522,-9.30559,-5.11787,-4.97815,-0.214351,-1.02259,-4.12364,-2.26238,-1.31781,0.727012,1.39434,1.63196,3.33601,0.794923,2.99836,-0.905689,0.303545,-3.81895,57.3683,109.758,120.308,142.362,146.624,147.556,178.425,187.96,216.288,233.621,235.981,244.722,249.665,253.003,259.213,270.807,276.843,289.289,292.038,301.766,307.621,327.886,335.251,337.387,343.245,345.947,355.288,361.589,372.714,375.792,377.911,383.868,388.297,392.182,394.594,398.629,400.124,401.983,408.73,412.228,414.939,416.938,417.632,427.332,429.275,431.988,432.8,435.901,441.3,442.238,443.885,446.172,446.454,450.078,452.238,458.171,459.874,465.597,467.084,469.171
86.4687,0.119508,0.429235,0.464311,0.273613,0.182062,0.00599791,0.0778113,0.357847,0.243567,0.369991,0.565114,0.259034,0.170524,0.119508,0.0778113,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.0667,110.058,120.002,142.579,146.153,147.316,177.314,185.155,216.981,232.012,233.227,246.051,249.851,254.766,259.959,267.965,279.426,286.476,292.439,305.708,309.082,326.623,334.726,330.942,341.16,345.824,355.849,357.904,371.903,369.056,376.03,384.952,389.799,391.437,392.213,396.391,402.792,400.898,406.439,408.451,412.951,413.758,416.76,428.477,430.789,429.849,434.221,435.646,436.551,445.047,442.211,446.061,442.65,447.92,451.501,458.716,458.469,467.551,465.571,466.855,3.08112,2.60446,-5.44856,2.81079,2.53629,2.46933,2.44064,1.24784,6.30088,-3.42406,-2.40858,3.24254,2.12488,0.527803,-3.50884,-4.52439,-0.787136,0.326843,1.85733,7.3941,8.55244,4.23057,1.0748,4.13919,3.79295,4.95008,-2.90925,0.275,-10.3495,-9.13422,-6.55544,-7.64251,-3.59245,-4.56076,-2.76459,-2.07641,-1.41821,-0.0294708,-5.16381,-8.33601,-6.2654,-6.93637,-0.352923,-8.08282,-3.84386,-3.72097,1.09738,0.264798,-2.81169,-1.05931,0.00670157,1.99051,2.79188,3.01499,4.6598,2.15044,4.67393,0.640182,1.88368,-2.53598,57.3444,109.724,120.024,142.247,146.531,147.523,178.358,187.889,216.107,233.379,235.704,244.542,249.453,252.876,258.899,270.45,276.627,289.008,291.753,301.354,307.157,327.395,334.747,336.856,342.585,345.386,354.687,360.902,371.852,375.088,376.991,382.857,387.319,391.193,393.524,397.462,399.001,400.915,407.485,410.698,413.64,415.776,416.3,426.109,428.001,430.731,431.489,434.613,439.988,441.035,442.56,444.908,445.056,448.695,450.914,456.816,458.198,464.051,465.504,467.888
131.62,0.115424,0.423039,0.459275,0.260896,0.20057,0.00615747,0.0810717,0.335448,0.245913,0.341637,0.516636,0.293259,0.21109,0.115424,0.0810717,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.7916,109.627,119.025,141.387,148.765,148.394,179.337,188.051,214.598,233.579,234.077,246.405,248.52,248.974,258.749,271.982,275.697,286.697,288.249,298.627,302.665,321.205,333.221,335.286,343.958,341.05,354.473,358.887,370.614,374.908,376.509,385.286,386.836,389.905,391.931,390.794,400.179,397.576,405.481,406.26,407.463,409.498,415.871,423.197,425.595,428.932,428.557,433.951,435.289,441.672,442.767,440.346,442.422,443.526,447.589,453.945,456.051,460.007,462.586,463.271,2.85565,2.38076,-4.37047,2.71757,2.40546,2.33423,2.42207,1.21216,5.99713,-2.83074,-1.70158,2.89432,2.25279,0.669618,-2.58837,-3.7253,-0.290851,0.615906,2.22109,7.48293,8.746,4.84542,1.6779,4.51865,4.21183,5.79136,-2.38813,0.893943,-8.11706,-8.55668,-4.23451,-5.52255,-2.06235,-2.68288,-0.939971,0.518137,0.672856,1.30498,-2.6079,-3.78995,-2.77784,-3.6986,2.24076,-5.94971,-2.43819,-1.76928,3.32324,1.70473,-0.569488,1.05,2.20519,5.37743,3.30217,5.24186,7.11176,5.37516,7.49095,3.44254,4.38494,-0.687933,57.5699,109.947,118.945,142.34,146.662,147.658,178.377,187.925,216.411,232.786,234.997,244.891,249.325,252.734,257.978,269.651,276.131,288.719,291.389,301.265,306.963,326.781,334.144,336.476,342.166,344.545,354.166,360.283,369.619,374.511,374.671,380.737,385.789,389.315,391.699,394.868,396.91,399.581,404.929,406.152,410.153,412.539,413.706,423.976,426.595,428.779,429.263,433.173,437.745,438.926,440.362,441.522,444.546,446.468,448.462,453.591,455.381,461.248,463.003,466.04
172.531,0.108636,0.413212,0.450834,0.231231,0.233229,0.00644998,0.0909905,0.292556,0.250763,0.282019,0.377962,0.361908,0.321798,0.108636,0.0909905,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.1003,109.754,117.119,142.074,147.62,147.633,180.886,189.103,218.408,229.911,232.585,245.244,250.532,252.616,256.004,264.252,277.918,288.162,293.798,303.832,308.323,330.116,334.879,333.957,344.37,344.132,356.187,360.411,362.74,366.209,378.141,375.378,383.318,385.333,391.039,396.047,394.888,394.463,398.446,398.313,404.427,409.166,410.42,414.177,422.734,424.016,427.876,434.67,433.968,431.079,434.044,439.911,443.3,450.083,445.471,448.509,453.74,456.077,458.834,466.188,2.17674,1.69905,-1.9584,2.31252,1.9469,1.86757,2.23048,0.968618,4.7921,-1.50443,-0.282582,2.11564,1.68914,0.770136,-0.729887,-1.71328,0.650254,1.06116,2.70059,6.63605,8.12583,5.35562,2.84815,4.63997,3.89553,6.87624,-1.47662,1.99161,-2.89486,-4.00588,-3.86422,-1.61058,0.669221,0.309469,1.32413,3.48061,4.18158,4.06059,4.20884,-0.235978,2.64537,2.08637,5.83791,-1.69847,3.0576,3.68427,4.18695,3.88919,3.48361,5.87013,5.62252,6.66662,5.77458,7.13284,10.1201,8.70167,10.4154,7.02803,6.71736,3.07756,58.2488,110.629,116.533,142.745,147.12,148.124,178.569,188.168,217.616,231.459,233.578,245.669,249.889,252.634,256.12,267.639,275.19,288.274,290.909,302.112,307.583,326.27,332.974,336.355,342.482,343.46,353.255,359.185,364.397,369.96,374.3,376.825,383.058,386.323,389.435,391.905,393.401,396.825,398.112,402.598,404.73,406.754,410.109,419.724,421.099,423.326,428.399,430.989,433.692,434.106,436.944,440.232,442.073,444.577,445.454,450.264,452.457,457.663,460.671,462.274
204.89,0.108688,0.414036,0.451247,0.227572,0.226226,0.00644458,0.093232,0.300621,0.257271,0.291716,0.379736,0.352593,0.31096,0.108688,0.093232,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.5425,111.48,116.526,142.763,148.059,147.961,178.835,186.985,219.665,234.977,235.198,246.209,248.707,252.959,255.544,271.733,275.957,292.63,288.861,304.316,308.696,329.189,333.383,336.265,342.341,345.946,353.046,360.622,363.458,372.706,372.544,379.148,383.888,388.33,394.989,393.918,393.48,397.741,400.857,408.964,406.808,410.308,411.215,421.281,426.737,428.412,426.933,430.885,436.704,434.474,438.333,441.857,441.882,444.042,450.878,454.557,459.01,465.825,461.352,460.296,2.01619,1.50624,-2.29447,1.9598,1.65399,1.69863,2.0443,0.776061,4.1871,-1.8966,-0.703319,1.62618,1.19638,0.553251,-1.16319,-2.36611,0.328672,0.551317,2.1742,5.6505,7.02978,4.42647,2.00643,3.72964,2.80396,5.9694,-2.45605,0.830487,-3.99854,-4.90449,-4.95035,-2.5757,-0.209075,-0.89143,-0.0728868,2.30586,2.85458,3.46288,2.9285,-1.49093,1.01829,0.975328,4.72266,-3.24094,1.56542,1.86007,1.83558,2.2054,2.09924,4.53815,3.72151,4.99801,3.97593,5.18913,8.07509,7.06849,7.29676,5.28777,5.00622,1.518,58.4093,110.822,116.869,143.098,147.413,148.293,178.755,188.361,218.221,231.852,233.998,246.159,250.382,252.851,256.553,268.292,275.511,288.784,291.436,303.098,308.679,327.2,333.816,337.265,343.574,344.367,354.234,360.347,365.501,370.858,375.386,377.79,383.936,387.523,390.832,393.08,394.728,397.423,399.393,403.853,406.357,407.865,411.224,421.267,422.592,425.15,430.75,432.673,435.077,435.438,438.845,441.901,443.872,446.521,447.499,451.898,455.575,459.403,462.382,463.834
258.007,0.105019,0.410838,0.447584,0.197973,0.226766,0.00660782,0.106433,0.295949,0.272625,0.278656,0.280736,0.372473,0.364411,0.105019,0.106433,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.88,112.479,116.813,144.958,147.517,149.72,179.437,188.563,219.744,232.036,236.243,247.927,252.887,255.473,252.975,269.711,278.05,287.918,294.694,302.783,314.952,333.516,331.784,336.104,346.454,347.851,353.528,361.219,364.288,366.791,375.68,375.318,381.41,389.016,394.553,389.681,394.814,398.163,398.784,409.279,406.876,404.021,409.188,417.897,420.413,427.361,431.353,437.348,434.394,438.418,445.5,444.747,446.776,445.99,453.52,457.057,458.624,464.103,466.79,460.732,1.13988,0.550539,-1.5268,0.871386,0.748068,0.856572,1.42209,0.111929,1.87672,-1.87012,-0.77993,0.54294,-0.813235,-0.0364321,-1.07227,-2.25502,0.11785,-0.142143,1.10197,2.56626,3.82581,2.29034,1.05597,2.03532,0.879273,3.56886,-3.07225,-0.0985085,-3.02275,-4.18049,-4.46038,-3.53219,0.426487,-2.60549,-1.47063,1.74336,2.32721,4.52429,2.21067,-1.10118,1.42892,-2.52186,3.28217,-1.51807,0.846721,3.29966,-1.21748,0.336656,2.16594,2.24873,0.760433,3.19188,1.77872,1.57618,2.69489,5.52126,2.30546,2.57378,3.65185,-0.0490782,59.2856,111.777,116.102,144.187,148.319,149.135,179.377,189.025,220.531,231.825,234.075,247.242,252.391,253.44,256.462,268.181,275.722,289.477,292.508,306.182,311.883,329.336,334.766,338.96,345.499,346.767,354.85,361.276,364.525,370.134,374.896,378.746,383.301,389.237,392.23,393.643,395.256,396.362,400.11,403.463,405.946,411.362,412.665,419.544,423.31,423.71,433.803,434.541,435.01,437.727,441.807,443.707,446.069,450.134,452.879,453.445,460.567,462.117,463.736,465.401
275.896,0.101784,0.407818,0.4443,0.172855,0.228379,0.00675448,0.117482,0.290428,0.279836,0.264658,0.190972,0.3933,0.415855,0.101784,0.117482,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.0063,113.117,115.822,145.123,147.738,149.166,179.663,188.439,222.005,229.424,236.175,248.818,254.577,252.691,257.542,267.298,274.812,292.838,294.814,309.357,318.326,330.471,335.052,338.381,346.103,346.788,351.919,357.733,362.646,370.091,373.926,374.629,378.384,382.09,397.225,389.104,393.484,399.557,400.964,404.963,408.693,407.954,420.456,422.872,416.583,424.392,433.542,434.638,437.092,438.984,438.164,444.961,451.325,453.966,454.552,458.556,456.974,459.877,467.551,464.115,0.451202,-0.190569,-0.725328,0.150024,0.157139,0.188452,0.95663,-0.374946,0.200224,-1.59833,-0.621363,0.143867,-1.71647,-1.02641,-0.902176,-1.65212,0.0690189,-0.29818,0.419705,0.496863,1.69588,0.945723,0.879126,1.41594,0.192189,1.9769,-2.12303,0.526242,-1.70246,-2.7651,-2.63118,-2.15759,0.270948,-0.230944,-1.33479,1.70805,2.33171,3.74084,2.87194,-1.03449,2.4524,-1.42587,0.91692,0.495215,1.8506,3.99028,0.739052,0.961398,1.6392,-0.449686,1.09299,3.63753,0.163383,-0.645381,1.88859,2.00171,2.65974,2.59563,1.9108,-1.10399,59.9743,112.519,115.3,144.908,148.91,149.804,179.842,189.512,222.208,231.553,233.916,247.641,253.294,254.43,256.292,267.578,275.771,289.633,293.19,308.251,314.013,330.68,334.943,339.579,346.186,348.359,353.901,360.651,363.204,368.719,373.067,377.372,383.456,386.863,392.094,393.678,395.251,397.145,399.449,403.396,404.923,410.266,415.03,417.531,422.306,423.02,431.847,433.917,435.537,440.426,441.474,443.261,447.685,452.355,453.685,456.964,460.212,462.095,465.477,466.456
279.105,0.100681,0.407362,0.443571,0.162675,0.221847,0.0067829,0.122344,0.296408,0.287383,0.270894,0.174491,0.38918,0.41287,0.100681,0.122344,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,61.1207,113.23,117.264,143.167,149.296,149.399,180.421,189.368,220.652,233.164,232.793,248.324,254.335,255.054,256.878,267.536,276.616,291.026,296.35,309.447,315.136,336.117,335.808,341.586,345.136,353.541,357.099,359.37,363.868,364.366,376.34,373.885,384.456,392.074,389.578,397.097,392.958,394.074,396.296,408.978,401.097,408.809,417.409,420.39,424.84,425.922,437.415,434.691,434.428,443.626,441.062,444.836,445.416,449.964,453.477,458.12,464.48,463.715,462.3,467.104,0.154303,-0.535354,-0.840169,-0.306086,-0.161601,-0.185586,0.675096,-0.661681,-0.667149,-1.85183,-0.919684,-0.279877,-1.98629,-1.72109,-1.24894,-2.05361,-0.230208,-0.73001,-0.208407,-0.68265,0.404529,-0.0902993,0.162231,0.622034,-0.594866,0.960939,-2.42166,0.274628,-1.93798,-2.84601,-2.43829,-1.81786,-0.714553,0.672112,-2.00612,0.984401,1.12555,2.09544,2.10264,-1.41137,1.38164,-1.61695,-0.117203,-0.944722,0.213192,2.77874,0.159074,0.207873,0.511561,-1.60742,0.358369,1.30845,-1.0477,-1.36363,-0.607387,-0.221389,1.20617,1.18782,1.03937,-1.80166,60.2712,112.863,115.415,145.364,149.229,150.178,180.124,189.799,223.075,231.807,234.215,248.065,253.564,255.125,256.639,267.98,276.07,290.065,293.818,309.431,315.304,331.716,335.66,340.373,346.973,349.375,354.2,360.902,363.44,368.8,372.874,377.032,384.442,385.96,392.765,394.402,396.457,398.791,400.218,403.773,405.993,410.457,416.064,418.971,423.944,424.231,432.427,434.67,436.664,441.583,442.209,445.591,448.896,453.074,456.181,459.187,461.666,463.503,466.349,467.154
