# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_35N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1167014335 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_35N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35
-3608.16,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,65.0325,118.461,123.271,151.874,155.021,159.698,183.923,196.917,237.011,239.152,244.407,258.994,260.957,267.186,270.219,284.24,283.379,306.575,311.03,331.286,341.411,351.784,361.049,363.851,372.647,389.289,390.026,393.602,392.773,402.858,415.921,423.175,433.04,436.078,440.331,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,-24.8172,-23.1437,-24.3741,-23.6127,-26.168,-33.2321,-36.9672,-32.8605,-32.9225,-38.8953,-45.5604,-43.0928,-44.2674,-51.1866,-50.1148,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09,340.526,354.77,360.196,364.608,372.546,383.568,388.745,394.037,394.425,404.849,415.996,418.307,427.994,437.819,440.874
-210.166,0.130603,0.445776,0.478188,0.262466,0.150765,0.00562446,0.0916548,0.398242,0.282242,0.414001,0.539703,0.212872,0.145124,0.130603,0.0916548,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.4633,110.963,123.442,144.475,148.245,148.677,181.963,189.293,219.689,235.027,237.003,250.765,252.062,254.358,262.872,274.827,281.662,292.159,298.967,307.155,313.219,334.15,341.069,343.504,352.395,349.891,367.235,371.559,378.999,382.495,384.6,394.536,399.274,398.944,408.07,2.02067,1.38204,-6.90524,0.657796,0.936554,1.16351,1.27355,-0.0298795,2.51995,-5.69051,-4.846,-0.742417,-0.886166,-1.24873,-5.90658,-8.08297,-2.92882,-3.4273,-1.83267,1.04654,1.67169,-1.94798,-5.52621,-3.17274,-4.98771,-2.94874,-11.4959,-9.31849,-18.2608,-19.1087,-14.9759,-19.0736,-15.703,-15.6904,-16.3108,58.4048,110.946,121.48,144.4,148.13,148.828,179.525,189.167,219.888,235.646,238.141,248.527,252.464,254.653,261.297,274.009,278.769,292.762,295.443,307.701,314.037,333.574,341.348,344.168,351.366,353.285,363.274,370.495,379.763,385.063,385.412,394.288,399.43,402.322,407.07
-118.693,0.128051,0.438261,0.47506,0.299519,0.162281,0.00563873,0.069371,0.382825,0.227202,0.403669,0.637584,0.219959,0.123802,0.128051,0.069371,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.3101,107.669,121.103,141.096,145.983,147.557,178.989,188.825,214.995,234.714,234.791,241.889,249.461,253.562,260.432,269.588,276.92,289.079,291.603,303.265,306.477,329.246,333.199,335.003,343.299,343.831,354.253,360.687,373.608,369.04,378.332,384.5,387.319,394.679,392.916,3.70474,3.27006,-6.66933,3.56586,3.3073,2.87862,2.73246,1.57549,7.75544,-3.74158,-2.88289,4.84526,2.41976,0.485518,-4.35492,-4.59568,-1.15335,0.639888,2.03737,8.45898,9.68207,4.25322,1.91511,4.63469,4.629,4.73412,-1.859,1.50089,-11.4363,-7.81444,-9.89223,-8.95461,-4.54129,-6.26658,-4.12813,56.7208,109.058,121.244,141.492,145.76,147.113,178.067,187.562,214.653,233.697,236.178,242.94,249.158,252.918,259.745,270.522,276.993,288.695,291.573,300.289,306.027,327.373,333.907,336.36,341.749,345.602,353.637,359.676,372.938,373.768,380.328,384.169,388.268,392.899,394.887
-106.658,0.128076,0.438575,0.475087,0.295502,0.162403,0.00564553,0.0715366,0.38306,0.232708,0.403229,0.626499,0.221234,0.127677,0.128076,0.0715366,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.0633,109.835,120.9,142.944,145.313,147.696,178.134,188.15,215.16,234.553,238.239,244.821,249.612,254.13,258.739,273.455,277.25,290.79,288.808,301.825,303.821,329.397,333.269,337.146,344.923,348.329,354.249,365.333,374.533,375.546,377.906,382.351,387.8,391.811,389.412,3.53486,3.08151,-6.64671,3.27502,3.02716,2.755,2.59441,1.42141,7.22974,-3.92242,-3.0619,4.24988,2.11113,0.337321,-4.46881,-4.95497,-1.30912,0.227723,1.64817,7.77343,8.92779,3.67952,1.05246,3.84925,3.58182,4.09637,-2.86106,0.37382,-12.2421,-8.97924,-10.277,-10.0644,-5.62138,-7.1552,-5.21255,56.8906,109.246,121.222,141.783,146.04,147.237,178.205,187.716,215.178,233.877,236.357,243.535,249.467,253.067,259.859,270.881,277.149,289.107,291.962,300.975,306.781,327.946,334.77,337.146,342.796,346.24,354.639,360.803,373.744,374.933,380.713,385.278,389.348,393.787,395.972
-83.0938,0.127463,0.438108,0.474311,0.283832,0.166538,0.00568988,0.0771377,0.379633,0.245856,0.397477,0.59362,0.230681,0.142686,0.127463,0.0771377,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.356,110.753,120.279,142.853,146.831,148.066,176.904,188.809,216.346,235.186,235.21,248.274,248.787,255.083,260.807,270.231,277.5,290.641,293.12,305.69,307.197,328.777,335.65,339.88,344.146,347.218,354.63,363.48,377.796,376.649,384.202,389.523,397.402,396.747,397.973,3.10568,2.6086,-6.41254,2.59365,2.37583,2.43054,2.26955,1.05678,5.97872,-4.23752,-3.34196,2.82932,1.42408,0.00117042,-4.57793,-5.62199,-1.59085,-0.666128,0.825285,6.1789,7.21091,2.4364,-0.735543,2.1278,1.24,2.75928,-5.06838,-2.10046,-13.6013,-11.5829,-10.7454,-12.2227,-7.86554,-8.91084,-7.48008,57.3198,109.719,120.988,142.464,146.691,147.561,178.529,188.08,216.429,234.193,236.637,244.956,250.154,253.403,259.968,271.548,277.431,290.001,292.785,302.569,308.498,329.19,336.558,338.867,345.138,347.577,356.846,363.277,375.103,377.537,381.181,387.437,391.593,395.543,398.239
-58.2429,0.125914,0.435852,0.472352,0.270729,0.176345,0.0057694,0.0825618,0.370017,0.256559,0.384329,0.55374,0.249575,0.166604,0.125914,0.0825618,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.7223,109.981,119.353,142.975,145.89,149.273,179.315,188.606,215.77,236.627,238.68,246.063,248.864,251.496,259.732,271.498,275.787,290.806,293.658,305.312,309.346,330.851,340.412,339.982,348.231,346.697,359.412,361.795,371.927,378.725,378.957,386.577,394.412,397.881,400.302,2.70478,2.17368,-5.89903,2.04682,1.86772,2.10362,2.00569,0.756074,4.9284,-4.29863,-3.3335,1.6527,0.900691,-0.252666,-4.39264,-5.85156,-1.67463,-1.27082,0.289581,4.90878,5.89729,1.58085,-1.85069,0.897028,-0.452907,1.86639,-6.5994,-3.81297,-13.8499,-13.5179,-10.4547,-13.2359,-9.20184,-9.80529,-8.88535,57.7207,110.154,120.474,143.011,147.199,147.888,178.793,188.381,217.48,234.254,236.628,246.132,250.677,253.657,259.783,271.778,277.515,290.606,293.32,303.839,309.812,330.045,337.673,340.098,346.831,348.47,358.377,364.99,375.352,379.472,380.891,388.45,392.929,396.437,399.644
144.062,0.112058,0.413737,0.454487,0.172666,0.272063,0.00650261,0.120536,0.250876,0.250493,0.202038,0.039083,0.463952,0.57522,0.112058,0.120536,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.9275,111.668,113.892,145.082,150.874,151.083,180.093,187.959,222.436,230.485,231.435,245.03,252.738,255.79,257.919,263.38,273.97,289.917,292.166,303.511,314.957,333.244,332.46,338.614,346.296,355.316,348.73,358.72,363.832,367.794,380.687,379.892,388.276,392.727,389.3,0.22104,-0.227193,1.85734,0.781864,0.490481,0.306818,1.07545,-0.343362,0.45139,0.0249923,0.932604,0.852633,-1.46355,-1.27785,-0.739177,2.1073,0.517571,0.513076,0.632244,0.50916,2.16404,1.23948,1.20629,1.63341,-0.019822,-0.907418,-0.098421,0.266466,-2.44406,-3.22339,-8.42249,-6.05971,-3.0996,-4.33392,-3.70276,60.2045,112.555,112.718,144.276,148.577,149.685,179.724,189.48,221.957,229.93,232.362,246.932,253.042,254.682,256.129,263.819,275.322,288.822,292.978,308.239,313.545,330.387,334.616,339.362,346.398,351.243,351.876,360.911,363.946,369.177,378.858,381.274,386.827,390.966,394.462
146.758,0.111379,0.412953,0.453467,0.168073,0.277291,0.00652748,0.12244,0.243392,0.243383,0.188796,-0.00611353,0.477244,0.61523,0.111379,0.12244,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.3793,112.734,113.633,144.466,149.045,151.973,178.382,189.89,221.505,228.954,234.393,246.038,254.538,254.682,255.395,262.17,276.521,287.789,294.087,306.933,316.917,330.837,335.164,337.323,345.255,351.812,354.601,356.989,365.281,368.581,371.941,380.27,382.903,392.222,393.113,0.110973,0.228512,1.9433,0.892819,0.559025,0.270064,1.09163,-0.325166,0.403323,0.53737,1.42783,1.24308,-0.964281,-1.17662,-0.877729,3.17578,0.80795,1.0777,1.00687,0.712475,2.47247,1.87002,2.09004,2.55942,0.817364,0.901125,0.409991,1.65309,-1.40385,-1.83499,-7.38135,-4.88998,-1.75125,-1.9768,-1.5891,60.3145,112.099,112.632,144.165,148.508,149.722,179.707,189.462,222.005,229.418,231.867,246.542,252.542,254.581,256.268,262.75,275.032,288.257,292.603,308.036,313.237,329.756,333.732,338.436,345.561,349.435,351.368,359.524,362.906,367.789,377.817,380.104,385.478,388.609,392.348
147.279,0.110942,0.412571,0.45294,0.165118,0.277966,0.00654454,0.123726,0.241986,0.241862,0.185443,-0.0225934,0.481168,0.627558,0.110942,0.123726,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.5542,112.746,111.952,146.487,149.01,149.504,178.863,190.271,220.985,225.71,232.127,245.396,250.856,252.349,255.085,261.515,272.962,288.371,292.494,309.291,316.539,326.941,333.971,337.268,344.54,350.824,352.478,359.046,363.537,367.386,374.493,375.882,387.832,388.499,391.974,0.0349711,0.403744,1.87295,0.867626,0.53133,0.217366,1.05932,-0.356028,0.267825,0.663479,1.54191,1.31984,-0.829941,-1.17856,-1.02898,3.45404,0.863794,1.21383,1.06093,0.620867,2.39814,1.9697,2.28816,2.78707,1.04201,1.44434,0.419721,2.00403,-1.16075,-1.44911,-7.03952,-4.51236,-1.3076,-1.29866,-0.9762,60.3905,111.924,112.702,144.19,148.536,149.775,179.74,189.493,222.14,229.292,231.753,246.465,252.408,254.583,256.419,262.472,274.976,288.121,292.549,308.127,313.311,329.656,333.534,338.208,345.336,348.892,351.358,359.173,362.663,367.403,377.476,379.726,385.035,387.931,391.735
149.547,0.109745,0.411814,0.451669,0.158278,0.275182,0.00658564,0.126768,0.244158,0.243798,0.18601,-0.0384092,0.482697,0.632657,0.109745,0.126768,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.9373,112.431,113.399,145.095,145.702,151.114,178.485,190.274,221.868,232.863,231.977,245.774,251.089,254.424,256.176,261.785,277.848,289.85,294.795,306.119,313.132,330.068,333.596,336.636,349.042,350.516,350.446,357.862,365.672,366.038,382.479,380.615,387.854,388.882,390.414,-0.145223,0.440117,1.67522,0.647926,0.343239,0.0517028,0.91624,-0.495425,-0.211767,0.618288,1.46484,1.2038,-0.868552,-1.29691,-1.43582,3.41156,0.782488,1.13889,0.870117,0.0437376,1.76903,1.6669,2.14439,2.66962,0.919018,1.58419,0.0860352,1.92897,-1.25289,-1.36375,-6.63133,-4.24828,-0.952536,-1.31377,-0.829055,60.5707,111.888,112.9,144.41,148.724,149.94,179.883,189.632,222.62,229.337,231.83,246.581,252.447,254.701,256.826,262.514,275.058,288.196,292.74,308.704,313.94,329.959,333.678,338.325,345.459,348.752,351.692,359.248,362.755,367.318,377.067,379.462,384.68,387.946,391.588
