# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_20N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1245761205 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_20N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20
-972.297,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,64.7604,118.936,120.985,152.392,155.486,157.663,186.781,196.854,236.992,243.3,243.078,261.02,263.203,264.801,269.446,280.957,283.916,302.41,308.605,333.716,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09
-60.2147,0.139779,0.453024,0.488731,0.273645,0.148832,0.00540335,0.0896893,0.4077,0.279835,0.427765,0.560023,0.204814,0.133985,0.139779,0.0896893,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.8758,110.494,121.892,143.632,146.618,148.362,179.258,189.052,220.06,237.453,237.419,249.718,252.032,256.102,263.249,275.805,278.18,294.012,294.877,306.848,2.13396,1.5015,-7.3844,0.698399,0.980731,1.2372,1.25442,-0.0692653,2.62204,-6.11068,-5.3292,-0.847872,-1.1847,-1.57882,-6.42303,-8.60787,-3.37614,-3.94646,-2.39113,0.648941,58.2915,110.826,121.959,144.36,148.086,148.755,179.545,189.206,219.786,236.066,238.624,248.633,252.763,254.983,261.813,274.534,279.216,293.281,296.001,308.099
-27.2749,0.138804,0.450063,0.487229,0.251195,0.172654,0.00546472,0.099434,0.388882,0.296038,0.402213,0.488616,0.246206,0.181213,0.138804,0.099434,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.3939,111.574,121.179,144.851,148.201,149.605,179.806,190.327,220.258,236.387,236.854,249.294,253.24,253.653,261.562,277.246,279.37,294.027,298.74,306.843,1.44819,0.763241,-6.38142,-0.152614,0.455451,0.377166,0.798474,-0.591112,0.925164,-6.10748,-5.20323,-2.48437,-2.28849,-2.17964,-6.04555,-8.6761,-3.51398,-4.82205,-3.30667,-1.58311,58.9773,111.565,120.956,145.211,148.612,149.615,180.001,189.728,221.483,236.062,238.498,250.269,253.866,255.584,261.436,274.602,279.354,294.157,296.917,310.331
82.8012,0.133099,0.430273,0.478931,0.189613,0.287338,0.00578058,0.12033,0.257882,0.256732,0.212549,0.0667836,0.463534,0.55989,0.133099,0.12033,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.6517,113.308,113.923,143.841,148.213,149.711,179.617,190.587,224.734,231.537,234.402,248.449,252.415,257.798,254.995,268.296,278.31,290.484,294.444,309.42,0.129775,-0.282332,1.36315,0.408057,0.216636,0.136549,0.753491,-0.771628,-0.146752,-1.11334,-0.212606,-0.722822,-2.91279,-2.50932,-1.95011,0.580037,-0.947563,-1.82789,-1.69769,-1.88973,60.2957,112.61,113.212,144.65,148.85,149.855,180.046,189.909,222.555,231.068,233.508,248.508,254.491,255.913,257.34,265.346,276.788,291.163,295.308,310.638
83.3463,0.132899,0.430479,0.478683,0.192581,0.28442,0.00577444,0.118949,0.261485,0.259357,0.219014,0.0902022,0.456489,0.540576,0.132899,0.118949,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.2819,112.483,113.595,145.27,149.393,150.785,180.097,188.655,223.288,230.738,235.235,248.027,255.479,254.55,256.952,264.77,277.546,292.795,294.167,310.175,0.216646,-0.212502,1.0555,0.406174,0.232977,0.181162,0.781381,-0.739759,-0.0209588,-1.3164,-0.40098,-0.822245,-3.05497,-2.46571,-1.80946,0.127821,-1.01255,-1.96373,-1.72718,-1.76654,60.2089,112.541,113.52,144.652,148.834,149.811,180.018,189.877,222.429,231.271,233.696,248.607,254.633,255.87,257.199,265.798,276.853,291.299,295.337,310.515
84.3873,0.131206,0.42913,0.476316,0.201288,0.285266,0.00577821,0.113921,0.258284,0.254696,0.218149,0.117863,0.452502,0.528312,0.131206,0.113921,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.8123,111.94,113.26,142.838,148.441,151.672,181.985,188.788,221.969,228.463,233.12,251.134,254.132,255.143,254.525,267.588,278.498,288.539,293.98,307.44,0.550035,0.135919,0.992953,0.850531,0.588603,0.511023,1.06698,-0.436669,0.913761,-1.09181,-0.118454,-0.357152,-2.77313,-1.7492,-1.16297,0.366172,-0.669714,-1.45989,-1.02699,-0.303172,59.8755,112.192,113.582,144.207,148.478,149.481,179.732,189.574,221.494,231.047,233.413,248.142,254.351,255.153,256.553,265.56,276.51,290.795,294.637,309.051
84.5317,0.131401,0.429374,0.476601,0.199854,0.284657,0.00577639,0.11476,0.259359,0.255926,0.219049,0.115047,0.452391,0.528552,0.131401,0.11476,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.3535,112.552,113.618,144.348,149.185,148.277,178.376,188.77,221.121,232.489,235.28,246.037,253.763,256.351,257.258,265.808,278.214,291.51,295.443,307.279,0.494054,0.0746436,0.968952,0.762217,0.518793,0.452339,1.01448,-0.491725,0.743128,-1.15771,-0.194181,-0.456319,-2.83891,-1.89003,-1.26561,0.268219,-0.740245,-1.56761,-1.16108,-0.573243,59.9314,112.253,113.606,144.296,148.548,149.54,179.785,189.629,221.665,231.113,233.489,248.241,254.417,255.294,256.656,265.658,276.58,290.903,294.771,309.321
84.586,0.13134,0.429441,0.476535,0.199108,0.284123,0.00577483,0.115166,0.260039,0.256645,0.21967,0.114237,0.45203,0.528117,0.13134,0.115166,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.5518,112.223,112.667,144.385,149.555,149.041,179.493,189.323,221.144,232.959,233.351,248.62,253.922,255.818,259.331,265.484,275.242,289.82,295.729,311.374,0.467526,0.0443509,0.947326,0.716751,0.483556,0.423125,0.989085,-0.517621,0.659408,-1.19382,-0.235018,-0.503324,-2.86992,-1.952,-1.31372,0.207951,-0.771657,-1.61595,-1.21996,-0.698797,59.958,112.284,113.628,144.341,148.583,149.569,179.81,189.655,221.749,231.149,233.53,248.288,254.448,255.356,256.704,265.718,276.612,290.951,294.83,309.447
84.691,0.13091,0.429389,0.475979,0.198151,0.283115,0.0057725,0.115619,0.26099,0.257599,0.220524,0.113997,0.451151,0.527,0.13091,0.115619,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.9399,112.742,114.876,144.391,148.456,148.938,180.003,190.116,221.43,232.389,234.136,249.087,254.418,256.824,257.684,265.831,275.195,293.947,294.653,309.486,0.439378,0.00998382,0.911337,0.664194,0.443589,0.390512,0.962707,-0.54294,0.567997,-1.23394,-0.280345,-0.545716,-2.89509,-2.00675,-1.35707,0.130404,-0.794534,-1.65156,-1.26415,-0.817652,59.9861,112.318,113.664,144.394,148.623,149.601,179.836,189.68,221.84,231.189,233.575,248.331,254.473,255.411,256.747,265.796,276.635,290.987,294.874,309.566
85.0425,0.128885,0.428913,0.473312,0.195435,0.279732,0.00576527,0.116739,0.263589,0.260149,0.222651,0.114235,0.448038,0.523495,0.128885,0.116739,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.6011,112.283,113.493,144.423,149.986,148.724,180.112,189.689,221.488,230.549,235.186,249.9,254.727,257.452,255.085,264.662,278.096,294.211,292.237,308.617,0.373933,-0.0752612,0.80795,0.536574,0.348406,0.311509,0.905534,-0.593125,0.355167,-1.31623,-0.375209,-0.610284,-2.91802,-2.09858,-1.43002,-0.0577056,-0.808866,-1.67428,-1.30324,-1.03691,60.0516,112.403,113.767,144.521,148.719,149.68,179.893,189.73,222.053,231.271,233.67,248.395,254.496,255.503,256.82,265.984,276.649,291.009,294.913,309.785
