# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_25N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1510510942 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_25N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25
-1445.28,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,64.5415,119.027,121.028,152.546,155.317,158.399,185.295,196.928,238.852,239.801,243.948,258.415,260.932,266.974,269.965,280.43,286.667,300.058,309.019,330.776,338.484,353.379,360.564,364.948,372.494,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,-24.8172,-23.1437,-24.3741,-23.6127,-26.168,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09,340.526,354.77,360.196,364.608,372.546
-170.144,0.13742,0.445101,0.485961,0.315787,0.156195,0.00551037,0.064657,0.394898,0.216283,0.421834,0.672538,0.205279,0.105251,0.13742,0.064657,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.0799,108.81,122.29,140.896,146.096,147.519,179.447,188.958,211.365,231.636,236.203,240.511,249.762,256.298,260.87,269.481,274.89,286.699,291.34,301.652,304.634,325.626,334.823,337.443,344.216,4.0603,3.64505,-7.25529,4.02632,3.78273,3.07673,2.86328,1.70743,8.56854,-3.93844,-3.13726,5.65319,2.40624,0.23274,-4.82018,-4.52481,-1.48363,0.549737,1.93594,8.69298,10.0274,3.70593,2.34339,4.05481,4.22642,56.3652,108.683,121.83,141.032,145.284,146.915,177.936,187.43,213.839,233.893,236.432,242.132,249.172,253.171,260.21,270.451,277.324,288.785,291.674,300.055,305.682,327.92,333.479,336.94,342.152
-155.59,0.140489,0.459396,0.489272,0.219002,0.152212,0.0054838,0.120197,0.412043,0.340537,0.420969,0.416581,0.224369,0.181501,0.140489,0.120197,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.3875,113.372,121.431,146.537,148.701,153.349,182.03,190.538,226.286,236.245,239.432,256.242,253.005,260.36,264.757,276.605,279.415,296.753,301.556,316.115,322.882,339.632,349.847,351.052,358.844,0.0442423,-0.831418,-6.84163,-2.40515,-0.771775,-1.83579,-0.476308,-1.94757,-3.19289,-7.56238,-6.72525,-5.47033,-4.79196,-4.72531,-7.49283,-10.9561,-4.98822,-7.45917,-6.28898,-7.54327,-7.43895,-9.26679,-12.4283,-11.0599,-12.4419,60.3813,113.159,121.417,147.463,149.839,151.828,181.275,191.085,225.601,237.517,240.02,253.255,256.37,258.129,262.883,276.882,280.828,296.794,299.899,316.291,323.148,340.893,348.25,352.055,358.82
-90.5117,0.139654,0.455911,0.488284,0.233177,0.15776,0.00550907,0.111367,0.404941,0.322955,0.416049,0.449959,0.22894,0.177713,0.139654,0.111367,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.2722,113.055,120.251,147.645,148.912,151.419,181.525,192.191,223.5,238.312,239.804,251.863,255.994,257.776,262.948,277.41,281.413,297.306,301.475,313.404,324.111,341.313,345.008,350.678,358.47,0.627601,-0.171373,-6.77069,-1.52185,-0.257714,-0.945067,0.0452772,-1.39145,-1.54099,-7.0459,-6.18942,-4.38918,-3.90922,-3.44758,-6.9921,-10.1726,-4.41919,-6.44921,-5.082,-5.16986,-4.88518,-7.3316,-10.7633,-9.17508,-10.5971,59.7979,112.499,121.346,146.58,149.325,150.937,180.754,190.528,223.949,237.001,239.484,252.174,255.487,256.852,262.382,276.099,280.259,295.784,298.692,313.918,320.594,338.958,346.585,350.17,356.975
-6.23822,0.136114,0.442496,0.48375,0.274566,0.192725,0.0055984,0.0839649,0.365715,0.258749,0.380153,0.540818,0.26877,0.182937,0.136114,0.0839649,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.718,111.124,120.388,144.434,146.803,148.149,178.878,188.209,218.732,232.328,238.059,247.581,251.082,254.226,261.788,272.858,281.401,292.007,293.35,303.019,311.399,334.697,338.08,340.767,347.505,2.57516,2.03717,-5.73831,1.84002,1.6819,1.9605,1.83066,0.518876,4.48497,-4.63042,-3.63666,0.825139,0.207076,-0.89085,-4.59759,-6.21768,-2.17842,-2.24859,-0.720784,3.72333,4.74441,-0.103484,-3.81596,-1.35109,-3.21412,57.8503,110.291,120.313,143.218,147.385,148.032,178.968,188.618,217.923,234.585,236.932,246.96,251.371,254.295,259.988,272.144,278.018,291.584,294.331,305.025,310.965,331.729,339.638,342.346,349.592
14.5647,0.13609,0.442929,0.483591,0.26189,0.198211,0.00561331,0.0905198,0.361689,0.271462,0.372109,0.49946,0.281222,0.205157,0.13609,0.0905198,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.9795,111.067,120.259,144.248,150.249,147.699,179.846,189.999,220.541,235.122,238.585,246.198,251.332,255.686,260.923,270.237,279.247,293.132,295.68,304.004,313.361,329.712,344.066,344.663,351.691,2.09668,1.51642,-5.40283,1.14418,1.14571,1.45346,1.47383,0.11984,3.15756,-4.86048,-3.84579,-0.503887,-0.661189,-1.30683,-4.67048,-6.65066,-2.44561,-3.0653,-1.52562,1.87674,2.81714,-1.47957,-5.26898,-3.02556,-4.75941,58.3288,110.812,119.978,143.914,147.921,148.539,179.325,189.017,219.25,234.815,237.141,248.289,252.239,254.711,260.06,272.577,278.286,292.4,295.136,306.871,312.892,333.106,341.091,344.021,351.137
64.5453,0.134376,0.438436,0.480825,0.23452,0.236692,0.00570304,0.101958,0.321921,0.278664,0.314327,0.366568,0.35172,0.311814,0.134376,0.101958,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.0582,111.742,117.674,144.54,148.062,149.345,177.223,188.508,219.119,231.951,236.903,248.576,255.478,257.812,258.376,270.348,278.297,293.102,294.954,309.308,314.461,335.733,342.93,342.612,348.58,1.3099,0.732714,-3.15086,0.54512,0.617535,0.768997,1.10461,-0.333449,1.59255,-3.9275,-2.84927,-1.56149,-2.0659,-1.76411,-3.33279,-5.07547,-2.06929,-3.30294,-1.99455,-0.0549366,1.05992,-2.47476,-5.82963,-4.23478,-5.5052,59.1156,111.595,117.726,144.513,148.449,149.223,179.694,189.47,220.815,233.882,236.144,249.346,253.644,255.168,258.723,271.001,277.909,292.638,295.605,308.803,314.649,334.101,341.652,345.23,351.883
105.512,0.131717,0.431133,0.476421,0.202011,0.296366,0.00582659,0.114561,0.246774,0.245511,0.198972,0.0715303,0.468086,0.57757,0.131717,0.114561,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.7149,112.848,112.894,144.037,148.923,149.943,179.92,189.834,220.666,231.31,233.653,245.927,254.282,255.102,258.666,265.776,277.799,288.599,297.161,311.586,312.686,333.886,337.13,342.105,352.316,0.512944,0.149595,1.76988,1.10237,0.762696,0.558777,1.1566,-0.353782,1.11501,-0.442593,0.5247,0.12188,-2.24086,-1.69077,-1.01205,1.68991,-0.320107,-0.855799,-0.59925,0.182145,1.94025,-0.487904,-2.07487,-1.39984,-2.82356,59.9126,112.178,112.805,143.956,148.304,149.433,179.642,189.491,221.293,230.398,232.77,247.663,253.819,255.095,256.402,264.236,276.16,290.191,294.209,308.566,313.769,332.114,337.897,342.395,349.202
106.147,0.13174,0.431418,0.476534,0.203358,0.292977,0.00582148,0.11403,0.251294,0.249146,0.20609,0.0924529,0.461544,0.557968,0.13174,0.11403,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.2451,113.104,112.023,143.305,146.661,150.045,178.535,188.639,223.365,231.293,233.404,246.907,254.481,253.834,256.976,263.061,277.44,292.103,295.387,306.877,315.046,333.792,339.059,341.129,349.687,0.544712,0.160338,1.44512,1.01725,0.704667,0.555411,1.13201,-0.37642,1.07467,-0.709633,0.261867,-0.0703197,-2.47619,-1.68982,-1.04527,1.14326,-0.458444,-1.1043,-0.765374,0.0353307,1.7378,-0.76132,-2.46178,-1.76563,-3.1553,59.8808,112.168,113.13,144.041,148.362,149.437,179.667,189.513,221.333,230.665,233.033,247.855,254.054,255.094,256.435,264.783,276.298,290.439,294.375,308.713,313.971,332.387,338.284,342.761,349.533
106.252,0.131679,0.431457,0.476472,0.203248,0.292275,0.00582075,0.114105,0.252171,0.249894,0.207293,0.0950222,0.46049,0.555127,0.131679,0.114105,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.9614,111.695,114.103,144.124,149.04,152.152,180.244,190.125,220.148,231.731,236.217,245.927,252.157,254.493,257.63,263.082,276.743,291.456,294.135,309.411,314.191,333.406,338.62,345.255,349.298,0.539604,0.150918,1.39239,0.989431,0.683907,0.544975,1.11989,-0.388236,1.03937,-0.758371,0.212016,-0.111319,-2.51722,-1.7091,-1.06716,1.04737,-0.486742,-1.15219,-0.80569,-0.0269615,1.66294,-0.830893,-2.53624,-1.83997,-3.22483,59.8859,112.177,113.183,144.069,148.383,149.447,179.679,189.525,221.369,230.713,233.083,247.896,254.095,255.113,256.457,264.879,276.327,290.487,294.416,308.775,314.046,332.457,338.358,342.835,349.603
