# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_15N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1204878694 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_15N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15
60.3513,0.126352,0.424653,0.471163,0.190339,0.267555,0.00568956,0.117157,0.27272,0.267311,0.238362,0.140824,0.435054,0.487891,0.126352,0.117157,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.6029,112.184,113.906,145.258,147.883,149.851,180.09,190.703,219.573,232.675,234.65,248.263,255.463,256.367,256.086,0.353135,-0.138672,0.267075,0.309156,0.207407,0.21198,0.817645,-0.667162,0.106175,-1.72849,-0.786559,-0.887297,-3.09119,-2.21784,-1.57022,60.0724,112.467,114.308,144.749,148.86,149.78,179.981,189.804,222.302,231.683,234.082,248.672,254.669,255.622,256.96
61.2646,0.115613,0.418181,0.457713,0.181112,0.249343,0.0056656,0.118534,0.282349,0.275088,0.250229,0.16037,0.416062,0.457395,0.115613,0.118534,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.4143,112.756,115.322,145.468,148.862,149.716,180.293,190.098,223.241,231.289,231.174,247.506,251.261,256.489,256.038,0.311213,-0.256907,-0.231117,0.091116,0.0792753,0.0936577,0.784102,-0.64564,-0.121309,-1.84384,-0.904712,-0.700433,-2.72357,-2.02199,-1.43424,60.1143,112.585,114.806,144.967,148.988,149.898,180.015,189.783,222.529,231.799,234.2,248.485,254.302,255.426,256.824
62.439,0.101656,0.40981,0.439857,0.170152,0.226078,0.0056296,0.119829,0.29361,0.283696,0.263599,0.183754,0.389815,0.419535,0.101656,0.119829,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.5601,113.219,114.593,145.61,149.587,149.363,180.049,189.222,222.962,234.354,235.143,250.325,254.928,253.131,258.665,0.304281,-0.363592,-0.800887,-0.0849486,-0.00611392,0.000417755,0.815033,-0.522657,-0.235098,-1.75065,-0.797602,-0.102306,-1.88453,-1.39589,-1.09337,60.1212,112.692,115.376,145.143,149.073,149.992,179.984,189.66,222.643,231.706,234.093,247.887,253.463,254.8,256.483
62.8318,0.096985,0.407219,0.433763,0.160495,0.22026,0.00561314,0.123362,0.295373,0.287361,0.262852,0.164705,0.387977,0.424153,0.096985,0.123362,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.0956,112.335,115.265,145.289,150.747,149.743,180.547,189.598,225.661,232.206,234.572,246.093,252.097,252.78,258.904,0.117899,-0.595208,-0.72603,-0.305791,-0.176881,-0.199621,0.704365,-0.606656,-0.691272,-1.58369,-0.659237,0.0682569,-1.67581,-1.48662,-0.965951,60.3076,112.923,115.301,145.364,149.244,150.192,180.095,189.744,223.099,231.539,233.954,247.717,253.254,254.891,256.356
63.2982,0.0956035,0.406202,0.431945,0.159331,0.219235,0.00560788,0.123435,0.294928,0.287097,0.261967,0.162949,0.38766,0.424848,0.0956035,0.123435,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.1286,113.427,114.55,146.738,148.978,150.552,180.552,188.375,224.037,231.499,232.992,247.427,256.43,254.957,256.187,0.123587,-0.595125,-0.69332,-0.281636,-0.164389,-0.183471,0.730608,-0.568914,-0.651712,-1.47681,-0.550767,0.225083,-1.5353,-1.35048,-0.842474,60.3019,112.923,115.268,145.34,149.231,150.175,180.068,189.706,223.06,231.432,233.846,247.56,253.113,254.754,256.232
65.1461,0.0920134,0.401762,0.427105,0.155215,0.228631,0.00557988,0.123274,0.279375,0.275518,0.239406,0.117505,0.410485,0.472403,0.0920134,0.123274,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.9568,113.467,114.251,144.37,146.818,151.716,179.221,190.111,221.446,227.415,230.433,245.441,250.006,254.396,255.869,0.167367,-0.511077,0.227393,0.128455,0.0550377,0.0457876,0.973706,-0.295241,-0.166459,-0.464114,0.450855,1.24742,-0.879406,-0.625856,0.0419978,60.2581,112.839,114.348,144.93,149.012,149.946,179.825,189.432,222.574,230.419,232.844,246.538,252.457,254.03,255.348
65.2379,0.0899746,0.400965,0.424439,0.153829,0.222305,0.00557278,0.123568,0.28453,0.279615,0.246285,0.131424,0.400698,0.454927,0.0899746,0.123568,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.5742,112.027,114.96,145.266,148.856,149.74,179.313,187.613,221.035,230.436,232.763,247.411,251.394,255.854,254.753,0.163133,-0.548187,-0.0629491,0.021572,-0.00460644,-0.00604186,0.94659,-0.302454,-0.265855,-0.581517,0.341566,1.26643,-0.761656,-0.546824,0.0507639,60.2624,112.876,114.638,145.036,149.072,149.998,179.852,189.439,222.674,230.537,232.953,246.519,252.34,253.951,255.339
65.2509,0.0907027,0.401365,0.425417,0.15461,0.223541,0.0055721,0.123378,0.283903,0.279043,0.245659,0.130846,0.402069,0.456708,0.0907027,0.123378,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.0184,112.057,114.923,146.103,149.379,150.475,179.311,188.98,221.65,230.332,234.149,249.651,252.243,252.136,254.88,0.169104,-0.534722,-0.0367054,0.036989,0.00558445,0.00419056,0.946815,-0.309046,-0.246365,-0.60307,0.31959,1.21254,-0.825737,-0.595537,0.0114732,60.2564,112.863,114.612,145.021,149.061,149.988,179.852,189.446,222.654,230.558,232.975,246.572,252.404,254,255.379
65.5432,0.0908581,0.399518,0.426686,0.155306,0.226148,0.0053175,0.122106,0.279658,0.275165,0.24233,0.126748,0.407602,0.462831,0.0908581,0.122106,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.6595,111.464,114.92,145.223,148.485,150.011,179.52,189.663,220.935,231.863,233.151,246.42,252.275,255.335,254.266,0.246741,-0.431397,0.155225,0.215852,0.128143,0.12432,1.04921,-0.20464,0.0383255,-0.399955,0.532743,1.43578,-0.700787,-0.368623,0.215168,60.1788,112.759,114.42,144.842,148.939,149.868,179.75,189.342,222.37,230.355,232.762,246.349,252.279,253.773,255.175
67.7829,0.0935007,0.395546,0.435533,0.153154,0.223413,0.00424144,0.121196,0.280944,0.275654,0.253601,0.137222,0.407167,0.442574,0.0935007,0.121196,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.0812,112.826,114.761,144.441,149.017,150.557,179.018,189.795,222.294,229.773,232.23,246.063,250.318,253.759,255.407,0.281719,-0.372164,0.0321902,0.212987,0.136938,0.14024,1.01377,-0.261444,0.060427,-0.660763,0.283916,1.11006,-0.987726,-0.583835,-0.0464639,60.1438,112.7,114.543,144.845,148.93,149.852,179.785,189.398,222.348,230.616,233.011,246.675,252.566,253.988,255.436
