# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_65N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1275460394 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_65N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,yhat.56,yhat.57,yhat.58,yhat.59,yhat.60,yhat.61,yhat.62,yhat.63,yhat.64,yhat.65,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,residual.56,residual.57,residual.58,residual.59,residual.60,residual.61,residual.62,residual.63,residual.64,residual.65,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55,calcfq.56,calcfq.57,calcfq.58,calcfq.59,calcfq.60,calcfq.61,calcfq.62,calcfq.63,calcfq.64,calcfq.65
-12083.8,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,65.3484,119.108,121.644,154.196,155.136,157.684,187.541,196.581,235.068,240.102,244.047,258.793,261.246,266.846,270.234,284.017,283.661,301.512,310.965,334.23,341.785,354.491,357.798,363.347,370.537,383.325,382.626,391.162,395.463,404.788,416.673,420.936,429.32,441.454,442.36,443.026,447.386,450.753,452.597,453.958,462.206,463.338,468.342,478.381,480.435,480.71,486.169,488.96,489.915,495.654,496.438,509.172,513.105,511.358,518.743,522.274,523.086,521.856,525.883,532.241,534.832,531.866,536.881,535.532,546.633,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,-10.5177,-11.4726,-10.0551,-13.2329,-14.7395,-15.7131,-9.76287,-14.2515,-15.7823,-23.3424,-24.8172,-23.1437,-24.3741,-23.6127,-26.168,-33.2321,-36.9672,-32.8605,-32.9225,-38.8953,-45.5604,-43.0928,-44.2674,-51.1866,-50.1148,-46.9606,-50.154,-49.4459,-49.5658,-53.2655,-54.4057,-54.8168,-51.5679,-57.423,-55.0756,-56.0382,-52.3731,-54.6052,-54.7458,-57.0846,-54.6235,-56.9767,-63.0263,-61.4596,-59.8062,-60.2966,-57.7842,-58.952,-59.4096,-67.9217,-59.7447,-58.5213,-57.1394,-54.4245,-53.2831,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917,243.813,259.258,261.633,266.637,270.129,281.639,285.603,303.587,309.392,332.09,340.526,354.77,360.196,364.608,372.546,383.568,388.745,394.037,394.425,404.849,415.996,418.307,427.994,437.819,440.874,442.347,447.737,450.332,451.887,455.628,461.781,463.657,467.515,475.449,479.233,483.048,484.959,489.483,491.922,497.061,497.19,503.876,510.874,513.17,515.38,519.263,520.656,523.643,526.798,533.274,535.13,536.348,538.638,539.993,544.888
-102.748,0.124631,0.439302,0.470125,0.269175,0.165275,0.00576374,0.0850637,0.381199,0.264328,0.393014,0.553705,0.233282,0.156897,0.124631,0.0850637,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.7698,110.113,121.657,143.352,148.28,147.821,180.023,187.817,220.524,234.369,237.623,248.799,250.143,255.153,262.12,274.044,276.746,292.993,293.956,304.848,309.494,329.372,337.273,338.887,348.616,350.056,357.749,364.713,377.814,379.656,380.393,387.745,397.178,396.153,393.559,407.437,406.077,410.087,416.676,412.214,419.555,423.544,422.98,432.2,439.051,438.939,445.679,437.813,447.498,448.617,450.73,451.942,452.866,456.155,455.491,465.909,465.284,474.364,479.472,473.23,474.87,480.784,479.929,488.317,496.933,2.5207,1.9535,-6.30837,1.64361,1.55735,1.89432,1.81737,0.568203,4.25404,-4.67758,-3.76836,1.09469,0.504319,-0.384533,-4.85186,-6.51721,-1.94055,-1.70448,-0.117823,3.97321,4.82472,0.903986,-2.49931,0.188888,-1.2288,1.18569,-7.45489,-4.86432,-14.7054,-14.6515,-10.8032,-13.5116,-9.8623,-10.3511,-9.62297,-8.14347,-8.18498,-7.35942,-12.0884,-14.8338,-12.1923,-12.384,-7.78626,-15.2883,-12.6922,-11.9131,-7.5707,-9.06758,-10.4394,-8.7076,-8.25731,-5.61365,-6.77393,-5.86742,-3.27245,-5.59718,-4.88431,-8.95461,-6.99778,-10.7299,-2.89459,-4.73476,-1.87789,-3.64857,0.228879,57.9048,110.375,120.883,143.414,147.51,148.098,178.982,188.569,218.154,234.633,237.063,246.69,251.074,253.789,260.242,272.443,277.781,291.039,293.728,304.775,310.884,330.722,338.321,340.806,347.607,349.15,359.233,366.041,376.207,380.605,381.239,388.726,393.589,396.983,400.382,403.529,405.768,408.245,414.409,417.196,419.567,421.224,423.733,433.314,436.849,438.923,440.157,443.946,447.615,448.684,450.824,452.513,454.622,457.577,458.846,464.563,467.756,473.646,474.386,476.082,478.28,482.562,483.377,489.217,491.376
30.6754,0.123141,0.435264,0.468357,0.290397,0.170132,0.00576747,0.0724337,0.373464,0.23354,0.388582,0.612098,0.23445,0.140906,0.123141,0.0724337,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.9333,109.723,121.699,141.364,147.31,146.913,178.884,188.766,215.62,231.639,235.133,242.849,249.056,251.622,255.555,270.381,275.649,290.12,289.418,301.363,307.441,325.654,336.632,338.381,341.758,344.781,356.408,360.053,372.406,372.868,381.385,384.919,390.04,389.909,391.483,394.649,394.65,401.245,412.065,413.267,414.922,414.847,413.491,428.17,428.42,427.375,428.74,432.602,443.55,445.675,446.085,442.193,444.811,446.687,452.452,456.2,458.869,465.127,464.339,461.349,469.004,476.159,475.863,480.976,478.544,3.47873,3.02846,-6.22005,3.29356,3.02475,2.74362,2.64946,1.48774,7.2501,-3.57557,-2.66184,4.32946,2.42085,0.612921,-3.98694,-4.54775,-0.922992,0.685044,2.11992,8.26878,9.45031,4.55703,1.7997,4.88649,4.83372,5.15864,-1.92146,1.40263,-10.8155,-7.87581,-7.96859,-7.84948,-3.40045,-4.82726,-2.78233,-3.48053,-1.74966,0.355099,-6.23943,-11.2068,-8.54908,-8.45692,-1.76618,-7.20139,-3.58454,-2.43808,0.740241,1.16542,-1.89412,-0.560519,0.170442,3.01738,1.81413,2.34823,3.86035,2.06476,2.69393,0.954736,1.27173,-1.48408,5.21137,1.84168,5.31596,5.38153,9.8186,56.9468,109.3,120.795,141.764,146.042,147.248,178.15,187.649,215.158,233.531,235.957,243.456,249.157,252.791,259.377,270.474,276.763,288.65,291.49,300.479,306.259,327.069,334.022,336.109,341.544,345.177,353.699,359.774,372.317,373.83,378.405,383.063,387.127,391.459,393.541,398.867,399.333,400.531,408.56,413.569,415.924,417.297,417.713,425.227,427.742,429.448,431.846,433.713,439.07,440.537,442.397,443.882,446.034,449.362,451.714,456.901,460.178,463.736,466.116,466.836,470.174,475.985,476.183,480.186,481.786
35.02,0.123118,0.435328,0.468327,0.289019,0.17029,0.00577062,0.0731544,0.373408,0.235291,0.388258,0.60818,0.235095,0.142471,0.123118,0.0731544,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.2569,108.964,120.511,141.904,145.459,148.633,176.722,187.836,214.645,234.05,234.369,243.691,248.772,254.031,258.589,269.439,275.506,291.579,292.768,304.348,304.646,325.785,333.05,334.295,344.447,345.61,353.61,362.595,373.281,375.084,379.319,387.141,383.968,390.565,399.795,399.043,399.742,396.909,408.39,413.948,418.979,416.607,422.17,430.752,429.439,430.446,437.11,435.451,441.453,438.632,445.83,439.476,447.429,450.707,457.755,456.101,457.6,466.755,462.858,464.7,473.492,478.024,476.875,482.298,480.481,3.42305,2.9666,-6.2055,3.20088,2.93586,2.70207,2.60478,1.43786,7.08054,-3.62815,-2.71241,4.13892,2.32221,0.564789,-4.01735,-4.65225,-0.969519,0.555103,2.00032,8.04438,9.20664,4.37304,1.54549,4.63206,4.50321,4.96339,-2.22955,1.05254,-11.0325,-8.24494,-8.07721,-8.15291,-3.72941,-5.10297,-3.10662,-3.6815,-2.05663,0.0229229,-6.4843,-11.3597,-8.67791,-8.65947,-1.98267,-7.76201,-3.94936,-2.96679,0.320304,0.744268,-2.48236,-1.05069,-0.341311,2.68276,1.45658,2.07285,3.55147,1.66642,2.47477,0.450631,0.75056,-1.98334,4.84008,1.47808,4.98028,4.96088,9.20434,57.0024,109.361,120.78,141.857,146.131,147.29,178.194,187.699,215.327,233.583,236.007,243.646,249.256,252.839,259.407,270.578,276.81,288.78,291.61,300.704,306.502,327.253,334.277,336.363,341.875,345.373,354.008,360.124,372.535,374.199,378.513,383.367,387.456,391.735,393.866,399.067,399.64,400.863,408.805,413.722,416.053,417.499,417.93,425.788,428.106,429.977,432.266,434.134,439.658,441.027,442.908,444.216,446.391,449.637,452.023,457.3,460.397,464.24,466.637,467.335,470.545,476.349,476.519,480.607,482.401
50.1236,0.122605,0.434939,0.467697,0.282673,0.17258,0.00579789,0.0761329,0.371257,0.242082,0.384689,0.589864,0.240492,0.15134,0.122605,0.0761329,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,57.0066,109.915,120.51,142.025,145.653,147.118,179.745,188.887,214.236,232.612,233.595,243.358,248.661,252.245,260.706,270.099,281.516,288.485,292.09,300.435,304.418,331.496,337.899,335.14,343.392,346.886,357.476,363.053,371.012,374.342,379.279,383.743,386.515,391.842,395.389,398.646,401.506,401.416,414.139,415.032,417.583,417.321,418.411,427.445,430.256,430.206,435.48,439.473,442.126,443.028,435.643,446.785,448.704,448.21,452.223,454.612,463.591,467.5,467.919,472.645,473.159,478.677,480.257,486.02,484.998,3.19646,2.71669,-6.06176,2.84764,2.59651,2.53196,2.43628,1.24896,6.42564,-3.77387,-2.83783,3.4036,1.97047,0.397513,-4.05261,-4.97167,-1.09986,0.101802,1.59218,7.21638,8.31844,3.74413,0.676971,3.73714,3.32524,4.31936,-3.31773,-0.183391,-11.6238,-9.5676,-8.24313,-9.06524,-4.79458,-5.94058,-4.14486,-4.12955,-2.99492,-1.15514,-7.14501,-11.4429,-8.79724,-9.03586,-2.56209,-9.53927,-5.20172,-4.8465,-0.794861,-0.921327,-4.29756,-2.5482,-1.86439,1.15753,0.540027,1.15651,2.67001,0.388625,1.98753,-1.17154,-0.460031,-3.88402,3.62596,0.602649,4.04011,3.59472,7.50402,57.229,109.611,120.637,142.21,146.47,147.46,178.363,187.888,215.982,233.729,236.133,244.381,249.608,253.006,259.443,270.898,276.94,289.233,292.018,301.532,307.391,327.882,335.145,337.258,343.053,346.017,355.096,361.36,373.126,375.522,378.679,384.279,388.522,392.573,394.904,399.516,400.578,402.041,409.466,413.805,416.172,417.876,418.509,427.565,429.359,431.857,433.381,435.799,441.474,442.524,444.431,445.741,447.308,450.553,452.904,458.577,460.884,465.863,467.848,469.236,471.759,477.224,477.459,481.973,484.101
70.7109,0.121326,0.433491,0.46613,0.273252,0.178117,0.00585394,0.0801195,0.365429,0.250214,0.37635,0.561504,0.252026,0.167558,0.121326,0.0801195,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,56.9522,109.898,120.095,143.385,146.421,147.186,179.133,190.406,216.707,234.143,235.509,244.548,249.348,251.611,260.134,272.321,279.566,290.669,292.424,303.15,309.512,330.693,333.729,338.153,347.127,343.815,353.531,363.807,372.303,380.151,382.012,386.169,392.16,393.48,393.498,401.056,399.795,402.369,409.913,411.871,415.692,417.515,420.557,431.724,424.798,431.697,436.139,436.701,439.623,442.1,441.86,442.887,447.429,446.937,454.671,456.259,462.962,467.762,469.134,472.901,478.426,474.121,478.71,483.59,481.868,2.90059,2.39347,-5.73337,2.42971,2.19896,2.30199,2.23725,1.0245,5.62907,-3.84563,-2.86639,2.52586,1.57889,0.220056,-3.95435,-5.1942,-1.17332,-0.361969,1.19003,6.25769,7.31431,3.10214,-0.150697,2.78847,2.05883,3.71278,-4.43799,-1.45695,-11.8534,-11.0011,-8.03486,-9.66446,-5.73553,-6.56709,-5.05802,-4.17616,-3.71626,-2.46802,-7.54666,-10.626,-8.34053,-8.81629,-2.91577,-10.6162,-6.9167,-6.63165,-1.54708,-2.86293,-5.59559,-3.61701,-2.79676,-0.598324,-0.433348,0.073463,2.02882,-0.440664,1.56318,-2.58913,-1.20413,-5.38226,2.47526,0.57011,3.38725,2.12736,6.65465,57.5249,109.935,120.308,142.628,146.868,147.69,178.562,188.113,216.779,233.801,236.161,245.259,249.999,253.184,259.344,271.12,277.013,289.697,292.42,302.49,308.395,328.524,335.973,338.207,344.319,346.623,356.216,362.634,373.355,376.955,378.471,384.878,389.463,393.199,395.817,399.562,401.299,403.354,409.868,412.988,415.716,417.656,418.863,428.642,431.074,433.642,434.133,437.741,442.772,443.593,445.364,447.497,448.281,451.637,453.545,459.407,461.309,467.28,468.592,470.734,472.91,477.257,478.112,483.441,484.95
289.295,0.106787,0.415487,0.448063,0.177532,0.246737,0.00652899,0.118977,0.279615,0.273408,0.242743,0.148991,0.41607,0.46863,0.106787,0.118977,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.7458,112.361,114.199,145.318,146.959,149.858,178.755,189.753,221.06,230.048,232.56,248.086,252.391,254.697,256.897,264.049,275.012,288.953,289.857,307.946,315.709,331.255,338.566,340.455,346.165,351.596,352.014,362.306,364.643,367.3,374.873,376.895,388.23,391.491,396.141,391.368,398.246,401.083,402.279,409.649,406.49,411.9,413.943,420.357,421.105,426.572,437.961,435.836,439.73,442.816,443.374,444.682,451.25,451.935,455.219,453.208,466.661,461.11,466.772,467.536,466.917,476.569,472.254,485.09,487.408,0.332567,-0.264291,-0.0333033,0.214326,0.150967,0.162943,0.91686,-0.460334,0.0756988,-1.32582,-0.387766,0.031019,-2.06436,-1.44225,-0.864646,-0.856832,-0.0225385,-0.459322,0.0585106,-0.0172179,1.29012,0.332029,0.138243,0.607655,-0.732615,-0.214875,-2.6859,-1.08403,-3.22911,-4.32117,-6.30465,-5.2667,-2.19571,-5.38471,-3.6744,-0.794913,0.800322,1.77896,0.660429,-3.56058,-0.846128,-5.02659,0.435104,-0.684145,0.678768,2.20475,-1.09089,0.0320566,-1.09429,-2.37573,0.0289804,0.833151,-3.24515,-3.10939,-0.363829,0.242404,0.155022,-0.647339,-0.963105,-4.05725,5.32836,3.50819,4.2856,4.48267,4.89059,60.0929,112.592,114.608,144.844,148.916,149.829,179.882,189.597,222.332,231.281,233.683,247.754,253.642,254.846,256.255,266.783,275.863,289.794,293.551,308.765,314.419,331.294,335.684,340.387,347.111,350.551,354.464,362.261,364.731,370.275,376.741,380.481,385.923,392.017,394.433,396.181,396.783,399.107,401.661,405.923,408.221,413.867,415.512,418.71,423.478,424.805,433.677,434.846,438.27,442.352,442.538,446.066,451.093,454.819,455.938,458.724,462.717,465.338,468.351,469.409,470.057,474.319,477.213,481.085,486.714
292.052,0.105682,0.414083,0.446647,0.169403,0.253142,0.00658292,0.12234,0.270612,0.268127,0.226999,0.0958268,0.433844,0.51245,0.105682,0.12234,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.1723,112.91,112.885,146.845,149.691,153.202,179.786,189.547,220.255,230.808,233.298,248.363,252.547,254.33,257.982,262.323,275.398,290.052,293.945,308.451,312.28,334.455,335.22,337.534,349.48,348.358,351.015,360.902,363.652,363.601,371.931,381.973,382.946,392.337,397.234,394.459,397.356,400.5,399.482,400.791,406.378,412.487,412.801,418.858,419.894,427.544,428.772,427.839,438.498,443.138,440.408,439.226,447.513,459.381,456.745,458.086,462.456,465.576,469.224,467.157,466.22,468.792,483.292,479.148,489.101,0.134915,-0.440989,0.691356,0.215662,0.0969125,0.0663153,0.868499,-0.511746,-0.201349,-0.801353,0.0924915,0.323716,-1.88479,-1.5054,-0.83167,0.212012,0.247918,0.00596594,0.274961,-0.158516,1.22675,0.621013,0.90095,1.26003,-0.258972,-0.1213,-0.964101,0.0871798,-2.16311,-2.95178,-5.11617,-4.07554,-1.14429,-4.07633,-2.19017,0.740156,2.54124,2.62746,2.13727,-2.09547,-0.213882,-3.91058,2.49879,1.1247,2.25272,3.95973,1.78633,2.02012,-0.415267,-0.456651,1.12122,1.84864,-2.37513,-2.19385,0.980155,1.12761,1.95661,0.0856892,0.324167,-2.83533,5.98463,4.82966,5.30505,5.24754,6.1976,60.2906,112.769,113.884,144.842,148.97,149.926,179.931,189.649,222.609,230.756,233.203,247.461,253.463,254.909,256.222,265.714,275.592,289.329,293.335,308.907,314.482,331.005,334.921,339.735,346.637,350.457,352.742,361.09,363.665,368.906,375.552,379.29,384.871,390.708,392.949,394.646,395.042,398.259,400.184,404.457,407.589,412.751,413.448,416.901,421.904,423.05,430.8,432.858,437.591,440.433,441.446,445.05,450.223,453.904,454.594,457.838,460.915,464.605,467.064,468.187,469.4,472.997,476.194,480.32,485.407
293.417,0.105734,0.414252,0.446822,0.170199,0.250717,0.00657778,0.122027,0.273572,0.270387,0.231717,0.107899,0.428979,0.500569,0.105734,0.122027,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.5235,111.947,113.963,145.125,149.363,150.489,181.501,190.567,221.416,231.696,232.731,247.475,255.232,255.444,256.194,267.778,275.507,291.698,295.202,310.371,315.209,329.809,333.275,341.254,346.375,352.297,352.153,359.177,362.591,368.986,376.516,376.241,385.833,391.072,397.275,395.435,391.483,398.931,398.985,403.978,410.998,417.046,417.571,416.378,418.842,425.58,432.003,431.944,442.558,436.313,434.259,445.987,449.43,459.984,456.192,457.822,466.055,464.061,469.291,468.437,467.479,477.059,479.09,473.94,483.825,0.152382,-0.434827,0.490887,0.16271,0.0706528,0.0526079,0.850121,-0.529323,-0.228846,-0.963921,-0.0644169,0.203855,-1.96642,-1.5648,-0.864699,-0.115007,0.150647,-0.156688,0.156908,-0.253295,1.09742,0.437242,0.642577,1.0157,-0.456776,-0.231991,-1.43914,-0.246571,-2.45007,-3.30232,-5.31863,-4.33034,-1.45805,-4.2654,-2.71165,0.315952,2.12569,2.25416,1.71847,-2.4836,-0.431889,-4.13652,1.88646,0.558153,1.70285,3.46547,1.00734,1.41833,-0.675353,-0.962141,0.621577,1.50973,-2.68331,-2.65132,0.577482,0.625016,1.45734,-0.200723,-0.10086,-3.15036,5.57122,4.29753,4.75336,4.87981,5.61389,60.2731,112.763,114.084,144.895,148.996,149.939,179.949,189.666,222.637,230.919,233.359,247.581,253.544,254.969,256.255,266.041,275.689,289.492,293.453,309.001,314.612,331.189,335.179,339.979,346.835,350.568,353.217,361.424,363.952,369.256,375.755,379.544,385.185,390.897,393.471,395.07,395.457,398.632,400.603,404.846,407.807,412.977,414.061,417.468,422.454,423.545,431.579,433.46,437.851,440.938,441.945,445.389,450.531,454.361,454.997,458.341,461.415,464.892,467.489,468.502,469.814,473.529,476.746,480.688,485.991
294.929,0.105352,0.414007,0.446575,0.168196,0.24819,0.00659091,0.122905,0.276072,0.272755,0.234971,0.109613,0.426295,0.494844,0.105352,0.122905,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.428,112.469,114.416,144.224,148.827,149.753,181.976,190.906,224.352,233.925,230.885,246.693,252.693,253.097,257.472,266.919,276.623,290.695,290.884,309.407,312.937,334.739,337.215,339.839,344.112,351.359,353.942,360.081,363.382,369.595,380.738,374.486,384.632,389.689,393.973,397.508,400.971,396.317,403.375,405.814,409.077,414.224,414.157,415.787,422.189,424.26,430.107,431.696,436.096,440.691,443.805,443.991,447.227,451.989,450.338,458.987,459.254,465.345,467.627,462.836,474.302,478.628,478.497,482.021,480.638,0.0993441,-0.502438,0.382737,0.0495324,-0.00799944,-0.0235308,0.78734,-0.59121,-0.415487,-1.07723,-0.185294,0.0826665,-2.03483,-1.69007,-0.979853,-0.329398,0.0615616,-0.290463,0.00436449,-0.517171,0.794432,0.186428,0.436512,0.803253,-0.657696,-0.415979,-1.64745,-0.415009,-2.59423,-3.42691,-5.20843,-4.30917,-1.65122,-4.01227,-3.10415,0.193878,1.91911,1.84439,1.51764,-2.6314,-0.630596,-4.12771,1.54397,0.129299,1.15708,3.20306,0.67736,1.05935,-0.917038,-1.22586,0.100852,1.23344,-2.88876,-3.0304,0.172049,-0.000241078,1.17607,-0.49074,-0.364436,-3.31131,4.98902,3.75511,4.03151,4.46694,4.98904,60.3262,112.83,114.192,145.008,149.075,150.016,180.012,189.728,222.823,231.032,233.48,247.702,253.613,255.094,256.37,266.255,275.778,289.625,293.606,309.265,314.915,331.44,335.385,340.192,347.036,350.752,353.425,361.592,364.096,369.381,375.644,379.523,385.378,390.644,393.863,395.192,395.664,399.042,400.803,404.993,408.006,412.968,414.403,417.897,423,423.807,431.909,433.819,438.093,441.202,442.466,445.666,450.737,454.74,455.402,458.966,461.696,465.182,467.752,468.663,470.396,474.072,477.467,481.101,486.616
