# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB4-v1/datafile_VB4-v1_10N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1167009158 (Default)
# output
#   file = VB-LA_outputs_VB4-v1/output_VB4-v1_10N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10
-502.507,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,64.5654,118.659,122.224,152.757,156.45,158.467,185.871,195.219,239.217,240.493,-4.51709,-6.07029,-7.30985,-7.95078,-5.95095,-8.15862,-4.84522,-6.47004,-15.0568,-10.9618,64.9426,118.398,121.885,153.009,155.018,158.151,185.644,195.607,237.465,240.917
-88.9989,0.141109,0.454681,0.490436,0.285079,0.145237,0.00534939,0.0848009,0.411671,0.26933,0.433407,0.588016,0.19633,0.122005,0.141109,0.0848009,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.2246,109.984,121.902,145.056,146.979,147.898,179.21,189.882,219.528,237.987,2.48849,1.89041,-7.6405,1.21958,1.30289,1.69683,1.51314,0.216765,3.58357,-5.9469,57.937,110.438,122.216,143.838,147.764,148.295,179.286,188.92,218.824,235.902
-50.1999,0.142203,0.46106,0.491353,0.218556,0.155529,0.00537123,0.121252,0.41183,0.342211,0.420168,0.411155,0.228848,0.186388,0.142203,0.121252,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.1632,112.677,120.889,148.616,151.192,151.297,180.596,189.793,226.556,239.422,-0.0303474,-0.912086,-6.81273,-2.51051,-0.837193,-1.94511,-0.542339,-2.02407,-3.40689,-7.63717,60.4558,113.24,121.388,147.569,149.904,151.937,181.341,191.161,225.815,237.592
-33.1652,0.141374,0.457094,0.490282,0.224692,0.168275,0.005406,0.116201,0.399339,0.329554,0.407217,0.418033,0.246815,0.199743,0.141374,0.116201,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.1004,112.849,122.357,146.084,149.694,152.081,182.011,190.437,223.321,237.139,0.303899,-0.519792,-6.40266,-1.91396,-0.516249,-1.35595,-0.196384,-1.66445,-2.35597,-7.10202,60.1216,112.848,120.978,146.972,149.583,151.348,180.995,190.801,224.764,237.057
19.1401,0.13569,0.430974,0.482209,0.231851,0.285364,0.00566841,0.0995615,0.262099,0.246968,0.236495,0.240277,0.430528,0.449593,0.13569,0.0995615,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,58.804,110.866,115.973,142.484,146.297,148.376,178.941,189.176,220.503,232.167,1.49755,1.10853,0.042059,1.86473,1.47117,1.31545,1.68041,0.204639,3.27532,-1.31074,58.9279,111.219,114.533,143.193,147.596,148.677,179.119,188.932,219.133,231.266
32.0004,0.136774,0.43598,0.483856,0.218793,0.263761,0.00563253,0.108593,0.292197,0.272941,0.271355,0.256715,0.402828,0.405182,0.136774,0.108593,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.0448,110.934,117.397,143.844,148.533,149.791,179.669,187.74,222.524,233.716,0.864218,0.346936,-1.29765,0.464985,0.432307,0.522701,0.962056,-0.532988,0.92758,-2.90439,59.5613,111.981,115.873,144.593,148.635,149.469,179.837,189.67,221.48,232.859
38.8143,0.136368,0.434397,0.483142,0.200568,0.279499,0.00566778,0.116915,0.272706,0.267164,0.237082,0.142558,0.44018,0.496032,0.136368,0.116915,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.2769,111.367,112.716,144.321,149.132,149.312,179.16,188.666,223.842,230.508,0.327543,-0.14023,0.241458,0.241534,0.162108,0.168602,0.732474,-0.795268,-0.0403261,-2.01705,60.098,112.468,114.334,144.816,148.905,149.823,180.067,189.932,222.448,231.972
38.9902,0.136342,0.43441,0.483094,0.197036,0.280871,0.00566874,0.118687,0.271112,0.266913,0.233228,0.124442,0.444806,0.50905,0.136342,0.118687,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.2104,112.172,114.152,146.102,147.965,149.429,180.778,188.922,222.457,235.183,0.214213,-0.249704,0.430368,0.1539,0.0836445,0.0763964,0.664491,-0.867754,-0.289517,-1.93571,60.2113,112.578,114.145,144.904,148.983,149.916,180.135,190.005,222.698,231.891
38.9958,0.136344,0.434508,0.48311,0.196727,0.280436,0.00566611,0.118891,0.27172,0.267481,0.233934,0.124904,0.444266,0.507976,0.136344,0.118891,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,60.0166,112.362,114.692,143.615,148.899,149.776,179.456,191.178,223.085,233.393,0.200785,-0.266136,0.403009,0.124714,0.0640861,0.0569557,0.648971,-0.883559,-0.3378,-1.96827,60.2247,112.594,114.172,144.933,149.003,149.935,180.15,190.021,222.746,231.923
39.0123,0.136119,0.434555,0.482911,0.19576,0.280082,0.00564319,0.119398,0.272112,0.268033,0.234002,0.122436,0.444352,0.508975,0.136119,0.119398,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,59.9951,112.603,114.301,144.683,150.327,150.388,179.643,188.676,222.856,231.788,0.168926,-0.30124,0.404944,0.0813502,0.031903,0.0224187,0.623486,-0.909169,-0.425629,-1.98352,60.2566,112.629,114.17,144.977,149.035,149.97,180.176,190.046,222.834,231.939
