# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_35N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1168302130 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_35N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35
-273.568,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,123.38,134.753,153.998,159.631,159.634,189.547,188.965,202.393,204.026,207.679,212.912,222.42,223.874,231.578,239.816,247.043,249.348,253.465,256.112,262.376,263.904,269.935,276.731,281.419,279.963,289.555,294.473,302.697,310.723,312.797,317.743,322.291,328.4,324.39,328.152,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,-4.46536,-7.37875,-7.86127,-13.8955,-11.5452,-10.5137,-14.4574,-12.0655,-10.3374,-13.2351,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633,287.442,294.573,302.718,308.887,314.271,318.158,325.541,326.998,327.997,330.708
135.231,0.136893,0.449684,0.483677,0.279417,0.160239,0.00556937,0.0851335,0.396598,0.267435,0.413244,0.570681,0.219776,0.14223,0.136893,0.0851335,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.346,134.594,150.972,158.694,159.965,186.778,191.494,199.6,202.049,204.558,209.67,217.432,221.228,228.974,232.978,235.165,240.665,246.261,252.283,262.945,263.008,268.048,270.572,275.302,277.127,283.527,289.475,296.475,299.073,306.782,311.242,317.213,321.699,320.978,322.928,1.72481,-0.575975,0.706141,-0.270933,0.00952377,0.446104,0.125476,-2.61463,-1.84363,-2.34316,0.375571,1.14168,-2.63854,-0.794433,-0.782987,0.174781,0.429453,-2.43969,-2.14248,-0.916629,-0.129466,-2.7413,-1.25621,-0.46174,-1.49466,-1.06303,-1.9526,0.45029,-2.30318,-3.02277,-2.41412,-2.25616,-4.49338,-4.42032,-5.65724,118.308,134.525,151.69,159.497,159.563,186.948,189.727,198.536,201.612,204.789,208.478,216.441,221.774,230.656,233.457,237.583,239.423,249.855,254.599,260.595,261.442,267.654,271.723,275.314,278.105,284.04,289.147,294.407,297.294,305.749,310.058,313.34,319.425,322.08,323.13
144.917,0.13494,0.443286,0.481158,0.316668,0.16943,0.0055643,0.063309,0.383625,0.211445,0.40561,0.669943,0.222948,0.116223,0.13494,0.063309,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.835,133.384,151.539,160.251,159.401,185.727,189.374,195.475,203.786,203.436,208.338,215.523,219.404,229.956,231.149,237.225,239.069,248.958,254.236,257.73,258.575,267.089,270.057,270.721,278.843,284.027,288.894,290.41,291.736,302.523,308.557,308.885,315.666,316.81,319.676,2.78407,-0.470807,1.02541,-0.138469,0.0629211,1.11688,0.433754,-1.11086,-1.26797,-1.93402,1.37081,2.86772,-1.24758,0.824454,1.11002,1.0655,1.50407,-2.01259,-1.90709,0.588876,1.50967,-1.06511,-0.150157,1.35135,-0.057495,0.5556,1.19653,3.40053,0.766689,-0.398318,0.974947,-0.590521,-0.735298,0.135139,-2.82222,117.249,134.42,151.371,159.364,159.51,186.277,189.418,197.032,201.036,204.38,207.483,214.715,220.383,229.038,231.564,236.693,238.348,249.428,254.364,259.089,259.803,265.978,270.617,273.501,276.667,282.421,285.997,291.456,294.224,303.124,306.669,311.675,315.667,317.525,320.295
145.826,0.135035,0.443675,0.481274,0.313284,0.169278,0.00556731,0.0651955,0.384135,0.216522,0.405563,0.660559,0.223629,0.119391,0.135035,0.0651955,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.098,135.234,151.459,158.603,159.127,186.075,189.953,194.844,199.769,203.745,207.705,214.678,221.314,228.922,231.584,236.657,239.698,247.726,256.428,258.098,260.239,265.259,272.25,273.495,277.05,283.891,286.291,295.085,292.874,305.53,307.032,312.395,318.314,319.337,322.091,2.68991,-0.480053,0.997933,-0.150629,0.0598554,1.05546,0.404881,-1.23855,-1.31938,-1.95895,1.27605,2.70655,-1.38758,0.684685,0.947908,0.999485,1.42092,-2.05006,-1.92822,0.41218,1.35084,-1.22126,-0.251188,1.18422,-0.195657,0.378705,0.892173,3.17814,0.473979,-0.664661,0.709165,-0.837061,-1.11727,-0.327219,-3.40429,117.343,134.429,151.398,159.377,159.513,186.339,189.447,197.16,201.087,204.405,207.578,214.876,220.523,229.177,231.726,236.759,238.431,249.465,254.385,259.266,259.962,266.134,270.718,273.668,276.806,282.598,286.302,291.679,294.517,303.391,306.935,311.921,316.049,317.987,320.877
146.177,0.135034,0.443793,0.481263,0.310828,0.169725,0.00557243,0.0664827,0.383937,0.219882,0.404916,0.653679,0.224914,0.122135,0.135034,0.0664827,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.75,134.574,150.891,159.053,159.352,186.192,190.348,197.746,202.225,202.703,208.306,212.407,219.09,229.44,232.687,236.064,236.748,247.231,256.691,257.178,262.459,265.399,268.944,274.208,276.18,282.833,284.15,293.761,297.146,307.901,308.828,312.624,315.063,315.966,321.423,2.62624,-0.485846,0.979536,-0.157513,0.0579379,1.01519,0.387467,-1.32306,-1.3479,-1.9607,1.2145,2.60197,-1.47366,0.594383,0.844259,0.95644,1.36941,-2.07079,-1.93975,0.301949,1.24871,-1.31866,-0.314526,1.0772,-0.282032,0.268875,0.701645,3.03694,0.290701,-0.832335,0.535766,-0.97062,-1.36029,-0.629363,-3.77972,117.407,134.435,151.416,159.384,159.515,186.379,189.465,197.244,201.116,204.407,207.64,214.981,220.609,229.268,231.83,236.802,238.483,249.486,254.397,259.376,260.064,266.232,270.782,273.775,276.892,282.708,286.492,291.82,294.7,303.558,307.108,312.055,316.292,318.289,321.253
147.367,0.134478,0.443208,0.480447,0.296732,0.176715,0.00562342,0.0732382,0.37821,0.236224,0.39604,0.612711,0.238824,0.14245,0.134478,0.0732382,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.997,134.871,151.704,159.157,161.018,185.823,191.113,197.386,199.5,202.783,208.231,214.364,220.719,228.75,232.365,237.424,239.549,249.485,252.968,259.122,260.869,265.509,271.226,272.049,278.005,282.246,285.966,292.221,295.239,305.845,310.634,309.86,317.827,321.024,323.805,2.29841,-0.511451,0.886074,-0.180317,0.0491411,0.819748,0.317758,-1.74447,-1.42215,-1.84231,0.921601,2.10574,-1.83021,0.16977,0.368729,0.745962,1.14069,-2.13509,-1.97256,-0.171565,0.776772,-1.7427,-0.595607,0.580824,-0.659195,-0.204989,-0.142712,2.38291,-0.502276,-1.56807,-0.316524,-1.37233,-2.4542,-2.01687,-4.36784,117.735,134.46,151.51,159.406,159.524,186.574,189.534,197.665,201.19,204.288,207.932,215.477,220.965,229.692,232.305,237.012,238.711,249.55,254.43,259.85,260.536,266.656,271.063,274.271,277.269,283.182,287.337,292.474,295.493,304.294,307.961,312.456,317.386,319.677,321.841
160.879,0.123696,0.423255,0.464945,0.220967,0.287855,0.00603305,0.101144,0.245039,0.23758,0.207703,0.174466,0.446826,0.511101,0.123696,0.101144,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.775,132.839,152.862,157.064,159.679,187.968,190.293,196.843,198.478,204.606,205.803,214.041,219.495,228.599,230.292,239.452,240.006,249.7,251.813,258.949,261.827,266.99,271.788,272.843,277.445,284.802,288.997,293.446,293.208,300.519,306.631,308.042,322.946,317.658,321.623,1.08123,-0.507133,0.588239,0.114384,0.0765405,0.392481,0.585872,0.513046,0.710847,-0.597067,0.356246,1.53797,-0.804743,0.376565,0.92517,0.685064,1.19334,-1.18686,-1.19867,-0.396892,0.41499,-1.06482,-0.609634,0.0758115,-0.220112,-0.397615,-0.121781,2.69412,0.801693,-0.622613,0.462281,1.57522,-1.70715,0.607245,-1.65497,118.952,134.456,151.808,159.112,159.496,187.002,189.266,195.408,199.057,203.043,208.498,216.045,219.94,229.485,231.749,237.073,238.659,248.602,253.656,260.075,260.898,265.978,271.077,274.776,276.83,283.375,287.316,292.163,294.189,303.349,307.182,309.509,316.639,317.053,319.128
161.065,0.123943,0.423846,0.465395,0.221826,0.283469,0.00601933,0.10101,0.251187,0.241563,0.216493,0.195741,0.439029,0.489868,0.123943,0.10101,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.628,134.339,152.102,158.967,159.813,187.165,189.439,196.825,202.011,203.553,209.497,216.321,219.816,231.198,233.147,237.952,238.206,249.295,255.645,260.885,259.053,264.41,268.172,274.605,278.8,283.687,283.647,289.737,291.846,305.356,308.91,308.113,316.165,320.455,318.928,1.08235,-0.511713,0.58448,0.0903042,0.0725692,0.375022,0.555351,0.125904,0.680757,-0.624993,0.332986,1.44916,-0.936095,0.250167,0.786698,0.62562,1.12188,-1.2555,-1.25303,-0.477316,0.359627,-1.19839,-0.669339,0.00664044,-0.328067,-0.473754,-0.341105,2.50691,0.564482,-0.875816,-0.022954,1.32442,-2.05628,0.267521,-1.86502,118.951,134.461,151.812,159.136,159.5,187.019,189.297,195.795,199.087,203.071,208.521,216.134,220.071,229.612,231.887,237.132,238.73,248.67,253.71,260.155,260.953,266.111,271.136,274.845,276.938,283.451,287.535,292.35,294.427,303.602,307.667,309.76,316.988,317.392,319.338
162.119,0.123215,0.423088,0.464673,0.209754,0.285163,0.00604307,0.106667,0.248087,0.243219,0.207679,0.140083,0.450608,0.52772,0.123215,0.106667,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.328,134.644,151.472,158.25,158.914,186.893,189.742,197.377,199.117,201.105,206.593,216.918,220.574,229.199,231.456,236.113,238.891,247.965,253.438,260.303,259.888,263.169,271.68,276.819,274.792,284.699,289.544,292.599,297.638,299.907,305.443,308.784,316.945,315.141,319.884,0.837615,-0.522994,0.511905,0.0970665,0.0670793,0.261835,0.549256,0.598293,0.359556,-0.72588,0.203759,1.24035,-0.973224,0.127818,0.660282,0.483163,0.875556,-1.23265,-1.18656,-0.536829,0.20336,-1.25944,-0.827532,-0.213943,-0.414211,-0.618382,-0.791474,2.03908,0.409385,-0.940889,0.303052,0.823389,-1.92222,0.523781,-2.04394,119.195,134.472,151.884,159.129,159.506,187.132,189.303,195.323,199.408,203.172,208.65,216.343,220.108,229.734,232.014,237.275,238.976,248.648,253.644,260.215,261.11,266.172,271.295,275.066,277.024,283.595,287.985,292.818,294.582,303.667,307.341,310.261,316.854,317.136,319.517
162.47,0.122712,0.422628,0.464174,0.203185,0.28569,0.00604087,0.109721,0.246791,0.24376,0.203332,0.110813,0.456511,0.547278,0.122712,0.109721,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.423,134.935,150.313,158.748,160.152,187.6,189.017,197.574,199.228,204.584,208.847,216.491,221.035,229.063,233.158,236.893,240.752,247.404,253.571,260.093,261.33,266.174,269.261,277.239,279.118,280.82,289.47,294.92,293.482,302.443,306.155,309.006,316.521,318.242,320.891,0.707306,-0.52827,0.472985,0.101257,0.0640027,0.203311,0.54835,0.846509,0.18672,-0.777844,0.140806,1.13928,-0.990759,0.0718599,0.600974,0.406875,0.738465,-1.21907,-1.14754,-0.558274,0.132602,-1.27693,-0.905996,-0.318338,-0.451569,-0.682529,-1.00385,1.78275,0.338691,-0.956665,0.517806,0.545382,-1.80396,0.661703,-2.1233,119.326,134.477,151.923,159.125,159.509,187.191,189.304,195.074,199.581,203.224,208.713,216.444,220.126,229.79,232.073,237.351,239.114,248.634,253.605,260.236,261.18,266.19,271.373,275.17,277.062,283.66,288.198,293.074,294.652,303.683,307.126,310.539,316.736,316.998,319.596
