# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_30N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1331954990 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_30N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30
-154.059,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,123.002,135.466,154.8,158.58,160.178,189.232,189.282,202.417,205.304,205.422,213.106,220.683,224.438,234.854,239.125,243.331,246.38,253.493,255.239,261.275,263.915,271.383,276.089,282.018,283.888,287.469,292.472,299.764,308.68,315.383,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,-4.46536,-7.37875,-7.86127,-13.8955,-11.5452,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633,287.442,294.573,302.718,308.887,314.271
123.636,0.137359,0.450006,0.484395,0.286021,0.162263,0.00556964,0.0819926,0.395652,0.260004,0.412851,0.585531,0.220457,0.138839,0.137359,0.0819926,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.903,133.952,151.976,158.792,159.242,185.511,189.191,197.14,202.192,203.386,207.181,216.243,222.57,229.156,234.216,238.038,238.768,251.57,255.146,259.565,262.225,266.605,272.192,276.247,277.9,284.335,286.027,293.194,296.639,303.561,1.8719,-0.565066,0.749935,-0.261117,0.0201388,0.529862,0.154421,-2.41769,-1.78644,-2.32041,0.492852,1.35108,-2.49667,-0.592468,-0.547025,0.30345,0.576654,-2.4103,-2.13071,-0.779587,0.0462157,-2.5695,-1.13961,-0.258976,-1.34647,-0.915147,-1.63245,0.848817,-1.97694,-2.76311,118.161,134.514,151.646,159.487,159.553,186.864,189.698,198.339,201.554,204.766,208.361,216.232,221.632,230.454,233.221,237.455,239.275,249.825,254.588,260.458,261.267,267.482,271.607,275.111,277.956,283.892,288.826,294.008,296.968,305.489
125.561,0.136419,0.447139,0.483179,0.298642,0.168201,0.0055711,0.0742487,0.388586,0.240247,0.407308,0.617852,0.225537,0.133031,0.136419,0.0742487,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.258,134.611,152.11,159.531,159.135,187.304,189.422,200.582,203.729,204.622,208.23,215.94,220.825,228.45,231.079,236.144,238.95,250.976,254.462,259.276,261.519,266.131,270.747,275.85,277.214,283.357,288.216,292.164,299.357,300.951,2.24408,-0.527036,0.86405,-0.21209,0.042241,0.764273,0.26418,-1.87598,-1.56785,-2.12082,0.835175,1.9509,-2.0203,-0.00710452,0.143709,0.644949,0.987227,-2.25027,-2.04277,-0.315227,0.607408,-1.97867,-0.747483,0.377627,-0.848678,-0.392328,-0.54924,1.98297,-0.904772,-1.88337,117.789,134.476,151.532,159.438,159.531,186.63,189.588,197.797,201.336,204.567,208.019,215.632,221.155,229.869,232.53,237.113,238.865,249.665,254.5,259.993,260.706,266.892,271.214,274.474,277.459,283.369,287.743,292.874,295.896,304.609
135.805,0.126021,0.4285,0.468645,0.239027,0.284774,0.0056643,0.0947362,0.255455,0.238412,0.22567,0.258295,0.426611,0.4507,0.126021,0.0947362,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.737,133.611,151.411,159.066,158.843,184.227,189.077,197.096,198.647,201.342,210.85,216.2,219.405,229.497,232.469,237.967,238.555,251.435,253.996,259.706,261.269,262.988,269.687,275.518,273.882,284.195,288.366,293.039,295.077,304.054,1.35783,-0.504439,0.66246,0.0788676,0.077512,0.497516,0.551023,-0.402629,0.997303,-0.528948,0.472401,1.68997,-0.904486,0.3912,0.930171,0.761,1.35679,-1.3298,-1.35367,-0.413405,0.526253,-1.1828,-0.54407,0.210739,-0.248349,-0.353126,0.13624,2.90528,0.685666,-0.826804,118.675,134.453,151.734,159.147,159.495,186.896,189.301,196.324,198.771,202.975,208.382,215.893,220.039,229.471,231.744,236.997,238.495,248.745,253.811,260.091,260.787,266.096,271.011,274.641,276.858,283.33,287.058,291.952,294.305,303.553
136.063,0.125451,0.42754,0.467852,0.2345,0.29142,0.00566934,0.0965202,0.246018,0.23461,0.211295,0.215341,0.440184,0.488755,0.125451,0.0965202,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.088,135.133,152.08,160.071,158.394,187.966,188.934,197.155,201.026,203.304,210.859,216.433,218.148,230.969,230.366,237.433,238.353,251.259,253.058,259.097,260.091,263.738,269.051,274.491,275.39,280.57,287.48,292.242,295.087,304.185,1.28478,-0.501992,0.64651,0.111494,0.0811391,0.485103,0.587195,0.223576,0.955615,-0.519551,0.458003,1.72913,-0.748465,0.502007,1.06086,0.794121,1.38486,-1.23262,-1.26791,-0.342737,0.541456,-1.04318,-0.51205,0.22852,-0.143771,-0.304752,0.279539,3.00969,0.935969,-0.550321,118.748,134.451,151.749,159.115,159.492,186.909,189.265,195.697,198.812,202.966,208.396,215.854,219.883,229.36,231.613,236.964,238.467,248.648,253.725,260.021,260.772,265.956,270.979,274.623,276.754,283.282,286.914,291.847,294.055,303.276
137.598,0.125274,0.427769,0.467765,0.226449,0.291517,0.0056711,0.10066,0.246092,0.237947,0.207967,0.18193,0.445596,0.509832,0.125274,0.10066,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.36,131.863,152.1,158.926,159.622,184.872,188.733,195.32,200.489,201.721,208.688,215.755,220.062,230.404,232.905,236.757,238.001,248.826,254.902,261.363,259.855,265.122,271.524,275.722,273.421,285.453,286.165,293.117,294.277,303.382,1.10068,-0.514055,0.5905,0.104911,0.0756638,0.389533,0.564866,0.412095,0.700935,-0.613435,0.34019,1.51925,-0.843381,0.343653,0.892315,0.664817,1.17902,-1.25176,-1.24918,-0.438657,0.373461,-1.17413,-0.672081,0.00434555,-0.272535,-0.476244,-0.212185,2.59714,0.689527,-0.729606,118.932,134.463,151.806,159.121,159.497,187.004,189.287,195.509,199.067,203.059,208.514,216.064,219.978,229.518,231.782,237.093,238.673,248.667,253.706,260.117,260.94,266.087,271.139,274.848,276.883,283.453,287.406,292.26,294.301,303.456
139.316,0.124699,0.428233,0.467418,0.207828,0.291077,0.00566124,0.110202,0.246969,0.244112,0.20101,0.107561,0.457625,0.555752,0.124699,0.110202,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.774,135.146,151.675,158.919,158.663,186.904,190.039,193.377,199.78,203.721,209.57,217.483,218.53,229.558,231.129,237.059,237.008,249.328,252.554,261.888,262.4,265.83,271.619,271.11,279.108,282.959,287.943,292.119,292.314,303.605,0.685304,-0.539636,0.462226,0.0920243,0.0624534,0.179835,0.521906,0.844309,0.114267,-0.816885,0.0963558,1.08448,-1.03431,0.0191792,0.549322,0.356997,0.67837,-1.29587,-1.19746,-0.615863,0.0553823,-1.42254,-1.01975,-0.45281,-0.527045,-0.805925,-1.1866,1.58176,0.179687,-1.0778,119.348,134.489,151.934,159.134,159.511,187.214,189.33,195.077,199.654,203.263,208.758,216.499,220.169,229.843,232.125,237.401,239.174,248.711,253.654,260.294,261.258,266.336,271.487,275.305,277.137,283.783,288.381,293.275,294.811,303.804
139.461,0.124284,0.428075,0.467043,0.20278,0.291149,0.00564802,0.112648,0.246577,0.24474,0.198305,0.0863095,0.461514,0.569583,0.124284,0.112648,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,120.256,134.679,150.642,160.794,158.966,188.939,189.392,195.951,199.521,201.948,207.409,219.51,221.75,230.795,229.107,235.818,239.959,249.782,253.44,259.779,259.374,267.132,271.424,274.443,279.796,281.444,286.957,290.572,296.124,305.089,0.581686,-0.544011,0.430721,0.0936272,0.059654,0.132694,0.519686,1.00782,-0.0260329,-0.859534,0.0466547,1.00168,-1.05772,-0.0316235,0.49533,0.289896,0.559995,-1.2914,-1.17043,-0.635577,0.000772798,-1.44208,-1.08588,-0.536428,-0.562348,-0.857553,-1.35623,1.35463,0.107906,-1.10155,119.451,134.493,151.965,159.132,159.513,187.261,189.332,194.913,199.794,203.306,208.807,216.581,220.193,229.894,232.179,237.468,239.292,248.706,253.627,260.314,261.312,266.355,271.553,275.388,277.172,283.835,288.55,293.502,294.883,303.828
139.641,0.12351,0.427632,0.466327,0.198102,0.29009,0.00561566,0.114765,0.247175,0.245916,0.197357,0.0713865,0.463599,0.577665,0.12351,0.114765,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.059,134.631,151.443,159.034,157.972,186.143,190.189,195.074,199.831,206.584,208.856,218.605,220.645,231.416,234.553,238.763,238.774,247.494,254.121,261.594,262.75,267.838,271.409,279.298,276.492,284.351,289.718,293.256,291.997,303.143,0.492254,-0.546115,0.403518,0.093896,0.0568542,0.0923548,0.519682,1.09617,-0.142707,-0.893606,0.00765585,0.925802,-1.08874,-0.0853463,0.438018,0.228077,0.452493,-1.28254,-1.14507,-0.653278,-0.0386391,-1.44744,-1.12885,-0.591243,-0.593957,-0.888239,-1.49066,1.151,0.0422444,-1.13809,119.541,134.495,151.992,159.132,159.516,187.302,189.332,194.825,199.911,203.34,208.846,216.657,220.224,229.947,232.236,237.53,239.4,248.698,253.602,260.331,261.352,266.36,271.596,275.443,277.204,283.865,288.685,293.706,294.949,303.864
140.197,0.120578,0.42564,0.463543,0.185932,0.286078,0.00548986,0.119854,0.249085,0.248732,0.195902,0.0376447,0.467776,0.593924,0.120578,0.119854,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.772,134.884,151.642,159.746,159.857,185.093,191.067,194.519,200.318,203.102,208.37,217.154,218.8,231.393,233.602,238.858,241.584,247.946,253.785,260.048,261.932,269.305,272.35,275.339,278.818,282.128,285.972,296.056,295.657,301.218,0.280456,-0.544952,0.34019,0.10032,0.0503666,0.00417936,0.535791,1.30168,-0.399868,-0.957817,-0.064492,0.770461,-1.14714,-0.189555,0.325443,0.0934409,0.206369,-1.22558,-1.05936,-0.664959,-0.0915611,-1.37894,-1.17041,-0.648319,-0.631344,-0.898001,-1.69554,0.71618,-0.0385114,-1.16519,119.753,134.494,152.056,159.126,159.523,187.39,189.316,194.619,200.168,203.404,208.918,216.813,220.282,230.052,232.349,237.665,239.646,248.641,253.516,260.343,261.405,266.292,271.637,275.5,277.241,283.875,288.89,294.141,295.03,303.891
