# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_40N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1210748413 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_40N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40
-339.836,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,122.231,135.714,154.261,158.857,160.574,190.868,190.195,202.303,206.658,205.828,210.822,222.605,223.961,234.574,236.809,246.061,248.019,254.072,252.38,261.727,265.881,273.542,274.834,281.641,282.956,289.27,294.111,304.891,311.344,313.662,319,324.742,323.927,330.269,330.205,334.661,341.691,339.788,349.938,347.682,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,-4.46536,-7.37875,-7.86127,-13.8955,-11.5452,-10.5137,-14.4574,-12.0655,-10.3374,-13.2351,-11.4103,-9.71636,-8.58775,-10.1554,-11.2225,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633,287.442,294.573,302.718,308.887,314.271,318.158,325.541,326.998,327.997,330.708,337.445,338.584,341.073,347.087,347.96
166.656,0.134026,0.440603,0.480127,0.309091,0.167217,0.00569647,0.0657564,0.382366,0.217792,0.405533,0.656055,0.223046,0.119788,0.134026,0.0657564,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.586,134.155,151.068,159.192,160.19,186.215,189.451,196.286,201.155,205.247,208.597,213.943,221.909,230.375,230.286,240.217,239.466,248.281,254.174,259.99,260.534,268.651,271.182,273.48,275.48,281.988,284.863,294.077,296.358,304.308,307.603,314.523,313.182,318.807,319.721,321.684,326.077,333.536,328.74,338.978,2.66355,-0.47811,0.992728,-0.148355,0.0598376,1.04736,0.409974,-1.24994,-1.30881,-1.91251,1.26687,2.68483,-1.39069,0.673985,0.938566,0.997628,1.42135,-2.01941,-1.90491,0.404804,1.3397,-1.20025,-0.237658,1.1893,-0.189701,0.38798,0.899038,3.20631,0.474823,-0.656303,0.713273,-0.829027,-1.11696,-0.365269,-3.46445,4.61958,3.0043,-0.195802,2.87732,-0.362459,117.369,134.427,151.403,159.374,159.513,186.347,189.442,197.171,201.077,204.359,207.587,214.898,220.526,229.188,231.735,236.76,238.431,249.434,254.362,259.273,259.973,266.113,270.705,273.663,276.8,282.589,286.295,291.651,294.516,303.382,306.931,311.913,316.049,318.025,320.937,321.415,325.864,332.681,334.055,337.099
170.346,0.134476,0.442449,0.480662,0.295364,0.166637,0.00569839,0.0735424,0.384679,0.237931,0.405391,0.617642,0.225852,0.132556,0.134476,0.0735424,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.528,136.506,152.106,159.92,159.856,187.594,189.2,200.086,201.051,203.217,206.234,216.958,221.491,231.643,231.542,239.009,234.847,251.345,255.735,259.557,259.834,265.174,269.104,272.972,279.479,281.604,287.844,296.045,292.359,302.446,309.925,309.979,316.571,318.532,323.37,327.364,328.587,336.701,337.24,340.051,2.28116,-0.515016,0.879531,-0.195246,0.0454362,0.803521,0.299744,-1.77934,-1.50047,-2.00819,0.898884,2.05197,-1.90924,0.101477,0.276848,0.709398,1.07116,-2.16371,-1.98492,-0.202932,0.725926,-1.80546,-0.634231,0.532986,-0.721878,-0.243506,-0.281208,2.24837,-0.641362,-1.65599,-0.420832,-1.49995,-2.55821,-2.16386,-4.5102,2.75161,1.23637,-1.1231,2.04653,-1.33717,117.752,134.464,151.516,159.421,159.528,186.59,189.552,197.7,201.268,204.454,207.955,215.531,221.044,229.761,232.397,237.049,238.781,249.579,254.442,259.881,260.587,266.718,271.101,274.319,277.332,283.221,287.475,292.609,295.632,304.382,308.065,312.584,317.49,319.824,321.983,323.283,327.632,333.608,334.885,338.074
171.488,0.13336,0.440479,0.479066,0.286012,0.177869,0.0057336,0.0772334,0.374439,0.245212,0.391969,0.587472,0.244833,0.153165,0.13336,0.0772334,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.281,134.527,152.27,160.296,159.284,186.673,189.972,197.601,201.53,203.615,207.681,213.379,222.597,232.723,232.676,235.865,238.349,250.589,256.638,261.532,259.255,265.691,270.227,274.339,279.115,282.82,287.404,293.302,294.583,302.072,308.542,313.272,320.085,320.049,319.298,324.676,328.806,334.018,335.367,340.137,2.10837,-0.522489,0.832858,-0.188888,0.0433035,0.71499,0.289483,-1.97578,-1.43065,-1.76108,0.771276,1.8423,-1.99273,-0.0576011,0.11817,0.625999,1.01056,-2.13882,-1.96594,-0.377222,0.54552,-1.92806,-0.723075,0.341369,-0.834667,-0.407281,-0.553857,2.03869,-0.866871,-1.89803,-0.78252,-1.48267,-2.95772,-2.65418,-4.43913,2.00992,0.665121,-1.42944,2.0062,-1.53113,117.925,134.471,151.563,159.415,159.53,186.679,189.563,197.897,201.199,204.207,208.083,215.741,221.128,229.92,232.556,237.132,238.841,249.554,254.423,260.055,260.767,266.841,271.19,274.511,277.445,283.384,287.748,292.818,295.858,304.624,308.427,312.567,317.89,320.314,321.912,324.025,328.203,333.914,334.926,338.268
183.494,0.123338,0.420762,0.464714,0.22798,0.277464,0.00605146,0.0963911,0.255098,0.239875,0.227373,0.244281,0.427696,0.451214,0.123338,0.0963911,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.826,133.11,151.51,159.697,160.265,186.263,190.632,195.963,199.991,204.068,207.167,214.346,220.939,230.593,232.035,234.788,239.181,247.531,251.572,261.41,261.039,264.893,273.436,275.448,275.363,283.92,289.033,293.699,294.639,305.087,309.821,307.451,316.907,314.883,317.842,322.473,327.185,331.865,334.417,339.789,1.28542,-0.496652,0.645947,0.086236,0.0764387,0.476468,0.572093,-0.301764,0.955497,-0.527673,0.465809,1.6463,-0.896866,0.372271,0.907609,0.750523,1.31989,-1.24032,-1.27906,-0.38965,0.541488,-1.06802,-0.491204,0.260481,-0.220171,-0.280232,0.116526,2.93343,0.750893,-0.759486,-0.156266,1.70435,-2.03374,0.104716,-1.63532,1.98976,0.0896121,0.0533301,2.94268,-0.361605,118.748,134.446,151.75,159.14,159.497,186.918,189.28,196.223,198.813,202.974,208.388,215.937,220.032,229.49,231.766,237.007,238.532,248.655,253.736,260.068,260.772,265.981,270.958,274.592,276.83,283.257,287.077,291.924,294.24,303.485,307.8,309.38,316.966,317.555,319.108,324.045,328.778,332.432,333.989,337.099
183.698,0.122813,0.41984,0.463997,0.223503,0.282366,0.00606596,0.0981685,0.248006,0.237241,0.216134,0.208338,0.438904,0.481767,0.122813,0.0981685,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.863,134.37,150.573,160.031,158.979,189.199,188.764,195.118,198.259,204.668,207.861,215.53,220.947,231.133,230.895,234.617,239.786,245.971,253.771,260.854,261.073,263.02,269.843,276.164,277.158,280.51,286.782,291.994,293.585,304.359,305.204,306.33,314.965,314.901,317.134,323.602,329.779,332.378,333.3,337.689,1.21138,-0.49552,0.628266,0.110619,0.0786885,0.457741,0.598308,0.194243,0.898253,-0.52895,0.445353,1.65677,-0.787179,0.443131,0.991768,0.764049,1.32051,-1.16556,-1.20948,-0.343693,0.540411,-0.967233,-0.478703,0.256959,-0.151227,-0.255497,0.177634,2.97821,0.920322,-0.566306,0.26697,1.87659,-1.73755,0.506217,-1.49217,2.12124,0.114173,0.25349,3.02569,-0.279516,118.822,134.445,151.768,159.115,159.494,186.936,189.254,195.727,198.87,202.975,208.409,215.926,219.922,229.419,231.682,236.994,238.531,248.581,253.666,260.022,260.773,265.88,270.946,274.595,276.761,283.232,287.016,291.879,294.071,303.292,307.377,309.207,316.67,317.154,318.965,323.914,328.754,332.232,333.906,337.017
185.258,0.122435,0.419684,0.4637,0.215541,0.282685,0.00606153,0.102072,0.247351,0.239804,0.212102,0.174683,0.445015,0.503137,0.122435,0.102072,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.046,133.464,152.32,158.597,160.395,187.512,190.139,196.351,197.69,203.1,208.738,215.596,219.319,229.489,230.601,238.28,237.997,249.499,251.948,259.423,259.218,265.67,267.202,274.44,275.245,282.826,287.463,291.019,294.03,302.502,306.056,307.14,311.653,317.086,316.201,320.648,328.421,330.627,334.878,334.826,1.03925,-0.505174,0.576463,0.108445,0.0739055,0.371657,0.583897,0.420036,0.666208,-0.610057,0.342457,1.47654,-0.855066,0.31465,0.855655,0.651105,1.13571,-1.1689,-1.18034,-0.417084,0.399737,-1.05864,-0.609416,0.0709063,-0.25043,-0.392849,-0.230907,2.61519,0.735397,-0.694942,0.322094,1.49125,-1.78618,0.594915,-1.69935,1.73007,-0.318734,0.0627682,2.77153,-0.738613,118.994,134.454,151.82,159.118,159.499,187.022,189.268,195.501,199.102,203.056,208.512,216.106,219.99,229.547,231.818,237.107,238.716,248.584,253.637,260.095,260.913,265.972,271.076,274.781,276.86,283.37,287.425,292.242,294.256,303.421,307.322,309.593,316.718,317.065,319.172,324.305,329.187,332.422,334.16,337.476
186.858,0.121672,0.419547,0.463181,0.199827,0.281643,0.00603664,0.10986,0.248291,0.245003,0.207043,0.115071,0.454721,0.538092,0.121672,0.10986,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.174,134.693,150.652,159.487,158.051,187.38,190.359,194.509,200.916,203.733,208.121,216.425,219.95,229.86,233.483,240.344,239.778,250.215,253.816,261.277,260.284,266.621,273.21,276.744,278.164,284.79,291.022,291.693,293.53,306.307,307.685,309.506,314.363,319.611,323.821,325.219,331.342,328.136,332.537,339.426,0.700611,-0.524462,0.471976,0.0986868,0.0626812,0.201016,0.551659,0.760824,0.191016,-0.772392,0.148027,1.12317,-1.0107,0.0487586,0.574431,0.400492,0.72542,-1.1968,-1.13208,-0.557752,0.147077,-1.24584,-0.875131,-0.282988,-0.451788,-0.647979,-1.00184,1.78318,0.334444,-0.983254,0.418129,0.567528,-1.85132,0.674145,-2.10889,1.02437,-1.08086,-0.352536,2.31634,-1.6786,119.332,134.473,151.924,159.127,159.51,187.193,189.3,195.16,199.577,203.218,208.706,216.46,220.146,229.813,232.1,237.358,239.127,248.612,253.589,260.236,261.166,266.159,271.342,275.135,277.062,283.625,288.196,293.074,294.657,303.709,307.226,310.516,316.783,316.986,319.582,325.011,329.949,332.838,334.616,338.416
187.011,0.121244,0.419239,0.462796,0.194746,0.281998,0.00602214,0.112247,0.247408,0.245285,0.203758,0.0926194,0.459291,0.552899,0.121244,0.112247,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.122,133.593,151.081,158.016,159.087,185.318,189.071,195.58,198.395,202.857,207.994,216.609,220.421,230.067,231.676,234.676,238.948,249.442,254.921,258.542,261.652,265.557,270.904,275.393,277.952,284.015,290.489,294.835,293.78,304.57,309.3,311.342,316.957,316.705,318.576,323.25,328.65,332.665,336.483,336.557,0.599675,-0.528227,0.441633,0.10225,0.0601765,0.156246,0.551953,0.952045,0.0564175,-0.811641,0.101776,1.04927,-1.02345,0.00917203,0.532137,0.340694,0.615955,-1.18605,-1.10043,-0.570491,0.097443,-1.25311,-0.932643,-0.357676,-0.47725,-0.692263,-1.15118,1.57793,0.284644,-0.989724,0.594796,0.352832,-1.74486,0.783596,-2.16376,0.933939,-1.20816,-0.394906,2.26369,-1.86512,119.433,134.477,151.954,159.124,159.513,187.238,189.3,194.969,199.712,203.258,208.752,216.534,220.158,229.853,232.142,237.417,239.236,248.601,253.557,260.248,261.216,266.166,271.4,275.21,277.087,283.669,288.345,293.279,294.706,303.716,307.049,310.731,316.677,316.876,319.637,325.101,330.076,332.88,334.668,338.602
187.252,0.120584,0.418811,0.46226,0.190721,0.280512,0.00597881,0.114045,0.248589,0.246899,0.204072,0.0824598,0.460209,0.556789,0.120584,0.114045,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,121.119,133.409,150.369,159.577,158.061,188.135,190.897,196.762,200.468,202.564,208.767,218.302,221.438,230.299,232.216,234.605,237.626,247.394,253.93,259.582,261.077,267.422,271.939,275.431,276.844,281.583,288.208,294.46,295.312,303.427,303.695,309.553,316.828,314.84,319.325,319.853,331.346,331.871,331.742,337.388,0.522964,-0.530314,0.417892,0.099771,0.0571362,0.119251,0.548628,0.981025,-0.0462288,-0.843335,0.0655243,0.971588,-1.06485,-0.0543272,0.464894,0.279866,0.515127,-1.18428,-1.08398,-0.595865,0.0574053,-1.27224,-0.97279,-0.410103,-0.516362,-0.725229,-1.28743,1.37693,0.2023,-1.05744,0.586277,0.157721,-1.75778,0.802746,-2.23549,0.798447,-1.32779,-0.462152,2.16868,-2.02446,119.51,134.479,151.978,159.126,159.516,187.275,189.303,194.94,199.814,203.289,208.788,216.611,220.2,229.916,232.209,237.478,239.337,248.599,253.541,260.274,261.256,266.185,271.44,275.262,277.126,283.702,288.481,293.48,294.789,303.783,307.058,310.926,316.69,316.857,319.708,325.237,330.196,332.947,334.763,338.761
