# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_20N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1251783051 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_20N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20
-64.3882,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,121.319,135.498,153.909,161.301,161.478,189.21,190.045,203.501,204,207.125,210.074,221.906,224.334,234.104,238.461,244.978,250.874,251.8,256.327,264.631,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271
73.5851,0.140915,0.456021,0.488885,0.271959,0.159153,0.00539003,0.0920308,0.40421,0.284309,0.419296,0.544638,0.218623,0.148239,0.140915,0.0920308,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.532,135.05,152.006,158.995,159.431,186.949,190.578,199.009,201.733,204.549,209.68,217.007,223.537,233.026,235.302,236.032,241.747,252.787,255.346,259.674,1.40095,-0.620835,0.599177,-0.309039,-0.0299531,0.22903,0.0045385,-3.15501,-2.04993,-2.56225,0.0637906,0.61264,-3.044,-1.32843,-1.42572,-0.220546,-0.024274,-2.66542,-2.27647,-1.30258,118.632,134.57,151.797,159.535,159.603,187.165,189.847,199.076,201.818,205.008,208.79,216.97,222.179,231.19,234.1,237.979,239.876,250.08,254.733,260.981
75.0521,0.13808,0.446389,0.485116,0.308263,0.184939,0.0054137,0.0690633,0.375886,0.225496,0.394472,0.632531,0.245065,0.140089,0.13808,0.0690633,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.314,135.527,151.888,159.625,161.542,186.774,187.785,198.625,200.786,204.199,206.243,214.803,220.543,228.445,237.143,236.341,238.159,249.258,255.472,260.51,2.49815,-0.507563,0.938462,-0.169324,0.0542883,0.917107,0.332371,-1.54756,-1.34373,-1.80379,1.06118,2.37204,-1.63426,0.404521,0.643132,0.85097,1.27839,-2.17316,-2.00786,0.000806883,117.535,134.457,151.458,159.395,159.519,186.477,189.52,197.469,201.112,204.25,207.793,215.211,220.769,229.457,232.031,236.907,238.574,249.588,254.465,259.677
76.9337,0.138422,0.447959,0.48552,0.296399,0.184075,0.00541565,0.07578,0.378171,0.242379,0.394479,0.599229,0.247293,0.151944,0.138422,0.07578,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.864,135.15,151.454,160.144,158.997,186.681,191.621,196.781,202.627,202.67,207.532,214.107,222.774,228.403,230.676,236.608,239.943,250.474,253.403,260.878,2.17166,-0.538476,0.841543,-0.209131,0.0425135,0.713994,0.242935,-2.00002,-1.48958,-1.89095,0.757407,1.84669,-2.04598,-0.0769468,0.0880593,0.5968,0.971745,-2.28854,-2.07021,-0.450063,117.861,134.487,151.554,159.435,159.53,186.68,189.609,197.921,201.258,204.337,208.097,215.736,221.181,229.939,232.586,237.161,238.88,249.704,254.527,260.128
78.4554,0.137948,0.44757,0.484734,0.28273,0.194659,0.00542601,0.0824198,0.369399,0.256122,0.380964,0.553763,0.266546,0.179199,0.137948,0.0824198,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.033,134.359,152.002,158.991,159.833,185.713,190.519,198.033,201.037,204.481,206.501,216.771,223.351,229.7,230.604,238.625,239.16,249.208,255.6,259.861,1.86006,-0.560733,0.751722,-0.220278,0.0341488,0.540318,0.193992,-2.40301,-1.43653,-1.71574,0.50622,1.42393,-2.2732,-0.438739,-0.300173,0.381998,0.751296,-2.32135,-2.08058,-0.767163,118.173,134.51,151.644,159.446,159.539,186.854,189.658,198.324,201.205,204.162,208.348,216.159,221.408,230.301,232.974,237.376,239.101,249.736,254.538,260.445
81.7284,0.135672,0.443456,0.481173,0.253855,0.235501,0.00546039,0.0948007,0.328195,0.269668,0.322103,0.42229,0.337727,0.282749,0.135672,0.0948007,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.572,133.913,152.37,157.886,157.345,187.869,188.659,200.973,200.779,202.328,208.391,215.795,220.503,231.1,234.113,237.652,239.545,247.068,253.067,262.584,1.3074,-0.582635,0.599592,-0.170738,0.0323604,0.283829,0.200728,-2.95769,-0.374437,-1.16702,0.155737,0.884667,-2.22141,-0.760671,-0.517346,0.107282,0.503099,-2.16996,-1.94264,-1.09455,118.726,134.532,151.796,159.397,159.541,187.11,189.651,198.879,200.142,203.613,208.698,216.698,221.356,230.623,233.191,237.651,239.349,249.585,254.4,260.773
89.6172,0.132245,0.436826,0.475654,0.216654,0.299202,0.00550595,0.110086,0.248618,0.245363,0.201669,0.114417,0.457859,0.557061,0.132245,0.110086,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.958,133.489,150.715,159.621,159.724,188.497,188.81,196.918,198.545,205.226,208.969,215.657,219.649,230.471,232.445,237.008,238.196,249.274,253.392,261.494,0.682182,-0.576581,0.447416,0.0476274,0.0560251,0.125342,0.417237,0.632554,-0.0421897,-0.922562,-0.0170284,0.928134,-1.19725,-0.161215,0.370005,0.215502,0.520023,-1.55969,-1.37283,-0.809284,119.351,134.526,151.949,159.178,159.517,187.269,189.435,195.288,199.81,203.369,208.871,216.655,220.332,230.023,232.304,237.542,239.332,248.975,253.83,260.487
89.6643,0.132208,0.436892,0.475698,0.216569,0.297779,0.00549906,0.110161,0.250488,0.246855,0.204306,0.120426,0.455694,0.550597,0.132208,0.110161,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.044,133.96,152.254,159.932,159.667,185.04,188.869,195.413,200.935,206.337,208.438,214.981,220.241,229.485,231.765,239.946,238.783,250.64,254.774,259.294,0.677547,-0.577824,0.44486,0.0403356,0.0547141,0.11774,0.408528,0.517656,-0.0551606,-0.931768,-0.0260477,0.895749,-1.23702,-0.204455,0.323676,0.191994,0.492687,-1.57777,-1.38743,-0.835334,119.355,134.527,151.951,159.186,159.518,187.276,189.443,195.403,199.823,203.378,208.88,216.687,220.372,230.066,232.35,237.566,239.359,248.993,253.844,260.513
90.0446,0.130069,0.435955,0.474485,0.19673,0.293226,0.00536499,0.119613,0.254745,0.253799,0.202686,0.0609197,0.463464,0.580341,0.130069,0.119613,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,120.267,135.669,152.627,159.6,159.845,186.23,188.675,193.974,199.826,203.613,208.135,216.407,220.239,229.123,231.129,238.878,240.318,250.787,254.745,261.053,0.277025,-0.59665,0.31928,0.0244124,0.0396868,-0.0782279,0.377495,0.764927,-0.609151,-1.10901,-0.229655,0.499597,-1.42898,-0.51773,-0.000571983,-0.14698,-0.0498419,-1.61206,-1.32732,-0.976901,119.756,134.546,152.077,159.202,159.533,187.472,189.475,195.156,200.377,203.555,209.084,217.083,220.564,230.38,232.675,237.905,239.902,249.027,253.784,260.655
90.1429,0.130093,0.435838,0.474481,0.199652,0.292762,0.00536392,0.118093,0.255199,0.253783,0.204738,0.0745056,0.460687,0.571044,0.130093,0.118093,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.313,134.905,150.939,159.103,159.331,188.322,187.246,197.493,201.599,203.367,206.985,218.419,222.329,229.817,231.628,238.192,241.027,247.833,254.37,258.707,0.34001,-0.593045,0.338982,0.0236325,0.0415265,-0.0494498,0.380258,0.652989,-0.520143,-1.08255,-0.199578,0.545191,-1.41856,-0.492114,0.0244336,-0.101654,0.0292311,-1.60776,-1.34111,-0.966303,119.693,134.542,152.057,159.202,159.531,187.443,189.472,195.268,200.288,203.529,209.054,217.038,220.554,230.354,232.65,237.86,239.823,249.023,253.798,260.644
