# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_25N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1296469143 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_25N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25
-78.5402,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,122.878,134.007,152.888,159.026,160.235,189.695,189.872,203.819,205.615,206.388,211.159,222.202,225.534,234.828,238.727,244.773,247.612,252.232,255.09,265.961,265.53,273.351,277.088,281.637,279.416,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633
100.627,0.13817,0.448132,0.485712,0.300065,0.167396,0.00549381,0.0740337,0.390441,0.239983,0.410808,0.620768,0.223733,0.130699,0.13817,0.0740337,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.463,133.487,153.254,158.938,159.52,185.424,189.154,199.123,199.777,205.332,207.003,212.981,218.846,230.172,230.952,236.98,238.251,247.963,257.57,258.4,262.977,265.071,269.899,273.263,276.891,2.25165,-0.534032,0.862768,-0.222842,0.0405815,0.75409,0.241951,-1.90585,-1.59471,-2.18675,0.817855,1.92664,-2.06048,-0.0394008,0.103135,0.619972,0.951728,-2.30539,-2.07756,-0.35933,0.568381,-2.06938,-0.80619,0.307852,-0.902283,117.781,134.483,151.533,159.449,159.532,186.64,189.61,197.827,201.363,204.633,208.036,215.656,221.195,229.901,232.571,237.138,238.9,249.72,254.535,260.037,260.745,266.982,271.273,274.544,277.512
101.822,0.1374,0.447191,0.48459,0.284722,0.179297,0.00551283,0.0812348,0.380852,0.25563,0.396746,0.573405,0.24497,0.157839,0.1374,0.0812348,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.709,135.13,152.072,158.188,160.518,186.589,188.959,197.993,201.056,205.029,207.53,216.601,221.705,232.106,232.888,237.366,239.162,249.013,257.521,260.273,259.996,268.825,272.729,274.462,279.947,1.91221,-0.557684,0.765471,-0.234783,0.0305835,0.564219,0.188298,-2.34133,-1.59668,-1.9647,0.543339,1.46183,-2.32501,-0.441083,-0.334243,0.388964,0.721778,-2.34085,-2.09117,-0.718909,0.152687,-2.4378,-1.06264,-0.158456,-1.21678,118.121,134.507,151.631,159.461,159.542,186.83,189.664,198.262,201.365,204.411,208.311,216.121,221.46,230.303,233.008,237.369,239.13,249.756,254.548,260.397,261.16,267.351,271.53,275.01,277.827
113.165,0.128524,0.427755,0.472169,0.223914,0.292113,0.00574491,0.10192,0.247036,0.239483,0.210287,0.174852,0.448254,0.510488,0.128524,0.10192,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.067,133.861,152.026,160.389,159.285,186.863,191.282,196.932,200.574,203.8,209.044,214.398,219.532,232.115,231.297,235.702,237.505,250.495,254.775,259.825,258.082,266.978,273.299,274.031,275.499,1.04001,-0.535215,0.565471,0.0777996,0.0691583,0.329094,0.502426,0.35195,0.536999,-0.69441,0.251886,1.37018,-0.962667,0.197467,0.740378,0.550686,1.02206,-1.38009,-1.31824,-0.565088,0.211259,-1.46172,-0.886967,-0.25755,-0.440146,118.993,134.484,151.831,159.148,159.504,187.065,189.35,195.569,199.231,203.14,208.602,216.213,220.098,229.665,231.934,237.207,238.83,248.795,253.775,260.243,261.102,266.375,271.354,275.11,277.05
113.229,0.128088,0.426985,0.471618,0.219941,0.296616,0.00574961,0.103522,0.240433,0.235797,0.19962,0.138871,0.458501,0.541593,0.128088,0.103522,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.417,134.881,153.391,158.82,159.676,186.748,189.216,193.289,200.189,203.625,209.884,215.878,219.021,232.269,230.327,236.85,238.956,247.281,251.396,260.123,259.768,262.839,270.898,272.467,275.488,0.975182,-0.533838,0.550401,0.103073,0.07151,0.317465,0.530464,0.852078,0.480662,-0.695155,0.240949,1.40593,-0.845344,0.292864,0.842698,0.574379,1.02882,-1.30789,-1.24744,-0.497102,0.221811,-1.34791,-0.873344,-0.250244,-0.355596,119.058,134.483,151.846,159.123,159.501,187.077,189.322,195.069,199.287,203.141,208.613,216.177,219.98,229.569,231.831,237.184,238.823,248.723,253.704,260.175,261.091,266.261,271.34,275.102,276.966
114.122,0.127424,0.427477,0.471399,0.207018,0.291415,0.00569985,0.11023,0.247326,0.244408,0.203712,0.108628,0.459287,0.55104,0.127424,0.11023,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.641,135.097,152.674,159.343,160.01,186.211,189.596,194.391,199.954,204.346,210.653,216.476,220.803,231.512,230.368,236.593,241.751,248.292,253.428,263.985,262.686,265.612,270.575,275.427,275.956,0.680052,-0.554396,0.455699,0.0710811,0.0583162,0.153547,0.475005,0.763132,0.0440592,-0.85896,0.0530098,1.0143,-1.10327,-0.0601426,0.468892,0.295337,0.600608,-1.39468,-1.25673,-0.694518,-0.0337273,-1.62692,-1.16068,-0.615199,-0.631713,119.353,134.503,151.94,159.155,159.515,187.24,189.377,195.158,199.724,203.305,208.801,216.569,220.238,229.922,232.205,237.463,239.251,248.81,253.714,260.373,261.347,266.54,271.628,275.467,277.242
114.306,0.126704,0.427216,0.470886,0.200414,0.289619,0.00566231,0.113401,0.249085,0.247092,0.203598,0.0894627,0.461449,0.560027,0.126704,0.113401,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.665,133.763,152.627,158.795,160.256,187.573,188.334,195.313,200.315,206.077,207.357,216.161,222.182,228.445,233.22,238.25,239.605,251.335,255.176,260.65,263.202,267.313,269.689,277.983,279.13,0.544168,-0.560816,0.413189,0.0646414,0.05312,0.0857613,0.462944,0.825964,-0.144755,-0.9213,-0.0187625,0.871191,-1.17844,-0.176852,0.346287,0.182507,0.418826,-1.40735,-1.23843,-0.749323,-0.117806,-1.69227,-1.2587,-0.73782,-0.714504,119.489,134.51,151.983,159.161,159.52,187.308,189.389,195.095,199.913,203.367,208.873,216.712,220.313,230.039,232.328,237.575,239.433,248.822,253.695,260.427,261.431,266.605,271.726,275.59,277.325
114.517,0.125551,0.426483,0.469961,0.194793,0.287379,0.00560423,0.115845,0.250752,0.249302,0.2041,0.076021,0.462563,0.565009,0.125551,0.115845,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.13,135.933,151.396,158.919,160.326,188.008,189.621,197.277,200.253,203.294,206.778,215.812,221.737,229.518,231.875,237.177,239.689,248.397,252.814,260.968,261.845,266.644,270.717,276.661,277.567,0.440629,-0.562787,0.38139,0.061995,0.0491749,0.0373311,0.460933,0.863901,-0.278795,-0.961167,-0.0645056,0.770838,-1.22994,-0.258396,0.260387,0.10069,0.283836,-1.40013,-1.21323,-0.778898,-0.163775,-1.70644,-1.30559,-0.797606,-0.762,119.592,134.512,152.015,159.164,159.524,187.357,189.391,195.057,200.047,203.407,208.919,216.812,220.365,230.12,232.414,237.657,239.568,248.815,253.67,260.457,261.477,266.619,271.773,275.65,277.372
115.337,0.1206,0.422843,0.465885,0.17798,0.278377,0.00535841,0.122431,0.256507,0.255978,0.207928,0.045395,0.463325,0.570397,0.1206,0.122431,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,120.054,133.674,151.379,159.552,160.022,187.087,191.635,196.083,202.043,203.605,208.48,216.134,220.886,230.522,233.229,236.615,238.945,250.488,252.546,259.659,262.445,265.789,274.349,277.453,278.096,0.166057,-0.557773,0.298521,0.0625821,0.0379447,-0.0813974,0.479881,0.91524,-0.604013,-1.04108,-0.155866,0.530837,-1.35141,-0.454641,0.0534374,-0.108222,-0.0699088,-1.32413,-1.1079,-0.817338,-0.225228,-1.62371,-1.32863,-0.837492,-0.834038,119.867,134.507,152.097,159.163,159.535,187.475,189.372,195.006,200.372,203.487,209.01,217.052,220.486,230.317,232.621,237.866,239.922,248.739,253.565,260.495,261.538,266.537,271.796,275.689,277.444
117.005,0.109723,0.414308,0.456908,0.148816,0.25829,0.00482747,0.132746,0.268297,0.268268,0.219968,0.0104555,0.458673,0.559388,0.109723,0.132746,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,120.938,134.688,152.328,159.027,158.926,187.929,187.387,194.56,200.127,202.954,209.655,218.221,220.834,231.353,234.719,237.776,240.452,248.443,252.873,260.568,261.431,265.835,271.875,276.099,276.134,-0.251807,-0.524548,0.174576,0.085072,0.0166081,-0.240067,0.56963,0.881061,-1.03749,-1.09922,-0.224241,0.226958,-1.49821,-0.703029,-0.208893,-0.417463,-0.613216,-1.06401,-0.846347,-0.769752,-0.166582,-1.19227,-1.09272,-0.600335,-0.787622,120.285,134.474,152.221,159.141,159.556,187.634,189.282,195.04,200.805,203.545,209.078,217.356,220.633,230.565,232.883,238.175,240.465,248.479,253.303,260.448,261.48,266.105,271.56,275.452,277.398
