# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_45N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1254122222 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_45N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45
-470.322,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,122.848,135.64,152.547,160.767,159.254,190.157,190.511,203.003,203.733,209.21,209.696,221.791,225.752,237.037,237.601,245.333,248.144,253.413,255.669,264.054,266.468,272.27,275.531,280.672,280.02,287.821,294.718,302.889,309.055,313.744,321.637,326.162,327.523,327.099,332.429,338.791,337.256,342.79,347.717,347.205,353.863,354.549,352.264,364.099,366.349,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,-4.46536,-7.37875,-7.86127,-13.8955,-11.5452,-10.5137,-14.4574,-12.0655,-10.3374,-13.2351,-11.4103,-9.71636,-8.58775,-10.1554,-11.2225,-11.0121,-10.8158,-11.5751,-17.9185,-16.9429,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633,287.442,294.573,302.718,308.887,314.271,318.158,325.541,326.998,327.997,330.708,337.445,338.584,341.073,347.087,347.96,351.376,355.491,357.021,364.346,365.656
175.398,0.1356,0.448427,0.481864,0.281265,0.156729,0.00564411,0.083581,0.39745,0.264018,0.414537,0.579414,0.214788,0.136798,0.1356,0.083581,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.873,134.029,152.608,157.897,159.671,186.286,189.61,199.932,201.544,205.223,206.557,216.595,221.432,232.141,232.045,236.957,238.452,248.072,254.82,259.987,262.502,264.492,268.439,275.79,275.995,287.051,287.729,295.197,296.686,306.698,307.225,310.49,315.604,320.382,322.389,325.441,329.528,334.012,335.719,339.359,339.228,344.236,349.549,352.906,355.122,1.79836,-0.564715,0.7304,-0.261543,0.014422,0.497503,0.154285,-2.48667,-1.82044,-2.35103,0.450883,1.26369,-2.55533,-0.678639,-0.651581,0.256052,0.515646,-2.38532,-2.10891,-0.812576,-0.0106769,-2.5861,-1.14991,-0.297862,-1.38588,-0.930735,-1.71486,0.711331,-2.0651,-2.8243,-2.09179,-2.15992,-4.20317,-4.14492,-5.46053,0.0164385,-0.923399,-2.59074,1.02566,-2.71307,-1.18136,-1.76847,-3.71371,-5.39834,-6.97228,118.235,134.514,151.666,159.488,159.559,186.896,189.698,198.408,201.588,204.797,208.403,216.319,221.69,230.541,233.326,237.502,239.336,249.8,254.566,260.491,261.324,267.499,271.617,275.15,277.996,283.908,288.909,294.146,297.056,305.55,309.736,313.244,319.135,321.805,322.934,326.019,329.791,335.076,335.906,339.45,341.545,346.443,349.16,351.826,355.685
188.869,0.134295,0.444239,0.480248,0.306566,0.161324,0.00564048,0.0688363,0.390047,0.226752,0.410921,0.647036,0.214868,0.118567,0.134295,0.0688363,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.816,135.032,149.914,158.234,160.01,187.37,189.349,195.634,199.909,205.345,206.473,215.632,220.102,230.246,232.008,237.26,236.613,251.191,254.786,261.568,261.562,266.811,270.435,273.515,276.739,281.075,287.922,294.733,295.876,304.092,308.262,310.311,319.228,318.367,321.139,325.921,327.803,334.171,333.459,336.068,339.17,337.65,348.543,347.263,350.394,2.50936,-0.495031,0.94558,-0.178064,0.0526156,0.943475,0.354081,-1.47213,-1.45036,-2.1193,1.10586,2.40187,-1.66413,0.404066,0.613249,0.866332,1.23599,-2.10814,-1.95644,0.132082,1.05925,-1.48638,-0.423205,0.898141,-0.452911,0.0962177,0.321332,2.7216,-0.0694061,-1.12512,0.219686,-1.23795,-1.76746,-1.17825,-4.26438,4.03567,2.23457,-0.596461,2.42466,-0.82067,0.623148,1.79425,-1.59096,-4.00679,-4.29276,117.524,134.444,151.45,159.404,159.52,186.451,189.498,197.393,201.218,204.565,207.748,215.181,220.799,229.458,232.061,236.892,238.616,249.523,254.413,259.546,260.254,266.399,270.89,273.954,277.063,282.881,286.873,292.135,295.06,303.851,307.424,312.322,316.699,318.838,321.737,321.999,326.633,333.081,334.507,337.558,339.741,342.881,347.037,350.435,353.006
189.035,0.134288,0.444266,0.480236,0.305771,0.161476,0.00564218,0.0692476,0.389972,0.227805,0.410708,0.644858,0.21529,0.119414,0.134288,0.0692476,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.683,134.263,152.066,160.24,159.877,187.119,189.408,197.469,201.907,205.057,208.408,216.919,220.547,229.001,231.238,236.102,239.808,248.895,257.589,258.289,260.095,268.096,273.066,273.351,277.111,283.836,288.239,292.923,296.9,304.424,307.987,313.478,314.636,319.893,317.749,322.683,325.866,333.594,338.183,338.578,339.561,345.352,347.643,351.038,350.538,2.48922,-0.496804,0.939727,-0.180095,0.0519391,0.930969,0.348905,-1.49901,-1.4591,-2.11895,1.08707,2.36965,-1.68963,0.375486,0.580471,0.852175,1.21958,-2.11418,-1.95976,0.100813,1.02819,-1.51582,-0.442435,0.865485,-0.478934,0.064644,0.263972,2.67568,-0.124581,-1.17524,0.163796,-1.26964,-1.8402,-1.27088,-4.29816,3.92389,2.14563,-0.641351,2.38583,-0.867229,0.576622,1.70062,-1.65256,-4.05207,-4.36129,117.544,134.446,151.456,159.406,159.521,186.463,189.503,197.42,201.227,204.565,207.767,215.213,220.825,229.487,232.094,236.906,238.632,249.529,254.417,259.577,260.285,266.429,270.909,273.987,277.089,282.912,286.93,292.181,295.116,303.901,307.48,312.354,316.772,318.931,321.771,322.111,326.722,333.126,334.546,337.604,339.787,342.974,347.099,350.48,353.074
189.888,0.133888,0.443845,0.479691,0.297979,0.16503,0.0056662,0.0729328,0.387069,0.236762,0.406264,0.623154,0.222465,0.129648,0.133888,0.0729328,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.544,134.85,151.667,158.917,161.549,189.216,190.564,198.049,203.735,204.752,208.384,216.368,220.84,226.664,235.45,234.956,238.018,253.469,254.702,262.896,257.515,268.122,270.695,271.865,276.056,282.522,286.906,290.576,293.759,307.379,308.295,311.941,315.939,322.569,322.212,324.74,327.459,336.064,333.932,336.341,340.056,343.047,347.749,352.459,356.67,2.31103,-0.51029,0.888848,-0.192079,0.0466128,0.825643,0.312343,-1.72768,-1.50814,-2.05441,0.930918,2.1026,-1.88043,0.143056,0.31889,0.735265,1.09396,-2.14694,-1.97639,-0.144605,0.776795,-1.74026,-0.590753,0.602305,-0.679196,-0.180462,-0.181682,2.31258,-0.547354,-1.56574,-0.301557,-1.46239,-2.41784,-2.0137,-4.46605,2.95536,1.41225,-1.01934,2.12678,-1.2214,0.22868,0.963084,-2.12875,-4.35515,-4.88792,117.722,134.459,151.507,159.418,159.526,186.568,189.54,197.649,201.276,204.5,207.923,215.48,221.015,229.719,232.355,237.023,238.758,249.562,254.433,259.823,260.536,266.653,271.058,274.25,277.289,283.157,287.376,292.544,295.538,304.292,307.946,312.546,317.35,319.674,321.939,323.08,327.456,333.504,334.805,337.958,340.135,343.712,347.575,350.783,353.601
203.734,0.121708,0.420338,0.463448,0.240876,0.252587,0.00617877,0.0897308,0.282674,0.244988,0.270469,0.365128,0.382004,0.346016,0.121708,0.0897308,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.784,134.734,152.394,159.507,159.056,187.21,188.447,196.747,200.864,202.528,210.568,216.479,220.567,228.598,234.622,236.153,238.172,248.815,256.351,256.306,262.034,265.415,270.174,273.076,276.249,284.973,286.759,288.981,293.458,304.652,309.975,312.912,317.033,317.627,321.729,323.833,329.667,336.725,337.027,336.675,338.268,343.038,342.244,347.881,348.721,1.57344,-0.479521,0.724186,0.0272095,0.072079,0.596847,0.545734,-1.72709,1.0559,-0.491038,0.634667,1.78043,-1.1542,0.307153,0.768979,0.806676,1.41226,-1.35599,-1.41551,-0.33131,0.709984,-1.07526,-0.337234,0.543334,-0.263045,-0.0971054,0.334142,3.12138,0.550368,-0.976042,-0.314045,0.988316,-2.29031,-0.849586,-1.86521,2.19944,0.652179,-0.19675,3.18472,-0.0164851,1.2496,2.24235,-1.54059,-2.1461,-1.56361,118.46,134.429,151.672,159.199,159.501,186.797,189.306,197.648,198.712,202.937,208.219,215.803,220.289,229.555,231.905,236.951,238.44,248.771,253.873,260.009,260.603,265.988,270.804,274.309,276.873,283.074,286.86,291.736,294.441,303.702,307.958,310.096,317.222,318.51,319.338,323.836,328.216,332.682,333.747,336.753,339.114,342.433,346.987,348.574,350.277
204.633,0.119783,0.416634,0.460854,0.229931,0.267381,0.00626881,0.0933519,0.261503,0.240108,0.239707,0.286037,0.413541,0.414232,0.119783,0.0933519,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.838,135.714,150.459,158.948,158.377,186.737,188.38,196.309,200.035,201.5,208.322,215.422,217.85,226.314,230.13,236.651,237.563,248.782,252.677,259.531,260.103,263.967,272.051,277.267,277.354,280.338,284.365,290.219,292.512,305.684,309.916,308.797,312.204,317.819,316.095,322.979,328.723,332.796,333.422,332.462,335.969,340.385,341.632,344.694,350.092,1.42241,-0.471086,0.691981,0.0916237,0.0798143,0.566071,0.619865,-0.716561,1.18275,-0.427749,0.603352,1.81573,-0.860304,0.481446,1.00615,0.866764,1.48246,-1.13957,-1.24127,-0.252555,0.763779,-0.790589,-0.244377,0.596562,-0.0710262,0.0114009,0.597745,3.37056,1.02547,-0.552979,0.0423612,1.96105,-1.81157,0.138706,-1.31833,2.48474,0.740142,0.411432,3.32567,0.381438,1.70945,2.88585,-0.866166,-1.20603,-0.667321,118.611,134.42,151.704,159.134,159.493,186.828,189.232,196.638,198.585,202.874,208.251,215.767,219.995,229.381,231.668,236.891,238.37,248.555,253.698,259.931,260.549,265.704,270.711,274.255,276.681,282.966,286.596,291.486,293.966,303.279,307.602,309.123,316.744,317.521,318.791,323.55,328.128,332.074,333.606,336.356,338.655,341.789,346.312,347.634,349.38
206.704,0.119274,0.41603,0.460338,0.22207,0.268917,0.00629054,0.0969799,0.258936,0.242631,0.233676,0.250934,0.421434,0.437584,0.119274,0.0969799,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.639,134.686,151.187,161.887,157.443,187.301,188.925,196.474,197.621,202.894,208.38,220.251,217.529,226.397,232.236,237.66,237.36,248.766,255.127,258.368,262.54,263.968,270.881,275.315,277.006,282.329,282.883,291.666,293.273,304.199,306.698,306.253,316.672,314.221,317.378,321.572,329.738,332.24,333.824,338.817,339.174,342.855,344.215,346.753,348.521,1.2608,-0.47879,0.644832,0.0945998,0.0762793,0.486544,0.611965,-0.443237,0.995994,-0.493797,0.505101,1.64952,-0.902613,0.370174,0.893665,0.774918,1.33669,-1.12249,-1.20403,-0.325868,0.630513,-0.858271,-0.345366,0.433185,-0.15265,-0.109929,0.251077,3.08532,0.8922,-0.656512,-0.088577,1.89309,-1.89804,0.290167,-1.47173,2.09186,0.314833,0.299061,3.02531,0.0425899,1.48155,2.44293,-1.02761,-1.23575,-0.736054,118.772,134.428,151.751,159.131,159.497,186.907,189.24,196.364,198.772,202.94,208.349,215.933,220.038,229.492,231.78,236.983,238.515,248.537,253.661,260.004,260.682,265.771,270.812,274.419,276.763,283.087,286.943,291.772,294.099,303.383,307.733,309.191,316.83,317.37,318.945,323.943,328.553,332.186,333.907,336.694,338.882,342.232,346.474,347.664,349.449
210.346,0.117196,0.413433,0.458177,0.192676,0.276082,0.00636468,0.110379,0.247076,0.244272,0.206667,0.106517,0.455499,0.538382,0.117196,0.110379,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.609,134.303,153.405,156.826,157.468,188.577,187.739,194.579,198.681,203.891,209.547,213.652,218.588,226.413,231.869,236.577,238.383,249.946,250.36,257.394,260.972,264.198,270.185,274.253,278.836,282.441,292.827,291.323,293.658,307.647,308.553,309.383,316.532,318.662,321.225,322.933,333.786,335.412,334.191,339.189,341.922,345.747,345.65,345.155,351.327,0.683604,-0.500167,0.476412,0.12875,0.065752,0.229248,0.621609,0.932862,0.271252,-0.706989,0.21866,1.21269,-0.904576,0.162363,0.684744,0.483392,0.809608,-1.00974,-1.00277,-0.422568,0.29876,-0.892819,-0.645636,-0.0184037,-0.281924,-0.393728,-0.647881,2.1256,0.701608,-0.670014,0.844834,1.09215,-1.41801,1.15296,-1.74488,1.40243,-0.631338,0.168816,2.54692,-1.01389,0.949074,1.24782,-1.28068,-1.00177,-0.720276,119.349,134.449,151.92,159.097,159.507,187.165,189.23,194.988,199.497,203.153,208.635,216.37,220.04,229.7,231.989,237.275,239.042,248.425,253.46,260.101,261.014,265.806,271.113,274.87,276.892,283.371,287.842,292.731,294.289,303.396,306.799,309.992,316.35,316.507,319.218,324.633,329.499,332.316,334.385,337.751,339.415,343.427,346.727,347.43,349.433
210.734,0.117454,0.414256,0.458666,0.192257,0.271851,0.006335,0.111,0.253131,0.249302,0.214969,0.122984,0.448219,0.519806,0.117454,0.111,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.941,134,152.716,158.791,160.391,188.274,188.563,195.026,197.88,203.926,206.949,218.837,222.256,230.873,231.097,240.587,238.268,250.741,253.013,258.33,264.162,263.732,270.795,275.981,276.259,281.611,285.666,291.665,295.111,305.317,305.735,308.708,317.248,315.804,318.621,323.826,329.742,332.319,333.347,342.76,340.214,343.722,348.033,350.837,349.424,0.651913,-0.50731,0.462015,0.102866,0.0601268,0.193411,0.585845,0.565123,0.195311,-0.750858,0.171475,1.08011,-1.05054,-0.00373296,0.510921,0.387952,0.69053,-1.08646,-1.05856,-0.525738,0.214308,-1.06357,-0.734395,-0.127118,-0.41469,-0.498995,-0.920108,1.80598,0.415608,-0.975741,0.30287,0.732698,-1.79379,0.782523,-1.98987,1.00484,-0.934416,-0.145006,2.25535,-1.37689,0.5826,0.68448,-1.76608,-1.4551,-1.09886,119.381,134.456,151.934,159.123,159.513,187.201,189.266,195.356,199.573,203.197,208.683,216.503,220.186,229.866,232.163,237.37,239.161,248.501,253.516,260.204,261.099,265.977,271.201,274.979,277.025,283.476,288.114,293.051,294.575,303.702,307.341,310.351,316.726,316.877,319.463,325.03,329.802,332.63,334.677,338.114,339.781,343.991,347.212,347.883,349.812
