# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_50N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1511210181 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_50N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50
-691.613,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,123.084,134.889,154.071,159.444,160.34,187.444,189.554,202.916,205.124,206.48,212.023,222.684,224.347,235.275,237.905,245.263,249.395,251.747,254.878,264.102,263.908,271.558,273.773,280.446,281.163,286.833,293.343,303.237,308.089,315.573,319.789,325.979,329.535,328.92,332.996,336.108,339.399,338.228,346.688,348.219,352.395,356.622,355.156,362.855,365.108,374.276,371.481,375.362,382.313,380.759,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,-4.46536,-7.37875,-7.86127,-13.8955,-11.5452,-10.5137,-14.4574,-12.0655,-10.3374,-13.2351,-11.4103,-9.71636,-8.58775,-10.1554,-11.2225,-11.0121,-10.8158,-11.5751,-17.9185,-16.9429,-19.4404,-18.5533,-14.5567,-18.0618,-20.213,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633,287.442,294.573,302.718,308.887,314.271,318.158,325.541,326.998,327.997,330.708,337.445,338.584,341.073,347.087,347.96,351.376,355.491,357.021,364.346,365.656,371.936,372.867,373.656,380.08,382.174
160.252,0.136219,0.452705,0.482928,0.274336,0.147623,0.00561035,0.0891848,0.407579,0.278679,0.422979,0.562368,0.203047,0.133777,0.136219,0.0891848,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.988,134.169,152.504,159.088,159.703,186.538,189.796,198.23,202.365,205.961,208.634,216.257,225.123,229.975,232.764,239.862,240.2,252.498,254.573,261.652,261.016,267.447,273.889,275.053,277.78,284.098,288.092,295.802,299.518,309.072,309.743,313.523,319.489,328.707,320.047,326.262,332.218,335.883,337.697,339.734,341.219,347.395,349.55,353.543,351.567,359.362,361.56,363.784,369.074,375.193,1.53439,-0.592118,0.646765,-0.290109,-0.016461,0.332717,0.075646,-2.88249,-2.01912,-2.60523,0.216705,0.847691,-2.89474,-1.11046,-1.18299,-0.0355184,0.164623,-2.51416,-2.18085,-1.09201,-0.375809,-3.00389,-1.42477,-0.741343,-1.72618,-1.25549,-2.39894,-0.24369,-2.84437,-3.40622,-3.07174,-2.51553,-4.99306,-4.9268,-6.19402,-1.28463,-1.97146,-3.49989,0.43943,-3.48582,-1.87525,-3.12039,-4.46026,-5.90795,-7.91491,-4.68887,-5.05458,-5.68474,-5.70969,-9.81698,118.499,134.541,151.749,159.516,159.589,187.061,189.776,198.803,201.787,205.051,208.637,216.735,222.03,230.972,233.857,237.794,239.687,249.929,254.638,260.77,261.689,267.917,271.892,275.593,278.336,284.232,289.593,295.101,297.835,306.132,310.716,313.6,319.925,322.587,323.667,327.32,330.839,335.985,336.493,340.223,342.239,347.795,349.906,352.336,356.628,357.185,359.369,364.784,367.728,371.778
210.57,0.134372,0.446539,0.480653,0.313088,0.152643,0.0056077,0.0667251,0.398063,0.222161,0.419307,0.664751,0.200944,0.106466,0.134372,0.0667251,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.73,133.007,151.699,160.058,160.792,185.355,190.157,195.745,200.633,204.053,207.553,212.25,221.75,230.599,231.158,236.366,237.395,250.473,255.592,257.076,261.419,265.078,270.741,273.139,275.689,284.268,286.791,291.278,291.52,304.977,307.333,314.935,315.146,318.94,322.548,319.116,325.997,332.93,333.965,336.215,341.186,342.237,346.651,349.537,350.087,356.859,352.244,365.084,362.145,365.074,2.61095,-0.488033,0.973261,-0.179817,0.0536521,1.00195,0.368847,-1.34807,-1.46245,-2.3136,1.19139,2.53947,-1.59215,0.505561,0.71531,0.915437,1.26291,-2.10556,-1.95521,0.288866,1.18962,-1.37391,-0.349401,1.04132,-0.365674,0.239449,0.514375,2.83596,0.124965,-0.915893,0.447958,-1.16173,-1.4415,-0.769325,-3.93596,4.26412,2.63148,-0.419947,2.53328,-0.646188,0.763723,2.14049,-1.31265,-3.82961,-4.06009,-3.12953,-2.29177,-2.80098,-0.842636,-1.42375,117.422,134.437,151.423,159.406,159.519,186.392,189.483,197.269,201.23,204.76,207.663,215.044,220.727,229.356,231.959,236.843,238.589,249.521,254.412,259.389,260.123,266.287,270.816,273.811,276.976,282.738,286.68,292.021,294.866,303.642,307.196,312.246,316.374,318.429,321.409,321.771,326.237,332.905,334.399,337.383,339.6,342.535,346.759,350.258,352.773,355.626,356.606,361.9,362.861,363.385
210.635,0.134337,0.446451,0.480607,0.313386,0.152802,0.00560843,0.0665323,0.397869,0.221627,0.41915,0.665557,0.201099,0.106331,0.134337,0.0665323,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.338,134.804,153.269,159.451,157.862,186.3,188.982,197.651,201.663,206.216,207.944,212.167,219.691,229.812,230.663,236.19,235.619,250.621,255.361,257.694,261.75,265.035,269.659,270.656,275.87,281.991,286.61,293.908,295.295,303.218,307.927,311.479,315.695,320.808,323.124,324.237,323.816,331.114,332.447,337.92,342.09,340.125,346.491,351.775,353.494,356.469,358.681,363.429,359.514,363.385,2.62059,-0.48695,0.976173,-0.178249,0.0540661,1.00849,0.372262,-1.33413,-1.45579,-2.30732,1.20138,2.55665,-1.57663,0.52135,0.733917,0.923253,1.27298,-2.10051,-1.9523,0.306726,1.20665,-1.35613,-0.337922,1.05956,-0.350284,0.257847,0.547886,2.86295,0.157735,-0.886761,0.478298,-1.13805,-1.40039,-0.718605,-3.87475,4.2873,2.67949,-0.395437,2.56061,-0.617634,0.792801,2.19477,-1.27613,-3.79789,-4.02029,-3.11307,-2.2643,-2.74391,-0.759203,-1.39578,117.412,134.436,151.42,159.404,159.519,186.386,189.48,197.255,201.224,204.753,207.653,215.026,220.712,229.341,231.94,236.835,238.579,249.516,254.409,259.371,260.106,266.269,270.805,273.792,276.96,282.719,286.646,291.994,294.833,303.613,307.166,312.222,316.332,318.379,321.348,321.748,326.189,332.88,334.371,337.355,339.571,342.48,346.722,350.226,352.733,355.609,356.578,361.843,362.777,363.357
210.885,0.134069,0.445854,0.480253,0.314145,0.154227,0.00561845,0.0658545,0.396325,0.219648,0.417658,0.667674,0.202931,0.106722,0.134069,0.0658545,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.629,134.877,150.439,160.317,158.416,185.201,190.567,197.615,200.787,202.563,208.011,213.687,219.26,229.218,231.216,234.847,238.832,249.309,255.695,262.089,259.378,265.825,269.912,272.503,278.76,281.88,285.228,288.613,295.589,301.816,305.832,312.862,317.594,319.648,319.803,322.86,322.04,332.335,338.579,332.783,338.191,341.338,346.49,350.987,354.77,355.647,357.36,363.046,362.438,363.749,2.65496,-0.482272,0.987008,-0.170586,0.0558915,1.03357,0.38758,-1.28009,-1.42481,-2.26146,1.24024,2.62364,-1.51121,0.585104,0.810342,0.955334,1.31743,-2.07508,-1.93757,0.377476,1.27428,-1.28049,-0.289118,1.13367,-0.285496,0.333221,0.689015,2.97843,0.294393,-0.767375,0.601253,-1.03179,-1.23448,-0.519788,-3.63222,4.39125,2.87099,-0.293797,2.68514,-0.49464,0.923416,2.4224,-1.1244,-3.65986,-3.84883,-3.02102,-2.14408,-2.50479,-0.427424,-1.28804,117.378,134.431,151.409,159.397,159.517,186.36,189.464,197.201,201.193,204.707,207.614,214.959,220.646,229.277,231.864,236.803,238.535,249.49,254.395,259.301,260.039,266.193,270.756,273.718,276.895,282.644,286.505,291.879,294.697,303.493,307.043,312.116,316.166,318.18,321.105,321.644,325.997,332.779,334.247,337.232,339.441,342.253,346.57,350.088,352.562,355.517,356.458,361.604,362.445,363.249
211.129,0.133669,0.445024,0.479718,0.313796,0.156575,0.00563815,0.0656142,0.39392,0.21874,0.415103,0.666866,0.206339,0.108731,0.133669,0.0656142,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.17,134.66,151.368,159.474,159.202,187.076,189.921,197.083,200.449,203.23,205.352,212.943,221.116,230.578,232.055,236.04,240.84,249.246,254.842,258.034,259.797,266.382,270.385,274.267,275.247,282.179,284.397,288.763,297.12,303.991,306.381,313.466,315.926,319.517,320.908,321.212,326.011,332.292,333.329,336.332,339.538,339.198,346.668,351.983,353.594,355.846,358.259,364.651,362.245,361.201,2.66816,-0.478757,0.992147,-0.16328,0.0573594,1.0469,0.400023,-1.25006,-1.3974,-2.19416,1.26179,2.66129,-1.46534,0.625476,0.861147,0.976838,1.35271,-2.04968,-1.92266,0.418098,1.31451,-1.22579,-0.253898,1.18109,-0.23995,0.381755,0.788407,3.06427,0.387938,-0.689724,0.680486,-0.949158,-1.13134,-0.406075,-3.49445,4.48135,2.98751,-0.223574,2.78842,-0.403028,1.03056,2.58193,-1.02252,-3.55906,-3.71716,-2.9152,-2.05197,-2.34251,-0.236778,-1.21672,117.365,134.428,151.404,159.389,159.516,186.347,189.452,197.171,201.165,204.64,207.592,214.922,220.6,229.237,231.813,236.781,238.499,249.465,254.38,259.26,259.998,266.139,270.721,273.671,276.85,282.595,286.406,291.793,294.603,303.416,306.964,312.033,316.063,318.066,320.967,321.554,325.88,332.709,334.144,337.14,339.333,342.093,346.469,349.987,352.43,355.411,356.366,361.442,362.255,363.178
211.84,0.132327,0.442326,0.477913,0.310642,0.164765,0.00571119,0.0658418,0.385522,0.218388,0.405805,0.658427,0.218821,0.11776,0.132327,0.0658418,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.683,135.202,151.537,159.104,159.66,186.625,187.753,197.203,201.008,204.155,207.937,215.385,218.34,232.313,234.491,234.648,239.291,249.065,254.027,258.55,261.603,266.476,270.542,272.427,278.56,282.567,287.186,294.668,296.005,303.399,306.133,312.21,314.907,316.21,317.869,323.797,323.692,332.154,333.648,334.549,338.22,341.144,346.219,350.497,353.572,353.819,358.333,358.366,363.523,361.864,2.66132,-0.471493,0.994707,-0.143824,0.0607315,1.05957,0.428359,-1.21612,-1.32386,-1.96557,1.28501,2.7051,-1.37863,0.689821,0.949931,1.01511,1.43134,-1.97953,-1.88093,0.466105,1.36948,-1.11781,-0.18482,1.25702,-0.153773,0.459457,0.977521,3.24218,0.557558,-0.561533,0.811522,-0.773672,-0.97738,-0.265378,-3.33304,4.70823,3.15493,-0.0914398,3.02783,-0.21329,1.27787,2.88484,-0.846226,-3.3642,-3.42349,-2.59711,-1.85736,-2.05858,-0.00337925,-1.08337,117.372,134.42,151.401,159.37,159.512,186.334,189.424,197.137,201.092,204.412,207.569,214.878,220.514,229.172,231.724,236.743,238.421,249.395,254.338,259.212,259.944,266.031,270.652,273.595,276.764,282.518,286.216,291.615,294.433,303.288,306.832,311.858,315.909,317.925,320.806,321.327,325.713,332.576,333.904,336.95,339.086,341.79,346.292,349.792,352.136,355.093,356.171,361.158,362.021,363.044
213.103,0.129545,0.436868,0.47415,0.301686,0.182244,0.00587164,0.0675912,0.366821,0.220547,0.38421,0.631476,0.246758,0.141646,0.129545,0.0675912,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.174,135.903,151.557,159.493,159.883,186.728,189.521,197.718,201.616,204.528,206.354,214.818,218.201,229.065,231.461,239.656,239.511,248.23,255.279,260.693,257.161,267.643,270.127,273.815,276.343,282.325,290.207,288.852,291.297,303.856,305.772,309.268,318.933,319.625,317.611,322.407,324.373,331.572,331.823,336.248,341.207,343.718,347.355,348.857,349.602,354.053,359.459,362.454,363.845,358.875,2.58471,-0.461202,0.982526,-0.106696,0.0663496,1.04851,0.474671,-1.22294,-1.14415,-1.4764,1.27425,2.70331,-1.26296,0.749107,1.05178,1.05951,1.55419,-1.84198,-1.79691,0.463222,1.39713,-0.969066,-0.0926242,1.32302,-0.0439813,0.52786,1.22123,3.50267,0.764904,-0.434872,0.941856,-0.491479,-0.873431,-0.232228,-3.32061,5.12776,3.24217,0.0771783,3.42759,0.0786349,1.67102,3.28031,-0.659914,-3.1025,-2.90906,-1.96159,-1.55672,-1.73284,0.0137347,-0.910344,117.448,134.41,151.413,159.333,159.507,186.345,189.377,197.144,200.912,203.922,207.58,214.88,220.398,229.113,231.622,236.698,238.298,249.257,254.254,259.215,259.916,265.882,270.56,273.529,276.654,282.449,285.973,291.354,294.226,303.161,306.702,311.575,315.805,317.892,320.794,320.907,325.626,332.408,333.504,336.658,338.693,341.395,346.106,349.53,351.622,354.458,355.871,360.832,362.004,362.871
216.672,0.123605,0.425355,0.466052,0.278382,0.220882,0.00624623,0.0734862,0.320669,0.226583,0.327395,0.541669,0.31387,0.217223,0.123605,0.0734862,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.19,134.671,151.109,160.192,159.7,188.71,190.303,195.962,199.736,205.662,206.603,215.351,220.736,230.425,230.654,236.608,239.831,247.603,253.58,261.134,263.634,264.259,270.278,271.506,276.784,282.944,288.143,291.193,296.738,302.135,307.733,309.332,315.855,318.739,323.519,321.055,324.488,329.117,332.64,335.443,334.027,341.927,344.414,350.596,350.411,350.691,353.764,357.878,358.122,360.424,2.32142,-0.4424,0.930795,-0.0138849,0.0789978,0.978013,0.579405,-1.32848,-0.227661,-0.541749,1.17486,2.61039,-0.992033,0.840462,1.24973,1.13485,1.79157,-1.49579,-1.57248,0.350916,1.39969,-0.655816,0.0789241,1.38195,0.161845,0.612526,1.6718,4.01397,1.1985,-0.215849,1.13291,0.356468,-0.843429,-0.289366,-2.14338,4.87179,3.11269,0.391279,4.34567,0.802619,2.39621,4.06777,-0.355018,-2.40977,-1.44436,-0.610649,-0.838267,-1.1193,-0.37073,-0.588981,117.712,134.391,151.465,159.24,159.494,186.416,189.273,197.249,199.996,202.988,207.679,214.973,220.127,229.022,231.424,236.623,238.06,248.911,254.029,259.327,259.913,265.569,270.388,273.47,276.448,282.364,285.522,290.843,293.792,302.942,306.511,310.728,315.775,317.949,319.616,321.163,325.755,332.094,332.586,335.934,337.968,340.607,345.801,348.838,350.157,353.107,355.152,360.218,362.389,362.55
218.928,0.120778,0.420153,0.462234,0.262931,0.23878,0.00643888,0.0786112,0.296805,0.231162,0.295297,0.470284,0.349561,0.27364,0.120778,0.0786112,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.243,133.817,152.239,158.435,160.741,185.296,190.316,197.431,198.721,205.097,207.909,215.478,222.267,228.301,231.374,238.327,237.787,248.83,254.249,259.926,256.615,265.35,272.327,273.279,275.258,284.362,283.489,290.544,295.515,300.933,309.59,308.631,316.798,319.205,316.598,320.958,324.849,329.196,335.605,335.935,338.45,343.009,347.613,346.818,349.148,351.714,352.472,359.179,362.579,359.192,2.08899,-0.439127,0.876192,0.0349231,0.083601,0.889119,0.62429,-1.46441,0.625178,-0.320269,1.0479,2.44925,-0.883062,0.811235,1.27306,1.12608,1.83025,-1.30796,-1.43644,0.195868,1.31107,-0.553688,0.102985,1.28988,0.190726,0.556892,1.67649,4.10706,1.32756,-0.201709,1.04449,0.949582,-1.0464,-0.426472,-1.36511,4.33158,2.67276,0.497331,4.5808,1.08891,2.54269,4.19698,-0.316051,-1.84623,-0.757387,-0.117031,-0.494996,-0.991732,-0.432631,-1.08007,117.944,134.388,151.52,159.191,159.489,186.505,189.228,197.385,199.143,202.766,207.806,215.134,220.018,229.051,231.401,236.632,238.022,248.723,253.893,259.482,260.002,265.467,270.364,273.562,276.419,282.42,285.518,290.75,293.663,302.928,306.6,310.134,315.978,318.086,318.838,321.703,326.195,331.988,332.351,335.648,337.821,340.478,345.762,348.274,349.47,352.613,354.809,360.091,362.451,363.041
