# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_60N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1222146959 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_60N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,yhat.56,yhat.57,yhat.58,yhat.59,yhat.60,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,residual.56,residual.57,residual.58,residual.59,residual.60,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55,calcfq.56,calcfq.57,calcfq.58,calcfq.59,calcfq.60
-1034.64,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,122.955,134.335,152.447,159.897,160.436,189.614,190.62,202.32,204.268,205.66,212.646,223.666,222.287,234.62,238.228,244.707,248.686,253.623,256.311,264.806,263.425,271.564,276.182,280.07,281.481,286.901,296.478,300.966,308.603,314.464,318.922,325.406,325.106,328.185,332.858,335.767,336.942,342.213,343.554,346.164,353.503,356.512,357.837,364.991,365.718,369.935,370.692,372.758,380.878,382.703,382.194,382.607,386.66,390.778,393.626,398.825,399.307,405.134,404.672,408.554,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,-4.46536,-7.37875,-7.86127,-13.8955,-11.5452,-10.5137,-14.4574,-12.0655,-10.3374,-13.2351,-11.4103,-9.71636,-8.58775,-10.1554,-11.2225,-11.0121,-10.8158,-11.5751,-17.9185,-16.9429,-19.4404,-18.5533,-14.5567,-18.0618,-20.213,-17.9825,-17.3261,-15.908,-13.9423,-17.9767,-18.3196,-15.5691,-18.1194,-17.8173,-18.7721,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633,287.442,294.573,302.718,308.887,314.271,318.158,325.541,326.998,327.997,330.708,337.445,338.584,341.073,347.087,347.96,351.376,355.491,357.021,364.346,365.656,371.936,372.867,373.656,380.08,382.174,385.494,386.359,387.896,390.696,395.199,397.638,399.691,402.697,405.453,406.999
214.008,0.129149,0.434685,0.474202,0.32696,0.167964,0.00589138,0.0538627,0.375192,0.184521,0.40012,0.712879,0.220528,0.101699,0.129149,0.0538627,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.364,133.967,150.611,160.378,158.956,185.253,190.283,199.436,199.527,203.626,205.524,214.188,219.355,226.01,228.953,235.141,240.418,250.576,251.96,258.105,258.982,264.369,270.999,273.134,277.937,283.993,282.829,288.98,294.243,298.97,305.918,309.784,314.49,312.807,316.633,322.096,327.635,334.532,333.132,335.577,333.705,335.455,343.095,343.998,349.897,351.437,352.776,351.991,356.313,362.079,365.567,366.088,368.076,370.819,375.176,376.977,375.545,384.893,386.734,392.236,3.27488,-0.39694,1.17969,-0.0408805,0.084384,1.50347,0.674012,-0.321152,-0.883058,-1.57285,1.98826,3.87809,-0.251953,1.68581,2.11955,1.47831,2.06385,-1.59511,-1.65164,1.9727,2.56314,0.169564,0.624275,2.5464,0.933338,2.00952,3.36991,4.89486,2.79354,1.59595,2.77134,2.18625,2.08099,2.63722,0.745256,6.40835,6.40401,1.64777,5.38392,1.99776,3.44491,6.58298,2.1981,-0.264766,-1.37824,-1.09133,0.0640451,3.00938,4.13025,0.708247,3.27639,1.68924,3.56869,6.87839,3.72083,2.76962,5.73064,2.86351,4.00667,1.81346,116.758,134.346,151.216,159.267,159.489,185.891,189.178,196.242,200.651,204.019,206.866,213.705,219.387,228.176,230.554,236.28,237.788,249.01,254.109,257.705,258.75,264.743,269.843,272.306,275.677,280.967,283.824,289.962,292.197,301.13,304.873,308.898,312.851,315.023,316.728,319.627,322.464,330.837,331.548,334.739,336.919,338.092,343.248,346.693,350.091,353.587,354.25,356.09,357.888,361.253,364.235,367.344,368.419,369.876,373.501,376.548,378.391,381.714,383.629,386.414
260.008,0.130488,0.439362,0.475846,0.298998,0.164522,0.00586795,0.0701818,0.382479,0.229216,0.402528,0.633016,0.22282,0.126883,0.130488,0.0701818,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.18,134.786,151.831,157.243,157.227,187.53,187.433,197.668,203.508,203.637,209.055,215.431,221.701,229.682,230.159,239.298,238.774,248.084,254.28,257.317,261.987,267.112,275.792,273.835,275.972,283.402,283.458,292.916,293.974,302.7,308.244,313,315.943,320.112,320.756,318.203,326.012,333.352,335.081,337.015,342.738,339.796,347.779,351.869,353.949,354.71,354.417,364.969,362.726,364.451,369.299,375.267,376.859,382.603,381.752,382.314,381.419,384.251,390.068,389.643,2.45064,-0.48194,0.937684,-0.154533,0.0552137,0.943238,0.397211,-1.4539,-1.37901,-1.89244,1.11366,2.40218,-1.59848,0.437481,0.66471,0.900669,1.30149,-1.97647,-1.87093,0.186537,1.09599,-1.31834,-0.316,1.00186,-0.360257,0.207168,0.513006,2.91044,0.115723,-0.967265,0.378451,-1.04336,-1.58078,-1.0835,-3.93395,4.12368,2.39995,-0.424571,2.81336,-0.490799,1.00203,2.1935,-1.30056,-3.70659,-3.77559,-2.57337,-2.08466,-2.74265,-1.21899,-1.61691,-2.31488,-4.22642,-3.46952,-0.835759,-1.78716,-1.93156,0.818887,-1.46078,-1.62095,-2.6493,117.582,134.431,151.458,159.381,159.518,186.451,189.455,197.375,201.147,204.338,207.74,215.181,220.733,229.425,232.009,236.857,238.551,249.391,254.328,259.491,260.217,266.231,270.783,273.85,276.97,282.77,286.681,291.947,294.875,303.693,307.266,312.127,316.513,318.743,321.407,321.911,326.468,332.91,334.119,337.228,339.362,342.481,346.747,350.135,352.489,355.069,356.399,361.842,363.237,363.578,369.826,373.259,375.458,377.59,379.009,381.25,383.303,386.039,389.257,390.876
260.861,0.130253,0.438757,0.47555,0.301072,0.165404,0.00587399,0.0688423,0.381226,0.225643,0.40159,0.638838,0.223571,0.125619,0.130253,0.0688423,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.424,135.391,151.521,159.845,157.869,186.146,188.835,197.673,203.161,205.164,206.523,216.599,221.048,228.849,233.619,237.709,238.314,251.096,256.544,259.649,260.627,266.484,271.821,272.47,273.986,281.392,286.179,291.088,297.053,302.104,307.511,310.962,313.401,317.504,319.957,323.775,325.455,329.82,335.36,337.839,340.252,339.46,345.153,349.583,354.828,359.16,358.218,364.377,359.453,362.706,367.906,370.349,375.513,378.177,382.908,383.519,386.158,378.549,390.306,393.625,2.51707,-0.474586,0.957924,-0.144211,0.0581968,0.98803,0.42007,-1.35631,-1.33584,-1.85215,1.18164,2.51958,-1.49585,0.546156,0.791756,0.955426,1.37142,-1.94243,-1.85157,0.304117,1.21071,-1.19762,-0.237661,1.12669,-0.255363,0.331037,0.744754,3.098,0.33249,-0.770104,0.590781,-0.899526,-1.30271,-0.746584,-3.7897,4.54571,2.73706,-0.242714,2.99734,-0.300008,1.21503,2.56966,-1.05279,-3.50751,-3.49662,-2.45941,-1.91542,-2.3829,-0.832886,-1.22532,-2.05158,-3.89022,-3.13178,-0.28805,-1.05737,-1.65963,1.31623,-1.07233,-1.27047,-2.29687,117.516,134.424,151.438,159.37,159.515,186.406,189.432,197.277,201.104,204.298,207.672,215.063,220.631,229.316,231.882,236.803,238.481,249.357,254.309,259.374,260.102,266.111,270.705,273.725,276.865,282.646,286.449,291.759,294.659,303.496,307.053,311.984,316.235,318.407,321.263,321.489,326.131,332.728,333.935,337.037,339.149,342.105,346.499,349.936,352.21,354.955,356.229,361.482,362.851,363.186,369.563,372.923,375.12,377.042,378.279,380.978,382.806,385.65,388.906,390.524
261.183,0.129967,0.438193,0.475189,0.301744,0.166599,0.00588093,0.0682246,0.379785,0.223875,0.400168,0.640719,0.225153,0.125962,0.129967,0.0682246,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,115.99,134.072,152.8,158.865,159.907,185.559,188.401,198.708,199.714,205.054,208.56,214.308,222.454,229.251,232.497,237.286,238.195,246.859,256.437,260.801,258.9,266.263,270.209,269.462,274.719,284.26,287.314,289.54,293.319,303.165,304.989,310.441,316.542,321.349,324.154,320.831,324.185,331.845,333.784,336.343,339.423,342.945,351.101,349.084,354.822,356.646,356.726,362.12,359.403,360.734,370.292,372.557,376.069,376.287,381.121,374.749,382.982,386.243,390.218,390.939,2.54832,-0.470096,0.967989,-0.136978,0.0599833,1.01137,0.434687,-1.30497,-1.30565,-1.80939,1.21757,2.58184,-1.43562,0.606027,0.863092,0.986081,1.4136,-1.91719,-1.83688,0.369217,1.27334,-1.12509,-0.190927,1.1971,-0.193956,0.402461,0.880124,3.20794,0.458595,-0.657109,0.708902,-0.804341,-1.14689,-0.564494,-3.67024,4.75028,2.92151,-0.138852,3.11813,-0.183305,1.34937,2.78928,-0.907437,-3.38122,-3.32583,-2.36937,-1.8094,-2.16933,-0.527552,-1.10979,-1.87513,-3.68531,-2.90509,0.0344386,-0.657073,-1.5187,1.59485,-0.84166,-1.05521,-2.07094,117.485,134.419,151.428,159.363,159.513,186.383,189.417,197.226,201.074,204.255,207.636,215.001,220.571,229.256,231.811,236.772,238.438,249.332,254.294,259.309,260.04,266.038,270.658,273.655,276.804,282.575,286.314,291.649,294.532,303.383,306.935,311.888,316.079,318.224,321.143,321.285,325.946,332.624,333.814,336.92,339.015,341.886,346.353,349.809,352.039,354.865,356.123,361.268,362.546,363.071,369.386,372.718,374.893,376.72,377.879,380.837,382.527,385.42,388.691,390.298
261.524,0.129448,0.437338,0.474534,0.30153,0.168765,0.00589242,0.0679038,0.377317,0.222734,0.397438,0.64007,0.22841,0.128007,0.129448,0.0679038,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.522,133.755,150.306,159.703,159.347,184.425,189.385,197.412,201.932,206.012,207.228,215.04,219.154,228.85,230.173,236.232,240.51,245.645,253.646,264.777,261.912,266.416,270.205,272.423,276.321,281.6,286.474,291.724,294.017,303.87,304.407,309.36,316.121,317.148,321.295,322.445,328.727,332.458,335.07,340.284,337.452,342.882,344.478,347.974,353.217,355.367,357.386,362.827,361.822,363.841,370.302,371.58,376.433,377.217,378.294,382.882,376.932,386.847,390.022,386.935,2.56566,-0.46552,0.974713,-0.12827,0.0617918,1.02877,0.45044,-1.26515,-1.26924,-1.73928,1.24505,2.62997,-1.37963,0.656876,0.925855,1.01353,1.45587,-1.88469,-1.81754,0.422432,1.32477,-1.05358,-0.145264,1.25942,-0.136433,0.466631,1.00668,3.31406,0.575429,-0.555608,0.813272,-0.703861,-1.01269,-0.418433,-3.52792,4.90057,3.07549,-0.0415534,3.25097,-0.0638506,1.49221,2.99722,-0.771568,-3.25386,-3.14565,-2.24676,-1.69844,-1.96768,-0.274726,-1.01446,-1.67855,-3.48681,-2.66212,0.318476,-0.325265,-1.39756,1.85107,-0.616673,-0.844585,-1.83023,117.467,134.415,151.421,159.354,159.511,186.365,189.402,197.186,201.037,204.185,207.609,214.953,220.515,229.205,231.748,236.744,238.396,249.3,254.275,259.256,259.988,265.967,270.612,273.593,276.746,282.51,286.187,291.543,294.416,303.282,306.831,311.788,315.945,318.078,321.001,321.134,325.793,332.527,333.681,336.801,338.872,341.678,346.218,349.682,351.859,354.743,356.012,361.067,362.293,362.975,369.19,372.52,374.65,376.436,377.547,380.716,382.271,385.195,388.481,390.057
262.081,0.128528,0.436009,0.47337,0.299524,0.172609,0.00591125,0.0682425,0.373069,0.223038,0.392357,0.634156,0.234672,0.133401,0.128528,0.0682425,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.513,135.04,151.38,157.591,159.191,186.551,189.686,199.552,201.216,204.676,206.129,216.286,220.924,231.426,233.448,240.794,237.186,247.365,251.296,259.201,260.726,266.391,271.363,271.53,275.349,282.396,287.878,289.091,297.367,302.7,308.167,312.709,317.763,320.683,319.177,322.747,327.387,332.955,335.019,338.239,339.064,340.299,345.255,349.047,351.255,353.8,354.139,360.164,364.321,362.888,368.472,376.682,374.581,376.82,374.553,380.136,380.768,385.467,388.937,391.225,2.55169,-0.461408,0.973574,-0.117704,0.0634372,1.03126,0.46627,-1.2547,-1.22281,-1.62333,1.25069,2.64157,-1.34088,0.682222,0.962503,1.03104,1.49256,-1.84159,-1.79116,0.441116,1.34542,-0.994446,-0.108415,1.2958,-0.0956371,0.504833,1.09567,3.39909,0.656297,-0.493666,0.876227,-0.612088,-0.944711,-0.367582,-3.43902,4.99799,3.14278,0.0297603,3.38736,0.0457197,1.63038,3.15207,-0.677404,-3.14914,-2.96287,-2.07554,-1.59213,-1.82119,-0.193199,-0.945085,-1.47158,-3.33793,-2.44146,0.458726,-0.173195,-1.32307,2.0309,-0.432046,-0.677825,-1.61809,117.481,134.41,151.422,159.344,159.51,186.363,189.386,197.176,200.991,204.069,207.603,214.941,220.476,229.18,231.711,236.727,238.359,249.257,254.248,259.237,259.968,265.907,270.575,273.556,276.706,282.472,286.098,291.458,294.335,303.22,306.768,311.696,315.877,318.028,320.912,321.037,325.725,332.455,333.545,336.691,338.734,341.523,346.123,349.577,351.676,354.572,355.906,360.92,362.211,362.906,368.983,372.371,374.429,376.295,377.395,380.641,382.091,385.01,388.314,389.845
264.336,0.122982,0.428157,0.466323,0.285224,0.196411,0.00602733,0.0714668,0.345431,0.226724,0.35817,0.586217,0.275324,0.174281,0.122982,0.0714668,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.156,134.329,152.58,159.298,159.864,186.624,189.484,196.147,200.29,201.801,207.062,215.408,221.423,230.534,235.815,237.217,236.371,247.426,254.178,255.874,257.112,265.468,268.087,271.836,274.619,282.57,285.316,291.162,293.759,302.769,307.522,314.707,314.368,317.049,321.363,318.417,323.63,329.718,330.809,336.978,340.262,340.295,348.348,348.505,350.995,349.573,355.946,360.895,366.134,360.901,366.001,371.632,373.477,377.066,376.886,385.846,383.336,381.167,385.416,390.913,2.41125,-0.43907,0.951605,-0.0517412,0.072806,1.01661,0.558682,-1.25247,-0.812291,-0.933586,1.23871,2.64366,-1.13405,0.789101,1.13636,1.1156,1.68964,-1.56852,-1.62018,0.482357,1.41575,-0.666631,0.0872718,1.45643,0.111827,0.682273,1.54456,3.85458,1.07541,-0.19615,1.17432,-0.0332925,-0.684823,-0.21695,-2.58734,5.09825,3.34371,0.411749,4.18893,0.688809,2.40723,3.96744,-0.196822,-2.55649,-1.77726,-1.07184,-0.981485,-1.06523,-0.0200774,-0.582062,-0.148738,-2.55963,-1.2401,1.00729,0.368667,-0.953957,3.02357,0.588252,0.306774,-0.496464,117.622,134.388,151.444,159.278,159.5,186.377,189.293,197.173,200.58,203.38,207.615,214.939,220.269,229.073,231.538,236.642,238.162,248.984,254.077,259.196,259.897,265.58,270.38,273.396,276.498,282.295,285.649,291.002,293.916,302.922,306.47,311.117,315.617,317.877,320.06,320.937,325.524,332.073,332.743,336.048,337.957,340.708,345.643,348.984,350.49,353.568,355.295,360.164,362.038,362.543,367.66,371.593,373.228,375.747,376.853,380.272,381.098,383.99,387.329,388.723
266.422,0.121588,0.426476,0.464569,0.279147,0.201968,0.00605495,0.0736646,0.338672,0.230567,0.348952,0.56498,0.286226,0.189121,0.121588,0.0736646,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.029,135.178,152.236,156.776,159.726,185.091,188.342,196.948,200.865,199.207,208.75,214.711,221.124,226.931,231.558,237.278,238.004,250.704,256.874,257.119,257.814,263.64,272.464,273.833,277.503,280.326,284.702,291.781,294.784,299.58,306.471,313.375,313.999,318.58,318.13,322.288,328.594,330.784,332.461,340.615,337.609,338.872,345.442,348.454,350.66,353.95,358.679,359.812,362.935,363.288,370.911,371.458,370.529,373.954,383.498,383.136,381.874,382.048,387.155,387.671,2.30879,-0.438698,0.926387,-0.0405045,0.072953,0.97178,0.567205,-1.34109,-0.674217,-0.803835,1.17451,2.53939,-1.15687,0.726958,1.08005,1.09286,1.68111,-1.5133,-1.58205,0.391803,1.33987,-0.669187,0.0775962,1.39402,0.0804495,0.624999,1.45931,3.82669,1.02659,-0.276788,1.07993,0.0371651,-0.853213,-0.430582,-2.40606,4.73893,3.08615,0.34375,4.26477,0.731746,2.41903,3.88071,-0.265633,-2.52431,-1.62082,-0.908695,-0.913886,-1.11899,-0.444404,-0.656025,0.076045,-2.60414,-1.18976,0.649128,-0.117548,-1.02001,2.87552,0.604413,0.365273,-0.573061,117.724,134.388,151.47,159.267,159.5,186.422,189.285,197.262,200.442,203.25,207.679,215.044,220.292,229.135,231.594,236.665,238.171,248.928,254.039,259.286,259.973,265.582,270.389,273.458,276.53,282.352,285.735,291.03,293.964,303.003,306.564,311.047,315.785,318.091,319.879,321.296,325.782,332.141,332.667,336.005,337.945,340.794,345.712,348.952,350.334,353.405,355.228,360.218,362.462,362.617,367.435,371.637,373.178,376.105,377.34,380.338,381.246,383.974,387.271,388.8
273.41,0.116603,0.421001,0.458352,0.25329,0.220306,0.00614777,0.0838557,0.315111,0.246162,0.314394,0.46777,0.326723,0.255816,0.116603,0.0838557,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.833,134.977,152.367,157.952,159.632,186.907,190.077,199.985,201.919,205.294,208.714,215.696,223.738,230.908,232.088,234.465,236.629,246.952,253.381,257.963,261.417,265.196,269.587,274.553,278.863,280.023,284.929,289.131,297.437,302.556,308.006,310.642,319.576,315.955,319.169,321.232,325.034,336.446,334.692,333.078,335.825,337.214,346.92,351.151,348.339,353.041,353.876,358.043,362.545,366.832,367.494,373.677,373.583,377.537,379.167,384.093,382.278,386.451,386.027,389.434,1.8384,-0.442587,0.804181,-0.000959449,0.0699464,0.756413,0.590726,-1.77982,0.0839306,-0.534298,0.877847,2.04306,-1.2697,0.402803,0.775486,0.939106,1.53633,-1.30753,-1.42581,0.0167753,0.991584,-0.731109,-0.0189676,1.06053,-0.103112,0.348558,0.885671,3.49747,0.772799,-0.665697,0.472832,0.441697,-1.63072,-1.01416,-1.86235,3.13299,1.80403,0.0372626,4.1018,0.715875,2.22758,3.22212,-0.606239,-2.22558,-1.18446,-0.554561,-0.683017,-1.36554,-0.70561,-2.49149,0.712561,-2.66124,-1.01468,-0.496012,-1.99393,-1.60753,1.75617,0.102847,0.387258,-1.02107,118.195,134.392,151.592,159.227,159.503,186.638,189.261,197.701,199.684,202.98,207.976,215.54,220.405,229.459,231.899,236.819,238.316,248.723,253.883,259.661,260.321,265.644,270.486,273.791,276.713,282.628,286.308,291.36,294.218,303.392,307.171,310.642,316.563,318.674,319.335,322.902,327.064,332.448,332.83,336.021,338.136,341.453,346.052,348.654,349.897,353.051,354.997,360.465,362.724,364.452,366.798,371.694,373.003,377.25,379.216,380.926,382.366,384.475,387.249,389.248
