# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_15N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1208691333 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_15N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15
-33.5275,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,122.135,135.038,153.497,159.917,159.875,188.795,191.816,201.294,204.93,207.414,212.469,220.201,225.105,234.407,237.942,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99
53.6302,0.139833,0.450496,0.487318,0.257575,0.18818,0.00550034,0.0964603,0.377829,0.287335,0.387295,0.489397,0.265765,0.197172,0.139833,0.0964603,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.047,135.073,150.789,158.676,159.596,187.635,189.418,199.692,198.841,202.768,208.357,217.293,222.342,230.184,234.457,1.20962,-0.624287,0.548307,-0.287342,-0.0125025,0.149669,0.027389,-3.36051,-1.67541,-1.97877,-0.0361854,0.465171,-2.9162,-1.36788,-1.37591,118.823,134.573,151.848,159.513,159.586,187.244,189.825,199.282,201.443,204.425,208.89,217.118,222.051,231.23,234.05
56.3024,0.138258,0.444909,0.484964,0.280618,0.208633,0.00550398,0.0821452,0.355155,0.252582,0.364975,0.537412,0.28756,0.199007,0.138258,0.0821452,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.168,134.983,151.216,158.954,158.242,187.181,189.902,200.794,199.543,204.595,208.57,215.281,222.147,227.423,230.02,1.87734,-0.556397,0.760203,-0.19425,0.0403327,0.560492,0.22045,-2.35689,-1.16734,-1.43515,0.534254,1.50255,-2.1198,-0.317492,-0.122736,118.156,134.505,151.636,159.42,159.533,186.834,189.632,198.278,200.935,203.881,208.32,216.08,221.255,230.179,232.797
58.9868,0.136438,0.441008,0.481572,0.264075,0.252922,0.00551078,0.0884664,0.308173,0.252282,0.300119,0.425865,0.358713,0.301537,0.136438,0.0884664,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.475,134.812,152.279,158.757,159.787,187.811,189.482,199.468,200.569,202.567,208.886,213.212,223.468,232.608,230.71,1.60417,-0.555265,0.695767,-0.105726,0.051828,0.469944,0.294796,-2.45965,0.201632,-0.870032,0.402898,1.39127,-1.76294,-0.218171,0.134446,118.429,134.504,151.7,159.332,159.521,186.924,189.557,198.381,199.566,203.316,208.451,216.192,220.898,230.08,232.54
63.4627,0.134497,0.438033,0.47766,0.240852,0.302105,0.00548841,0.0985903,0.246961,0.236926,0.208785,0.20157,0.445002,0.504982,0.134497,0.0985903,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.441,134.103,152.696,159.162,160.233,187.718,189.181,195.589,198.684,202.535,209.291,213.957,222.469,228.205,232.614,1.18287,-0.551233,0.598856,0.0609005,0.0704757,0.368988,0.455873,0.151639,0.627942,-0.695546,0.261585,1.44287,-0.981306,0.223078,0.774926,118.85,134.5,151.797,159.165,159.503,187.025,189.396,195.769,199.14,203.142,208.592,216.14,220.116,229.639,231.899
63.7339,0.134306,0.438052,0.477252,0.234183,0.308097,0.00548367,0.101934,0.239155,0.233948,0.19484,0.147548,0.458318,0.550313,0.134306,0.101934,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.849,134.938,152.751,158.296,159.562,185.616,189.975,193.813,200.366,203.327,210.427,214.836,219.456,230.31,231.758,1.04132,-0.555832,0.560773,0.0866559,0.0711656,0.320068,0.476594,0.797084,0.466856,-0.733702,0.200019,1.40294,-0.880888,0.269582,0.828993,118.992,134.505,151.835,159.139,159.502,187.074,189.375,195.124,199.301,203.18,208.654,216.18,220.016,229.592,231.845
64.2121,0.134406,0.438552,0.47745,0.230755,0.306295,0.00548295,0.103899,0.242057,0.237208,0.19711,0.141535,0.45763,0.550726,0.134406,0.103899,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.601,135.492,152.429,157.912,159.889,186.928,190.87,197.305,199.876,203.731,209.526,217.331,220.456,229.256,233.043,0.953005,-0.563952,0.531783,0.0720198,0.0668534,0.266754,0.451861,0.710947,0.32901,-0.790391,0.135598,1.26531,-0.983345,0.139346,0.690341,119.08,134.513,151.864,159.154,159.506,187.127,189.4,195.21,199.439,203.236,208.718,216.318,220.118,229.723,231.984
65.176,0.134693,0.44037,0.47806,0.217862,0.300435,0.00547005,0.111254,0.251563,0.248207,0.203806,0.115496,0.456427,0.555864,0.134693,0.111254,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.147,134.897,151.55,159.871,159.695,187.4,187.43,196.523,200.272,203.106,210.736,216.508,220.682,231.891,230.948,0.628138,-0.592424,0.424915,0.02434,0.0511562,0.0767563,0.371068,0.479804,-0.172071,-0.988534,-0.0891115,0.796006,-1.31309,-0.301026,0.22537,119.405,134.541,151.971,159.202,159.522,187.317,189.481,195.441,199.94,203.435,208.943,216.787,220.448,230.163,232.449
65.2793,0.134725,0.441023,0.478221,0.2132,0.298265,0.00545367,0.113911,0.254995,0.2521,0.206258,0.106562,0.455908,0.557236,0.134725,0.113911,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,120.536,135.075,149.812,159.469,158.744,186.855,187.125,196.408,201.808,204.646,209.874,215.349,219.837,231.83,232.7,0.512619,-0.602144,0.386559,0.00798919,0.0453264,0.0101717,0.344246,0.398704,-0.349319,-1.05665,-0.165813,0.635917,-1.4231,-0.452213,0.0669484,119.52,134.551,152.009,159.218,159.528,187.384,189.508,195.522,200.117,203.503,209.02,216.947,220.558,230.314,232.607
65.3115,0.134646,0.441162,0.478207,0.211807,0.297607,0.00543613,0.114678,0.255949,0.253186,0.206923,0.103903,0.455775,0.557676,0.134646,0.114678,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.656,135.461,152.994,159.429,160.65,186.732,189.004,194.55,199.72,203.31,209.664,217.73,222.009,230.058,234.664,0.479572,-0.604516,0.375691,0.003889,0.0437006,-0.00824151,0.337854,0.378804,-0.398466,-1.07485,-0.186364,0.592463,-1.45207,-0.492838,0.0244299,119.553,134.554,152.02,159.222,159.529,187.402,189.514,195.542,200.166,203.521,209.04,216.991,220.587,230.355,232.65
