# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_65N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1276045794 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_65N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,yhat.56,yhat.57,yhat.58,yhat.59,yhat.60,yhat.61,yhat.62,yhat.63,yhat.64,yhat.65,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,residual.56,residual.57,residual.58,residual.59,residual.60,residual.61,residual.62,residual.63,residual.64,residual.65,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55,calcfq.56,calcfq.57,calcfq.58,calcfq.59,calcfq.60,calcfq.61,calcfq.62,calcfq.63,calcfq.64,calcfq.65
-1335.16,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,122.473,135.313,153.185,158.97,160.567,188.545,189.946,204.394,204.603,208.77,212.694,219.919,224.548,234.899,236.738,243.141,248.746,252.481,256.234,264.196,265.167,273.259,277.831,281.616,280.828,289.665,293.529,303.956,306.151,317.525,317.879,328.744,325.285,328.129,330.516,333.467,339.598,341.383,347.862,348.285,347.155,355.065,358.514,365.365,365.081,371.89,370.944,374.071,377.617,380.424,388.085,390.356,385.75,391.234,395.82,397.921,400.507,401.49,406.802,413.605,409.638,409.836,413.594,423.536,427.242,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,-4.46536,-7.37875,-7.86127,-13.8955,-11.5452,-10.5137,-14.4574,-12.0655,-10.3374,-13.2351,-11.4103,-9.71636,-8.58775,-10.1554,-11.2225,-11.0121,-10.8158,-11.5751,-17.9185,-16.9429,-19.4404,-18.5533,-14.5567,-18.0618,-20.213,-17.9825,-17.3261,-15.908,-13.9423,-17.9767,-18.3196,-15.5691,-18.1194,-17.8173,-18.7721,-16.245,-19.1864,-22.277,-26.9619,-29.1081,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633,287.442,294.573,302.718,308.887,314.271,318.158,325.541,326.998,327.997,330.708,337.445,338.584,341.073,347.087,347.96,351.376,355.491,357.021,364.346,365.656,371.936,372.867,373.656,380.08,382.174,385.494,386.359,387.896,390.696,395.199,397.638,399.691,402.697,405.453,406.999,408.301,411.207,414.898,422.439,425.415
220.373,0.131992,0.444962,0.477566,0.276422,0.159214,0.00572852,0.0842699,0.391882,0.264594,0.407288,0.569922,0.220706,0.143382,0.131992,0.0842699,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.197,136.1,151.915,160.294,160.021,187.079,190.294,196.824,200.487,203.333,207.514,216.565,220.611,230.878,233.059,237.678,238.091,248.316,255.376,260.128,260.454,267.193,271.414,274.342,278.951,282.011,292.029,295.915,297.784,305.284,308.454,310.575,318.754,321.822,324.518,323.691,333.002,334.553,335.8,337.754,340.26,345.607,351.795,354.462,352.957,354.811,361.417,362.226,364.23,367.338,375.856,375.792,378.458,382.374,382.939,385.455,389.065,393.998,387.765,395.417,394.159,394.182,400.896,402.905,404.325,1.77161,-0.549939,0.730013,-0.238423,0.0183629,0.512058,0.200891,-2.44069,-1.74505,-2.17613,0.480689,1.3001,-2.46973,-0.619036,-0.569569,0.30448,0.586519,-2.26101,-2.02866,-0.736343,0.0656778,-2.39761,-1.02949,-0.157849,-1.277,-0.802181,-1.49687,0.920302,-1.81525,-2.64035,-1.87293,-1.95874,-3.96082,-3.87676,-5.14249,0.228498,-0.693624,-2.42217,1.36657,-2.34328,-0.860262,-1.3306,-3.4114,-5.11847,-6.3851,-3.66211,-3.73514,-4.9147,-3.77247,-7.36024,-4.39275,-6.65004,-5.73849,-3.81471,-5.63922,-6.43414,-4.34083,-6.09363,-5.35112,-5.60951,-3.53716,-5.23723,-7.21672,-7.09482,-7.25139,118.261,134.499,151.666,159.464,159.555,186.882,189.651,198.362,201.513,204.622,208.373,216.283,221.605,230.481,233.244,237.454,239.265,249.676,254.486,260.414,261.247,267.311,271.496,275.01,277.887,283.779,288.691,293.937,296.806,305.366,309.517,313.043,318.893,321.537,322.615,325.807,329.562,334.907,335.565,339.08,341.224,346.006,348.857,351.546,355.098,356.158,358.049,364.014,365.79,369.321,371.904,375.683,377.726,380.569,382.861,385.752,388.463,390.672,392.987,393.837,395.593,397.258,399.838,402.572,403.558
283.132,0.130463,0.43999,0.475665,0.307531,0.163707,0.00573058,0.0662293,0.383648,0.219184,0.403961,0.654739,0.219,0.118827,0.130463,0.0662293,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.806,133.021,153.732,160.134,159.87,186.474,191.189,197.031,199.92,204.237,207.962,214.212,220.058,228.815,234.681,238.595,237.803,249.3,255.388,256.955,255.322,264.46,268.252,274.148,273.824,288.399,284.179,292.853,293.831,300.174,306.734,312.761,318.311,318.739,322.286,319.286,327.161,329.883,332.924,333.441,337.327,341.365,348.637,350.663,351.155,354.314,355.31,360.987,362.451,366.037,368.837,373.003,374.112,375.528,376.612,381.623,379.216,384.14,389.675,389.934,391.406,397.536,397.271,397.12,401.434,2.64522,-0.464373,0.994301,-0.13438,0.0619914,1.06669,0.449878,-1.19118,-1.30045,-1.89989,1.29927,2.72013,-1.34448,0.714813,0.981172,1.03603,1.46081,-1.91627,-1.83906,0.514959,1.40016,-1.02374,-0.124647,1.3245,-0.100687,0.533532,1.08837,3.3411,0.659447,-0.457284,0.913468,-0.681828,-0.84438,-0.179231,-3.23542,4.86536,3.29144,0.0219982,3.23374,-0.0404372,1.49016,3.11687,-0.662204,-3.19235,-3.16345,-2.40774,-1.69491,-1.82403,0.168099,-0.968244,-1.691,-3.35589,-2.57777,0.705876,0.0967814,-1.2837,2.02687,-0.516344,-0.702943,-1.7373,1.71021,-2.40509,-2.71086,-1.19006,-3.63745,117.388,134.413,151.402,159.36,159.511,186.327,189.402,197.112,201.068,204.346,207.555,214.863,220.479,229.147,231.693,236.722,238.391,249.331,254.296,259.163,259.913,265.937,270.592,273.527,276.711,282.443,286.106,291.516,294.332,303.183,306.731,311.766,315.776,317.839,320.708,321.17,325.577,332.463,333.698,336.777,338.874,341.558,346.108,349.62,351.876,354.904,356.009,360.923,361.85,362.929,369.202,372.389,374.566,376.048,377.125,380.602,382.095,385.094,388.339,389.964,390.346,394.426,395.332,396.667,399.944
283.339,0.130235,0.439617,0.475394,0.307488,0.16443,0.00573641,0.0660642,0.382743,0.218644,0.403015,0.654786,0.22009,0.119403,0.130235,0.0660642,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.037,133.596,149.457,158.859,157.232,184.819,191.933,195.756,200.497,204.726,205.306,215.44,220.46,227.2,231.553,237.152,236.564,250.58,254.573,261.066,258.936,267.102,270.949,276.568,275.608,284.874,285.689,290.156,293.136,302.989,307.881,310.172,316.807,318.818,321.029,319.225,325.415,333.937,331.709,335.655,339.902,339.389,343.812,349.271,352.287,357.34,351.68,361.317,361.048,366.474,372.603,371.267,373.985,375.447,375.775,382.312,378.757,384.021,388.459,387.724,390.337,394.146,393.063,398.809,396.352,2.65402,-0.462315,0.997542,-0.130781,0.0627379,1.07499,0.45679,-1.17254,-1.28638,-1.87326,1.31243,2.74262,-1.31954,0.73756,1.00888,1.04808,1.47879,-1.90232,-1.8307,0.541196,1.42401,-0.991501,-0.104033,1.3533,-0.0748037,0.563948,1.14508,3.38714,0.711922,-0.410242,0.960289,-0.635355,-0.781269,-0.111433,-3.15156,4.91382,3.36333,0.0652545,3.29354,0.0126255,1.55384,3.20999,-0.598376,-3.13137,-3.08792,-2.35689,-1.64557,-1.73157,0.287929,-0.928172,-1.60079,-3.2622,-2.45638,0.847608,0.239216,-1.23077,2.14066,-0.415343,-0.60236,-1.61629,1.81216,-2.32477,-2.56794,-1.10252,-3.51062,117.379,134.411,151.398,159.357,159.51,186.319,189.395,197.094,201.054,204.319,207.542,214.84,220.455,229.124,231.665,236.71,238.373,249.317,254.288,259.137,259.889,265.905,270.571,273.499,276.685,282.413,286.049,291.47,294.279,303.136,306.684,311.719,315.713,317.771,320.625,321.121,325.505,332.42,333.638,336.724,338.81,341.465,346.044,349.559,351.801,354.853,355.96,360.831,361.73,362.889,369.112,372.295,374.444,375.906,376.983,380.549,381.981,384.993,388.238,389.843,390.244,394.346,395.189,396.58,399.818
284.596,0.128623,0.437187,0.473477,0.303781,0.169727,0.00578476,0.0667026,0.376344,0.219522,0.395721,0.645523,0.229062,0.127069,0.128623,0.0667026,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.245,134.13,150.839,158.314,159.463,184.287,187.077,196.222,201.009,203.409,205.858,216.356,221.686,227.376,233.592,235.407,236.491,251.454,255.952,260.652,260.483,264.478,270.264,273.717,279.513,278.595,284.874,292.776,294.155,301.765,309.168,308.128,314.399,315.892,322.243,320.464,328.416,331.375,333.682,335.107,339.143,343.219,345.883,350.598,353.723,358.008,355.761,360.099,359.332,360.889,370.69,373.266,373.038,377.577,377.555,376.939,380.564,384.881,388.668,389.195,387.738,395.05,392.481,395.846,395.985,2.62675,-0.455816,0.994496,-0.115051,0.0650396,1.07645,0.480983,-1.16018,-1.22557,-1.69522,1.31825,2.75295,-1.26726,0.769795,1.05673,1.07254,1.53164,-1.8329,-1.78768,0.566566,1.44945,-0.901015,-0.0473043,1.40731,-0.0152781,0.621401,1.27435,3.51276,0.825234,-0.319658,1.05126,-0.506558,-0.68307,-0.0537112,-3.09458,5.11687,3.46058,0.17564,3.5084,0.179077,1.77751,3.44173,-0.45185,-2.97302,-2.8101,-2.08592,-1.48536,-1.52018,0.390759,-0.823266,-1.28718,-3.0341,-2.11027,1.04885,0.451512,-1.12273,2.41182,-0.142143,-0.378249,-1.25502,2.00897,-2.00216,-2.10831,-0.827884,-2.90496,117.406,134.405,151.402,159.341,159.508,186.318,189.371,197.081,200.994,204.141,207.536,214.83,220.402,229.092,231.617,236.685,238.32,249.248,254.245,259.111,259.864,265.814,270.514,273.445,276.625,282.356,285.92,291.344,294.166,303.046,306.593,311.591,315.615,317.714,320.568,320.918,325.407,332.309,333.424,336.558,338.586,341.233,345.898,349.401,351.523,354.582,355.799,360.619,361.627,362.784,368.798,372.067,374.098,375.705,376.77,380.441,381.71,384.72,388.014,389.482,390.047,394.023,394.729,396.305,399.212
288.997,0.123185,0.429164,0.466987,0.287393,0.188208,0.00596172,0.0708856,0.353311,0.226655,0.368119,0.598736,0.262656,0.16172,0.123185,0.0708856,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.287,132.091,151.435,159.75,159.06,186.252,190.092,196.907,201.155,204.805,207.67,214.873,218.556,226.253,232.681,237.347,236.778,250.379,256.33,260.491,258.915,266.226,267.821,274.435,275.894,284.85,285.181,289.493,293.88,303.454,308.612,311.322,317.025,315.835,321.667,319.167,326.929,333.977,332.876,336.888,337.368,343.171,345.029,346.572,346.977,351.897,353.802,362.527,363.925,359.651,368.148,368.971,371.375,370.819,375.594,383.454,377.916,384.289,387.025,388.263,388.598,392.153,391.905,394.85,395.699,2.43646,-0.440247,0.956499,-0.0656595,0.0703574,1.02362,0.546281,-1.24007,-0.950442,-1.0993,1.24986,2.64397,-1.18515,0.764109,1.09159,1.10181,1.64527,-1.6035,-1.64123,0.50404,1.40874,-0.696875,0.0719835,1.45567,0.0807158,0.680506,1.47158,3.77315,1.00857,-0.217659,1.15163,-0.161954,-0.677244,-0.223065,-2.7473,5.12267,3.36454,0.382882,4.09339,0.614986,2.33874,3.87426,-0.203109,-2.62229,-1.94231,-1.25524,-1.05686,-1.12251,0.0189125,-0.614184,-0.293748,-2.6096,-1.312,0.978708,0.365989,-0.960223,2.90148,0.493857,0.210415,-0.539748,2.08592,-1.0198,-1.02993,-0.241169,-0.906186,117.597,134.389,151.44,159.292,159.503,186.37,189.306,197.161,200.718,203.545,207.604,214.939,220.32,229.098,231.582,236.656,238.207,249.018,254.098,259.174,259.904,265.61,270.395,273.396,276.529,282.296,285.722,291.084,293.982,302.944,306.492,311.246,315.609,317.883,320.22,320.912,325.503,332.102,332.839,336.122,338.025,340.801,345.649,349.05,350.655,353.751,355.371,360.222,361.999,362.575,367.805,371.643,373.3,375.775,376.856,380.278,381.221,384.084,387.426,388.767,389.97,393.041,393.651,395.718,397.213
290.857,0.116955,0.419952,0.459499,0.266109,0.210448,0.00618474,0.0769213,0.323567,0.23454,0.330389,0.524542,0.306749,0.217758,0.116955,0.0769213,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.664,135.122,152.264,158.046,159.46,186.395,189.467,196.761,199.349,203.671,208.946,215.093,218.502,227.552,231.532,238.484,235.777,247.718,257.008,259.099,260.155,264.579,268.503,276.329,279.399,279.434,283.305,289.223,292.149,304.642,307.665,309.145,319.327,315.772,319.37,321.015,327.076,328.265,331.111,335.438,337.259,339.636,348.167,352.364,349.514,352,355.647,357.178,362.909,362.668,367.9,371.421,372.474,374.535,378.348,380.427,381.855,381.213,388.992,384.841,387.349,393.736,389.183,396.124,395.819,2.16393,-0.421066,0.898916,0.00368503,0.0770195,0.941966,0.63518,-1.37465,-0.249066,-0.521489,1.14484,2.4865,-1.04513,0.756827,1.14401,1.13287,1.76628,-1.28653,-1.43101,0.416674,1.36607,-0.408148,0.222294,1.50169,0.20253,0.762006,1.68316,4.08622,1.29689,-0.068274,1.27046,0.49682,-0.709898,-0.330274,-1.69311,4.64966,3.1126,0.602377,4.8712,1.22156,3.00546,4.41899,0.184377,-1.98648,-0.629342,-0.352215,-0.432945,-0.530428,-0.242928,-0.524409,1.26056,-1.90614,-0.24416,0.917133,0.112357,-0.649224,3.60021,1.33536,1.18352,0.272312,2.25217,0.373992,0.234755,0.833677,1.06905,117.869,134.37,151.497,159.222,159.496,186.452,189.217,197.296,200.017,202.967,207.709,215.096,220.18,229.105,231.53,236.625,238.086,248.702,253.888,259.261,259.947,265.321,270.245,273.35,276.407,282.215,285.511,290.771,293.694,302.794,306.374,310.587,315.642,317.99,319.166,321.385,325.755,331.883,332.061,335.515,337.359,340.256,345.262,348.414,349.342,352.848,354.747,359.629,362.261,362.485,366.25,370.939,372.232,375.837,377.11,379.967,380.522,383.243,386.452,387.955,389.804,391.647,392.386,394.643,395.238
293.965,0.118211,0.422442,0.461318,0.268578,0.199251,0.0061326,0.0769323,0.336382,0.23735,0.346412,0.54259,0.288344,0.197563,0.118211,0.0769323,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.079,135.35,151.923,158.505,159.383,188.528,188.645,196.837,199.54,202.552,206.647,213.698,222.526,231.953,232.08,238.27,237.026,248.471,255.522,262.34,260.91,266.566,269.367,275.523,274.565,281.062,285.619,291.843,294.534,301.798,308.405,312.911,315.385,316.633,319.099,319.703,324.26,336.009,330.426,334.929,337.265,341.664,345.18,349.731,354.375,353.967,354.285,360.232,361.793,363.323,366.869,370.375,373.818,377.384,376.094,384.159,382.144,385.202,388.814,389.219,388.386,393.328,392.595,395.998,398.924,2.15631,-0.432966,0.889695,-0.0315728,0.0700424,0.911194,0.584323,-1.45692,-0.605748,-0.748563,1.09731,2.37707,-1.23105,0.608113,0.949187,1.05127,1.62829,-1.40762,-1.50635,0.32115,1.23804,-0.621662,0.097523,1.35477,0.0359305,0.603274,1.31086,3.75267,0.954792,-0.344544,0.980037,0.0882891,-1.00701,-0.681315,-2.17149,4.25705,2.782,0.281644,4.44314,0.848368,2.55914,3.8131,-0.191876,-2.39168,-1.30827,-0.763041,-0.756842,-1.03285,-0.493967,-1.14276,0.613261,-2.43736,-0.843111,0.243409,-0.682766,-1.02115,2.70829,0.710534,0.597865,-0.373445,1.65364,-0.244742,-0.742848,-0.102344,0.4603,117.877,134.382,151.506,159.258,159.503,186.483,189.268,197.378,200.374,203.195,207.757,215.206,220.366,229.254,231.725,236.707,238.224,248.823,253.963,259.357,260.075,265.535,270.369,273.497,276.574,282.374,285.883,291.104,294.036,303.071,306.664,310.996,315.939,318.341,319.644,321.778,326.086,332.203,332.489,335.889,337.805,340.862,345.638,348.82,350.021,353.259,355.071,360.132,362.512,363.104,366.898,371.47,372.831,376.511,377.905,380.339,381.414,383.867,387.038,388.6,390.402,392.266,393.364,395.579,395.847
297.096,0.116232,0.420491,0.459383,0.257989,0.196661,0.00619729,0.0812507,0.336301,0.246482,0.345377,0.516797,0.289855,0.206858,0.116232,0.0812507,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.778,133.462,151.478,158.792,158.344,186.645,189.065,198.656,199.124,204.812,209.004,216.03,219.745,230.232,232.407,234.177,235.068,250.129,251.394,260.197,259.772,266.025,272.332,273.145,275.746,281.247,285.501,290.332,296.25,300.629,307.237,311.263,318.775,321.628,322.184,325.453,327.57,333.124,333.762,336.885,337.636,341.61,347.306,346.987,353.548,352.7,350.507,360.562,358.624,364.796,366.167,373.2,368.992,378.92,378.296,380.825,382.263,389.705,387.208,390.405,388.838,391.394,395.864,394.263,400.015,1.95247,-0.438816,0.833159,-0.0376082,0.0629239,0.80467,0.567515,-1.68858,-0.587697,-0.771379,0.951988,2.10003,-1.40618,0.369584,0.681878,0.935203,1.47811,-1.37733,-1.47565,0.129713,1.02392,-0.74852,0.00505074,1.15851,-0.133327,0.427807,0.871679,3.4072,0.647531,-0.65642,0.578935,-0.00597707,-1.47267,-1.14696,-2.22838,3.35621,2.08418,-0.134619,4.2973,0.660658,2.29939,3.223,-0.477119,-2.49981,-1.46392,-0.849878,-0.815436,-1.35067,-0.677739,-2.3016,0.652385,-2.64165,-1.00176,-0.606841,-1.82174,-1.47003,1.68013,0.103322,0.311098,-0.760152,0.976827,-0.261589,-1.2965,-0.00477427,-0.372461,118.081,134.388,151.563,159.264,159.51,186.589,189.284,197.61,200.356,203.217,207.902,215.483,220.541,229.492,231.992,236.823,238.374,248.792,253.933,259.548,260.289,265.662,270.462,273.693,276.743,282.549,286.322,291.45,294.343,303.382,307.065,311.09,316.405,318.807,319.701,322.679,326.784,332.62,332.635,336.076,338.065,341.452,345.923,348.928,350.177,353.346,355.129,360.45,362.696,364.263,366.859,371.675,372.99,377.361,379.044,380.788,382.442,384.475,387.325,388.987,391.079,392.283,393.918,395.482,396.679
302.001,0.11012,0.412862,0.452661,0.229488,0.20465,0.00642202,0.0916869,0.320339,0.261778,0.32226,0.427563,0.318596,0.258801,0.11012,0.0916869,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.791,135.2,152.126,159.814,159.348,186.533,189.742,198.466,199.674,202.378,207.7,217.098,219.325,231.24,233.236,235.61,239.066,247.569,252.982,260.473,261.923,266.109,275.753,272.496,279.395,282.251,284.671,291.587,297.044,301.279,309.405,307.308,315.966,318.734,318.125,324.243,328.67,338.293,333.919,338.656,336.688,344.183,348.071,345.143,350.846,354.077,355.14,356.202,362.351,359.728,369.18,375.638,373.576,373.68,380.095,379.078,382.557,388.103,392.237,387.086,390.073,396.391,391.851,399.529,396.929,1.4793,-0.433553,0.708439,0.000769305,0.0542036,0.598975,0.609457,-2.11419,0.0416737,-0.615762,0.699819,1.62122,-1.50653,0.031073,0.349444,0.751537,1.25688,-1.12165,-1.27825,-0.106926,0.764523,-0.687994,-0.0157796,0.945363,-0.252659,0.302628,0.371374,2.95903,0.520864,-0.909274,-0.019687,0.467765,-1.96672,-0.790871,-2.21399,2.07749,1.02223,0.184383,3.44393,0.662452,2.31033,2.69771,-0.464687,-2.06686,-0.814279,-0.608705,-0.437252,-1.10891,-0.66582,-2.54582,0.511749,-1.92991,-0.474444,-1.02081,-2.11482,-1.62322,0.206928,-1.00058,0.342921,-0.600234,1.21904,-0.0143937,-0.29774,0.36771,-1.26344,118.554,134.383,151.688,159.225,159.519,186.795,189.243,198.035,199.726,203.062,208.154,215.962,220.642,229.831,232.325,237.006,238.595,248.537,253.735,259.785,260.548,265.601,270.483,273.907,276.863,282.674,286.823,291.898,294.47,303.635,307.664,310.616,316.899,318.451,319.687,323.958,327.846,332.301,333.488,336.075,338.054,341.977,345.911,348.495,349.527,353.105,354.751,360.208,362.684,364.507,366.999,370.963,372.462,377.775,379.337,380.941,383.915,385.579,387.293,388.827,390.837,392.035,392.919,395.109,397.57
