# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB2-v1/datafile_VB2-v1_55N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1168317216 (Default)
# output
#   file = VB-LA_outputs_VB2-v1/output_VB2-v1_55N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55
-857.692,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,123.011,135.154,152.932,160.314,159.547,190.744,190.11,202.027,204.859,204.59,212.32,221.338,224.682,234.485,239.367,245.406,245.872,250.742,254.953,262.838,263.306,272.618,279.815,279.95,281.36,287.688,292.898,302.263,310.182,314.171,320.874,326.352,327.242,329.163,328.785,341.681,337.575,341.145,348.722,347.008,355.387,353.006,358.709,365.523,364.549,373.497,372.261,369.789,381.35,381.301,383.542,385.102,389.291,389.045,396.041,-2.84326,-0.987016,-0.893769,-0.46214,-0.616633,-2.13797,-0.725584,-6.95457,-5.6548,-3.93095,-2.61365,-4.08924,-5.27041,-4.63577,-5.31606,-7.60508,-8.45473,-4.72028,-2.8967,-3.59294,-3.03129,-7.48197,-5.18003,-5.82378,-5.02336,-4.46536,-7.37875,-7.86127,-13.8955,-11.5452,-10.5137,-14.4574,-12.0655,-10.3374,-13.2351,-11.4103,-9.71636,-8.58775,-10.1554,-11.2225,-11.0121,-10.8158,-11.5751,-17.9185,-16.9429,-19.4404,-18.5533,-14.5567,-18.0618,-20.213,-17.9825,-17.3261,-15.908,-13.9423,-17.9767,122.876,134.936,153.29,159.688,160.19,189.532,190.578,202.876,205.423,206.377,211.468,221.672,224.405,234.498,237.99,245.363,248.307,252.135,255.354,263.271,264.344,272.395,275.647,280.676,281.633,287.442,294.573,302.718,308.887,314.271,318.158,325.541,326.998,327.997,330.708,337.445,338.584,341.073,347.087,347.96,351.376,355.491,357.021,364.346,365.656,371.936,372.867,373.656,380.08,382.174,385.494,386.359,387.896,390.696,395.199
223.661,0.133131,0.444806,0.479189,0.294815,0.156308,0.00574524,0.0749957,0.393819,0.242857,0.413122,0.619136,0.211336,0.124235,0.133131,0.0749957,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.235,132.908,151.159,159.328,158.277,186.853,190.345,197.601,202.874,205.88,208.307,215.748,220.058,229.572,231.635,235.368,240.765,250.646,254.28,256.576,260.505,264.865,272.069,276.253,279.625,282.794,284.08,291.083,297.955,302.951,308.25,310.26,315.192,318.441,319.299,323.552,324.222,335.485,331.783,336.706,338.677,341.865,347.656,354.043,352.814,357.065,362.039,358.294,361.815,365.154,372.756,376.862,377.65,373.316,379.595,2.21011,-0.517805,0.85893,-0.210015,0.0398996,0.764857,0.28463,-1.85897,-1.60922,-2.22264,0.842071,1.93324,-2.04248,-0.0300084,0.104973,0.646816,0.96569,-2.17907,-1.99081,-0.263361,0.622496,-1.87816,-0.679316,0.45745,-0.821055,-0.304162,-0.489655,1.99866,-0.849322,-1.80061,-0.594511,-1.64201,-2.73449,-2.45733,-4.65325,2.37405,0.998344,-1.26651,1.935,-1.43545,0.00310873,0.483918,-2.37091,-4.54277,-5.21392,-3.29754,-2.97407,-4.19349,-2.22323,-4.11003,-3.61725,-5.63103,-4.92243,-2.66255,-4.24828,117.823,134.467,151.537,159.436,159.533,186.629,189.567,197.78,201.377,204.669,208.012,215.65,221.177,229.892,232.569,237.111,238.886,249.594,254.448,259.941,260.691,266.791,271.146,274.395,277.431,283.281,287.684,292.858,295.84,304.527,308.239,312.726,317.666,320.117,322.126,323.661,327.87,333.752,334.997,338.172,340.361,344.191,347.817,350.971,353.927,355.794,357.288,363.292,364.241,366.071,371.128,374.664,376.91,379.417,381.47
231.687,0.131877,0.44102,0.477638,0.317429,0.159927,0.00574343,0.0617952,0.387471,0.20776,0.410193,0.681033,0.210861,0.1068,0.131877,0.0617952,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.586,135.032,150.401,159.397,160.345,184.127,188.758,198.476,202.738,205.098,205.76,212.153,220.213,228.485,230.851,239.113,237.983,248.744,252.844,256.322,259.702,269.574,270.164,271.125,278.861,282.718,285.225,287.773,291.771,303.331,306.29,312.113,315.749,315.968,314.255,320.338,328.01,329.469,332.665,335.297,341.037,340.084,346.671,352.664,350.793,354.154,354.481,357.028,359.544,362.268,366.353,369.46,372.646,372.285,373.904,2.86307,-0.451456,1.05353,-0.122857,0.0665811,1.19231,0.48808,-0.94152,-1.23182,-1.98877,1.48993,3.04634,-1.09098,0.978122,1.27934,1.14974,1.58797,-1.89887,-1.83217,0.868723,1.70638,-0.779654,0.0323229,1.6178,0.135573,0.856166,1.60699,3.69266,1.16699,0.0259294,1.37202,-0.225917,-0.136653,0.710151,-2.08334,5.05995,4.1075,0.362064,3.56425,0.321994,1.81929,3.89696,-0.06946,-2.62479,-2.81572,-2.40024,-1.36896,-0.83638,1.58735,-0.652552,-1.0099,-2.50844,-1.39283,2.44586,1.34461,117.17,134.4,151.342,159.349,159.506,186.202,189.364,196.863,201,204.435,207.364,214.537,220.226,228.884,231.395,236.608,238.264,249.314,254.289,258.809,259.607,265.693,270.435,273.234,276.474,282.121,285.587,291.164,293.824,302.7,306.272,311.31,315.069,316.95,319.556,320.975,324.76,332.123,333.368,336.415,338.545,340.778,345.515,349.053,351.529,354.896,355.683,359.935,360.431,362.614,368.521,371.541,373.381,374.308,375.877
233.133,0.131945,0.441258,0.477721,0.315597,0.159795,0.00574496,0.0628304,0.387807,0.210604,0.410245,0.675971,0.211131,0.108386,0.131945,0.0628304,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,116.071,134.468,151.521,159.371,160.043,186.224,188.896,197.927,203.708,204.668,207.681,215.705,221.397,229.3,231.36,236.608,236.765,249.617,254.617,256.915,260.044,266.621,268.663,271.86,274.199,282.995,288.907,291.749,290.773,304.211,309.896,310.47,315.402,319.447,318.262,322.208,325.418,334.604,335.876,336.543,338.025,342.153,346.364,349.985,349.476,352.213,354.064,359.705,365.361,362.625,367.292,372.391,375.428,375.454,375.688,2.81096,-0.456714,1.0383,-0.12983,0.0648125,1.15746,0.471206,-1.01243,-1.26278,-2.00505,1.43591,2.95471,-1.17349,0.899732,1.18809,1.11353,1.54133,-1.92144,-1.84512,0.760716,1.61601,-0.870404,-0.0256071,1.52301,0.0559614,0.749478,1.43264,3.56943,0.998913,-0.131342,1.22524,-0.39973,-0.359446,0.457476,-2.41128,4.95415,3.85963,0.242707,3.41314,0.176904,1.67278,3.6261,-0.276546,-2.83603,-2.96753,-2.4742,-1.50206,-1.20057,1.215,-0.766069,-1.30827,-2.81153,-1.87397,1.90004,1.01824,117.222,134.406,151.358,159.356,159.508,186.237,189.381,196.933,201.031,204.451,207.418,214.628,220.308,228.962,231.486,236.644,238.311,249.336,254.302,258.917,259.697,265.783,270.493,273.329,276.554,282.228,285.761,291.288,293.992,302.857,306.419,311.484,315.291,317.203,319.884,321.081,325.008,332.242,333.519,336.56,338.691,341.049,345.723,349.264,351.681,354.97,355.816,360.3,360.803,362.727,368.819,371.845,373.862,374.854,376.204
234.678,0.132018,0.441609,0.477807,0.311977,0.159789,0.00575073,0.0648159,0.388172,0.215973,0.410045,0.666046,0.212038,0.111681,0.132018,0.0648159,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.197,133.55,152.114,159.494,160.012,184.798,189.698,197.333,201.412,205.08,208.068,215.855,222.939,228.082,231.165,236.661,239.595,250.909,254.681,258.9,261.967,262.518,268.262,274.027,277.81,283.218,284.336,288.657,294.943,302.352,305.887,312.606,313.649,317.704,321.735,317.32,326.554,333.08,335.174,336.381,339.382,339.3,346.876,348.95,350.487,354.999,354.837,359.485,360.026,361.881,364.594,372.718,375.435,372.98,375.93,2.71166,-0.466347,1.00937,-0.142226,0.0614759,1.09229,0.440862,-1.14655,-1.31789,-2.02721,1.33564,2.78402,-1.32301,0.752552,1.01741,1.04486,1.45512,-1.96062,-1.86738,0.567249,1.44886,-1.03566,-0.13159,1.34805,-0.0898905,0.558591,1.11321,3.33874,0.690822,-0.418547,0.949795,-0.681361,-0.767788,-0.0247449,-3.02842,4.77156,3.39511,0.0201895,3.14987,-0.0827406,1.40641,3.12559,-0.646791,-3.19542,-3.26543,-2.59324,-1.74152,-1.78882,0.42315,-0.973365,-1.7861,-3.34957,-2.63175,0.915209,0.273271,117.321,134.415,151.387,159.368,159.512,186.302,189.411,197.068,201.086,204.473,207.518,214.799,220.458,229.109,231.657,236.713,238.397,249.376,254.324,259.111,259.864,265.949,270.599,273.504,276.7,282.418,286.081,291.518,294.3,303.145,306.694,311.765,315.7,317.685,320.501,321.263,325.473,332.465,333.782,336.82,338.958,341.549,346.093,349.623,351.978,355.089,356.056,360.888,361.595,362.934,369.297,372.383,374.62,375.839,376.949
234.959,0.131974,0.441645,0.477749,0.309826,0.160157,0.00575831,0.0659093,0.387955,0.218848,0.409483,0.660222,0.213125,0.113905,0.131974,0.0659093,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.311,133.836,149.838,161.071,159.827,184.996,186.584,197.745,200.831,204.61,208.378,216.687,220.041,229.558,232.466,235.562,239.159,249.31,255.016,257.979,257.553,267.311,267.694,271.065,277.501,280.658,285.909,293.925,293.313,306.402,310.303,313.76,317.204,320.337,322.964,323.007,324.96,332.672,333.969,341.027,336.482,341.114,346.297,349.266,354.271,354.439,356.991,362.052,365.488,363.664,369.239,373.158,374.351,374.535,379.616,2.65748,-0.471091,0.993793,-0.1478,0.0597873,1.05804,0.426386,-1.21755,-1.34314,-2.02709,1.28348,2.695,-1.39707,0.676115,0.929559,1.00907,1.41231,-1.97724,-1.8766,0.470659,1.36279,-1.11727,-0.184191,1.25894,-0.162799,0.464327,0.953329,3.22183,0.536397,-0.562882,0.806973,-0.804194,-0.975033,-0.279046,-3.35088,4.68878,3.15364,-0.0938895,3.02863,-0.208532,1.27784,2.87334,-0.828546,-3.35991,-3.42038,-2.63708,-1.85621,-2.06282,-0.015396,-1.07901,-1.99182,-3.60828,-2.94515,0.441186,-0.187115,117.376,134.42,151.402,159.374,159.513,186.336,189.426,197.139,201.111,204.473,207.571,214.888,220.532,229.186,231.744,236.749,238.44,249.392,254.334,259.207,259.95,266.03,270.651,273.593,276.773,282.513,286.241,291.635,294.455,303.289,306.837,311.888,315.907,317.939,320.824,321.346,325.714,332.579,333.903,336.946,339.086,341.802,346.275,349.788,352.133,355.133,356.17,361.162,362.033,363.04,369.503,372.641,374.933,376.313,377.409
235.052,0.131865,0.441479,0.47761,0.308946,0.160703,0.00576572,0.0662661,0.387406,0.219725,0.408781,0.657898,0.21415,0.115108,0.131865,0.0662661,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.867,133.019,151.463,159.034,160.445,185.66,187.985,195.937,200.615,203.825,207.003,215.405,220.814,226.355,233.759,237.943,241.121,249.646,253.757,259.137,259.652,265.395,266.593,272.272,275.359,282.307,286.946,294.465,296.45,304.051,305.949,309.152,314.182,317.667,322.752,321.237,329.213,332.907,333.269,335.585,337.22,341.075,348.85,349.023,354.115,354.024,355.608,358.916,368.249,359.178,368.973,373.522,378.67,371.969,377.164,2.64012,-0.472067,0.989095,-0.148326,0.0594545,1.04824,0.423772,-1.23744,-1.34638,-2.0137,1.26886,2.67015,-1.4145,0.656265,0.907607,1.00024,1.40367,-1.97767,-1.87658,0.444677,1.33972,-1.13521,-0.195842,1.23649,-0.179825,0.440887,0.915869,3.19636,0.4996,-0.598722,0.770992,-0.828953,-1.02851,-0.348853,-3.43967,4.67756,3.08964,-0.120835,3.00775,-0.23444,1.25432,2.81492,-0.871845,-3.39549,-3.45008,-2.63077,-1.87843,-2.12676,-0.137313,-1.1037,-2.02926,-3.66723,-3.00661,0.321431,-0.315278,117.393,134.421,151.407,159.374,159.514,186.346,189.428,197.158,201.114,204.46,207.585,214.913,220.549,229.206,231.766,236.758,238.448,249.393,254.334,259.233,259.973,266.048,270.663,273.616,276.79,282.536,286.278,291.661,294.491,303.325,306.873,311.913,315.961,318.009,320.913,321.357,325.778,332.606,333.924,336.971,339.11,341.86,346.318,349.823,352.163,355.127,356.192,361.226,362.155,363.065,369.54,372.7,374.995,376.433,377.537
240.282,0.123551,0.428063,0.467016,0.259929,0.201787,0.00629212,0.0840674,0.340876,0.253338,0.348649,0.506757,0.293298,0.213119,0.123551,0.0840674,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,118.091,134.605,151.341,159.079,159.381,187.249,188.767,196.333,200.769,204.661,206.839,217.025,219.731,231.228,234.787,236.709,237.791,252.19,254.32,259.805,261.75,267.024,271.156,275.482,278.37,282.009,285.527,293.047,292.335,306.181,306.634,306.367,318.251,322.102,321.503,321.072,329.359,335.344,335.792,340.585,338.694,341.2,344.657,352.05,351.247,352.415,356.495,361.925,362.263,370.686,369.307,372.145,375.751,377.534,383.718,1.80817,-0.491792,0.771183,-0.10221,0.0510588,0.644456,0.415885,-2.0959,-0.751635,-1.00973,0.696745,1.71062,-1.76527,-0.0324896,0.229939,0.667963,1.1486,-1.73168,-1.6931,-0.350878,0.573728,-1.50283,-0.488234,0.491971,-0.622456,-0.21526,-0.218034,2.43884,-0.342734,-1.5795,-0.612409,-0.665661,-2.71768,-2.27346,-3.27215,1.81115,0.62456,-1.25935,2.9652,-0.697509,0.70332,1.1181,-2.01223,-3.6137,-3.53661,-1.79044,-1.93474,-3.21755,-1.78879,-4.88491,-1.58534,-4.64813,-3.19792,-2.17145,-3.87498,118.225,134.441,151.625,159.328,159.522,186.75,189.436,198.017,200.52,203.456,208.157,215.872,220.9,229.894,232.444,237.09,238.703,249.147,254.15,260.029,260.739,266.416,270.955,274.36,277.232,283.192,287.412,292.418,295.334,304.305,308.256,311.75,317.65,319.933,320.745,324.224,328.243,333.744,333.967,337.435,339.661,343.557,347.458,350.042,352.25,354.286,356.249,362.317,363.807,366.846,369.096,373.681,375.186,378.925,381.097
254.994,0.112242,0.409232,0.452341,0.190652,0.262876,0.0071406,0.10929,0.256463,0.250867,0.221951,0.147714,0.438211,0.495301,0.112242,0.10929,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,119.423,134.711,151.953,160.013,160.012,185.431,188.747,195.927,198.864,201.615,208.333,216.61,220.308,229.557,233.08,237.524,241.389,247.666,255.534,255.995,261.458,265.36,272.3,274.697,278.651,280.589,282.597,290.8,293.661,298.95,309.353,309.643,316.111,318.838,323.293,323.893,330.334,333.537,337.351,338.492,338.637,345.589,345.617,347.146,352.341,358.22,355.298,359.99,364.087,358.754,369.702,368.8,371.374,373.881,378.47,0.728816,-0.472418,0.495672,0.128232,0.0646482,0.269062,0.667551,0.354927,0.426154,-0.637002,0.299011,1.22242,-0.970741,0.112551,0.620283,0.524499,0.87608,-0.878479,-0.948757,-0.366265,0.446911,-0.644347,-0.394194,0.273962,-0.212628,-0.141087,-0.385568,2.34561,0.844693,-0.667458,0.415576,1.52795,-1.30209,0.942668,-1.53849,1.45915,-0.304885,0.484919,2.52449,-0.404256,1.56094,1.7852,-0.670392,-0.833321,-0.267502,0.0599992,-0.650918,-1.11191,-0.316009,-1.57528,-1.52958,-1.95392,-0.36381,0.075827,-1.74546,119.304,134.421,151.9,159.098,159.508,187.125,189.184,195.566,199.342,203.083,208.555,216.361,220.106,229.749,232.054,237.234,238.976,248.293,253.406,260.044,260.866,265.557,270.861,274.578,276.823,283.118,287.58,292.511,294.146,303.393,307.228,309.556,316.234,316.717,319.011,324.576,329.173,332,334.408,337.141,338.803,342.89,346.116,347.261,348.981,352.436,354.965,360.211,362.334,363.536,369.041,370.987,372.352,376.678,378.967
255.003,0.112361,0.40944,0.4525,0.191441,0.262158,0.00712926,0.108999,0.257558,0.251482,0.223747,0.153593,0.436289,0.49037,0.112361,0.108999,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,117.562,134.531,151.695,160.236,160.107,185.432,190.575,196.809,199.992,200.934,210.117,214.622,221.15,230.082,231.613,236.579,237.909,245.945,255.622,260.499,265.201,263.716,270.681,280.352,277.093,281.064,284.335,291.733,294.387,301.153,306.868,308.559,316.305,318.873,313.772,326.266,331.007,333.036,334.722,338.739,336.032,339.695,343.984,347.457,346.284,352.659,355.637,364.97,367.45,362.995,367.537,369.683,369.957,371.087,374.66,0.740399,-0.473022,0.498415,0.123765,0.0641945,0.271199,0.661993,0.269621,0.435825,-0.637781,0.299434,1.21619,-0.990588,0.0956896,0.601767,0.520293,0.875803,-0.892772,-0.962543,-0.378083,0.441712,-0.669643,-0.40017,0.268537,-0.228022,-0.150595,-0.401559,2.33057,0.809994,-0.706308,0.317458,1.50344,-1.37159,0.871546,-1.56724,1.42087,-0.326654,0.442665,2.49414,-0.426531,1.52042,1.7403,-0.739987,-0.895738,-0.318131,0.0197247,-0.679976,-1.16528,-0.389694,-1.64405,-1.59125,-2.01209,-0.431138,0.00975808,-1.8235,119.293,134.422,151.898,159.102,159.509,187.123,189.19,195.651,199.332,203.084,208.555,216.367,220.126,229.766,232.072,237.238,238.976,248.308,253.42,260.056,260.871,265.583,270.867,274.583,276.838,283.128,287.596,292.526,294.181,303.432,307.327,309.581,316.304,316.788,319.04,324.614,329.195,332.042,334.438,337.164,338.844,342.935,346.186,347.324,349.031,352.476,354.994,360.264,362.408,363.605,369.102,371.045,372.419,376.744,379.045
