# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_45N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1515907142 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_45N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45
-2027.81,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.85913,9.15656,9.25449,13.1264,13.8012,22.7105,25.1046,25.3533,28.4248,28.6516,36.9155,38.442,38.3652,46.0946,46.5532,46.933,49.3663,49.8486,49.9806,52.0765,58.1787,58.0868,64.3435,65.5493,66.1426,70.6022,71.7262,72.9639,73.1734,73.7819,75.6973,76.2923,77.5907,78.479,82.9531,83.7529,88.8022,91.4669,93.605,95.0634,96.3576,96.3273,97.4514,103.712,103.84,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,-2.50765,-2.36812,-0.69607,-1.95139,-2.16723,-1.68905,-2.16298,-2.57195,-1.48641,-3.22523,-3.43396,-3.37767,-1.00641,-1.05971,-0.790418,-4.62126,-4.00381,-2.68674,-3.46055,-2.82369,-3.61155,-3.86974,-1.43036,-2.00043,-4.19776,-4.71524,-5.36218,-2.70396,-4.90149,-4.1326,-3.85791,-1.86524,-1.81235,-4.66073,-5.11324,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906,37.0267,38.2511,38.5341,46.2584,46.6712,47.27,49.105,49.885,49.9514,51.9992,57.589,58.5277,63.7434,65.4867,66.0974,70.3223,71.6628,72.5217,73.8326,74.1837,75.6865,76.1907,77.2364,78.3674,83.2178,83.5792,89.2422,91.387,93.9215,94.6366,95.7379,95.8112,97.9203,103.973,104.309
59.5855,0.138775,0.440181,0.487724,0.268335,0.193286,0.00545546,0.0859228,0.363581,0.262469,0.382266,0.527353,0.272804,0.187311,0.138775,0.0859228,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.30637,8.79788,9.13463,12.144,12.6433,20.8677,23.9888,23.9701,26.2908,27.6103,34.6249,35.6843,37.0755,44.4585,45.4038,45.9215,47.5556,47.8508,48.4194,48.9178,54.0489,56.1675,62.924,64.9219,66.1029,66.5601,67.9219,70.467,71.4882,71.9506,72.7628,74.2816,75.4351,76.6509,79.8383,80.6068,83.8364,88.2078,90.5468,91.9193,91.9515,92.8825,95.2044,100.707,101.888,0.202264,0.155264,-0.359825,0.0802193,0.14806,0.296425,-0.55329,-0.398902,0.314226,-0.622762,-0.0753995,0.067137,0.722365,-0.356765,-0.558013,-0.392696,-0.471569,-0.632862,0.159465,-0.0434702,-0.231878,-0.756883,-0.141215,-0.239157,-0.310436,-0.667388,-0.0522533,-0.963369,-1.27321,-0.582712,-0.33795,-1.688,0.163028,0.366512,-0.760949,-1.35512,-0.588422,0.33291,-0.951702,-0.810486,0.14567,0.391273,0.607667,-1.41535,-2.33333,4.30874,8.70474,9.12483,12.0778,12.7249,20.8976,24.1433,24.2189,26.3688,27.7338,34.5944,35.8159,37.1156,44.6638,45.062,45.9737,47.4136,47.9459,48.3055,48.8175,54.3869,55.9069,62.8782,64.6662,65.6174,66.3684,67.7113,70.7984,71.6452,71.9427,72.4129,74.009,75.643,76.0005,79.7809,80.2191,84.4684,88.3501,89.9717,91.3145,91.7343,93.5547,95.5003,100.727,101.529
147.543,0.137767,0.435788,0.485859,0.249202,0.231802,0.005499,0.0932933,0.325196,0.266116,0.328975,0.426234,0.338402,0.273742,0.137767,0.0932933,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.34679,8.70001,9.04179,12.0654,12.7411,20.7223,23.8047,23.7853,26.5741,27.6083,34.6232,35.8183,37.3336,44.2924,44.0545,45.5253,47.7339,47.3743,48.0289,48.2446,53.8976,55.9259,62.4888,65.0548,65.5362,65.9965,67.3791,70.1294,71.356,70.8538,72.2447,73.5965,75.8193,76.0752,79.434,79.0961,84.2049,88.0055,90.1114,91.0069,92.3366,93.4704,96.5116,99.6294,100.658,0.164399,0.142024,-0.172984,0.101186,0.145398,0.300449,-0.335445,-0.172371,0.294958,-0.31475,0.0512086,0.131815,0.63964,-0.113863,-0.389988,-0.069251,-0.239069,-0.320625,0.21001,0.13419,-0.0719604,-0.365294,-0.0408686,-0.232869,-0.0611368,-0.356245,0.149973,-0.851827,-0.751217,-0.0714962,-0.0736243,-1.04964,0.209497,0.312233,-0.30413,-0.896255,-0.232614,0.227811,-0.617756,-0.468826,0.24558,0.398893,0.552551,-0.832552,-1.52052,4.3466,8.71798,8.93798,12.0568,12.7276,20.8936,23.9254,23.9924,26.388,27.4257,34.4678,35.7512,37.1984,44.4209,44.894,45.6503,47.1811,47.6336,48.255,48.6398,54.227,55.5153,62.7779,64.6599,65.3681,66.0572,67.509,70.6868,71.1232,71.4315,72.1486,73.3706,75.5965,76.0548,79.3241,79.7603,84.1126,88.4552,89.6378,90.9728,91.6344,93.5471,95.5554,100.145,100.717
200.424,0.137065,0.433147,0.484121,0.211134,0.271307,0.00555471,0.111006,0.281103,0.268682,0.255626,0.210211,0.4211,0.442607,0.137065,0.111006,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.43814,8.70818,8.81028,12.0351,12.6594,20.91,23.5585,23.6321,26.4918,27.1922,34.2702,35.4168,37.4367,44.1558,44.5121,45.9895,46.6639,46.9111,48.5663,48.5214,54.1549,55.5372,63.4469,65.3412,65.3798,66.0307,66.9457,69.9232,70.7266,71.0953,71.5955,72.7483,75.8894,75.9293,78.5259,79.068,83.832,88.5186,89.7026,90.6372,90.916,93.4437,95.4024,99.1528,98.9581,0.0741524,0.189752,-0.00603341,0.0807402,0.0894744,0.19422,-0.0696351,0.103212,0.174691,0.0806971,0.0895465,0.0782363,0.433071,0.158505,0.0166193,0.0906494,0.0491684,0.0408819,0.161444,0.184491,-0.0447909,0.0569346,0.0700973,-0.125722,0.0970219,-0.146839,0.193042,-0.439828,-0.178069,0.289376,0.164541,-0.217803,0.155355,0.0840038,0.156884,-0.415778,-0.0346432,-0.0680807,-0.4543,-0.0956283,0.109004,0.27604,0.346419,-0.0897674,-0.489949,4.43685,8.67025,8.77103,12.0773,12.7835,20.9998,23.6596,23.7168,26.5083,27.0303,34.4295,35.8048,37.4049,44.1485,44.4874,45.4904,46.8928,47.2721,48.3036,48.5895,54.1998,55.0931,62.6669,64.5527,65.21,65.8478,67.466,70.2748,70.5501,71.0706,71.9105,72.5388,75.6506,76.283,78.8631,79.2798,83.9146,88.7511,89.4743,90.5996,91.771,93.67,95.7616,99.4018,99.6859
204.355,0.137163,0.433633,0.484398,0.206125,0.267662,0.00556169,0.113754,0.285733,0.273868,0.26043,0.203773,0.418379,0.439968,0.137163,0.113754,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.44554,8.65172,8.68035,12.0468,13.0279,20.9276,23.5242,23.8062,26.7185,26.9486,34.6159,35.5382,37.3231,43.9869,44.4177,45.076,46.7106,47.0452,48.9316,48.5164,54.5766,55.2086,62.7934,64.6127,65.3871,66.2805,67.2936,69.733,70.9944,71.4879,71.5301,72.1566,75.6583,76.4429,78.8268,79.5829,83.6592,89.1085,89.4938,90.9887,92.4189,93.7392,96.4405,99.1856,100.051,0.0593076,0.177631,-0.021688,0.0514698,0.0610642,0.140321,-0.104775,0.0682814,0.123614,0.0364299,0.0124738,0.00387878,0.398577,0.0912687,-0.0399023,0.0530452,-0.0215957,-0.0300794,0.124255,0.0860893,-0.145529,-0.0378146,0.0425221,-0.147782,0.0732805,-0.278318,0.0668102,-0.530752,-0.27026,0.244784,0.05741,-0.313128,0.112047,0.0209375,0.0351429,-0.535152,-0.194302,-0.152417,-0.607245,-0.235787,0.0413057,0.214089,0.282284,-0.212195,-0.610269,4.45169,8.68237,8.78669,12.1065,12.8119,21.0537,23.6948,23.7517,26.5594,27.0746,34.5065,35.8791,37.4394,44.2157,44.5439,45.528,46.9636,47.3431,48.3407,48.6879,54.3005,55.1878,62.6945,64.5748,65.2337,65.9793,67.5922,70.3658,70.6423,71.1152,72.0176,72.6341,75.694,76.3461,78.9849,79.3992,84.0743,88.8354,89.6272,90.7398,91.8387,93.7319,95.8257,99.5242,99.8063
205.078,0.137179,0.433772,0.484458,0.202194,0.267543,0.00556612,0.115789,0.286021,0.275658,0.259354,0.190345,0.420688,0.447134,0.137179,0.115789,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.45652,8.66679,8.78428,12.1586,12.7969,21.0407,23.8449,23.9561,26.7298,27.1485,34.5132,35.9179,37.4163,43.6457,44.4789,45.572,47.03,47.2597,48.3447,49.1408,54.4456,55.2328,63.0867,63.953,65.7769,65.9535,67.7145,69.8048,71.2135,71.4344,72.3986,72.5196,75.9274,76.4628,80.3749,79.5301,83.7631,89.4987,90.7093,91.6175,91.8731,94.0441,95.6341,99.967,99.7282,0.0487883,0.183818,-0.0307483,0.0378562,0.0462935,0.111799,-0.108773,0.0646352,0.0962672,0.0343349,-0.0199552,-0.0313063,0.373815,0.0748397,-0.0438681,0.0392291,-0.039068,-0.0452445,0.105298,0.0437866,-0.189092,-0.0611631,0.0357387,-0.147702,0.0635771,-0.327481,0.0128159,-0.543826,-0.285158,0.229623,0.0226332,-0.318785,0.0896177,-0.0174712,0.00154369,-0.566617,-0.257223,-0.201929,-0.668783,-0.281763,0.00482822,0.180866,0.245188,-0.231696,-0.62024,4.46221,8.67618,8.79575,12.1201,12.8267,21.0822,23.6988,23.7554,26.5867,27.0767,34.539,35.9143,37.4642,44.2322,44.5479,45.5418,46.9811,47.3582,48.3597,48.7302,54.3441,55.2112,62.7013,64.5747,65.2434,66.0285,67.6462,70.3788,70.6572,71.1304,72.0524,72.6398,75.7164,76.3845,79.0185,79.4306,84.1372,88.8849,89.6888,90.7858,91.8752,93.7651,95.8628,99.5437,99.8162
205.181,0.137172,0.433811,0.484495,0.200209,0.267297,0.00556748,0.116801,0.286343,0.276629,0.259116,0.184189,0.42159,0.450084,0.137172,0.116801,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.45089,8.67028,8.73694,12.1296,12.795,21.4171,23.4079,23.8283,26.5804,27.0645,34.6632,36.0085,37.5318,44.5361,44.3606,45.6989,46.9529,47.4075,48.5601,48.6333,54.1194,55.4412,62.6649,64.7926,64.6418,65.8594,67.3833,70.2567,70.5701,70.9929,72.2185,73.0805,75.9652,75.8031,79.2989,79.4754,84.0405,88.9601,90.6406,91.2577,92.423,94.1502,96.9113,99.3155,99.2247,0.0435617,0.186056,-0.0353862,0.0306912,0.038656,0.0970764,-0.111963,0.0616006,0.0821909,0.031632,-0.0373217,-0.0497677,0.361471,0.0649949,-0.0479549,0.0315939,-0.049577,-0.0547568,0.0955149,0.0211181,-0.212285,-0.0752225,0.0316573,-0.14842,0.0581769,-0.354362,-0.0159453,-0.55317,-0.295439,0.221011,0.00315425,-0.325107,0.0779549,-0.0369789,-0.0180708,-0.585197,-0.291272,-0.227188,-0.701934,-0.307526,-0.0139903,0.163688,0.226262,-0.245044,-0.629536,4.46744,8.67394,8.80039,12.1273,12.8343,21.0969,23.702,23.7584,26.6008,27.0794,34.5563,35.9328,37.4765,44.242,44.552,45.5494,46.9916,47.3678,48.3695,48.7529,54.3673,55.2252,62.7053,64.5754,65.2488,66.0554,67.6749,70.3882,70.6674,71.139,72.0718,72.6461,75.728,76.404,79.0381,79.4492,84.1713,88.9102,89.7219,90.8115,91.894,93.7823,95.8817,99.557,99.8255
205.2,0.136993,0.433412,0.48449,0.198804,0.266988,0.00556082,0.117304,0.286283,0.276956,0.25899,0.180503,0.422305,0.451599,0.136993,0.117304,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47978,8.70766,8.71726,12.0136,12.8384,21.2816,23.49,23.59,26.6331,27.2312,34.7448,35.9854,37.372,44.4387,44.5343,45.1111,46.6448,47.401,48.7386,48.9627,54.7212,55.1121,63.5163,64.5313,64.4436,66.2191,67.8614,70.5961,70.4755,70.8768,71.9721,72.1231,76.1885,75.4505,79.5027,79.1521,83.7133,88.3829,90.2374,90.9361,93.181,93.8624,95.8881,100.057,99.0645,0.0410105,0.188253,-0.0375051,0.0277486,0.035351,0.0906966,-0.111903,0.0617479,0.0760797,0.0326062,-0.0439169,-0.0572531,0.355398,0.0627974,-0.0470531,0.0288515,-0.0519797,-0.0564756,0.0912881,0.0125494,-0.221079,-0.0783305,0.0306588,-0.147504,0.0560541,-0.363441,-0.0266201,-0.55326,-0.296067,0.218014,-0.00256744,-0.322923,0.0729579,-0.0459877,-0.0228569,-0.58944,-0.303028,-0.238632,-0.713491,-0.315036,-0.0221622,0.156217,0.217819,-0.245375,-0.627353,4.46999,8.67175,8.80251,12.1303,12.8376,21.1033,23.7019,23.7583,26.6069,27.0784,34.5629,35.9403,37.4826,44.2442,44.5511,45.5521,46.994,47.3695,48.3737,48.7615,54.3761,55.2283,62.7063,64.5745,65.2509,66.0644,67.6856,70.3883,70.6681,71.142,72.0776,72.6439,75.733,76.413,79.0429,79.4534,84.183,88.9216,89.7335,90.819,91.9022,93.7898,95.8902,99.5574,99.8234
207.822,0.119333,0.391444,0.484934,0.149965,0.223559,0.00481371,0.12074,0.288382,0.280754,0.30031,0.162639,0.41292,0.386031,0.119333,0.12074,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47359,8.68202,8.87223,12.1411,12.825,21.0411,23.7396,23.6851,26.4509,27.1855,34.4034,35.946,37.7313,44.5503,44.4369,46.2203,47.1361,47.6075,48.202,48.8173,54.6761,54.8521,62.5954,64.5402,64.5513,66.4848,68.0151,69.9271,70.8074,70.7566,72.2513,72.3714,75.4965,76.9866,79.7505,79.5902,83.7854,89.2132,89.5168,90.7256,91.9802,93.8595,95.4896,99.331,100.102,0.0248751,0.192087,-0.0528286,0.00672607,0.0130741,0.0537316,-0.118794,0.0551554,0.0417438,0.0317675,-0.074292,-0.0912566,0.314275,0.0567094,-0.0413731,0.0075379,-0.0568654,-0.057127,0.0634113,-0.0126303,-0.243862,-0.0714562,0.0192695,-0.148165,0.0439275,-0.363789,-0.0359885,-0.520132,-0.263465,0.193637,0.0101971,-0.274973,0.0452935,-0.102453,0.00881315,-0.55454,-0.281859,-0.302581,-0.688889,-0.274561,-0.0672638,0.1144,0.176488,-0.164313,-0.533644,4.48612,8.66791,8.81783,12.1513,12.8599,21.1403,23.7088,23.7648,26.6413,27.0792,34.5933,35.9743,37.5237,44.2503,44.5454,45.5735,46.9989,47.3701,48.4016,48.7866,54.3989,55.2215,62.7177,64.5752,65.2631,66.0648,67.695,70.3551,70.6355,71.1664,72.0648,72.596,75.7607,76.4695,79.0112,79.4185,84.1619,88.9856,89.7089,90.7786,91.9473,93.8316,95.9315,99.4763,99.7296
209.497,0.105362,0.35719,0.48812,0.111773,0.182716,0.00422283,0.122709,0.288795,0.282279,0.345741,0.150201,0.389618,0.318103,0.105362,0.122709,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.52393,8.6534,8.7613,12.0795,12.8799,21.1168,23.6506,23.8398,26.6139,27.0421,34.3307,36.2456,37.7193,44.307,44.7923,45.6414,46.9688,47.6453,48.598,49.0218,54.2291,55.255,62.8869,64.6806,65.0062,65.3169,68.2178,69.8851,70.1374,71.2578,72.3744,73.389,75.6436,76.4518,78.4829,78.9957,83.3931,88.6757,89.6677,90.9319,92.641,93.2689,96.8931,99.0137,99.3013,0.0165351,0.198292,-0.0604315,-0.000626454,0.00446009,0.0428082,-0.112355,0.0617434,0.0322442,0.0470319,-0.0693179,-0.0901881,0.291347,0.0783441,-0.0142043,0.00229975,-0.0322418,-0.0290238,0.0527966,0.00792694,-0.220179,-0.0253956,0.0195002,-0.140713,0.0426936,-0.30538,0.0125694,-0.45107,-0.193764,0.18743,0.0695858,-0.192092,0.0385073,-0.127051,0.0916058,-0.469804,-0.188928,-0.322231,-0.595764,-0.174815,-0.0798544,0.102994,0.167417,-0.0352838,-0.395025,4.49446,8.66171,8.82543,12.1586,12.8685,21.1512,23.7024,23.7583,26.6508,27.064,34.5883,35.9732,37.5467,44.2287,44.5182,45.5787,46.9742,47.342,48.4122,48.7661,54.3752,55.1754,62.7175,64.5677,65.2643,66.0064,67.6464,70.2861,70.5658,71.1726,72.0054,72.5131,75.7675,76.4941,78.9284,79.3338,84.0689,89.0052,89.6158,90.6788,91.9599,93.843,95.9406,99.3473,99.591
