# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_20N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1556607194 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_20N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20
-1160.65,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.90955,9.27652,9.25491,13.1121,13.7564,22.6887,24.9097,25.0322,28.0641,28.5691,37.0076,38.2414,38.9249,46.3113,46.7434,46.6397,48.6864,49.7638,50.0356,52.0975,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,-2.50765,-2.36812,-0.69607,-1.95139,-2.16723,-1.68905,-2.16298,-2.57195,-1.48641,-3.22523,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906,37.0267,38.2511,38.5341,46.2584,46.6712,47.27,49.105,49.885,49.9514,51.9992
-44.8539,0.140086,0.444605,0.489113,0.276012,0.183992,0.0054051,0.0842965,0.375392,0.261469,0.395158,0.550888,0.255325,0.168944,0.140086,0.0842965,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.27538,8.66688,9.07245,12.1351,12.7856,20.8924,24.3406,24.4418,26.2823,27.855,34.4439,35.9055,37.1001,44.5529,45.0551,46.0724,47.2736,48.0633,48.277,48.407,0.21051,0.156838,-0.413252,0.0706794,0.145065,0.286872,-0.61903,-0.467227,0.312578,-0.714316,-0.122945,0.0368836,0.739942,-0.432795,-0.590585,-0.511326,-0.53718,-0.728188,0.12916,-0.1114,4.30049,8.70316,9.17825,12.0873,12.7279,20.9071,24.209,24.2872,26.3704,27.8253,34.6419,35.8461,37.0981,44.7398,45.0946,46.0923,47.4792,48.0412,48.3358,48.8854
33.2197,0.139835,0.443874,0.488236,0.237136,0.213185,0.0054514,0.103369,0.350788,0.291634,0.354764,0.410647,0.313043,0.257337,0.139835,0.103369,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.40936,8.76658,8.96682,12.2346,12.7632,21.1626,24.1324,24.291,26.6276,27.6598,34.8442,36.0097,37.322,44.5476,44.9833,45.741,47.2869,48.3243,48.2703,48.7592,0.106737,0.0776303,-0.253396,-0.0275858,0.0230863,0.0702959,-0.518365,-0.355008,0.0774685,-0.552523,-0.29606,-0.196591,0.510135,-0.444005,-0.613258,-0.317148,-0.564939,-0.67623,0.0373225,-0.316868,4.40426,8.78237,9.0184,12.1856,12.8499,21.1237,24.1084,24.175,26.6055,27.6635,34.8151,36.0796,37.3279,44.751,45.1173,45.8981,47.5069,47.9892,48.4277,49.0909
83.1581,0.13869,0.438719,0.485867,0.207302,0.265332,0.00550922,0.115709,0.293821,0.280567,0.267913,0.212387,0.410718,0.430116,0.13869,0.115709,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47151,8.73973,8.80163,12.1535,12.9631,21.1642,23.6405,23.7401,26.4595,27.0812,34.9096,35.8035,37.4974,44.0828,44.2603,45.594,47.0869,47.893,48.9238,48.7493,0.0481082,0.145914,-0.0367135,0.018373,0.0312852,0.0841633,-0.163811,0.00907262,0.0707424,-0.0425669,-0.0814139,-0.0807989,0.372831,-0.00904305,-0.138765,0.00344335,-0.126918,-0.140039,0.0858435,-0.035588,4.46289,8.71409,8.80171,12.1396,12.8417,21.1098,23.7538,23.8109,26.6123,27.1536,34.6004,35.9638,37.4652,44.316,44.6428,45.5776,47.0689,47.453,48.3792,48.8096
83.5779,0.138748,0.439005,0.485997,0.206637,0.263343,0.00550803,0.116184,0.296309,0.282511,0.271173,0.215791,0.407879,0.424933,0.138748,0.116184,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.42007,8.76726,8.81172,12.1157,12.7949,21.0479,23.7962,23.9109,26.5465,27.1048,34.7738,35.9481,37.2449,44.1145,44.7734,45.5409,46.8802,47.7802,48.5547,48.9887,0.0453532,0.135826,-0.0407669,0.00915906,0.0231552,0.0690114,-0.181511,-0.00871305,0.0565418,-0.066379,-0.107511,-0.103927,0.366458,-0.037996,-0.167884,-0.0111588,-0.157187,-0.172006,0.0754015,-0.0692546,4.46565,8.72417,8.80577,12.1488,12.8498,21.125,23.7715,23.8287,26.6265,27.1774,34.6265,35.9869,37.4715,44.345,44.6719,45.5922,47.0992,47.485,48.3896,48.8433
83.762,0.138792,0.439259,0.486086,0.204579,0.262611,0.00550758,0.11734,0.297382,0.284162,0.271857,0.210845,0.407883,0.426345,0.138792,0.11734,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.4777,8.77208,8.78427,12.2252,12.8765,21.1683,23.8783,23.9678,26.7752,27.077,34.0967,35.8911,37.6582,44.2264,44.5434,45.8019,47.6497,47.3903,48.1537,48.5836,0.0392909,0.13491,-0.0466035,-0.000853359,0.0129956,0.0496493,-0.190143,-0.0171969,0.0380272,-0.0764228,-0.132895,-0.12951,0.352176,-0.0569577,-0.181023,-0.0230772,-0.177105,-0.191443,0.0625571,-0.102411,4.47171,8.72509,8.8116,12.1589,12.86,21.1444,23.7801,23.8372,26.645,27.1874,34.6519,36.0125,37.4858,44.364,44.685,45.6041,47.1191,47.5044,48.4024,48.8764
83.7687,0.138794,0.439296,0.486105,0.204032,0.262536,0.00550748,0.117632,0.297505,0.284484,0.271828,0.209211,0.40809,0.42709,0.138794,0.117632,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47396,8.69799,8.84364,12.145,12.9198,20.9786,23.5344,23.9517,26.8506,27.2747,34.4464,36.1189,37.5682,44.6108,44.6617,45.2366,46.9813,47.5294,48.5303,49.1277,0.0377832,0.135382,-0.0479572,-0.00300603,0.0107236,0.0452943,-0.191296,-0.0183016,0.0338439,-0.0775278,-0.138151,-0.135035,0.348609,-0.0601913,-0.182629,-0.0253714,-0.180521,-0.194597,0.0596977,-0.109306,4.47322,8.72462,8.81296,12.161,12.8623,21.1487,23.7813,23.8383,26.6492,27.1885,34.6572,36.018,37.4894,44.3672,44.6866,45.6064,47.1225,47.5076,48.4053,48.8833
83.7707,0.138718,0.439139,0.486138,0.203625,0.262477,0.00550673,0.117757,0.297421,0.284535,0.271769,0.208149,0.408357,0.427539,0.138718,0.117757,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.52071,8.70007,8.84413,12.012,12.9071,21.0074,23.5811,23.9522,26.6169,27.0898,34.4569,36.0559,37.7228,44.1159,45.0238,45.71,46.9163,48.0459,48.2736,48.6269,0.0371616,0.136233,-0.0484226,-0.00356591,0.0100358,0.0439692,-0.190804,-0.0177803,0.0325554,-0.0766206,-0.139223,-0.136431,0.347121,-0.0600218,-0.181629,-0.0256614,-0.180359,-0.194184,0.0588464,-0.110688,4.47384,8.72377,8.81342,12.1616,12.863,21.15,23.7808,23.8378,26.6504,27.1876,34.6582,36.0194,37.4909,44.367,44.6856,45.6067,47.1224,47.5072,48.4062,48.8847
83.7757,0.138547,0.438778,0.486214,0.203114,0.262172,0.00550489,0.117832,0.297412,0.284592,0.272052,0.207616,0.408437,0.427262,0.138547,0.117832,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.53861,8.73228,8.76324,12.2213,12.933,21.2956,23.701,23.7487,26.4752,27.1452,34.6557,35.9487,37.4561,44.0683,44.5056,45.6016,47.2922,47.1047,48.396,48.4097,0.0367905,0.136553,-0.0487297,-0.00397164,0.0095742,0.043123,-0.190722,-0.0176844,0.0317463,-0.0763547,-0.139962,-0.137313,0.346217,-0.0601095,-0.181308,-0.0259687,-0.180446,-0.194142,0.058276,-0.111541,4.47421,8.72345,8.81373,12.162,12.8634,21.1509,23.7807,23.8377,26.6513,27.1874,34.659,36.0203,37.4918,44.3671,44.6853,45.607,47.1224,47.5071,48.4067,48.8855
83.8343,0.136189,0.433735,0.487306,0.196824,0.257744,0.00547915,0.118455,0.29741,0.285103,0.276599,0.203422,0.408754,0.421322,0.136189,0.118455,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.44973,8.70315,8.77877,12.2023,12.7837,21.1683,23.6882,23.7047,26.3978,26.9141,34.7541,35.8636,37.8403,43.9951,44.7985,45.9317,47.1688,47.6611,48.2212,49.1536,0.0337938,0.138837,-0.0512753,-0.00723578,0.00588012,0.0366504,-0.190037,-0.0168935,0.0256275,-0.0740038,-0.144871,-0.14337,0.338783,-0.0597625,-0.178023,-0.028381,-0.179947,-0.192539,0.0537403,-0.116273,4.47721,8.72116,8.81628,12.1652,12.8671,21.1573,23.78,23.8369,26.6574,27.185,34.6639,36.0264,37.4992,44.3668,44.682,45.6094,47.1219,47.5055,48.4113,48.8903
