# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_35N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1515903151 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_35N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35
-1680.04,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.89906,9.27504,9.23193,13.0104,13.6652,22.6324,25.2571,25.0228,27.8699,28.723,37.2951,38,38.383,46.4192,46.4526,47.7151,48.9887,49.8011,49.9472,52.0283,57.76,58.0439,63.6317,65.5857,65.8702,70.2167,71.8682,72.463,73.768,74.158,75.8339,75.1538,76.7665,78.4758,83.9299,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,-2.50765,-2.36812,-0.69607,-1.95139,-2.16723,-1.68905,-2.16298,-2.57195,-1.48641,-3.22523,-3.43396,-3.37767,-1.00641,-1.05971,-0.790418,-4.62126,-4.00381,-2.68674,-3.46055,-2.82369,-3.61155,-3.86974,-1.43036,-2.00043,-4.19776,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906,37.0267,38.2511,38.5341,46.2584,46.6712,47.27,49.105,49.885,49.9514,51.9992,57.589,58.5277,63.7434,65.4867,66.0974,70.3223,71.6628,72.5217,73.8326,74.1837,75.6865,76.1907,77.2364,78.3674,83.2178
-298.801,0.135439,0.421953,0.484011,0.330158,0.225626,0.00560861,0.0458973,0.316776,0.156989,0.34864,0.710222,0.29999,0.135082,0.135439,0.0458973,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.03233,8.39654,9.08378,11.7002,12.3234,20.1303,23.8968,23.5913,25.4945,27.4164,33.5936,34.6984,36.8523,43.3381,44.7693,45.6852,46.7907,46.6535,47.3097,47.8092,52.9181,54.7424,62.8597,64.2671,63.9425,65.8447,65.7444,70.4742,70.381,70.9742,71.0795,73.253,74.9487,75.8824,77.9776,0.450333,0.390871,-0.275037,0.518731,0.58943,1.11274,-0.143761,-0.0031285,1.10918,-0.101156,1.02299,1.17052,1.23186,0.587675,-0.0398187,0.198698,0.432269,0.297966,1.04843,1.0037,1.20405,0.496016,0.242822,0.115005,0.7914,0.23548,1.78046,-0.125773,-0.243348,0.612686,0.889593,-0.587502,0.815458,1.24688,0.857696,4.06067,8.46913,9.04004,11.6393,12.2836,20.0813,23.7338,23.8231,25.5738,27.2122,33.496,34.7125,36.6061,43.7193,44.5438,45.3823,46.5097,47.015,47.4166,47.7703,52.951,54.654,62.4942,64.312,64.5156,65.4655,65.8785,69.9608,70.6153,70.7473,71.1854,72.9085,74.9905,75.1201,78.1623
40.8957,0.139231,0.441716,0.488445,0.214721,0.193827,0.00559117,0.113497,0.3648,0.312743,0.373982,0.377757,0.295271,0.246922,0.139231,0.113497,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.41176,8.8629,9.06604,12.4626,12.8798,21.1439,24.206,24.2357,26.6294,27.6353,34.7638,36.388,37.2969,45.0322,45.7097,45.7655,47.8306,48.4805,48.4975,49.2179,54.8552,56.2591,63.6517,64.9754,65.6228,67.1919,68.1515,71.0559,72.0545,72.9053,72.9154,74.2529,76.3292,75.5318,80.941,0.0517554,0.0213792,-0.282056,-0.128682,-0.0775664,-0.116776,-0.624433,-0.459399,-0.103489,-0.683509,-0.551917,-0.449416,0.38308,-0.657627,-0.751541,-0.466008,-0.773009,-0.898498,-0.101271,-0.647447,-0.860495,-1.12494,-0.272506,-0.421593,-0.252327,-1.38494,-0.837751,-1.33146,-1.43155,-0.727983,-0.924377,-1.81899,-0.13584,-0.164595,-1.27409,4.45924,8.83862,9.04706,12.2867,12.9506,21.3108,24.2144,24.2794,26.7865,27.7945,35.0709,36.3324,37.4549,44.9646,45.2555,46.047,47.715,48.2115,48.5663,49.4214,55.0155,56.2749,63.0095,64.8486,65.5593,67.0859,68.4968,71.1665,71.8035,72.088,72.9994,74.14,75.9418,76.5316,80.2941
101.043,0.138258,0.436908,0.487062,0.221433,0.21379,0.00562631,0.107737,0.343067,0.295613,0.348209,0.371917,0.324741,0.27569,0.138258,0.107737,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.44885,8.76281,9.01694,12.3051,12.958,21.1478,24.3162,23.9694,26.6713,27.381,34.3228,35.7704,37.4938,44.3528,44.6043,46.11,48.0859,48.1069,48.1814,48.8528,54.8307,56.3708,62.3372,65.3542,65.6415,66.7358,68.1265,70.9378,71.602,71.3261,72.4207,74.3152,75.0863,76.3843,79.4756,0.0842781,0.0621892,-0.20544,-0.041909,0.00216684,0.0327865,-0.47704,-0.311198,0.0363816,-0.489058,-0.311419,-0.228938,0.458484,-0.413115,-0.583838,-0.262254,-0.537753,-0.626938,0.0237556,-0.332731,-0.547772,-0.774293,-0.167742,-0.345673,-0.142206,-0.955865,-0.445689,-1.1517,-1.08075,-0.374322,-0.564654,-1.41482,-0.00270043,-0.00528378,-0.835636,4.42672,8.79781,8.97044,12.1999,12.8708,21.1612,24.067,24.1312,26.6466,27.6001,34.8304,36.1119,37.3795,44.7201,45.0878,45.8433,47.4798,47.9399,48.4412,49.1067,54.7028,55.9243,62.9047,64.7727,65.4492,66.6569,68.1047,70.9867,71.4528,71.7343,72.6397,73.7358,75.8087,76.3723,79.8556
137.966,0.136397,0.428333,0.483692,0.213065,0.273891,0.00568728,0.107634,0.273242,0.260941,0.249776,0.21217,0.427022,0.44611,0.136397,0.107634,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.40164,8.72553,8.77709,12.1811,12.7927,20.8266,23.7495,23.7998,26.4016,26.8974,34.2694,35.7332,37.2985,43.8989,44.2428,45.2632,46.848,47.2209,48.1314,48.4933,54.4414,55.252,62.5694,65.004,64.3495,65.7581,67.0681,70.2666,70.5713,70.9913,71.5737,72.9789,75.9532,75.1262,78.7227,0.0928472,0.215267,0.0150674,0.122651,0.12904,0.26925,-0.01042,0.162306,0.245635,0.1575,0.203332,0.185282,0.475997,0.266715,0.115199,0.146507,0.163209,0.156524,0.217172,0.325828,0.104206,0.209893,0.11346,-0.0872954,0.132308,0.0536628,0.381173,-0.284669,-0.0211601,0.355697,0.332811,-0.0497544,0.215773,0.167774,0.352613,4.41815,8.64473,8.74993,12.0353,12.744,20.9248,23.6004,23.6577,26.4374,26.9535,34.3157,35.6977,37.362,44.0403,44.3888,45.4345,46.7788,47.1565,48.2478,48.4482,54.0508,54.9401,62.6235,64.5143,65.1747,65.6473,67.2778,70.1197,70.3932,71.0043,71.7422,72.3708,75.5902,76.1992,78.6674
153.637,0.13693,0.430816,0.484722,0.210907,0.257413,0.00567429,0.109954,0.294116,0.275393,0.278211,0.252307,0.401127,0.397064,0.13693,0.109954,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.36838,8.6957,8.75528,12.0344,12.7501,21.0225,24.0345,23.8292,26.4434,27.1202,34.4873,36.0441,37.4654,43.6041,44.2989,45.3721,47.7118,47.9237,48.1818,48.8123,53.9952,55.644,62.6366,64.5568,64.8465,65.8735,67.0265,70.4735,70.4759,70.7748,72.8504,72.2569,75.5895,76.0665,79.0626,0.0780621,0.124832,-0.0125035,0.0554172,0.0722073,0.163423,-0.158007,0.0136278,0.147728,-0.0439327,0.00694976,0.0169206,0.44278,0.0336689,-0.134652,0.0374453,-0.0822996,-0.10289,0.137518,0.081461,-0.146387,-0.120587,0.0182023,-0.188258,0.0635925,-0.314858,0.0639808,-0.647231,-0.3829,0.213203,0.00702346,-0.478949,0.12714,0.0704882,-0.0528181,4.43294,8.73517,8.7775,12.1026,12.8008,21.0306,23.748,23.8064,26.5353,27.1549,34.5121,35.8661,37.3952,44.2733,44.6387,45.5436,47.0243,47.4159,48.3275,48.6925,54.3014,55.2706,62.7188,64.6153,65.2434,66.0159,67.595,70.4822,70.7549,71.1468,72.068,72.7999,75.6789,76.2965,79.0728
155.502,0.136999,0.431223,0.484799,0.206227,0.257852,0.00567405,0.112498,0.294079,0.27785,0.276194,0.23491,0.404505,0.406931,0.136999,0.112498,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.46262,8.80877,8.80094,12.1101,12.9283,20.9357,23.7415,23.8659,26.6593,27.2129,34.1566,35.8415,37.5215,43.7621,44.9055,45.0007,47.3755,47.0039,48.409,48.6907,54.2953,55.2457,63.0286,64.9316,65.2547,66.7118,67.5001,70.4689,70.5303,71.216,71.9192,72.6472,75.8997,76.0976,79.1803,0.0647969,0.1335,-0.0230264,0.0388755,0.0539965,0.128484,-0.160806,0.0113936,0.113849,-0.0436104,-0.0316292,-0.0257051,0.411842,0.015181,-0.136196,0.0224672,-0.101423,-0.118638,0.114584,0.0312507,-0.198482,-0.145563,0.01061,-0.189136,0.0552187,-0.372333,-0.00064667,-0.660764,-0.397076,0.199738,-0.0341293,-0.479563,0.100171,0.0230473,-0.0900006,4.4462,8.7265,8.78803,12.1191,12.819,21.0655,23.7508,23.8086,26.5692,27.1546,34.5506,35.9087,37.4262,44.2918,44.6402,45.5585,47.0434,47.4316,48.3504,48.7427,54.3535,55.2956,62.7264,64.6161,65.2518,66.0733,67.6596,70.4958,70.7691,71.1603,72.1091,72.8006,75.7058,76.344,79.11
156.845,0.137039,0.431591,0.484808,0.198058,0.260735,0.00567418,0.116766,0.291364,0.279886,0.268869,0.198486,0.414096,0.431064,0.137039,0.116766,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.4521,8.72479,8.83406,12.0357,12.8959,20.9738,23.7348,23.7526,26.6832,26.9832,34.8369,35.7226,37.4847,44.4527,44.7964,45.5758,47.3125,46.6844,48.0943,48.9287,54.5357,55.2183,63.139,64.4807,64.5837,65.9828,67.9341,70.5538,70.3269,70.5875,72.0941,73.0675,75.0636,76.5067,78.9128,0.0431166,0.161736,-0.039191,0.0183121,0.0291491,0.0800238,-0.146638,0.0266025,0.0665958,-0.016699,-0.0748273,-0.0796261,0.360678,0.0135934,-0.106941,0.00952099,-0.103314,-0.112616,0.0834119,-0.0260913,-0.258682,-0.147068,0.00996622,-0.174763,0.0460199,-0.426914,-0.0743836,-0.636191,-0.376531,0.192369,-0.0637133,-0.425144,0.0632098,-0.0492715,-0.10342,4.46788,8.69826,8.80419,12.1397,12.8439,21.114,23.7366,23.7934,26.6164,27.1277,34.5938,35.9626,37.4773,44.2934,44.6109,45.5715,47.0453,47.4256,48.3816,48.8001,54.4137,55.2971,62.727,64.6018,65.261,66.1279,67.7334,70.4712,70.7485,71.1676,72.1387,72.7461,75.7428,76.4163,79.1234
156.881,0.137004,0.43151,0.48478,0.196861,0.261595,0.0056734,0.117325,0.290349,0.279664,0.266972,0.191837,0.416307,0.436098,0.137004,0.117325,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.46669,8.73615,8.81033,12.2279,13.0578,20.9752,23.7865,23.5366,26.8552,27.2688,34.9721,36.0048,37.6379,44.502,45.0587,45.3381,46.6929,47.3843,48.6652,48.9932,54.1949,54.9746,62.4674,64.2521,64.859,65.9391,68.2175,70.3893,71.1831,70.9498,72.5338,72.688,75.6563,76.1697,79.1034,0.0403897,0.168687,-0.0407983,0.017362,0.0272646,0.0761326,-0.140099,0.0333076,0.0627181,-0.00663872,-0.0752002,-0.0823975,0.354156,0.0206284,-0.0950723,0.0107679,-0.0960694,-0.103798,0.0810406,-0.0268957,-0.25988,-0.137255,0.0128484,-0.169084,0.0461497,-0.423701,-0.075519,-0.62115,-0.362461,0.194911,-0.057836,-0.404192,0.0604201,-0.0569474,-0.0930267,4.47061,8.69131,8.8058,12.1406,12.8457,21.1179,23.7301,23.7867,26.6203,27.1176,34.5942,35.9654,37.4838,44.2864,44.5991,45.5702,47.0381,47.4168,48.384,48.8009,54.4149,55.2873,62.7242,64.5961,65.2609,66.1247,67.7345,70.4562,70.7345,71.1651,72.1328,72.7252,75.7456,76.4239,79.113
156.886,0.136972,0.431433,0.484775,0.196689,0.261664,0.00567172,0.117372,0.290196,0.2796,0.266767,0.191087,0.416581,0.436621,0.136972,0.117372,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.46335,8.76791,8.78429,11.9793,12.807,21.2109,23.5798,23.7995,26.6994,27.1804,34.6492,36.1148,37.5149,44.1907,44.6179,44.9304,47.0242,47.4003,48.3554,48.7994,54.6603,55.5394,62.9849,64.079,64.9467,66.272,68.3839,71.0676,70.6617,71.2973,71.6257,72.9163,75.8785,76.9707,79.8465,0.040171,0.169599,-0.0408787,0.0174608,0.0272463,0.076067,-0.139062,0.0343623,0.0626368,-0.00511053,-0.0746597,-0.0821627,0.353625,0.0219863,-0.0932221,0.0111873,-0.0946579,-0.102196,0.0810198,-0.0262135,-0.259233,-0.135336,0.0133938,-0.168238,0.0463322,-0.42226,-0.0746407,-0.618608,-0.360025,0.195524,-0.0562596,-0.400916,0.060411,-0.0574014,-0.0907858,4.47083,8.6904,8.80588,12.1405,12.8458,21.1179,23.7291,23.7856,26.6204,27.1161,34.5937,35.9652,37.4844,44.285,44.5972,45.5698,47.0367,47.4152,48.384,48.8002,54.4142,55.2853,62.7236,64.5952,65.2607,66.1233,67.7336,70.4536,70.732,71.1645,72.1313,72.7219,75.7456,76.4244,79.1108
