# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_15N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1539094828 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_15N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15
-963.78,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.85059,9.23716,9.22626,13.0658,13.7555,22.7489,24.9107,24.9736,28.499,28.8813,37.088,38.3298,38.5117,46.0524,46.4283,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,-2.50765,-2.36812,-0.69607,-1.95139,-2.16723,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906,37.0267,38.2511,38.5341,46.2584,46.6712
-61.4225,0.141386,0.451138,0.490558,0.263254,0.171086,0.00535165,0.0939423,0.39147,0.285595,0.408612,0.520054,0.239485,0.167385,0.141386,0.0939423,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.3614,8.7657,9.18249,12.1188,12.8926,21.0331,24.3274,24.4145,26.3719,27.9777,34.8464,36.4309,37.0223,44.9369,45.6336,0.154621,0.0995879,-0.452255,-0.0368437,0.0388267,0.0900084,-0.740691,-0.586943,0.121875,-0.869201,-0.39934,-0.234408,0.617055,-0.676094,-0.727256,4.35638,8.76041,9.21725,12.1948,12.8342,21.104,24.3307,24.4069,26.5611,27.9802,34.9183,36.1174,37.2209,44.9831,45.2313
7.41206,0.140317,0.445987,0.488685,0.241826,0.211252,0.00540903,0.10208,0.354665,0.290798,0.358919,0.424357,0.307136,0.248843,0.140317,0.10208,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.41998,8.81371,8.91653,12.2534,12.931,21.1337,24.1026,24.1937,26.8213,27.8107,34.8204,35.9722,37.1638,44.6476,44.7599,0.113284,0.0813105,-0.274265,-0.0263879,0.0269949,0.0768255,-0.540094,-0.377726,0.0860082,-0.58426,-0.301616,-0.195085,0.525047,-0.465868,-0.62854,4.39772,8.77869,9.03927,12.1844,12.846,21.1172,24.1301,24.1977,26.597,27.6953,34.8206,36.0781,37.313,44.7729,45.1325
51.5942,0.139438,0.442546,0.485836,0.2249,0.269689,0.00539634,0.108823,0.292841,0.273533,0.267895,0.256777,0.404061,0.412565,0.139438,0.108823,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.42391,8.68161,8.82973,12.1816,12.8458,21.1354,23.8882,24.184,26.4934,26.8688,34.6871,35.9162,37.4031,44.0395,44.5296,0.0839621,0.126741,-0.00697728,0.0652217,0.0820488,0.181244,-0.149885,0.0216111,0.164302,-0.0347498,0.0285529,0.0385373,0.456718,0.0481948,-0.12486,4.42704,8.73326,8.77198,12.0928,12.791,21.0128,23.7399,23.7984,26.5187,27.1457,34.4904,35.8445,37.3813,44.2588,44.6289
54.6599,0.139534,0.443034,0.486003,0.221115,0.268014,0.00539905,0.110959,0.295233,0.277027,0.269691,0.248328,0.403545,0.414522,0.139534,0.110959,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.41177,8.7169,8.85829,11.9758,12.8801,21.1524,23.8993,23.7994,26.3902,27.2006,34.6676,36.0586,37.7423,44.0302,44.3741,0.07248,0.12268,-0.0178483,0.0453069,0.0620833,0.143332,-0.168907,0.00287536,0.128084,-0.0576727,-0.0224242,-0.0122439,0.430152,0.00783296,-0.153806,4.43852,8.73732,8.78285,12.1127,12.8109,21.0507,23.7589,23.8171,26.5549,27.1687,34.5414,35.8952,37.4078,44.2992,44.6578
58.0776,0.139722,0.444049,0.486269,0.212223,0.266439,0.0054029,0.115913,0.298061,0.283343,0.269927,0.222219,0.405988,0.426165,0.139722,0.115913,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.45435,8.8462,8.81954,12.1668,12.8489,21.0545,23.7701,24.061,26.7248,27.1646,34.1823,36.0571,37.3853,44.5668,44.5856,0.0464549,0.126502,-0.0411147,0.00625218,0.0214018,0.0656679,-0.194091,-0.0214723,0.0534375,-0.0844162,-0.11896,-0.112314,0.369277,-0.0568907,-0.190038,4.46455,8.7335,8.80611,12.1517,12.8516,21.1283,23.7841,23.8415,26.6296,27.1954,34.638,35.9953,37.4687,44.3639,44.694
58.4,0.139797,0.44445,0.486419,0.209142,0.264895,0.00540526,0.117654,0.300192,0.286168,0.271699,0.216145,0.405292,0.426874,0.139797,0.117654,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49513,8.79709,8.81079,12.2603,12.8768,21.0163,23.9955,23.8025,26.8145,27.1817,35.0318,36.3626,37.6843,44.3917,45.21,0.0372632,0.122662,-0.0502992,-0.010106,0.00510479,0.0347156,-0.210642,-0.0378341,0.0238906,-0.104486,-0.161101,-0.153998,0.34765,-0.0907761,-0.215644,4.47374,8.73734,8.8153,12.1681,12.8679,21.1593,23.8006,23.8578,26.6591,27.2155,34.6801,36.037,37.4904,44.3978,44.7196
58.4035,0.13979,0.444439,0.486409,0.208666,0.265305,0.00540583,0.117886,0.299733,0.286084,0.270865,0.213389,0.40622,0.429045,0.13979,0.117886,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47966,8.81354,8.79559,12.1391,12.7837,20.9807,23.8102,24.0498,26.8003,27.1189,35.0593,36.2862,37.6872,44.4512,44.9849,0.036129,0.125663,-0.050926,-0.010449,0.00435784,0.0331785,-0.207729,-0.0348416,0.0223252,-0.100039,-0.16107,-0.155006,0.344937,-0.087649,-0.210609,4.47487,8.73434,8.81593,12.1684,12.8686,21.1608,23.7977,23.8548,26.6607,27.211,34.6801,36.038,37.4931,44.3946,44.7146
58.4044,0.139782,0.444422,0.486418,0.208692,0.265221,0.00540649,0.117865,0.299809,0.286113,0.271012,0.213732,0.406088,0.428716,0.139782,0.117865,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.46936,8.71594,8.75834,12.1578,12.913,21.0323,23.7059,23.7892,26.6105,27.1645,34.3003,36.0447,37.4291,44.2394,44.5081,0.0362298,0.125227,-0.0508949,-0.0104986,0.00436402,0.0332093,-0.208225,-0.035347,0.0223686,-0.100764,-0.161313,-0.155104,0.345179,-0.0882667,-0.211443,4.47477,8.73477,8.81589,12.1685,12.8686,21.1608,23.7982,23.8553,26.6606,27.2118,34.6803,36.0381,37.4928,44.3953,44.7154
58.4098,0.139704,0.444248,0.486485,0.208693,0.264799,0.00541263,0.117778,0.300115,0.286228,0.271707,0.215117,0.405548,0.427221,0.139704,0.117778,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.44384,8.7089,8.76697,12.1521,12.8946,21.1678,23.7781,23.6084,26.7277,27.2772,34.4963,35.9494,37.4631,44.4641,44.4987,0.036644,0.123465,-0.0507641,-0.0106803,0.00440724,0.0333803,-0.210196,-0.037358,0.0225925,-0.103642,-0.162198,-0.155408,0.346166,-0.0906614,-0.214731,4.47436,8.73654,8.81576,12.1687,12.8686,21.1606,23.8002,23.8574,26.6604,27.2146,34.6812,36.0384,37.4918,44.3977,44.7187
