# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_30N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1535618738 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_30N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30
-1530.44,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.87087,9.16959,9.33631,13.0527,13.7875,22.7762,25.1983,25.3627,27.9058,28.8228,37.1425,38.5613,38.424,46.0291,46.644,47.0131,49.3827,50.6081,49.9649,52.1036,57.8745,58.2877,63.3463,65.7065,65.9781,70.8179,71.4289,72.6179,73.7061,74.3574,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,-2.50765,-2.36812,-0.69607,-1.95139,-2.16723,-1.68905,-2.16298,-2.57195,-1.48641,-3.22523,-3.43396,-3.37767,-1.00641,-1.05971,-0.790418,-4.62126,-4.00381,-2.68674,-3.46055,-2.82369,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906,37.0267,38.2511,38.5341,46.2584,46.6712,47.27,49.105,49.885,49.9514,51.9992,57.589,58.5277,63.7434,65.4867,66.0974,70.3223,71.6628,72.5217,73.8326,74.1837
-165.372,0.136805,0.428588,0.485516,0.315985,0.212756,0.00554809,0.0563016,0.335357,0.187397,0.363929,0.664229,0.285743,0.147137,0.136805,0.0563016,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.11761,8.55081,9.11698,11.7294,12.3593,20.3102,24.2182,23.9503,25.8689,27.286,34.2633,34.7937,36.6323,43.6303,44.9119,45.4768,46.9805,47.3972,47.6919,48.1261,53.3557,55.373,62.3264,64.324,64.5316,66.3872,66.4529,69.7632,71.3462,71.1804,0.38208,0.324503,-0.324468,0.387119,0.460318,0.871009,-0.292374,-0.148709,0.878838,-0.295875,0.681077,0.835205,1.09736,0.274061,-0.206828,-0.0235149,0.127929,-0.0176799,0.635124,0.826893,0.756544,0.0706852,0.118503,0.0134433,0.215837,0.138202,1.20581,-0.403554,-0.622163,0.158019,4.12892,8.5355,9.08947,11.7709,12.4127,20.323,23.8824,23.9687,25.8042,27.4069,33.8379,35.0478,36.7406,44.0329,44.7108,45.6045,46.8141,47.3307,47.8299,47.9471,53.3985,55.0793,62.6185,64.4136,65.0912,65.5628,66.4532,70.2386,70.9942,71.202
42.7744,0.139412,0.4425,0.488362,0.221377,0.199144,0.00555378,0.110561,0.361293,0.306911,0.368887,0.38797,0.299971,0.249573,0.139412,0.110561,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.43074,8.71068,8.9341,12.2916,12.8881,21.5348,24.0233,24.3959,26.7512,27.6927,35.0073,36.6145,37.2685,44.5906,45.2627,45.9098,48.0185,48.4138,48.3208,49.5551,54.9588,56.2921,62.9786,64.474,65.7901,67.0233,68.1856,71.1916,72.4481,71.5797,0.0674724,0.0372428,-0.276185,-0.100823,-0.049562,-0.0647978,-0.597352,-0.432855,-0.0529695,-0.65065,-0.482256,-0.379929,0.419743,-0.601419,-0.714826,-0.428056,-0.718189,-0.840404,-0.0629106,-0.557435,-0.769666,-1.04815,-0.247526,-0.398752,-0.237513,-1.27145,-0.725121,-1.27973,-1.36974,-0.666134,4.44353,8.82276,9.04119,12.2588,12.9226,21.2588,24.1874,24.2529,26.736,27.7616,35.0013,36.2629,37.4183,44.9084,45.2188,46.0091,47.6602,48.1534,48.5279,49.3314,54.9247,56.1981,62.9845,64.8258,65.5445,66.9724,68.3841,71.1147,71.7417,72.0261
89.4868,0.138565,0.438369,0.487063,0.223301,0.21987,0.00558606,0.107534,0.339116,0.293739,0.34094,0.365799,0.332295,0.286291,0.138565,0.107534,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.39664,8.81682,9.01915,12.2995,12.8271,21.2469,24.1074,24.1344,26.692,27.7784,34.5075,35.8191,37.6826,44.6294,44.6066,45.5411,47.3528,47.7414,48.0168,48.9192,54.4484,56.442,62.7387,64.5106,65.9085,66.6861,68.4572,71.3107,71.0973,70.9287,0.0857341,0.065698,-0.18869,-0.0320434,0.0101778,0.0477691,-0.451956,-0.285696,0.0494796,-0.454816,-0.281887,-0.204387,0.461849,-0.377156,-0.555386,-0.230993,-0.502492,-0.585292,0.0373005,-0.294475,-0.510674,-0.721901,-0.152059,-0.33556,-0.121945,-0.900783,-0.399507,-1.12682,-1.02419,-0.31691,4.42527,8.7943,8.95369,12.19,12.8628,21.1462,24.042,24.1057,26.6335,27.5658,34.8009,36.0874,37.3762,44.6842,45.0594,45.812,47.4445,47.8983,48.4277,49.0685,54.6657,55.8719,62.8891,64.7626,65.4289,66.6018,68.0585,70.9618,71.3962,71.6769
129.171,0.137471,0.433414,0.484928,0.211855,0.260167,0.00562651,0.110779,0.293833,0.276055,0.275135,0.245972,0.403191,0.40454,0.137471,0.110779,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.4656,8.77676,8.75161,12.0699,12.8834,21.0266,23.7243,23.8647,26.2114,27.2817,34.673,35.8565,36.9654,44.7804,44.3854,45.6602,46.3829,47.5234,47.9766,48.3864,54.221,55.8069,61.6238,64.1771,65.2379,65.842,67.7904,70.89,70.5333,71.7829,0.0737426,0.128742,-0.0156459,0.0505282,0.0666284,0.152513,-0.157503,0.0143444,0.136987,-0.0419231,-0.00471449,0.00356477,0.432781,0.0288712,-0.13329,0.0335057,-0.0872277,-0.106578,0.130461,0.0657257,-0.163048,-0.127333,0.0167209,-0.187543,0.0616287,-0.333189,0.0427,-0.650667,-0.386519,0.210287,4.43726,8.73126,8.78065,12.1075,12.8064,21.0415,23.7475,23.8057,26.546,27.1529,34.5237,35.8794,37.4052,44.2781,44.6373,45.5475,47.0292,47.4196,48.3345,48.7083,54.318,55.2773,62.7203,64.6145,65.2454,66.0342,67.6163,70.4857,70.7585,71.1497
130.372,0.137505,0.433638,0.484974,0.208512,0.260653,0.00562649,0.112563,0.293549,0.2776,0.273373,0.233088,0.405906,0.412182,0.137505,0.112563,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.4495,8.73644,8.77342,12.1358,12.8358,21.018,23.8378,23.9119,26.8015,27.1386,34.5631,35.7566,37.4281,43.9867,44.8194,45.5229,46.8585,47.4592,47.9742,49.0866,54.2708,55.3672,63.0736,64.8404,64.9556,66.2014,67.5451,70.5923,70.5753,71.3007,0.0644858,0.136145,-0.022899,0.0395984,0.0543842,0.128962,-0.157655,0.0146018,0.114112,-0.0391738,-0.0297274,-0.0246688,0.411154,0.0186758,-0.131335,0.0242287,-0.0977714,-0.114521,0.115078,0.0330882,-0.196994,-0.140975,0.0125318,-0.186764,0.0563643,-0.369498,0.000677711,-0.655736,-0.392246,0.20256,4.44651,8.72386,8.7879,12.1184,12.8186,21.065,23.7477,23.8054,26.5689,27.1502,34.5487,35.9077,37.4268,44.2883,44.6353,45.5568,47.0398,47.4275,48.3499,48.7409,54.352,55.291,62.7245,64.6138,65.2506,66.0705,67.6583,70.4907,70.7642,71.1574
131.574,0.137544,0.434014,0.485022,0.200307,0.262906,0.00562642,0.116854,0.291505,0.280046,0.267089,0.198275,0.414469,0.434575,0.137544,0.116854,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.51061,8.71494,8.80841,12.1553,12.6984,21.2244,23.6754,23.7626,26.5648,27.1365,34.5667,35.7364,37.4339,44.4707,44.6895,45.5064,47.3744,47.4962,48.0819,48.8829,54.332,55.606,63.1103,64.2312,65.9708,66.3994,67.4822,70.4779,70.1432,71.3304,0.0426111,0.161324,-0.0397241,0.0172463,0.0281093,0.0778751,-0.148111,0.0251395,0.0644622,-0.0186493,-0.0783265,-0.0830254,0.359559,0.0101434,-0.109829,0.00801239,-0.106963,-0.116372,0.0820472,-0.0311648,-0.264005,-0.152363,0.00900767,-0.175527,0.0450919,-0.434476,-0.0816736,-0.642136,-0.382543,0.190604,4.46839,8.69868,8.80472,12.1408,12.8449,21.1161,23.7381,23.7949,26.6185,27.1296,34.5973,35.966,37.4784,44.2969,44.6138,45.573,47.049,47.4294,48.383,48.8052,54.419,55.3024,62.728,64.6025,65.2619,66.1355,67.7407,70.4771,70.7545,71.1694
131.581,0.137535,0.434028,0.485044,0.199894,0.262636,0.0056256,0.117067,0.291819,0.280416,0.267423,0.197675,0.414303,0.434433,0.137535,0.117067,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.46174,8.75086,8.8375,12.1962,12.864,21.1343,23.8509,23.7533,26.6299,27.1522,34.6539,35.7625,37.9206,44.4656,44.4423,45.4827,46.9348,47.083,48.3548,48.6612,54.3465,55.7531,62.7598,64.8552,65.1688,66.2025,67.3716,70.1945,70.9595,70.6566,0.0414813,0.160609,-0.0408941,0.0151196,0.0260214,0.0739163,-0.150493,0.0227757,0.0606985,-0.0215968,-0.0838568,-0.088418,0.3569,0.00549603,-0.113599,0.00530226,-0.111854,-0.121263,0.0793935,-0.038336,-0.271237,-0.158906,0.00708004,-0.176988,0.0433872,-0.443787,-0.090697,-0.648282,-0.388761,0.187376,4.46952,8.69939,8.80589,12.1429,12.847,21.1201,23.7405,23.7972,26.6223,27.1326,34.6029,35.9714,37.4811,44.3015,44.6176,45.5757,47.0539,47.4343,48.3856,48.8123,54.4262,55.3089,62.7299,64.604,65.2636,66.1448,67.7497,70.4833,70.7608,71.1726
131.582,0.13752,0.433993,0.485041,0.199745,0.262712,0.00562529,0.117124,0.291701,0.280385,0.267229,0.196956,0.414544,0.434952,0.13752,0.117124,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.51711,8.67111,8.75461,12.2235,12.7984,21.2498,23.7,23.5541,26.6982,27.2993,34.6091,35.8029,37.7533,44.4393,44.7911,45.3136,47.2191,47.7755,48.8552,49.144,54.6697,55.2549,62.7122,65.3638,65.0796,65.6601,67.62,70.5242,70.4939,71.1047,0.0412035,0.16139,-0.0410476,0.015059,0.0258569,0.0735732,-0.149719,0.0235675,0.0603526,-0.02042,-0.0837702,-0.0885994,0.356233,0.00638132,-0.112205,0.00550451,-0.110938,-0.120171,0.0791893,-0.0382498,-0.271191,-0.157657,0.00743836,-0.176335,0.0434467,-0.443192,-0.0905901,-0.646468,-0.387053,0.18775,4.4698,8.69861,8.80605,12.1429,12.8471,21.1204,23.7397,23.7964,26.6226,27.1314,34.6028,35.9716,37.4818,44.3006,44.6162,45.5755,47.0529,47.4332,48.3858,48.8122,54.4262,55.3077,62.7296,64.6033,65.2636,66.1442,67.7496,70.4815,70.7591,71.1722
131.587,0.137447,0.433829,0.485038,0.199416,0.262714,0.00562344,0.117207,0.291534,0.280342,0.267054,0.195931,0.414869,0.435512,0.137447,0.117207,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.47792,8.64473,8.8222,12.1722,12.8944,20.9705,23.8711,24.0413,26.4576,27.0139,34.8315,36.2672,37.4935,44.0947,45.0161,45.7003,47.0683,47.6881,48.183,48.7932,54.4083,55.2121,62.6342,64.5954,65.6581,65.7026,67.0708,70.9267,71.3281,71.9983,0.0408079,0.162498,-0.0412679,0.0149781,0.0256279,0.0731095,-0.148602,0.0247098,0.0598865,-0.0187146,-0.0835801,-0.0887933,0.355277,0.00771574,-0.110159,0.00580301,-0.109553,-0.11853,0.0789066,-0.0380021,-0.270992,-0.155735,0.00795619,-0.175395,0.0435431,-0.442118,-0.0902228,-0.643706,-0.384439,0.188294,4.47019,8.6975,8.80627,12.143,12.8474,21.1209,23.7386,23.7953,26.6231,27.1297,34.6026,35.9718,37.4827,44.2993,44.6142,45.5752,47.0516,47.4315,48.3861,48.812,54.426,55.3057,62.729,64.6024,65.2635,66.1431,67.7492,70.4787,70.7564,71.1717
