# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB1-v2/datafile_VB1-v2_10N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1515851203 (Default)
# output
#   file = VB-LA_outputs_VB1-v2/output_VB1-v2_10N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10
-721.209,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.91017,9.23743,9.29504,13.0065,13.6647,22.7077,25.1555,25.0999,28.1568,28.9147,-0.362471,-0.399146,-0.523594,-0.894078,-0.843232,-1.54218,-1.4538,-1.28044,-1.50122,-1.6796,4.87347,9.25915,9.28859,13.0521,13.7162,22.7362,25.0438,25.1004,28.1842,28.7906
-284.097,0.138068,0.432108,0.48686,0.331288,0.203148,0.00549765,0.0504101,0.347342,0.172376,0.37874,0.709738,0.266111,0.121115,0.138068,0.0504101,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.09405,8.54259,9.19369,11.6588,12.3815,20.1682,23.927,24.0515,25.7709,27.198,0.418649,0.350269,-0.388469,0.419997,0.502789,0.94073,-0.340237,-0.202276,0.960146,-0.364541,4.09235,8.50973,9.15347,11.738,12.3702,20.2533,23.9302,24.0223,25.7229,27.4755
-34.3112,0.141682,0.452137,0.490618,0.204496,0.188292,0.00546958,0.12382,0.379873,0.333843,0.382631,0.348096,0.286754,0.250191,0.141682,0.12382,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.52724,8.96789,9.05912,12.345,12.9858,21.6281,24.2476,24.197,26.7691,27.7106,-0.00298943,-0.0358658,-0.314809,-0.231735,-0.179844,-0.307908,-0.738484,-0.572028,-0.289185,-0.824992,4.51399,8.89587,9.07981,12.3897,13.0528,21.5019,24.3285,24.392,26.9722,27.936
4.95976,0.140593,0.446425,0.489031,0.210602,0.21258,0.00551563,0.117911,0.354017,0.314556,0.351471,0.333866,0.323548,0.289566,0.140593,0.117911,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49904,8.84261,9.01219,12.242,12.8494,21.3829,24.0957,24.1427,26.9368,27.6594,0.0298526,0.00799246,-0.220989,-0.136468,-0.093332,-0.146399,-0.566038,-0.398331,-0.138044,-0.596463,4.48115,8.85201,8.98599,12.2945,12.9663,21.3404,24.156,24.2183,26.821,27.7075
35.1267,0.139262,0.439922,0.486529,0.206529,0.257638,0.00555833,0.116697,0.303492,0.287301,0.281169,0.230972,0.398543,0.407234,0.139262,0.116697,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.43612,8.75701,8.84088,12.1626,12.802,21.1169,23.7456,23.8203,26.5101,27.1553,0.0418098,0.103937,-0.0489012,-0.0118742,0.00577051,0.0368764,-0.231507,-0.0591448,0.026827,-0.135074,4.46919,8.75606,8.8139,12.1699,12.8672,21.1571,23.8215,23.8791,26.6562,27.2461
35.1964,0.139294,0.440086,0.486594,0.205805,0.256932,0.00555773,0.11714,0.304421,0.28826,0.282182,0.230404,0.397795,0.406363,0.139294,0.11714,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.4564,8.78738,8.85366,12.254,12.8439,21.201,23.8655,23.8582,26.7361,27.215,0.0394204,0.101155,-0.0515551,-0.0169861,0.000883271,0.0276599,-0.238359,-0.0659769,0.0180755,-0.143849,4.47158,8.75885,8.81656,12.175,12.8721,21.1663,23.8284,23.886,26.6649,27.2548
35.2364,0.139322,0.440241,0.486653,0.204337,0.256822,0.00555767,0.117952,0.304708,0.289172,0.281999,0.225802,0.398434,0.408569,0.139322,0.117952,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49076,8.67943,8.89247,12.1989,12.7497,21.3457,23.8142,23.8087,26.5872,27.3839,0.0352274,0.102612,-0.0552134,-0.0228811,-0.0053745,0.0156886,-0.241246,-0.0687178,0.00652263,-0.146493,4.47577,8.75739,8.82021,12.1809,12.8784,21.1783,23.8312,23.8887,26.6765,27.2575
35.2371,0.13932,0.440235,0.48666,0.204181,0.256933,0.0055581,0.118027,0.304587,0.289167,0.281778,0.225002,0.398707,0.409161,0.13932,0.118027,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49352,8.71197,8.85699,12.1811,12.9612,21.1868,23.4848,23.8211,26.7586,27.1041,0.0348589,0.103435,-0.0554286,-0.0230627,-0.00567052,0.015096,-0.240501,-0.0679481,0.0059252,-0.145331,4.47614,8.75656,8.82043,12.1811,12.8787,21.1789,23.8305,23.8879,26.6771,27.2563
35.2376,0.139316,0.440221,0.486678,0.204123,0.256977,0.00555891,0.118049,0.304531,0.289153,0.281703,0.224718,0.398819,0.409367,0.139316,0.118049,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.46746,8.75778,8.75873,12.4005,12.9683,21.1761,23.7166,24.0292,26.4436,27.4026,0.0347555,0.103769,-0.055473,-0.0230625,-0.00571483,0.0150004,-0.24014,-0.0675779,0.00582291,-0.144792,4.47624,8.75623,8.82047,12.1811,12.8787,21.179,23.8301,23.8876,26.6772,27.2558
35.2399,0.139292,0.440134,0.486797,0.203897,0.257083,0.00556404,0.118118,0.304365,0.289115,0.281552,0.223836,0.399179,0.409901,0.139292,0.118118,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,4.49637,8.76344,8.77756,12.1972,12.8963,21.2116,23.9705,23.9886,26.6654,27.2439,0.034421,0.104774,-0.0556283,-0.0230927,-0.00588099,0.0146521,-0.239062,-0.0664727,0.00546122,-0.143174,4.47658,8.75523,8.82063,12.1811,12.8789,21.1793,23.8291,23.8865,26.6775,27.2542
