# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_55N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1168677242 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_55N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55
-810.934,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.8987,50.6561,50.9808,66.0249,68.6906,77.5964,93.6276,99.621,104.435,115.183,115.742,127.619,129.698,129.989,132.942,134.034,146.384,154.325,157.942,158.148,159.95,182.037,184.857,187.323,191.333,192.551,197.669,200.617,201.292,205.9,215.968,224.596,231.837,234.995,239.11,247.089,250.128,252.524,254.969,256.282,258.24,261.191,259.176,266.451,268.503,273.763,271.962,279.138,280.924,281.743,288.444,292.942,297.86,301.289,302.769,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,-3.69935,-4.28514,-4.89085,-3.994,-5.21148,-4.1097,-6.84303,-4.92155,-5.84998,-6.01961,-8.67554,-8.4198,-6.92948,-5.18587,-8.77687,-6.16785,-8.42146,-7.46534,-7.23582,-8.8722,-6.68295,-7.95788,-6.32512,-7.7113,-9.05992,-9.48815,-7.30547,-10.8431,-8.88274,-10.9567,-12.2425,-13.6456,-11.2066,-10.9034,-11.1348,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845,159.773,182.203,183.67,188.115,190.984,192.546,197.733,199.607,201.204,204.794,216.327,225.696,233.112,234.24,239.576,248.264,251.397,252.84,255.778,256.782,257.567,260.932,261.35,266.37,269.508,271.683,272.534,278.085,280.043,282.806,288.769,293.013,295.854,300.314,301.523
182.389,0.139474,0.449395,0.488297,0.286291,0.15283,0.00543311,0.0815523,0.401562,0.25996,0.4248,0.593824,0.207738,0.127127,0.139474,0.0815523,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.8532,48.3465,52.1077,63.3382,65.6536,75.8209,91.0217,97.4362,100.132,111.954,114.533,122.603,126.952,128.142,132.729,135.627,144.655,152.242,151.909,154.223,155.452,177.947,178.487,183.781,187.89,190.457,191.372,196.657,196.131,199.478,208.243,218.217,224.214,226.238,230.346,245.063,243.639,246.362,248.185,249.381,251.389,253.589,256.951,259.987,260.175,265.565,269.435,269.484,271.974,275.54,277.517,282.763,287.872,288.16,297.043,0.725533,0.279305,-1.87674,0.222081,0.368496,0.611551,0.586211,0.0105545,0.713129,-1.96714,-1.58984,1.42719,-3.32945,-0.857833,-1.20537,-0.272562,-0.273211,0.292241,0.0406183,-0.32073,1.21084,0.736453,-0.543672,-0.36647,-0.389661,-2.18174,-1.43939,-0.199597,0.148473,-1.30739,-0.492024,-1.49313,1.43077,0.905348,-0.787336,0.386048,-1.85272,-1.49187,0.341219,-2.20887,-3.02078,-1.60013,-2.21454,-1.91678,-1.69569,-2.48332,-1.62672,-2.44933,-0.68313,-1.29948,-0.623297,-2.40327,-3.15036,-1.54373,-2.95992,23.9475,48.6027,51.3377,63.0049,65.6435,75.6174,92.3528,97.7764,99.9419,113.283,114.029,121.727,127.148,128.823,132.359,133.485,144.365,151.057,152.326,153.921,154.863,177.182,179.323,184.487,186.163,190.618,192.329,194.885,195.206,200.081,208.143,218.769,224.752,228.149,231.586,241.71,244.829,246.867,248.201,250.119,253.905,254.574,257.24,260.576,262.144,264.678,266.856,269.691,271.843,273.148,277.149,281.77,287.797,290.955,293.348
194.756,0.138098,0.444462,0.486422,0.288398,0.173087,0.00546594,0.0780317,0.382871,0.248513,0.404662,0.592386,0.23618,0.145044,0.138098,0.0780317,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.8484,48.5285,51.1132,62.5694,65.679,75.0406,92.382,97.4647,99.8061,112.096,113.927,121.287,125.681,128.966,130.662,134,143.014,150.446,150.989,153.934,155.684,178.383,178.694,184.92,186.65,189.405,190.467,193.261,193.638,199.811,205.792,217.937,224.465,226.09,231.085,241.336,245.869,244.318,246.953,248.267,253.341,256.619,257.806,258.794,260.424,265.92,265.228,269.636,271.045,273.619,275.42,280.85,287.977,291.231,292.332,0.794698,0.357284,-1.68449,0.398949,0.521321,0.67503,0.670741,0.0922409,0.981143,-1.71497,-1.33095,1.64192,-2.98163,-0.730485,-1.10983,-0.137503,-0.138449,0.607358,0.442384,-0.126953,1.38574,1.00401,-0.269486,-0.13735,-0.0609093,-1.80223,-1.01766,0.168636,0.484893,-0.974548,0.0516775,-0.895796,1.87243,1.31759,-0.347414,0.777278,-1.33696,-0.907181,0.928495,-1.69174,-2.59389,-1.10741,-1.78129,-1.51986,-1.11864,-1.95233,-1.0008,-1.61602,0.0153107,-0.771442,0.0913886,-1.6725,-2.46754,-0.873445,-2.39873,23.8783,48.5247,51.1455,62.8281,65.4907,75.554,92.2683,97.6948,99.6739,113.031,113.77,121.512,126.801,128.695,132.264,133.35,144.23,150.742,151.925,153.727,154.688,176.914,179.048,184.258,185.834,190.238,191.908,194.516,194.869,199.749,207.599,218.172,224.311,227.736,231.146,241.319,244.313,246.282,247.614,249.602,253.478,254.081,256.806,260.179,261.567,264.147,266.23,268.858,271.145,272.62,276.435,281.039,287.115,290.284,292.787
221.746,0.132619,0.426495,0.478469,0.262333,0.272977,0.00560202,0.082081,0.270755,0.228791,0.262111,0.393689,0.396292,0.345914,0.132619,0.082081,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.9562,47.9466,49.5325,61.5872,64.729,75.9365,90.7529,98.377,99.4929,111.368,112.367,121.385,124.988,129.304,130.997,133.335,142.917,149.822,151.315,154.532,154.955,175.847,176.835,181.33,183.709,188.83,191.364,191.835,194.56,198.724,204.914,215.448,222.921,228.204,230.843,236.397,242.695,243.421,246.328,245.512,252.548,253.243,253.814,258.404,259.235,262.513,265.409,265.991,268.47,272.803,272.055,275.804,282.571,286.978,289.379,0.740362,0.433551,-0.234642,0.882077,0.84386,0.652781,0.833238,0.19201,1.46504,-0.316877,0.149097,1.6975,-0.933407,-0.209779,-0.37521,0.314382,0.302486,1.26806,1.57828,0.458279,1.59882,1.45613,0.543762,0.713357,1.02285,0.257674,0.506779,1.36516,1.2147,0.06998,1.51073,1.16402,2.49878,2.22681,0.881254,1.70112,0.381106,1.00609,2.41692,0.150486,0.152565,0.063168,-0.0193091,-0.636859,0.367629,0.0481982,0.59307,0.619534,2.55933,0.990331,2.61816,0.718378,-0.362967,1.62045,-1.23667,23.9326,48.4484,49.6956,62.3449,65.1681,75.5762,92.1058,97.595,99.19,111.633,112.29,121.457,124.752,128.175,131.529,132.898,143.79,150.081,150.789,153.142,154.475,176.462,178.235,183.408,184.75,188.178,190.383,193.32,194.139,198.704,206.14,216.112,223.684,226.827,229.918,240.395,242.595,244.369,246.125,247.76,250.731,252.911,255.044,259.296,260.08,262.147,264.636,266.622,268.601,270.859,273.908,278.649,285.01,287.791,291.625
241.106,0.133469,0.429753,0.479884,0.253248,0.25527,0.00559584,0.0882523,0.293964,0.247031,0.28907,0.39957,0.373748,0.319394,0.133469,0.0882523,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.0072,48.6976,50.1037,63.2222,65.0584,76.0783,91.9231,97.6715,99.2509,111.654,112.319,122.504,124.977,130.109,131.29,132.855,144.269,150.782,150.284,152.69,154.993,177.395,178.261,187.42,184.803,189.27,190.401,193.839,194.214,199.192,206.53,217.046,225.337,228.099,230.576,240.734,243.359,246.328,247.631,248.405,252.412,255.116,253.394,259.336,261.876,263.124,265.759,270.069,269.417,273.418,276.44,280.941,289.813,287.509,291.488,0.62188,0.304108,-0.48583,0.603096,0.599594,0.544194,0.69729,0.058743,1.03366,-0.694628,-0.230898,1.33495,-1.45453,-0.402898,-0.568241,0.198065,0.102592,0.729723,0.944384,0.185877,1.30882,0.979667,0.117761,0.284633,0.487526,-0.277668,-0.198882,0.7648,0.669779,-0.457185,0.626155,0.174748,1.74524,1.52815,0.142949,1.05389,-0.504734,0.0787154,1.42322,-0.649161,-0.73569,-0.545233,-0.678409,-1.24322,-0.52667,-0.888923,-0.348492,-0.776235,1.33993,0.0892298,1.35235,-0.491263,-1.50689,0.43293,-2.12661,24.0511,48.5779,49.9468,62.6239,65.4124,75.6848,92.2417,97.7283,99.6213,112.011,112.67,121.819,125.274,128.368,131.722,133.014,143.989,150.619,151.423,153.414,154.765,176.938,178.661,183.836,185.285,188.714,191.089,193.92,194.684,199.231,207.025,217.101,224.438,227.526,230.656,241.042,243.481,245.296,247.119,248.559,251.62,253.519,255.703,259.902,260.975,263.084,265.577,268.018,269.82,271.76,275.174,279.858,286.154,288.978,292.515
261.595,0.131931,0.426096,0.47778,0.213212,0.285103,0.00565374,0.106442,0.255968,0.248717,0.223493,0.168317,0.445956,0.496286,0.131931,0.106442,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.2024,48.7073,49.3747,62.9161,65.5169,75.9117,92.933,98.1716,100.155,111.131,111.758,123.634,124.44,127.292,131.711,133.349,144.347,150.59,152.438,154.049,155.684,177.616,177.786,184.683,184.022,187.628,194.284,193.846,194.965,199.627,207.197,216.288,224.121,227.424,228.528,241.036,243.719,244.952,247.923,247.616,248.854,252.746,255.228,257.393,261.901,262.335,266.985,267.087,269.227,274.205,272.452,280.713,285.105,290.471,291.315,0.30603,0.0971962,0.236097,0.451995,0.38496,0.272492,0.556627,-0.129695,0.511701,-0.239537,0.264762,0.649871,-0.63593,-0.284974,-0.129524,0.0630949,0.0634637,0.253834,0.535683,0.0696234,0.866784,0.389091,-0.0140848,0.458015,0.336709,0.476145,-0.297913,0.730475,0.202455,-0.436326,-0.283033,0.260374,0.734764,0.976914,-0.367734,0.693863,-0.392847,0.574072,0.761544,-0.839447,0.131757,-0.731844,-0.539017,-1.63094,-0.807019,-0.858774,-0.539615,-0.708629,0.523057,-0.238296,0.776496,-0.460877,-1.62638,-0.0631918,-2.7083,24.367,48.7848,49.2249,62.775,65.627,75.9565,92.3824,97.9167,100.143,111.556,112.174,122.504,124.455,128.25,131.284,133.149,144.029,151.095,151.831,153.53,155.207,177.529,178.793,183.663,185.436,187.96,191.188,193.955,195.152,199.21,207.934,217.016,225.448,228.077,231.167,241.402,243.369,244.801,247.78,248.749,250.752,253.706,255.564,260.29,261.255,263.054,265.769,267.951,270.637,272.087,275.75,279.828,286.273,289.474,293.096
263.761,0.131377,0.425489,0.477096,0.19922,0.290441,0.00564952,0.113135,0.248678,0.246659,0.207032,0.0901122,0.464922,0.55391,0.131377,0.113135,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.8271,48.6612,49.4887,63.2127,65.3249,76.0133,92.6969,98.3468,101.061,112.155,112.121,122.915,122.938,128.177,130.228,133.948,143.748,150.777,151.484,153.084,154.321,178.413,179.024,183.5,185.16,187.823,192.962,194.675,197.278,197.097,208.469,214.085,224.675,228.549,230.827,241.614,241.396,242.938,247.381,247.373,251.232,252.853,258.522,259.783,258.142,264.525,266.28,268.457,270.242,270.819,275.036,277.623,285.799,287.718,290.621,0.19236,0.0182261,0.422853,0.375232,0.294435,0.17108,0.497596,-0.201953,0.295772,-0.145765,0.367351,0.410225,-0.434103,-0.258491,-0.0109691,-0.00914791,0.0266351,0.0654201,0.333718,-0.00963393,0.693821,0.155704,-0.097451,0.51682,0.231735,0.626813,-0.382444,0.682187,0.00196552,-0.464825,-0.701329,0.236009,0.364741,0.775597,-0.643225,0.584634,-0.342494,0.663396,0.54463,-0.980855,0.265533,-0.835354,-0.564038,-1.73251,-0.912019,-0.956069,-0.589672,-0.658395,0.161708,-0.493531,0.418089,-0.512937,-1.68044,-0.398074,-2.90475,24.4806,48.8638,49.0381,62.8518,65.7176,76.0579,92.4414,97.989,100.359,111.462,112.072,122.744,124.253,128.223,131.165,133.221,144.065,151.284,152.033,153.61,155.38,177.762,178.876,183.604,185.541,187.809,191.272,194.003,195.352,199.239,208.352,217.04,225.818,228.278,231.442,241.511,243.318,244.712,247.997,248.891,250.618,253.809,255.589,260.392,261.36,263.151,265.819,267.9,270.998,272.343,276.108,279.88,286.327,289.809,293.293
264.039,0.131103,0.425531,0.476786,0.195183,0.28966,0.00563345,0.115174,0.249555,0.248077,0.206442,0.0769628,0.466657,0.56077,0.131103,0.115174,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.55,48.8595,49.7258,62.8801,66.2345,75.5315,92.4902,97.6564,100.42,111.969,111.866,122.021,123.829,129.147,131.449,133.772,143.608,150.903,152.022,153.475,155.177,178.426,179.596,184.315,185.137,186.857,190.801,193.668,197.267,198.681,207.808,219.663,226.8,228.381,231.282,241.001,240.499,246.148,247.748,248.73,250.793,254.481,256.307,258.36,260.913,262.004,264.212,267.199,268.47,271.25,274.88,279.256,285.688,289.698,291.212,0.157376,-0.0113055,0.43465,0.331356,0.251485,0.138698,0.471264,-0.230405,0.209075,-0.166141,0.348669,0.326854,-0.44741,-0.272995,-0.00711336,-0.0342483,-0.00127744,-0.0227379,0.232765,-0.0547627,0.626664,0.0602766,-0.155527,0.479424,0.157609,0.604701,-0.468129,0.614598,-0.0934549,-0.524119,-0.866293,0.134287,0.221437,0.67616,-0.780343,0.502426,-0.416555,0.592185,0.422865,-1.0899,0.199486,-0.913206,-0.622879,-1.80424,-1.01318,-1.06631,-0.675851,-0.758887,-0.00356384,-0.64878,0.20602,-0.643962,-1.79351,-0.58014,-3.01716,24.5156,48.8933,49.0264,62.8956,65.7605,76.0903,92.4677,98.0174,100.446,111.482,112.09,122.827,124.266,128.238,131.161,133.246,144.093,151.372,152.134,153.655,155.447,177.858,178.935,183.642,185.615,187.831,191.358,194.07,195.447,199.298,208.517,217.142,225.962,228.378,231.579,241.594,243.393,244.783,248.119,249,250.685,253.887,255.648,260.463,261.461,263.261,265.905,268.001,271.164,272.498,276.32,280.011,286.441,289.991,293.405
264.16,0.130738,0.425172,0.476307,0.19215,0.291277,0.00562046,0.116511,0.247047,0.246251,0.201435,0.0567719,0.471839,0.576814,0.130738,0.116511,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5684,48.7692,48.7963,62.5181,65.9796,76.1635,93.0411,98.2867,100.788,110.876,110.612,123.516,123.681,129.052,130.565,133.631,142.617,151.338,152.794,154.604,156.391,178.875,179.081,183.199,185.722,188.924,192.572,194.801,195.597,199.435,207.066,216.165,224.283,229.622,231.826,242.281,245.334,243.751,249.009,247.074,249.482,255.138,256.606,261.17,261.897,261.157,265.589,265.28,269.549,273.997,278.77,281.312,286.891,292.11,293.412,0.135413,-0.0239835,0.488433,0.325563,0.241104,0.119214,0.463567,-0.241218,0.176099,-0.127815,0.388786,0.287569,-0.376338,-0.256269,0.0302183,-0.0472271,-0.000748932,-0.0424646,0.211393,-0.06183,0.600326,0.0279841,-0.156087,0.521879,0.158036,0.660817,-0.453812,0.632546,-0.115398,-0.503434,-0.929849,0.177783,0.174182,0.663776,-0.80802,0.522994,-0.350227,0.655954,0.437586,-1.08583,0.270791,-0.904642,-0.598231,-1.78244,-0.986105,-1.03833,-0.637307,-0.667124,-0.0235028,-0.662054,0.19523,-0.583139,-1.74257,-0.594022,-3.00547,24.5376,48.906,48.9726,62.9014,65.7709,76.1098,92.4754,98.0282,100.479,111.444,112.05,122.866,124.195,128.221,131.124,133.259,144.093,151.391,152.156,153.662,155.474,177.89,178.935,183.599,185.615,187.775,191.344,194.052,195.469,199.277,208.581,217.098,226.009,228.39,231.607,241.573,243.326,244.719,248.104,248.996,250.613,253.879,255.623,260.441,261.434,263.233,265.866,267.909,271.184,272.511,276.331,279.95,286.39,290.005,293.393
264.518,0.129916,0.424659,0.47526,0.189602,0.291051,0.00557844,0.117529,0.246418,0.245894,0.199446,0.0461042,0.473823,0.58417,0.129916,0.117529,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5021,49.0972,49.0289,62.7216,65.5396,75.3457,92.8963,98.7801,100.475,111.659,111.961,122.903,125.331,128.38,132.116,133.835,143.926,150.858,152.636,154.11,155.351,176.303,179.666,183.916,186.276,188.593,191.807,197.5,194.838,199.662,211.213,215.084,223.454,228.16,232.552,241.88,243.058,245.482,249.346,251.335,250.678,253.702,255.068,261.062,258.676,263.845,264.309,267.418,270.042,272.108,274.974,281.414,285.328,290.907,291.373,0.118664,-0.0356504,0.510019,0.312612,0.226735,0.10388,0.454435,-0.251815,0.142883,-0.118941,0.398702,0.253445,-0.353529,-0.252116,0.0463304,-0.0562792,-0.00580491,-0.0694295,0.179841,-0.0736672,0.575975,-0.00414896,-0.167914,0.531813,0.144485,0.679189,-0.466105,0.62609,-0.143856,-0.504064,-0.987023,0.172577,0.134274,0.646938,-0.838868,0.525721,-0.330722,0.680118,0.43148,-1.09125,0.300654,-0.905404,-0.588258,-1.76842,-0.981594,-1.02428,-0.624733,-0.623384,-0.0447304,-0.678399,0.16674,-0.560473,-1.73119,-0.607152,-2.98757,24.5543,48.9177,48.951,62.9144,65.7853,76.1251,92.4846,98.0388,100.512,111.435,112.04,122.901,124.173,128.217,131.108,133.268,144.098,151.418,152.187,153.674,155.498,177.922,178.947,183.589,185.629,187.757,191.356,194.059,195.498,199.278,208.638,217.103,226.049,228.407,231.638,241.57,243.307,244.695,248.111,249.001,250.583,253.879,255.613,260.427,261.43,263.219,265.854,267.865,271.205,272.527,276.359,279.927,286.378,290.018,293.376
