# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_20N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1238937051 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_20N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20
92.1966,0.136556,0.433706,0.48629,0.182829,0.288231,0.00465487,0.125439,0.262868,0.262321,0.216794,0.0456148,0.467501,0.565677,0.136556,0.125439,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6331,49.3651,48.9768,62.481,66.1475,76.2146,92.488,98.3765,101.031,111.14,112.41,124.539,123.876,128.523,131.326,133.608,144.608,151.841,152.615,153.741,-0.0216721,-0.17752,0.36024,0.0432026,-0.016454,-0.0306537,0.307897,-0.40069,-0.301439,-0.422861,0.0980284,-0.140445,-0.74993,-0.435764,-0.102975,-0.192891,-0.213742,-0.576949,-0.41047,-0.380656,24.6947,49.0595,49.1008,63.1838,66.0285,76.2597,92.6311,98.1877,100.956,111.739,112.341,123.294,124.569,128.401,131.257,133.405,144.306,151.926,152.777,153.981
93.8551,0.135751,0.433773,0.487995,0.18342,0.289394,0.00392088,0.125177,0.262155,0.261623,0.216609,0.0450179,0.468887,0.56633,0.135751,0.125177,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5696,49.1221,49.2021,63.0842,66.5321,76.331,92.4379,98.2407,100.752,111.617,112.614,123.885,123.971,128.304,130.046,133.647,144.148,152.892,152.668,154.38,-0.0167465,-0.172335,0.36774,0.0539085,-0.00696899,-0.0259697,0.313643,-0.394822,-0.284334,-0.409496,0.111317,-0.125651,-0.731797,-0.426947,-0.094926,-0.186381,-0.204394,-0.556695,-0.387117,-0.367072,24.6897,49.0543,49.0933,63.1731,66.019,76.255,92.6254,98.1818,100.939,111.725,112.328,123.28,124.551,128.392,131.249,133.398,144.296,151.906,152.754,153.967
96.5706,0.134114,0.433492,0.491279,0.192858,0.290336,0.00281059,0.120317,0.261909,0.260181,0.222116,0.0812294,0.463537,0.542975,0.134114,0.120317,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5458,48.9666,49.1655,62.9685,65.9092,76.1281,92.3294,98.3043,100.731,111.783,112.051,123.161,124.184,128.463,131.956,133.468,143.978,151.46,152.215,153.893,0.0656482,-0.106881,0.312963,0.144646,0.0842845,0.0506283,0.371952,-0.330121,-0.0915791,-0.39015,0.126331,0.0622612,-0.745706,-0.402487,-0.118932,-0.12056,-0.142475,-0.373741,-0.17542,-0.259478,24.6074,48.9889,49.148,63.0824,65.9277,76.1784,92.567,98.1171,100.747,111.706,112.313,123.092,124.565,128.367,131.273,133.333,144.234,151.723,152.542,153.859
96.5901,0.134121,0.433415,0.49118,0.193463,0.289899,0.00283623,0.119976,0.262314,0.260408,0.223053,0.0852461,0.462449,0.539897,0.134121,0.119976,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4676,48.9194,49.101,63.0642,65.6637,76.2098,92.5622,97.8298,100.765,111.398,112.504,122.889,124.154,129.432,131.392,133.159,143.798,151.452,152.544,153.195,0.0712975,-0.103076,0.302867,0.14797,0.0883552,0.0557516,0.374742,-0.326664,-0.0812708,-0.395668,0.120396,0.0735715,-0.757237,-0.404386,-0.125459,-0.116771,-0.140872,-0.365671,-0.166441,-0.255429,24.6017,48.9851,49.1581,63.079,65.9236,76.1732,92.5643,98.1137,100.736,111.712,112.319,123.08,124.576,128.369,131.279,133.329,144.233,151.715,152.533,153.855
96.5951,0.134142,0.433336,0.491039,0.193516,0.290001,0.00286867,0.11991,0.262065,0.260177,0.222712,0.0848842,0.462631,0.540455,0.134142,0.11991,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5729,48.8358,49.1102,63.027,66.0788,75.8028,92.6732,97.9198,100.261,112.075,112.755,123.58,125.06,127.78,131.164,133.711,144.673,151.951,152.95,153.647,0.0724738,-0.101674,0.305744,0.150949,0.090945,0.0569177,0.376236,-0.325232,-0.076887,-0.391411,0.124654,0.0772409,-0.751292,-0.402166,-0.123214,-0.115788,-0.138737,-0.360487,-0.160245,-0.252391,24.6005,48.9837,49.1553,63.0761,65.9211,76.1721,92.5628,98.1122,100.732,111.707,112.314,123.077,124.57,128.367,131.277,133.328,144.231,151.709,152.527,153.852
96.5963,0.134109,0.433275,0.491024,0.193562,0.289946,0.00286902,0.119857,0.262064,0.260158,0.222793,0.0852899,0.462553,0.54013,0.134109,0.119857,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6089,48.6307,49.3099,62.998,65.6805,75.999,92.8608,97.8595,100.013,111.337,112.644,123.094,124.579,128.068,132.27,133.566,144.22,151.849,152.123,153.877,0.0733916,-0.100935,0.30512,0.151973,0.0919775,0.0577642,0.376885,-0.324505,-0.0747052,-0.391157,0.124859,0.0794163,-0.751397,-0.401866,-0.12347,-0.115018,-0.138029,-0.358331,-0.157794,-0.251163,24.5996,48.9829,49.1559,63.075,65.92,76.1712,92.5621,98.1115,100.73,111.707,112.314,123.075,124.57,128.367,131.277,133.327,144.23,151.707,152.525,153.851
96.6002,0.133969,0.433009,0.490936,0.193505,0.28964,0.00287716,0.119752,0.262129,0.260176,0.223133,0.0863119,0.462304,0.539053,0.133969,0.119752,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.7555,48.9456,49.5854,63.0088,65.6126,76.3199,92.304,97.8591,100.845,111.77,112.359,123.318,124.836,128.125,131.531,132.646,144.702,152.12,152.492,153.331,0.0752048,-0.0995855,0.302961,0.153613,0.093735,0.0594055,0.37801,-0.323167,-0.0706821,-0.391513,0.124394,0.0836756,-0.752975,-0.40163,-0.124534,-0.113308,-0.136827,-0.354408,-0.153463,-0.248894,24.5978,48.9816,49.158,63.0734,65.9183,76.1696,92.561,98.1102,100.726,111.708,112.315,123.07,124.572,128.367,131.279,133.325,144.229,151.703,152.52,153.849
96.6092,0.133584,0.432335,0.490768,0.193104,0.288968,0.00288222,0.119616,0.262188,0.260178,0.223746,0.087557,0.462025,0.537255,0.133584,0.119616,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5183,48.8837,48.9983,63.2118,65.8531,76.3852,92.2985,98.1422,100.514,111.705,112.298,122.897,124.562,128.351,132.149,133.405,144.3,151.87,153.121,154.072,0.0776702,-0.0976876,0.300592,0.156205,0.0964182,0.0616167,0.379685,-0.321165,-0.0646502,-0.391059,0.124719,0.0900751,-0.753758,-0.40064,-0.125236,-0.110344,-0.134584,-0.347908,-0.1464,-0.244885,24.5953,48.9797,49.1604,63.0708,65.9156,76.1674,92.5593,98.1082,100.72,111.707,112.314,123.064,124.573,128.366,131.279,133.322,144.227,151.697,152.513,153.845
96.6358,0.132336,0.430199,0.490275,0.191421,0.286835,0.00288848,0.119389,0.262387,0.260263,0.225566,0.0899769,0.461431,0.532408,0.132336,0.119389,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6813,49.1271,49.2584,63.2524,65.8102,76.3799,92.7404,98.3069,100.53,112.029,112.47,122.69,124.452,128.437,131.801,133.605,144.345,151.683,152.789,154.025,0.0820308,-0.0944621,0.295396,0.160632,0.101101,0.0654165,0.382582,-0.317475,-0.0535146,-0.390354,0.125204,0.102529,-0.755565,-0.398331,-0.126243,-0.103334,-0.129808,-0.334824,-0.132722,-0.236255,24.591,48.9765,49.1656,63.0664,65.9109,76.1636,92.5564,98.1045,100.709,111.706,112.314,123.051,124.575,128.363,131.28,133.315,144.222,151.684,152.5,153.836
96.7089,0.128897,0.424341,0.489007,0.186111,0.280947,0.00289668,0.119115,0.26293,0.26061,0.230408,0.0939402,0.460228,0.520554,0.128897,0.119115,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6124,49.056,49.2984,62.764,65.6724,76.2108,92.361,98.1383,100.815,111.533,112.193,123.321,124.794,127.629,131.269,133.164,144.093,151.339,152.784,154.037,0.0881619,-0.0902778,0.285435,0.166585,0.107658,0.0704317,0.386558,-0.311726,-0.0361925,-0.389129,0.126156,0.123713,-0.758597,-0.393032,-0.12652,-0.0878486,-0.120302,-0.311095,-0.109378,-0.219008,24.5848,48.9723,49.1756,63.0604,65.9043,76.1586,92.5524,98.0987,100.691,111.705,112.313,123.03,124.578,128.358,131.281,133.3,144.212,151.66,152.476,153.819
