# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_10N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1168668503 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_10N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10
-181.307,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,26.0388,50.2578,51.0485,66.4013,68.4127,77.8814,93.8159,99.3966,105.835,115.253,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103
-0.361529,0.142842,0.45945,0.492382,0.267562,0.141707,0.00528159,0.0959441,0.418667,0.295828,0.43714,0.541669,0.194917,0.131907,0.142842,0.0959441,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.2992,48.8126,51.5315,63.9777,66.2693,76.0738,92.5601,98.3681,101.311,114.069,0.457734,0.0251558,-1.9713,-0.223635,-0.0558679,0.372698,0.343301,-0.247071,-0.0476973,-2.33112,24.2153,48.8568,51.4323,63.4506,66.0679,75.8563,92.5957,98.0341,100.703,113.647
11.2402,0.142394,0.457366,0.49157,0.239935,0.164775,0.00532761,0.108716,0.402133,0.317298,0.413696,0.459305,0.236304,0.181242,0.142394,0.108716,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6213,49.1059,51.0268,64.0122,66.1542,76.5465,92.7982,98.7802,101.029,113.497,0.233438,-0.157318,-1.67501,-0.4496,-0.303778,0.173401,0.190994,-0.424929,-0.517966,-2.27076,24.4396,49.0393,51.136,63.6766,66.3158,76.0556,92.748,98.2119,101.173,113.587
37.9434,0.138637,0.43862,0.485768,0.171834,0.286101,0.00555174,0.133393,0.270116,0.270075,0.217594,0.0123284,0.46867,0.581706,0.138637,0.133393,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.78,48.3419,48.9224,62.8498,66.6916,76.5254,92.6243,98.9985,99.7798,112.384,-0.156216,-0.22795,0.278797,-0.151068,-0.200459,-0.159137,0.19388,-0.520764,-0.661443,-0.566176,24.8292,49.1099,49.1822,63.3781,66.2125,76.3881,92.7451,98.3078,101.316,111.882
38.832,0.13836,0.437666,0.484889,0.169163,0.302374,0.00554981,0.134252,0.249108,0.247597,0.183552,-0.0778596,0.498285,0.672147,0.13836,0.134252,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.0911,48.8812,49.5347,63.0078,66.2411,76.2631,93.32,98.8682,101.946,111.473,-0.164484,0.103885,0.314719,-0.00376085,-0.0883935,-0.160282,0.252472,-0.475008,-0.532041,-0.209485,24.8375,48.7781,49.1463,63.2308,66.1004,76.3893,92.6865,98.262,101.187,111.525
39.0474,0.138369,0.437765,0.484868,0.17152,0.302064,0.00554458,0.133123,0.249585,0.248472,0.18536,-0.0667539,0.495768,0.664569,0.138369,0.133123,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.9767,48.7201,49.1909,64.0038,66.1512,76.9909,92.4029,98.7269,101.509,112.899,-0.146146,0.0815659,0.327947,0.0107237,-0.0728231,-0.143083,0.263161,-0.462753,-0.4945,-0.216999,24.8191,48.8004,49.1331,63.2163,66.0848,76.3721,92.6758,98.2498,101.149,111.533
39.5801,0.138416,0.438352,0.484692,0.184661,0.301928,0.00550758,0.126846,0.250273,0.250226,0.192048,-0.0136599,0.484626,0.631437,0.138416,0.126846,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6856,48.6686,48.8533,63.0556,65.7177,76.8074,92.1052,99.12,100.99,111.047,-0.0427256,-0.0105823,0.407171,0.10983,0.0289731,-0.0460195,0.330363,-0.387773,-0.266731,-0.221633,24.7157,48.8926,49.0538,63.1172,65.983,76.275,92.6086,98.1748,100.922,111.538
39.5885,0.138431,0.438427,0.484742,0.184141,0.301697,0.00550402,0.127143,0.250655,0.250603,0.192337,-0.0144868,0.484601,0.631403,0.138431,0.127143,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5745,48.8664,48.8619,63.0658,66.1853,75.7726,93.387,98.4605,101.091,111.297,-0.0477824,-0.0126289,0.402441,0.101805,0.0215223,-0.0508707,0.325798,-0.392482,-0.28094,-0.22871,24.7208,48.8946,49.0586,63.1252,65.9905,76.2799,92.6132,98.1795,100.936,111.545
39.6125,0.138496,0.438827,0.484889,0.183496,0.30159,0.0054825,0.127666,0.251246,0.251179,0.192577,-0.0162628,0.484619,0.632091,0.138496,0.127666,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6761,48.849,49.2644,62.901,66.0872,76.3474,92.09,98.5957,101.547,112.163,-0.0566595,-0.0150232,0.394258,0.0882439,0.00883148,-0.0593559,0.318037,-0.400557,-0.305476,-0.24003,24.7297,48.897,49.0667,63.1388,66.0032,76.2884,92.621,98.1876,100.96,111.556
39.6724,0.138693,0.440114,0.48529,0.183155,0.301979,0.00540987,0.128479,0.252203,0.252113,0.192668,-0.0188571,0.484508,0.633998,0.138693,0.128479,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.638,48.5775,49.592,62.7378,65.7022,76.6542,93.0865,97.7404,100.122,111.882,-0.0705178,-0.0194266,0.381316,0.0666474,-0.0113494,-0.0726004,0.305837,-0.41326,-0.34443,-0.25896,24.7435,48.9014,49.0797,63.1604,66.0233,76.3016,92.6332,98.2003,100.999,111.575
