# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_50N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1546529820 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_50N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50
-668.914,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.7166,50.6719,51.0425,66.2253,68.5589,76.3626,93.6106,98.7842,104.734,115.397,115.828,126.849,129.749,130.049,133.288,134.807,146.024,154.241,158.614,157.846,161.047,184.417,181.818,188.572,190.258,193.131,198.433,199.178,201.877,203.452,217.949,225.709,233.638,233.245,240.501,248.049,251.221,254.561,254.949,257.368,258.031,260.655,262.22,265.915,271.705,270.81,271.675,277.556,282.357,283.14,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,-3.69935,-4.28514,-4.89085,-3.994,-5.21148,-4.1097,-6.84303,-4.92155,-5.84998,-6.01961,-8.67554,-8.4198,-6.92948,-5.18587,-8.77687,-6.16785,-8.42146,-7.46534,-7.23582,-8.8722,-6.68295,-7.95788,-6.32512,-7.7113,-9.05992,-9.48815,-7.30547,-10.8431,-8.88274,-10.9567,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845,159.773,182.203,183.67,188.115,190.984,192.546,197.733,199.607,201.204,204.794,216.327,225.696,233.112,234.24,239.576,248.264,251.397,252.84,255.778,256.782,257.567,260.932,261.35,266.37,269.508,271.683,272.534,278.085,280.043,282.806
-26.5598,0.135914,0.43112,0.48439,0.354009,0.175157,0.00559445,0.0385554,0.367782,0.138054,0.406238,0.790336,0.223093,0.0758152,0.135914,0.0385554,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.0946,47.8032,51.1515,61.5065,64.7818,75.0196,92.273,97.2525,98.7617,110.936,113.862,118.755,126.719,128.699,131.626,134.438,143.518,147.688,150.226,153.685,153.67,174.483,178.985,181.859,183.081,187.791,189.486,190.551,191.215,197.442,204.143,215.205,219.358,225.323,229.138,234.809,241.148,243.412,245.122,244.309,251.287,251.824,252.59,255.055,257.471,259.899,261.886,266.07,268.493,269.546,1.57939,1.06034,-1.76924,1.60237,1.70449,1.32373,1.31284,0.808302,3.11174,-0.95809,-0.670893,3.92387,-1.94527,-0.086866,-0.694256,-0.00672063,0.653603,3.31063,3.12822,1.0166,2.67276,3.33567,1.6716,1.44381,2.02086,0.683192,0.660749,2.88269,3.13569,1.67814,3.31703,3.54411,5.73376,4.83105,2.56376,4.23301,3.15725,3.6325,5.75638,1.85426,0.541688,1.57458,1.60469,1.89321,3.18125,1.98521,4.34223,4.4557,4.10129,2.62931,23.0936,47.8217,51.2302,61.6246,64.3075,74.9053,91.6262,96.9787,97.5433,112.274,113.11,119.23,125.764,128.052,131.848,133.219,143.438,148.038,149.239,152.583,153.401,174.582,177.107,182.677,183.752,187.753,190.229,191.802,192.218,197.096,204.334,213.732,220.449,224.223,228.235,237.863,239.819,241.743,242.786,246.056,250.342,251.399,253.42,256.766,257.267,260.21,260.887,262.786,267.059,269.22
100.046,0.140915,0.454657,0.489951,0.218401,0.155135,0.0055222,0.118128,0.405536,0.334875,0.418436,0.417422,0.230493,0.184464,0.140915,0.118128,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.8968,49.1699,51.2326,63.8957,65.6449,76.3401,93.1882,99.1391,101.187,112.974,114.736,125.155,126.166,128.843,133.741,133.792,146.106,153.643,153.469,155.527,155.367,177.271,180.417,186.708,191.156,190.115,194.804,198.375,196.946,201.91,208.42,221.162,227.36,228.896,234.67,243.087,247.863,251.331,253.302,250.888,255.139,256.613,256.507,261.191,265.539,267.353,269.22,273.796,274.944,277.186,0.0706134,-0.303308,-1.63418,-0.673662,-0.524446,0.0221524,0.0548284,-0.571338,-0.921383,-2.38052,-1.93281,-0.309948,-3.74117,-1.32027,-1.42193,-0.419009,-0.847568,-1.47114,-1.77036,-1.20736,-0.163604,-1.0004,-1.8601,-1.49975,-1.8762,-2.6516,-3.21144,-1.82042,-1.79874,-2.82895,-3.1545,-3.94646,-1.50385,-1.25899,-3.24394,-1.76959,-4.19947,-3.8165,-2.78236,-4.07517,-3.89678,-3.63448,-3.43562,-3.92283,-4.41933,-4.73189,-4.01446,-6.37978,-3.41587,-3.91786,24.6024,49.1853,51.0952,63.9007,66.5364,76.2068,92.8842,98.3583,101.576,113.697,114.372,123.464,127.56,129.285,132.576,133.631,144.94,152.82,154.137,154.807,156.238,178.918,180.639,185.621,187.649,191.088,194.101,196.505,197.153,201.603,210.806,221.222,227.687,230.313,234.043,243.866,247.175,249.192,251.324,251.985,254.781,256.608,258.461,262.582,264.867,266.927,269.243,273.622,274.576,275.767
146.082,0.139816,0.449575,0.488638,0.235908,0.164669,0.0055606,0.106834,0.394082,0.311486,0.409524,0.457811,0.240223,0.182715,0.139816,0.106834,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5359,49.0544,50.512,64.169,66.4545,75.7014,93.5731,97.9464,102.062,112.401,114.07,121.423,127.519,129.113,132.795,134.578,144.291,152.492,154.249,154.766,156.361,178.293,181.172,186.502,185.572,191.734,192.868,195.48,195.567,202.31,209.048,219.23,226.495,231.69,232.128,244.795,245.586,247.907,250.241,251.893,253.348,255.914,256.984,264.146,265.14,265.038,269.116,275.231,274.108,275.295,0.268808,-0.116332,-1.59067,-0.361993,-0.226708,0.207052,0.233519,-0.382786,-0.382729,-2.14534,-1.71015,0.219499,-3.46923,-1.1368,-1.32056,-0.303232,-0.633205,-0.9236,-1.14872,-0.862967,0.305187,-0.447982,-1.39623,-1.10261,-1.34243,-2.37857,-2.56054,-1.26378,-1.15004,-2.30547,-2.22372,-3.10277,-0.57813,-0.577709,-2.37677,-1.05922,-3.39839,-3.09931,-1.76274,-3.34974,-3.48923,-2.9201,-2.9526,-3.2605,-3.54098,-3.92326,-3.29041,-5.25985,-2.36381,-2.9524,24.4042,48.9983,51.0517,63.589,66.2387,76.0219,92.7055,98.1698,101.038,113.461,114.149,122.935,127.288,129.102,132.475,133.515,144.725,152.273,153.516,154.463,155.769,178.366,180.175,185.224,187.115,190.815,193.451,195.949,196.504,201.079,209.875,220.379,226.761,229.632,233.176,243.155,246.374,248.474,250.305,251.26,254.373,255.894,257.978,261.92,263.989,266.118,268.519,272.502,273.524,274.801
194.712,0.136432,0.435222,0.484137,0.273679,0.208937,0.00564657,0.0807718,0.345052,0.247457,0.360976,0.531829,0.294734,0.202047,0.136432,0.0807718,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.7143,48.4444,50.5183,62.2865,65.3863,74.7564,92.0837,98.4905,99.6394,112.706,115.561,121.428,126.269,127.991,132.151,132.753,145.143,151.401,151.39,153.822,156.713,177.48,179.115,183.533,185.862,189.351,191.532,193.983,195.53,198.223,207.932,215.814,222.802,226.754,230.228,241.64,241.924,246.17,248.761,250.478,253.543,255.895,258.015,259.845,259.479,263.442,265.917,268.085,269.85,273.732,0.749884,0.355494,-1.20735,0.50975,0.58122,0.644113,0.697595,0.096783,1.06482,-1.295,-0.876654,1.57752,-2.37061,-0.594667,-0.943572,0.0711788,-0.0248605,0.715515,0.726684,0.0312491,1.39601,1.05115,-0.0790603,0.0265835,0.202068,-1.20598,-0.614237,0.442317,0.619919,-0.750348,0.425764,-0.418552,1.91464,1.47127,-0.0915358,0.941946,-0.97963,-0.557494,1.21934,-1.18356,-1.90474,-0.816027,-1.3002,-1.35212,-0.830988,-1.50853,-0.65822,-1.25296,0.688506,-0.381684,23.9231,48.5265,50.6684,62.7172,65.4308,75.5849,92.2414,97.6902,99.5902,112.611,113.316,121.576,126.19,128.56,132.098,133.141,144.117,150.633,151.64,153.569,154.678,176.867,178.858,184.094,185.571,189.642,191.504,194.243,194.734,199.524,207.225,217.695,224.268,227.583,230.891,241.154,243.956,245.932,247.323,249.094,252.789,253.79,256.325,260.011,261.279,263.704,265.887,268.495,270.471,272.231
204.517,0.136383,0.43544,0.483906,0.261548,0.215864,0.00565474,0.0869462,0.339146,0.258624,0.350195,0.487264,0.30971,0.228725,0.136383,0.0869462,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.0174,48.454,50.3045,63.0456,65.9304,75.2305,92.3168,97.4253,99.9707,112.005,113.706,121.84,125.31,129.694,132.972,133.383,144.511,151.882,150.701,153.61,153.968,175.828,178.532,183.337,185.156,188.026,191.003,194.929,196.097,200.324,209.101,218.75,227.096,230.523,232.898,238.929,244.77,246.027,247.563,250.155,249.411,254.553,256.266,261.312,263.121,265.361,266.365,270.374,273.871,272.441,0.636559,0.263571,-1.08187,0.386813,0.449478,0.546828,0.62034,0.00678182,0.812894,-1.28423,-0.84969,1.28235,-2.32605,-0.637262,-0.922973,0.0602872,-0.0930416,0.424326,0.458969,-0.0703137,1.19874,0.768345,-0.253632,-0.114588,0.00753971,-1.17739,-0.844164,0.219667,0.329264,-0.952791,0.0287677,-0.755298,1.43343,1.10758,-0.418082,0.614437,-1.305,-0.895798,0.741357,-1.42311,-1.935,-1.09711,-1.44037,-1.66863,-1.24798,-1.79755,-1.0915,-1.90633,0.31617,-0.713765,24.0364,48.6184,50.5429,62.8402,65.5625,75.6822,92.3187,97.7802,99.8421,112.6,113.289,121.872,126.145,128.602,132.077,133.152,144.185,150.925,151.908,153.67,154.875,177.15,179.033,184.236,185.765,189.613,191.734,194.465,195.025,199.727,207.622,218.031,224.75,227.946,231.217,241.482,244.281,246.271,247.801,249.333,252.819,254.071,256.465,260.328,261.696,263.993,266.32,269.148,270.844,272.563
237.572,0.134463,0.429847,0.480267,0.213716,0.27922,0.00572796,0.108065,0.267512,0.257643,0.237978,0.192072,0.433866,0.469718,0.134463,0.108065,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.2017,48.7574,49.4019,62.8475,65.6053,76.2088,92.8755,98.2612,100.249,111.416,111.914,122.495,124.364,127.893,130.545,133.814,144.625,150.539,152.52,154.681,156.224,176.639,182.201,184.82,186.045,187.409,192.139,193.94,194.771,198.802,206.328,216.261,226.497,228.135,232.278,238.781,244.524,244.232,251.059,251.914,251.248,253.877,255.252,261.244,262.004,264.523,268.24,268.341,273.014,269.408,0.274072,0.0524487,0.087603,0.339199,0.290814,0.240438,0.503378,-0.179326,0.357333,-0.43246,0.0698398,0.530707,-0.91587,-0.385456,-0.247278,0.0208653,-0.0274445,0.0500027,0.294035,-0.0514955,0.750094,0.205972,-0.200912,0.218366,0.097643,0.199515,-0.610698,0.459248,-0.0212414,-0.698283,-0.605259,-0.189056,0.434762,0.6895,-0.722652,0.385609,-0.851306,0.083991,0.337274,-1.24752,-0.375,-1.03839,-0.853496,-1.95619,-1.24125,-1.3772,-0.957585,-1.40141,0.0147702,-0.729759,24.3989,48.8296,49.3734,62.8878,65.7212,75.9886,92.4356,97.9663,100.298,111.748,112.369,122.623,124.735,128.35,131.401,133.191,144.119,151.299,152.073,153.651,155.324,177.712,178.98,183.903,185.675,188.236,191.501,194.226,195.375,199.472,208.256,217.465,225.748,228.365,231.522,241.71,243.827,245.291,248.205,249.158,251.259,254.012,255.878,260.615,261.689,263.572,266.187,268.643,271.145,272.579
239.27,0.133872,0.428742,0.479035,0.203101,0.295191,0.00571455,0.112821,0.246839,0.245018,0.203213,0.0858772,0.467191,0.563302,0.133872,0.112821,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4511,48.9642,48.934,62.5203,65.5168,75.6316,92.3784,97.7538,99.9902,111.728,112.313,123.227,124.915,128.637,131.385,133.453,144.178,152.564,152.314,153.343,154.688,177.785,178.105,182.69,187.577,186.36,191.812,191.881,194.155,196.058,206.348,220.554,227.745,228.368,231.037,240.973,243.091,242.91,247.185,247.732,251.069,256.24,256.219,258.942,260.496,260.762,266.77,266.243,268.47,271.706,0.197166,0.0254269,0.445725,0.39151,0.307946,0.176221,0.504899,-0.196064,0.315641,-0.119573,0.393623,0.423215,-0.395206,-0.248869,0.00126992,-0.0126543,0.0334531,0.0866855,0.361592,-0.00178469,0.702923,0.170066,-0.085934,0.540829,0.246582,0.649509,-0.353668,0.705105,0.0181997,-0.454819,-0.689187,0.287239,0.360064,0.77,-0.645466,0.583665,-0.325852,0.655343,0.551173,-1.01624,0.254138,-0.855858,-0.583173,-1.77523,-0.929003,-1.01033,-0.603883,-0.690174,0.131154,-0.536786,24.4758,48.8566,49.0153,62.8355,65.7041,76.0528,92.4341,97.9831,100.339,111.436,112.045,122.731,124.214,128.214,131.153,133.225,144.059,151.262,152.005,153.602,155.371,177.748,178.865,183.58,185.526,187.786,191.244,193.98,195.336,199.229,208.34,216.989,225.823,228.284,231.444,241.512,243.302,244.72,247.991,248.926,250.63,253.83,255.608,260.434,261.377,263.205,265.833,267.932,271.029,272.386
239.557,0.133856,0.428907,0.479044,0.202146,0.294122,0.00570814,0.113381,0.248323,0.246451,0.204875,0.0868302,0.466081,0.560665,0.133856,0.113381,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4486,49.6464,49.1117,62.5429,65.9263,75.967,92.7406,97.9464,100.096,111.273,112.49,120.93,125.301,128.208,131.304,133.467,144.297,150.922,151.072,153.67,154.218,179.225,178.836,183.199,185.585,188.53,192.262,194.328,195.052,198.889,208.754,215.741,225.824,229.594,232.795,240.061,243.74,242.137,245.428,246.919,253.468,254.377,253.627,259.782,260.661,263.891,266.614,267.692,271.178,274.045,0.187187,0.014768,0.430425,0.37035,0.289134,0.166653,0.493922,-0.206916,0.282302,-0.145841,0.367521,0.394432,-0.430733,-0.26309,-0.0114658,-0.0209344,0.0183966,0.0473936,0.315954,-0.0230647,0.677707,0.132027,-0.11669,0.504477,0.206964,0.615106,-0.405013,0.662005,-0.0240282,-0.494403,-0.752387,0.215844,0.303139,0.722453,-0.707511,0.53361,-0.390951,0.591829,0.482618,-1.07627,0.189844,-0.900282,-0.624006,-1.82028,-0.992813,-1.07971,-0.664162,-0.779034,0.0520522,-0.613843,24.4858,48.8672,49.0306,62.8567,65.7229,76.0623,92.4451,97.9939,100.373,111.462,112.071,122.76,124.25,128.228,131.165,133.233,144.074,151.302,152.051,153.623,155.396,177.786,178.896,183.617,185.566,187.821,191.295,194.023,195.378,199.268,208.403,217.06,225.88,228.332,231.507,241.562,243.367,244.783,248.059,248.986,250.694,253.874,255.649,260.479,261.441,263.275,265.893,268.021,271.108,272.463
240.038,0.133628,0.429336,0.478758,0.196809,0.292949,0.00567421,0.116263,0.250082,0.248849,0.204638,0.0701963,0.467862,0.568942,0.133628,0.116263,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6143,49.1074,48.9598,62.7701,65.6406,75.8246,93.3861,98.9405,100.124,111.435,113.336,122.431,123.03,127.364,130.967,133.097,143.78,151.152,152.122,153.691,154.972,177.368,178.767,184.784,187.112,187.972,192.598,192.773,195.132,200.718,207.42,218.218,226.612,230.625,231.706,244.545,246.152,244.983,248.592,249.275,251.671,253.292,257.928,260.275,259.513,262.223,265.09,269.751,269.936,272.396,0.137572,-0.0280109,0.43933,0.30448,0.225466,0.120589,0.45512,-0.248443,0.155533,-0.183532,0.332078,0.27398,-0.463114,-0.288045,-0.0119972,-0.0574639,-0.0243744,-0.0835321,0.165526,-0.0912996,0.579511,-0.00801762,-0.205704,0.440248,0.0933894,0.570997,-0.538344,0.555608,-0.166514,-0.589237,-0.994392,0.0536542,0.0923904,0.572689,-0.914325,0.403928,-0.515296,0.469029,0.295523,-1.24801,0.0733071,-1.02377,-0.719338,-1.93437,-1.15422,-1.2571,-0.804257,-0.950565,-0.196416,-0.854473,24.5354,48.91,49.0217,62.9225,65.7865,76.1084,92.4839,98.0354,100.499,111.5,112.107,122.88,124.282,128.253,131.166,133.269,144.116,151.433,152.201,153.691,155.494,177.926,178.985,183.681,185.68,187.865,191.428,194.129,195.521,199.363,208.645,217.222,226.091,228.481,231.713,241.692,243.491,244.906,248.246,249.158,250.811,253.998,255.744,260.593,261.602,263.452,266.033,268.193,271.356,272.703
