# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_30N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1555062514 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_30N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30
-351.988,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.8269,50.2417,51.0451,66.0636,68.4022,76.5414,94.2056,99.1032,105.415,113.667,115.825,125.355,128.968,131.723,134.428,133.705,146.693,154.807,157.771,157.372,158.443,182.985,182.801,187.79,190.7,194.487,199.572,199.051,199.501,205.007,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,-3.69935,-4.28514,-4.89085,-3.994,-5.21148,-4.1097,-6.84303,-4.92155,-5.84998,-6.01961,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845,159.773,182.203,183.67,188.115,190.984,192.546,197.733,199.607,201.204,204.794
75.3482,0.141266,0.452586,0.490559,0.273354,0.151824,0.00535488,0.089616,0.405598,0.279262,0.427054,0.558105,0.209141,0.136763,0.141266,0.089616,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.3542,49.0296,51.5383,62.9783,65.9275,76.5793,92.5753,98.2081,101.189,113.024,113.658,121.017,127.526,129.528,131.716,133.927,145.222,151.208,153.145,154.843,154.14,176.538,179.506,184.237,187.282,190.322,191.936,195.946,194.819,202.753,0.575295,0.14222,-1.86553,-0.0047308,0.146749,0.479388,0.458732,-0.12791,0.312263,-2.1104,-1.71813,1.00865,-3.5047,-0.984754,-1.28602,-0.314435,-0.423828,-0.172974,-0.439107,-0.540937,0.90402,0.309369,-0.893501,-0.663946,-0.779261,-2.41502,-1.89764,-0.653286,-0.345751,-1.73476,24.0977,48.7398,51.3265,63.2317,65.8653,75.7496,92.4803,97.9149,100.343,113.426,114.157,122.145,127.324,128.95,132.44,133.526,144.516,151.522,152.806,154.141,155.17,177.609,179.673,184.785,186.552,190.851,192.788,195.338,195.7,200.509
138.819,0.135812,0.427879,0.482322,0.193171,0.304405,0.00563663,0.117354,0.235761,0.235757,0.183916,0.00446599,0.490146,0.628306,0.135812,0.117354,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4754,48.7962,48.9874,62.9942,65.5376,76.6193,92.7163,97.683,100.646,111.542,111.615,122.976,123.783,127.71,130.199,133.158,142.632,150.663,152.47,154.063,156.121,178.47,179.064,184.109,186.194,189.054,191.611,193.64,195.441,199.013,0.121916,0.0918447,0.5658,0.390265,0.286933,0.110808,0.48485,-0.229031,0.218973,0.0556142,0.575118,0.30122,-0.0849763,-0.177342,0.148155,-0.0664727,0.0403784,0.0430594,0.317722,-0.020596,0.617078,0.0697452,-0.0715858,0.740979,0.263172,0.87577,-0.257905,0.804827,-0.0371163,-0.364825,24.5511,48.7902,48.8952,62.8367,65.7251,76.1182,92.4541,98.016,100.436,111.26,111.864,122.853,123.904,128.142,131.006,133.278,144.052,151.306,152.049,153.621,155.457,177.848,178.851,183.38,185.51,187.56,191.148,193.88,195.391,199.139
141.112,0.136068,0.428795,0.483241,0.188879,0.288197,0.00565,0.119958,0.256919,0.255794,0.214304,0.0661792,0.466584,0.556916,0.136068,0.119958,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6491,48.5653,49.0735,62.8387,65.7193,77.047,92.7397,97.9907,101.227,112.355,112.004,122.945,125.329,129.038,130.902,133.999,145.261,152.127,153.645,152.763,154.988,176.54,178.628,184.567,184.473,188.048,192.909,192.801,194.804,199.65,0.0721612,-0.0916111,0.382753,0.18587,0.117698,0.0583442,0.389268,-0.315635,-0.0432149,-0.306532,0.210909,0.098587,-0.621307,-0.365979,-0.0723864,-0.118196,-0.116089,-0.308214,-0.0943157,-0.223968,0.416907,-0.244974,-0.381658,0.251446,-0.141632,0.394762,-0.817568,0.320772,-0.41779,-0.82093,24.6008,48.9736,49.0782,63.0411,65.8943,76.1707,92.5497,98.1026,100.698,111.623,112.228,123.055,124.44,128.331,131.226,133.33,144.208,151.657,152.461,153.824,155.657,178.163,179.161,183.87,185.915,188.041,191.708,194.364,195.772,199.595
141.179,0.136133,0.429083,0.48336,0.191079,0.285561,0.00564329,0.119002,0.260379,0.258456,0.22038,0.0859301,0.460462,0.540017,0.136133,0.119002,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5658,48.521,49.2931,62.3627,65.3785,75.4249,92.4009,98.5039,100.546,110.982,111.278,122.078,123.653,129.66,130.799,133.27,143.37,150.781,152.652,153.334,155.82,177.624,178.825,182.665,185.543,187.978,190.836,194.799,196.613,200.515,0.0874337,-0.0857948,0.31983,0.178282,0.116055,0.0714651,0.390136,-0.311576,-0.0316465,-0.360531,0.155193,0.119245,-0.712873,-0.390411,-0.116216,-0.109844,-0.125159,-0.312318,-0.10151,-0.229384,0.428137,-0.233952,-0.400011,0.191585,-0.164575,0.3204,-0.86161,0.278179,-0.420884,-0.861902,24.5856,48.9678,49.1412,63.0487,65.8959,76.1575,92.5489,98.0986,100.687,111.677,112.284,123.035,124.532,128.355,131.27,133.322,144.217,151.661,152.469,153.829,155.646,178.152,179.179,183.929,185.938,188.116,191.752,194.407,195.775,199.636
141.392,0.13613,0.429505,0.483298,0.196228,0.286122,0.00556429,0.116638,0.260114,0.257345,0.221633,0.103176,0.45726,0.530939,0.13613,0.116638,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5667,48.7039,48.5822,62.9602,65.2448,76.232,93.3239,97.7306,101.559,112.804,113.49,125.08,124.606,129.458,130.584,132.47,144.186,151.931,152.384,154.463,155.561,177.236,179.852,184.524,186.225,185.176,188.785,195.781,196.228,200.081,0.127654,-0.0531838,0.29519,0.223718,0.161592,0.108674,0.418842,-0.279983,0.0628128,-0.349391,0.164131,0.211661,-0.716259,-0.378072,-0.127253,-0.0805628,-0.0957433,-0.220656,0.00344977,-0.179954,0.504209,-0.129033,-0.341243,0.22257,-0.0880287,0.331118,-0.779093,0.342288,-0.31882,-0.803291,24.5453,48.9352,49.1658,63.0033,65.8504,76.1203,92.5202,98.067,100.592,111.665,112.275,122.942,124.535,128.343,131.281,133.293,144.188,151.57,152.364,153.78,155.57,178.047,179.12,183.898,185.861,188.105,191.669,194.343,195.673,199.577
142.528,0.135889,0.433064,0.482953,0.207725,0.295019,0.00486393,0.112669,0.252846,0.249854,0.211299,0.108795,0.4604,0.544406,0.135889,0.112669,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.3794,48.5513,49.336,63.2796,65.9073,77.2365,92.5489,98.3492,100.112,111.922,111.524,122.091,125.348,128.379,131.206,132.941,145.463,152.227,151.902,153.472,155.627,178.171,179.866,182.917,185.504,189.126,191.498,196.154,194.093,199.536,0.197426,0.0147716,0.354089,0.348886,0.275563,0.174846,0.487637,-0.210228,0.271761,-0.222386,0.289074,0.39575,-0.553641,-0.301315,-0.0695747,-0.0237708,-0.00508823,0.0123685,0.274195,-0.0494412,0.668254,0.110028,-0.16649,0.40673,0.143484,0.500052,-0.497587,0.576581,-0.0666705,-0.584088,24.4756,48.8672,49.1069,62.8781,65.7364,76.0542,92.4514,97.9972,100.383,111.538,112.15,122.758,124.373,128.266,131.224,133.236,144.097,151.337,152.093,153.649,155.406,177.808,178.945,183.714,185.63,187.936,191.388,194.108,195.421,199.358
144.798,0.135817,0.43514,0.483111,0.205552,0.295045,0.00454847,0.114794,0.254951,0.252428,0.21137,0.0994827,0.460509,0.549961,0.135817,0.114794,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4444,48.6214,48.7698,63.1845,65.7749,76.0485,92.9504,97.8761,100.016,112.896,112.97,121.947,124.959,127.113,132.27,132.518,143.88,153.751,151.652,153.35,155.559,177.532,178.548,183.06,186.006,188.228,192.487,194.444,194.903,198.857,0.160465,-0.0189394,0.348238,0.293612,0.223227,0.140428,0.456574,-0.242932,0.170722,-0.265513,0.247417,0.300469,-0.600489,-0.326538,-0.0785598,-0.0516003,-0.0410647,-0.0963213,0.149154,-0.105881,0.591099,-0.000670809,-0.245181,0.339994,0.0456664,0.448373,-0.618637,0.478233,-0.185439,-0.671558,24.5125,48.9009,49.1128,62.9334,65.7888,76.0886,92.4824,98.0299,100.484,111.582,112.192,122.854,124.419,128.292,131.233,133.264,144.133,151.445,152.218,153.706,155.483,177.919,179.024,183.781,185.727,187.988,191.509,194.207,195.539,199.446
149.326,0.135279,0.449549,0.483731,0.205637,0.300493,0.00286964,0.121956,0.262883,0.261514,0.208096,0.0721649,0.458638,0.57637,0.135279,0.121956,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6088,49.0377,49.0621,63.4905,65.5684,76.4634,92.613,98.425,101.032,111.784,112.332,122.797,124.666,128.891,131.499,132.837,144.653,152.211,151.932,153.733,155.695,178.866,179.567,183.406,185.738,188.814,192.134,194.657,196.744,200.396,0.0370205,-0.134782,0.315302,0.102474,0.0431201,0.0242604,0.351008,-0.353469,-0.174634,-0.429666,0.0876933,-0.0261904,-0.783084,-0.414487,-0.113042,-0.144936,-0.162541,-0.463394,-0.279999,-0.304926,0.327253,-0.369525,-0.526852,0.0985293,-0.292138,0.257109,-1.04674,0.129423,-0.599956,-0.981494,24.636,49.0168,49.1457,63.1245,65.9689,76.2047,92.588,98.1405,100.83,111.746,112.351,123.18,124.602,128.379,131.267,133.357,144.255,151.812,152.647,153.905,155.747,178.288,179.306,184.022,186.065,188.179,191.937,194.556,195.954,199.755
150.387,0.135285,0.448497,0.483593,0.207129,0.301549,0.00295299,0.120684,0.260464,0.259064,0.206204,0.0733139,0.45994,0.577843,0.135285,0.120684,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.5556,49.0574,49.1342,62.9643,65.7927,76.1041,92.8758,98.1012,100.732,111.734,112.558,122.777,124.425,127.95,131.007,133.497,143.936,151.213,152.309,154.142,156.018,178.639,178.85,183.531,186.452,188.544,192.785,194.916,194.547,198.758,0.0590664,-0.112557,0.33585,0.143113,0.0801002,0.0454459,0.372928,-0.331297,-0.10711,-0.385679,0.131114,0.0342398,-0.727119,-0.390043,-0.094906,-0.127072,-0.134246,-0.38956,-0.192531,-0.261558,0.380293,-0.295246,-0.467221,0.160023,-0.217312,0.313144,-0.952872,0.207614,-0.516278,-0.908922,24.6139,48.9946,49.1252,63.0839,65.9319,76.1836,92.5661,98.1183,100.762,111.702,112.308,123.12,124.546,128.355,131.249,133.339,144.226,151.739,152.56,153.862,155.694,178.213,179.246,183.961,185.99,188.123,191.843,194.477,195.87,199.683
