# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_65N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1285175731 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_65N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,yhat.56,yhat.57,yhat.58,yhat.59,yhat.60,yhat.61,yhat.62,yhat.63,yhat.64,yhat.65,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,residual.56,residual.57,residual.58,residual.59,residual.60,residual.61,residual.62,residual.63,residual.64,residual.65,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55,calcfq.56,calcfq.57,calcfq.58,calcfq.59,calcfq.60,calcfq.61,calcfq.62,calcfq.63,calcfq.64,calcfq.65
-1241.99,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.6962,50.3632,51.2506,65.6162,68.0823,77.3921,93.4284,99.8449,104.897,113.977,115.838,127.519,128.742,131.042,132.896,134.558,145.426,155.036,156.56,156.998,159.741,182.054,182.381,187.673,190.662,191.702,197.782,199.047,201.634,203.059,217.878,226.551,233.265,233.47,239.493,248.364,250.433,251.093,254.632,258.124,256.74,259.86,261.149,266.236,269.699,272.9,273.918,276.044,278.849,282.977,290.163,293.047,296.457,299.916,301.046,300.208,303.066,318.754,320.223,320.015,324.701,325.342,327.575,328.304,328.394,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,-3.69935,-4.28514,-4.89085,-3.994,-5.21148,-4.1097,-6.84303,-4.92155,-5.84998,-6.01961,-8.67554,-8.4198,-6.92948,-5.18587,-8.77687,-6.16785,-8.42146,-7.46534,-7.23582,-8.8722,-6.68295,-7.95788,-6.32512,-7.7113,-9.05992,-9.48815,-7.30547,-10.8431,-8.88274,-10.9567,-12.2425,-13.6456,-11.2066,-10.9034,-11.1348,-10.0232,-8.57634,-16.9897,-15.1356,-16.5999,-16.3837,-16.1862,-16.6362,-16.8595,-18.181,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845,159.773,182.203,183.67,188.115,190.984,192.546,197.733,199.607,201.204,204.794,216.327,225.696,233.112,234.24,239.576,248.264,251.397,252.84,255.778,256.782,257.567,260.932,261.35,266.37,269.508,271.683,272.534,278.085,280.043,282.806,288.769,293.013,295.854,300.314,301.523,302.828,303.219,316.572,319.994,320.441,323.978,324.849,325.759,328.782,330.488
224.288,0.137352,0.446208,0.485766,0.292323,0.153656,0.00550646,0.0769426,0.397604,0.248212,0.421827,0.612968,0.208057,0.122425,0.137352,0.0769426,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.9837,48.1338,51.1081,63.1176,65.1384,75.929,91.2769,97.4072,99.5526,113.746,114.037,121.453,127.387,128.776,132.395,133.467,143.855,151.99,152.86,154.058,154.442,176.14,178.16,184.24,185.66,189.772,190.87,194.566,195.09,198.642,209.264,217.653,223.657,227.143,230.911,241.14,243.379,245.144,248.315,249.06,253.315,254.857,257.742,261.431,263.343,265.112,266.149,267.711,270.906,270.963,273.606,282.092,285.68,289.941,293.092,293.301,298.422,298.693,306.562,306.065,312.03,310.41,315.386,317.273,316.041,0.813219,0.361041,-1.8624,0.363681,0.504869,0.688273,0.663617,0.0941129,0.959263,-1.86041,-1.49079,1.67971,-3.19145,-0.773963,-1.14848,-0.23606,-0.175056,0.587872,0.35027,-0.178981,1.39161,1.0032,-0.315464,-0.173191,-0.134474,-1.98453,-1.14916,0.102171,0.461731,-1.02042,-0.0617573,-1.02263,1.8975,1.29968,-0.400598,0.759951,-1.40675,-0.937829,0.885856,-1.83445,-2.78088,-1.18952,-1.919,-1.51454,-1.14912,-2.03906,-1.06889,-1.64094,-0.154092,-0.829155,-0.0517874,-1.76473,-2.54215,-1.00568,-2.34729,-1.27633,-0.577049,1.00616,-0.0372031,-2.98736,-0.967808,-2.95249,-3.44352,-3.69667,-6.05334,23.8598,48.521,51.3234,62.8633,65.5071,75.5407,92.2754,97.6929,99.6957,113.176,113.93,121.474,127.01,128.739,132.302,133.448,144.267,150.761,152.017,153.779,154.682,176.915,179.094,184.294,185.907,190.421,192.039,194.583,194.892,199.794,207.713,218.299,224.286,227.754,231.2,241.336,244.383,246.313,247.656,249.744,253.665,254.164,256.944,260.174,261.597,264.234,266.298,268.883,271.314,272.678,276.578,281.132,287.189,290.417,292.735,294.081,295.22,298.576,304.895,306.828,308.562,311.615,312.567,315.619,318.36
231.389,0.135913,0.44177,0.48386,0.298684,0.169133,0.00553314,0.0715434,0.38265,0.232668,0.406594,0.626063,0.228419,0.13071,0.135913,0.0715434,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.9408,48.5419,51.8151,61.6291,65.2878,75.4003,92.014,97.8049,98.9249,112.564,113.053,121.299,126.949,127.853,132.952,133.178,142.507,149.787,152.264,153.986,154.751,175.594,180.524,183.852,186.529,189.62,189.887,195.035,194.372,200.367,208.116,216.845,222.795,226.976,231.101,241.887,244.622,242.996,245.159,248.842,253.65,253.291,254.602,257.657,262.085,261.906,268.015,265.463,270.25,272.977,275.157,282.657,284.472,290.53,288.462,292.693,293.175,295.221,303.877,304.974,305.79,308.221,310.258,315.908,314.206,0.91836,0.467094,-1.72726,0.575492,0.697447,0.781153,0.770717,0.203522,1.30226,-1.62496,-1.25622,1.99189,-2.87168,-0.636077,-1.05202,-0.121648,-0.0221645,0.999816,0.828281,0.0397832,1.61948,1.36102,0.0137682,0.103023,0.250274,-1.59057,-0.690743,0.547248,0.889486,-0.610885,0.58065,-0.304678,2.49641,1.84237,0.129894,1.26551,-0.766954,-0.186268,1.63262,-1.24874,-2.33421,-0.599317,-1.4301,-0.999214,-0.40885,-1.41064,-0.247014,-0.565465,0.647157,-0.197488,0.746714,-0.872866,-1.68216,-0.228317,-1.57195,-0.368217,0.0939218,2.42996,1.44965,-1.68847,0.486701,-1.23225,-2.22638,-2.5093,-4.59853,23.7546,48.4149,51.1883,62.6515,65.3146,75.4478,92.1683,97.5835,99.3527,112.941,113.695,121.162,126.691,128.601,132.206,133.334,144.114,150.349,151.539,153.56,154.455,176.557,178.765,184.018,185.523,190.027,191.581,194.138,194.465,199.385,207.07,217.581,223.687,227.212,230.669,240.83,243.743,245.561,246.909,249.159,253.218,253.573,256.455,259.658,260.857,263.606,265.476,267.807,270.513,272.046,275.779,280.24,286.329,289.639,291.96,293.173,294.549,297.152,303.408,305.529,307.107,309.895,311.349,314.431,316.906
279.173,0.128567,0.424419,0.473101,0.246762,0.285385,0.00565573,0.0888284,0.252268,0.230201,0.230411,0.295762,0.425199,0.424812,0.128567,0.0888284,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.9697,48.5833,49.0023,62.5279,65.2454,75.5298,92.0829,97.8224,100.297,112.628,112.212,121.324,124.776,127.464,131.359,133.362,144.019,150.22,149.924,153.975,152.953,176.411,177.94,181.237,184.327,188.012,191.394,191.188,195.121,200.547,205.997,217.081,223.36,228.707,230.633,240.775,242.501,245.729,247.204,247.844,249.734,253.644,254.514,260.145,260.608,262.02,264.118,266.825,267.272,273.365,273.691,278.444,283.6,289.967,290.544,291.523,292.907,301.314,303.022,305.016,306.088,306.653,308.083,309.153,315.993,0.621574,0.360108,0.0916266,0.845492,0.776023,0.554745,0.791442,0.130056,1.29262,-0.0872194,0.397138,1.44198,-0.544147,-0.136921,-0.165678,0.289775,0.319697,1.11839,1.47146,0.458018,1.46821,1.28794,0.53988,0.847239,1.043,0.644131,0.544419,1.41062,1.09121,0.158519,1.27629,1.284,2.22714,2.11267,0.870566,1.65576,0.559504,1.36563,2.28696,0.281978,0.778564,0.110508,0.190031,-0.613759,0.409276,0.366145,0.597569,0.847692,2.54416,1.16391,2.79175,0.994038,-0.240831,1.84057,-1.18331,0.0467823,0.580393,2.14174,3.33308,-0.564117,1.40747,-0.553255,-1.05372,0.62108,-1.52069,24.0514,48.5219,49.3694,62.3815,65.236,75.6743,92.1476,97.6569,99.3624,111.403,112.042,121.712,124.363,128.102,131.32,132.922,143.772,150.231,150.896,153.142,154.606,176.63,178.239,183.274,184.73,187.792,190.346,193.274,194.263,198.615,206.375,215.992,223.956,226.941,229.928,240.44,242.416,244.009,246.255,247.628,250.105,252.863,254.835,259.273,260.039,261.829,264.631,266.394,268.616,270.685,273.734,278.373,284.888,287.57,291.571,292.758,294.063,297.44,301.525,304.405,306.187,309.216,310.177,311.301,313.828
291.722,0.129633,0.428595,0.475435,0.239242,0.251124,0.00564142,0.0946765,0.295952,0.257556,0.286577,0.360191,0.376025,0.337946,0.129633,0.0946765,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.1734,48.066,50.2249,62.9577,65.9611,75.69,91.4754,97.4218,99.5074,111.144,113.055,122.766,124.866,128.41,131.002,133.354,143.789,152.651,149.923,153.973,155.49,176.41,179.781,184.287,186.067,188.863,191.046,192.271,194.759,200.696,207.758,215.041,223.446,229.255,230.227,240.935,243.36,243.099,246.826,248.121,250.118,255.258,254.112,259.826,261.171,262.453,266.206,268.954,270.471,271.004,275.85,280.712,286.177,291.302,293.513,296.371,294.152,299.64,305.807,307.801,309.23,310.787,313.308,312.42,317.547,0.506289,0.203885,-0.44812,0.44941,0.447377,0.442158,0.609671,-0.0364566,0.744314,-0.765188,-0.292475,1.03854,-1.51821,-0.461097,-0.561641,0.144094,0.0180036,0.409016,0.601176,0.0589093,1.10284,0.678675,-0.0789933,0.134189,0.25257,-0.330218,-0.507462,0.510698,0.356998,-0.655874,0.131748,-0.231226,1.29147,1.19201,-0.199717,0.746928,-0.811565,-0.131762,0.93066,-0.883789,-0.806888,-0.776433,-0.821057,-1.43496,-0.865246,-1.11342,-0.698746,-1.23634,0.871741,-0.189409,0.856723,-0.874774,-1.90835,0.0642415,-2.37143,-1.30714,-0.495457,-0.0727668,0.540726,-3.00184,-0.876293,-3.26932,-3.86367,-1.66502,-4.43159,24.1667,48.6781,49.9091,62.7776,65.5646,75.7868,92.3293,97.8235,99.9107,112.081,112.731,122.115,125.337,128.426,131.716,133.068,144.074,150.94,151.766,153.541,154.971,177.239,178.858,183.987,185.52,188.766,191.397,194.174,194.997,199.43,207.519,217.507,224.892,227.862,230.999,241.349,243.788,245.507,247.611,248.794,251.691,253.75,255.846,260.094,261.313,263.308,265.928,268.478,270.288,272.038,275.669,280.242,286.555,289.347,292.759,294.112,295.138,299.655,304.317,306.843,308.47,311.932,312.987,313.587,316.739
304.662,0.128014,0.425522,0.473123,0.219151,0.275701,0.00566554,0.103185,0.264864,0.251946,0.23731,0.220843,0.42766,0.454035,0.128014,0.103185,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.1079,49.1305,49.6099,62.889,65.0149,75.9376,93.0792,98.1716,99.6171,111.223,113.059,121.012,125.188,127.998,132.455,133.663,144.258,150.787,150.941,153.663,155.108,177.141,178.814,184.963,186.119,188.967,188.529,193.351,194.55,199.313,209.912,219.454,224.114,229.412,230.721,239.673,244.864,244.761,248.458,248.549,248.781,252.987,255.426,257.678,261.14,263.033,265.203,268.131,269.254,272.585,274.902,278.525,288.025,288.488,291.81,290.71,296.391,298.338,301.176,307.224,305.968,313.223,310.723,313.864,316.282,0.362409,0.12817,0.0715118,0.461205,0.408891,0.32107,0.576537,-0.0989377,0.591001,-0.359406,0.138216,0.761986,-0.845594,-0.318636,-0.226636,0.106878,0.0701448,0.316439,0.584632,0.0936885,0.949832,0.49823,-0.00138173,0.385849,0.359677,0.317,-0.316894,0.704381,0.276829,-0.447482,-0.0902433,0.167643,0.967365,1.11379,-0.217168,0.771195,-0.431526,0.515555,0.89022,-0.699385,0.0440054,-0.645997,-0.496141,-1.44954,-0.708022,-0.726368,-0.480326,-0.667519,0.802164,-0.0310146,1.00139,-0.389985,-1.58547,0.232966,-2.38711,-1.07486,-0.67596,-0.452801,0.821452,-3.06231,-0.211774,-2.91118,-3.13039,-1.66135,-3.30401,24.3106,48.7538,49.3895,62.7658,65.6031,75.9079,92.3625,97.8859,100.064,111.675,112.301,122.392,124.665,128.284,131.381,133.105,144.022,151.033,151.782,153.506,155.124,177.42,178.78,183.735,185.413,188.119,191.207,193.981,195.077,199.221,207.741,217.108,225.216,227.94,231.016,241.325,243.408,244.859,247.652,248.609,250.84,253.62,255.521,260.109,261.156,262.921,265.709,267.91,270.358,271.88,275.525,279.757,286.232,289.178,292.775,293.88,295.319,300.035,304.037,306.903,307.806,311.574,312.253,313.583,315.611
308.739,0.125924,0.422709,0.469985,0.196718,0.299465,0.00566422,0.112995,0.231896,0.231746,0.18043,0.0254676,0.483454,0.620952,0.125924,0.112995,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.514,48.8607,48.4875,62.6298,65.6451,75.9643,92.4987,98.1294,99.9093,112.201,112.368,122.314,123.982,127.655,129.221,133.084,143.1,151.644,151.305,153.492,154.667,177.888,178.562,182.466,188.183,186.172,190.339,192.268,196.252,198.508,209.799,216.005,225.828,228.889,231.627,242.582,242.144,243.904,245.712,247.294,250.494,251.841,257.134,258.034,258.472,261.257,263.548,267.95,270.196,270.909,274.235,279.592,285.063,288.56,291.982,295.407,295.014,297.773,302.978,305.336,307.468,311.005,313.032,312.824,314.505,0.201402,0.0969623,0.63268,0.506323,0.396345,0.184295,0.555795,-0.151963,0.438633,0.141258,0.657933,0.504557,0.00911914,-0.0999119,0.193988,0.0295191,0.149106,0.296897,0.599175,0.13831,0.816326,0.367062,0.132035,0.921385,0.547693,1.05398,0.0393026,1.05719,0.259699,-0.0761525,-0.385151,0.885682,0.740658,1.18286,-0.159255,1.12817,0.391314,1.45263,1.16875,-0.348676,1.11036,-0.381825,-0.0793659,-1.15736,-0.233324,-0.124314,0.124496,0.471,0.862446,0.281374,1.40389,0.583184,-0.804512,0.534644,-2.08177,-0.470107,-0.636421,-0.140369,1.88667,-1.99441,1.04465,-0.597691,-2.0445,-0.693464,-1.75557,24.4716,48.785,48.8283,62.7207,65.6157,76.0447,92.3832,97.939,100.216,111.175,111.781,122.649,123.81,128.065,130.96,133.182,143.943,151.052,151.768,153.462,155.258,177.551,178.647,183.2,185.225,187.382,190.851,193.628,195.094,198.85,208.036,216.39,225.442,227.871,230.958,240.968,242.585,243.922,247.373,248.259,249.774,253.356,255.104,259.816,260.681,262.319,265.105,266.771,270.298,271.568,275.122,278.784,285.452,288.876,292.47,293.275,295.279,299.722,302.971,305.835,306.549,309.261,311.168,312.615,314.063
310.246,0.125587,0.422539,0.469602,0.191689,0.300035,0.0056619,0.115425,0.230843,0.230843,0.176483,-3.01679e-05,0.488475,0.638932,0.125587,0.115425,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6239,49.02,48.7529,62.7738,66.0635,75.8191,92.9449,97.6154,99.2619,110.697,111.763,122.497,123.074,128.288,132.005,132.568,144.216,151.891,151.604,153.917,153.857,177.396,178.085,183.213,186.001,186.552,191.023,190.861,193.776,200.651,207.188,215.858,224.861,227.524,231.145,241.497,243.27,241.717,246.415,249.464,249.258,253.977,257.238,258.587,260.733,260.119,264.55,266.756,270.248,271.016,275.174,279.45,283.19,289.753,293.249,290.305,294.93,302.621,303.438,309.017,309.41,308.981,310.445,314.081,314.034,0.160422,0.143587,0.60311,0.471317,0.358792,0.147012,0.53184,-0.179671,0.352507,0.154663,0.673533,0.418624,0.0518291,-0.0965364,0.224088,0.00089309,0.129569,0.220153,0.510694,0.10058,0.750659,0.276749,0.0892377,0.933636,0.495282,1.07657,-0.00910773,1.02402,0.176524,-0.101451,-0.555086,0.850694,0.606348,1.10283,-0.277118,1.11266,0.386073,1.44348,1.1159,-0.431346,1.10071,-0.429646,-0.108286,-1.17872,-0.278763,-0.19286,0.104792,0.464195,0.723796,0.165807,1.24888,0.54903,-0.836406,0.391578,-2.15005,-0.503793,-0.728536,-0.294745,1.79877,-1.88538,0.84466,-0.468502,-2.10444,-0.74005,-1.82128,24.5126,48.7384,48.8579,62.7557,65.6532,76.082,92.4072,97.9667,100.302,111.161,111.765,122.735,123.767,128.062,130.93,133.211,143.962,151.129,151.856,153.499,155.323,177.641,178.69,183.187,185.278,187.359,190.899,193.661,195.177,198.875,208.206,216.425,225.577,227.951,231.076,240.983,242.59,243.932,247.426,248.341,249.783,253.404,255.133,259.838,260.727,262.388,265.124,266.778,270.436,271.683,275.277,278.818,285.483,289.019,292.538,293.309,295.372,299.877,303.059,305.726,306.749,309.132,311.227,312.662,314.128
312.046,0.124646,0.42265,0.468769,0.179686,0.292936,0.00564273,0.121482,0.239592,0.239545,0.183839,-0.0140702,0.486334,0.633698,0.124646,0.121482,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.7732,48.6193,48.7103,63.0746,65.965,75.8495,92.5685,98.5416,101.842,112.313,111.263,122.926,123.722,128.404,130.128,133.19,144.194,151.195,151.809,154.681,154.808,178.523,179.652,183.466,185.428,186.766,191.428,193.963,194.592,196.074,208.078,218.213,226.967,229.968,230.854,242.847,243.798,243.312,245.613,250.404,250.649,251.935,257.214,260.592,262.311,262.992,264.312,266.433,270.734,272.713,279.106,279.75,286.647,287.321,293.219,292.515,297.586,299.976,304.924,306.345,308.193,309.56,313.746,316.533,315.417,0.0563182,0.087059,0.504131,0.299527,0.200292,0.0476613,0.43609,-0.277758,0.0538487,-0.00635966,0.51586,0.151111,-0.143091,-0.187282,0.168836,-0.079606,0.0112586,-0.105687,0.131988,-0.0770862,0.519617,-0.0645123,-0.148283,0.693923,0.186838,0.869743,-0.39043,0.71144,-0.178902,-0.388908,-1.11739,0.343431,0.109159,0.714054,-0.805051,0.751306,-0.036861,1.01208,0.652849,-0.931481,0.661379,-0.757547,-0.395881,-1.50532,-0.74182,-0.700973,-0.336562,-0.0808291,0.111676,-0.489281,0.3758,-0.0951047,-1.40032,-0.34425,-2.62326,-0.961805,-1.18383,-1.24023,0.781549,-2.58723,-0.183473,-1.27509,-2.81702,-1.74661,-2.62623,24.6167,48.7949,48.9569,62.9275,65.8117,76.1813,92.5029,98.0648,100.601,111.322,111.923,123.003,123.962,128.152,130.985,133.292,144.081,151.455,152.235,153.677,155.554,177.983,178.927,183.427,185.586,187.566,191.28,193.974,195.533,199.163,208.768,216.933,226.074,228.34,231.604,241.345,243.013,244.363,247.889,248.841,250.223,253.732,255.421,260.164,261.19,262.896,265.566,267.323,271.048,272.338,276.15,279.462,286.047,289.755,293.011,293.767,295.827,300.822,304.076,306.428,307.777,309.938,311.94,313.669,314.933
313.121,0.123772,0.421786,0.467546,0.170164,0.299263,0.00563636,0.125811,0.230236,0.22825,0.164958,-0.0928861,0.505554,0.699526,0.123772,0.125811,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.7261,48.3821,49.145,62.8164,66.0945,77.0697,92.3984,97.2539,100.962,111.147,111.121,122.763,124.096,128.319,129.099,133.461,144.517,150.634,152.109,153.72,156.033,177.684,178.843,182.603,185.658,187.112,190.266,194.165,198.45,200.388,209.465,215.71,226.375,227.242,233.311,241.323,241.759,244.563,249.35,250.551,250.478,252.892,257.552,258.266,262.545,262.379,264.818,266.607,271.534,275.511,277.506,278.286,287.8,287.044,293.133,294.803,293.787,298.84,304.112,305.842,309.195,310.282,312.928,312.726,315.622,-0.0127673,0.289778,0.469418,0.301666,0.184873,-0.0137855,0.420862,-0.303649,-0.0332139,0.154058,0.68071,0.0601677,0.13881,-0.105636,0.314491,-0.124529,0.0272729,-0.125919,0.100233,-0.0888487,0.455185,-0.129636,-0.125077,0.926704,0.231616,1.08707,-0.269336,0.833351,-0.210802,-0.265807,-1.3005,0.609883,0.0349764,0.731102,-0.843059,1.06245,0.255193,1.28305,0.94472,-0.907499,0.913564,-0.676624,-0.274723,-1.26808,-0.541763,-0.557944,-0.0439819,0.364946,0.167553,-0.457864,0.493535,0.290135,-1.05035,-0.280742,-2.46959,-0.69652,-1.11209,-0.958582,1.34723,-1.53702,-0.0334229,-0.104957,-2.28122,-1.14657,-2.13588,24.6858,48.5922,48.9916,62.9253,65.8271,76.2428,92.5181,98.0906,100.688,111.162,111.758,123.094,123.68,128.071,130.84,133.337,144.065,151.475,152.267,153.689,155.619,178.048,178.904,183.194,185.541,187.349,191.159,193.852,195.565,199.04,208.952,216.666,226.148,228.323,231.642,241.034,242.721,244.092,247.597,248.817,249.97,253.651,255.3,259.927,260.99,262.753,265.273,266.877,270.992,272.307,276.032,279.077,285.697,289.692,292.858,293.502,295.755,300.541,303.511,305.378,307.627,308.768,311.404,313.069,314.443
