# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_60N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1223882424 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_60N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,yhat.41,yhat.42,yhat.43,yhat.44,yhat.45,yhat.46,yhat.47,yhat.48,yhat.49,yhat.50,yhat.51,yhat.52,yhat.53,yhat.54,yhat.55,yhat.56,yhat.57,yhat.58,yhat.59,yhat.60,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,residual.41,residual.42,residual.43,residual.44,residual.45,residual.46,residual.47,residual.48,residual.49,residual.50,residual.51,residual.52,residual.53,residual.54,residual.55,residual.56,residual.57,residual.58,residual.59,residual.60,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40,calcfq.41,calcfq.42,calcfq.43,calcfq.44,calcfq.45,calcfq.46,calcfq.47,calcfq.48,calcfq.49,calcfq.50,calcfq.51,calcfq.52,calcfq.53,calcfq.54,calcfq.55,calcfq.56,calcfq.57,calcfq.58,calcfq.59,calcfq.60
-987.969,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,25.8252,50.9674,51.1776,65.9926,68.2576,77.5522,93.6201,98.7674,104.144,114.367,117.209,125.829,129.042,130.713,132.704,134.347,147.329,154.706,158.196,158.787,160.846,182.712,182.615,188.431,191.975,192.383,199.262,200.029,202.992,205.048,216.859,226.966,233.44,234.991,239.886,246.495,250.914,254.6,256.005,256.159,257.408,260.676,261.666,267.161,271.208,271.942,274.284,279.483,280.011,282.499,287.188,292.006,294.358,300.532,303.649,301.813,305.923,315.126,320.271,323.015,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,-3.69935,-4.28514,-4.89085,-3.994,-5.21148,-4.1097,-6.84303,-4.92155,-5.84998,-6.01961,-8.67554,-8.4198,-6.92948,-5.18587,-8.77687,-6.16785,-8.42146,-7.46534,-7.23582,-8.8722,-6.68295,-7.95788,-6.32512,-7.7113,-9.05992,-9.48815,-7.30547,-10.8431,-8.88274,-10.9567,-12.2425,-13.6456,-11.2066,-10.9034,-11.1348,-10.0232,-8.57634,-16.9897,-15.1356,-16.5999,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845,159.773,182.203,183.67,188.115,190.984,192.546,197.733,199.607,201.204,204.794,216.327,225.696,233.112,234.24,239.576,248.264,251.397,252.84,255.778,256.782,257.567,260.932,261.35,266.37,269.508,271.683,272.534,278.085,280.043,282.806,288.769,293.013,295.854,300.314,301.523,302.828,303.219,316.572,319.994,320.441
182.905,0.139806,0.453267,0.488611,0.271749,0.147,0.00541161,0.0907588,0.409042,0.282484,0.429001,0.556237,0.202754,0.133508,0.139806,0.0907588,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.1344,48.7992,51.3758,63.5935,65.938,75.7796,92.2284,98.9934,99.961,113.79,114.568,122.498,128.17,129.674,133.336,134.042,144.923,152.115,152.323,153.238,154.249,177.819,180.065,184.02,186.063,190.066,191.108,194.835,195.75,199.671,209.57,219.603,225.704,229.239,233.025,241.623,246.347,247.642,247.593,251.844,253.976,256.918,257.707,263.643,261.661,269.196,268.225,271.364,272.662,272.357,277.418,283.832,287.542,291.971,293.876,297.223,297.889,302.191,308.529,307.871,0.554301,0.120695,-1.89604,-0.0469291,0.108554,0.460367,0.437364,-0.148993,0.246089,-2.15751,-1.76546,0.951136,-3.56711,-1.01015,-1.30283,-0.33542,-0.450957,-0.243233,-0.526158,-0.581578,0.860091,0.2505,-0.949109,-0.707859,-0.842515,-2.47802,-1.98045,-0.725462,-0.418248,-1.79638,-1.26904,-2.31357,0.612405,0.248967,-1.46957,-0.252106,-2.58876,-2.3518,-0.595898,-2.78664,-3.37202,-2.26744,-2.65552,-2.50857,-2.57387,-3.1704,-2.49102,-3.78492,-1.4931,-2.04091,-1.62847,-3.44235,-4.09583,-2.40339,-3.82219,-2.98514,-1.85901,-2.09822,-2.68655,-5.77601,24.1187,48.7613,51.357,63.2739,65.9034,75.7686,92.5016,97.936,100.409,113.474,114.204,122.203,127.386,128.975,132.457,133.547,144.543,151.592,152.893,154.182,155.214,177.667,179.728,184.829,186.616,190.914,192.87,195.41,195.772,200.57,208.92,219.59,225.571,228.805,232.269,242.348,245.565,247.727,249.138,250.697,254.256,255.241,257.681,261.168,263.022,265.365,267.72,271.027,272.653,273.89,278.154,282.809,288.743,291.814,294.21,295.79,296.502,301.68,307.545,309.617
209.52,0.138279,0.447371,0.486697,0.294279,0.160567,0.00542315,0.0765458,0.394398,0.246758,0.417171,0.611834,0.2165,0.128061,0.138279,0.0765458,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.7307,48.3891,51.0138,62.4378,65.9295,75.3551,92.5118,97.4333,99.169,113.225,113.428,120.078,126.498,128.346,132.753,132.769,142.883,151.783,151.929,153.262,154.339,177.482,178.041,184.005,187.898,189.848,191.758,193.887,193.834,199.109,206.82,219.817,226.874,229.205,229.81,242.991,244.725,245.408,246.57,247.774,254.758,254.055,257.968,259.439,260.957,263.923,269.292,267.638,273.357,270.603,277.737,281.453,287.422,288.563,294.226,293.028,295.793,301.291,301.05,304.453,0.820934,0.370012,-1.8295,0.386489,0.523731,0.695335,0.674096,0.103369,0.991095,-1.82583,-1.45461,1.70002,-3.14318,-0.758021,-1.13776,-0.214254,-0.158648,0.621009,0.398882,-0.1561,1.40857,1.03016,-0.290223,-0.151284,-0.100739,-1.93934,-1.10388,0.137098,0.492209,-0.992052,-0.00662697,-0.959962,1.93029,1.33161,-0.364596,0.787689,-1.36705,-0.904614,0.929448,-1.79546,-2.73803,-1.1487,-1.88195,-1.51048,-1.11357,-2.01141,-1.01855,-1.58794,-0.110002,-0.810978,-0.00273023,-1.71596,-2.50368,-0.964469,-2.35323,-1.26867,-0.577912,1.03479,0.0291722,-2.98056,23.8521,48.512,51.2905,62.8405,65.4883,75.5337,92.2649,97.6836,99.6639,113.142,113.894,121.454,126.962,128.723,132.292,133.426,144.251,150.728,151.968,153.756,154.665,176.888,179.069,184.272,185.874,190.375,191.994,194.548,194.862,199.766,207.658,218.236,224.253,227.722,231.164,241.308,244.343,246.28,247.613,249.705,253.622,254.123,256.907,260.169,261.562,264.206,266.248,268.83,271.27,272.66,276.529,281.083,287.151,290.375,292.741,294.074,295.221,298.547,304.829,306.822
268.859,0.132205,0.42947,0.477764,0.248439,0.270755,0.00557151,0.0905158,0.276031,0.243336,0.261487,0.344161,0.399396,0.371672,0.132205,0.0905158,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.2253,48.5176,49.8162,62.7709,65.6304,75.2836,93.0526,98.9395,99.7405,111.279,112.878,121.797,125.582,127.821,130.888,133.836,142.936,151.179,151.209,153.098,155.106,176.719,177.274,185.133,185.395,188.975,190.731,192.338,195.465,199.677,205.725,217.709,225.617,227.662,232.647,240.969,244.392,244.169,247.815,246.266,251.648,253.53,254.669,259.96,262.587,263.679,266.122,268.478,269.683,272.047,270.809,280.155,287.224,289.981,288.741,293.991,293,298.424,303.241,306.04,0.584672,0.29604,-0.221362,0.657616,0.626023,0.515949,0.708695,0.0570458,1.05025,-0.457349,0.018834,1.28023,-1.08659,-0.312444,-0.397471,0.216701,0.163419,0.781435,1.05518,0.256223,1.30278,0.996072,0.223414,0.4495,0.63219,0.0921049,0.000915335,0.940753,0.73346,-0.285963,0.721167,0.493016,1.75441,1.61677,0.295504,1.16669,-0.214057,0.479844,1.58021,-0.41139,-0.200677,-0.386116,-0.410091,-1.13537,-0.3136,-0.544304,-0.132475,-0.364623,1.59819,0.352079,1.70155,-0.0853719,-1.19079,0.782739,-1.97083,-0.806876,-0.10544,0.837066,1.72708,-2.1094,24.0883,48.586,49.6824,62.5694,65.386,75.7131,92.2303,97.73,99.6047,111.773,112.42,121.874,124.906,128.277,131.551,132.995,143.929,150.568,151.312,153.344,154.771,176.922,178.556,183.672,185.141,188.344,190.889,193.744,194.621,199.06,206.93,216.783,224.429,227.437,230.503,240.929,243.19,244.895,246.962,248.321,251.085,253.36,255.435,259.794,260.762,262.739,265.361,267.607,269.562,271.497,274.824,279.452,285.838,288.628,292.359,293.612,294.748,298.745,303.131,305.95
277.067,0.129954,0.424224,0.474753,0.212225,0.303601,0.00563533,0.105999,0.230074,0.228654,0.185104,0.078563,0.477023,0.589251,0.129954,0.105999,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.0482,48.8427,48.3337,62.175,65.585,75.9615,92.4858,97.8981,100.471,110.962,111.976,123.001,124,129.43,131.398,132.553,144.506,150.468,152.757,152.83,155.246,176.949,179.574,184.401,185.391,188.184,191.813,193.376,196.149,199.461,208.226,217.055,226.138,226.802,231.244,240.661,243.206,246.105,245.895,248.134,248.128,251.248,256.574,260.672,260.078,261.552,264.965,269.119,267.789,273.105,274.205,278.892,285.562,288.485,289.952,293.208,297.961,300.325,302.628,305.628,0.320935,0.153812,0.61405,0.645624,0.534881,0.293589,0.638756,-0.0617024,0.724461,0.186907,0.697738,0.780721,0.0169645,-0.0735623,0.154841,0.103019,0.224622,0.581428,0.925369,0.265263,1.02044,0.662847,0.300258,0.994454,0.753437,1.07743,0.287181,1.24481,0.550694,0.0601587,0.138996,1.16826,1.14747,1.44142,0.198531,1.27367,0.53561,1.5466,1.47618,-0.138857,1.18794,-0.232355,0.0197107,-1.07785,-0.0343479,0.0506969,0.267811,0.602236,1.30459,0.575858,1.90963,0.770092,-0.581363,0.911392,-1.95525,-0.393715,-0.44462,0.305493,2.30328,-2.12964,24.3521,48.7282,48.8469,62.5814,65.4771,75.9354,92.3002,97.8487,99.9305,111.129,111.741,122.373,123.802,128.039,130.999,133.109,143.867,150.768,151.442,153.335,155.054,177.255,178.479,183.127,185.02,187.359,190.603,193.44,194.803,198.714,207.512,216.108,225.036,227.613,230.6,240.822,242.44,243.828,247.066,248.049,249.696,253.206,255.005,259.737,260.482,262.144,264.961,266.64,269.855,271.273,274.616,278.597,285.228,288.5,292.343,293.199,295.088,299.277,302.555,305.971
279.004,0.129859,0.426117,0.475767,0.185393,0.278607,0.00565852,0.120362,0.262966,0.261085,0.221897,0.0845792,0.455605,0.536067,0.129859,0.120362,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.7036,48.7673,49.0855,63.5679,65.6771,76.3985,92.8129,97.4985,101.641,112.485,112.535,122.222,124.262,128.709,131.677,133.644,143.735,149.828,152.565,153.587,155.055,177.185,178.76,183.185,185.244,187.849,190.12,194.084,196.394,200.557,210.984,217.918,225.529,228.765,233.368,240.823,244.037,244.419,247.653,248.631,249.46,256.765,256.775,260.633,261.615,264.746,266.827,271.975,271.067,270.696,276.848,281.02,288.271,291.016,292.733,295.094,298.425,302.882,307.581,305.249,0.0665857,-0.108527,0.298888,0.141283,0.0821907,0.0506113,0.371682,-0.32864,-0.0896337,-0.399343,0.117035,0.06897,-0.760527,-0.399109,-0.118465,-0.106459,-0.13528,-0.364149,-0.169793,-0.247753,0.397324,-0.273184,-0.428161,0.164167,-0.19067,0.305472,-0.916316,0.238737,-0.466662,-0.868727,-1.41518,-0.488592,-0.268351,0.273365,-1.31703,0.0746465,-0.966867,0.0642521,-0.15062,-1.59288,-0.320406,-1.29216,-0.958728,-2.16951,-1.54623,-1.6279,-1.1698,-1.47152,-0.644807,-1.30788,-0.70978,-1.4222,-2.4592,-1.32428,-3.50432,-1.96431,-1.87565,-2.75144,-1.07122,-4.86704,24.6064,48.9905,49.1621,63.0857,65.9298,76.1784,92.5673,98.1156,100.745,111.715,112.322,123.085,124.58,128.364,131.272,133.318,144.227,151.713,152.537,153.848,155.677,178.191,179.207,183.957,185.964,188.131,191.806,194.446,195.821,199.643,209.066,217.765,226.451,228.781,232.116,242.021,243.943,245.311,248.693,249.503,251.204,254.266,255.984,260.829,261.994,263.823,266.399,268.714,271.805,273.157,277.236,280.789,287.106,290.735,293.892,294.769,296.519,302.333,305.929,308.708
283.41,0.129789,0.425666,0.475499,0.18906,0.283203,0.00565523,0.118303,0.256992,0.255375,0.214557,0.0793279,0.460698,0.548345,0.129789,0.118303,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6095,48.8492,49.2567,63.1734,65.8152,76.2117,91.337,98.5286,99.9214,111.624,111.697,122.766,124.384,128.682,131.092,134.421,143.576,151.841,150.053,153.26,155.169,178.542,179.303,184.999,186.537,187.418,192.027,197.598,196.711,200.69,207.553,217.164,225.548,226.702,231.361,242.916,242.107,244.505,249.553,249.483,249.809,252.52,256.747,262.382,258.4,262.165,264.466,267.809,269.589,271.159,276.159,278.612,287.837,292.587,294.141,295.547,294.964,301.272,305.478,306.985,0.102901,-0.0686664,0.36231,0.221594,0.153158,0.0860822,0.413583,-0.287502,0.0341901,-0.296124,0.219804,0.174734,-0.619885,-0.342091,-0.0654635,-0.0750663,-0.0763604,-0.220937,-0.000521892,-0.163508,0.494558,-0.132792,-0.309531,0.304132,-0.0383618,0.442143,-0.72248,0.402656,-0.307741,-0.714443,-1.18326,-0.218127,-0.0550684,0.452891,-1.07962,0.268685,-0.716013,0.31164,0.104387,-1.35921,-0.075447,-1.11546,-0.799915,-1.99304,-1.30179,-1.35969,-0.9429,-1.13263,-0.356193,-1.00292,-0.299283,-1.05646,-2.15654,-0.978534,-3.26195,-1.70825,-1.65925,-2.2736,-0.540057,-4.42085,24.5701,48.9507,49.0987,63.0054,65.8588,76.1429,92.5254,98.0745,100.621,111.612,112.219,122.979,124.439,128.307,131.219,133.287,144.168,151.57,152.368,153.764,155.579,178.051,179.089,183.817,185.811,187.994,191.612,194.282,195.662,199.488,208.834,217.494,226.238,228.601,231.879,241.827,243.692,245.063,248.438,249.269,250.959,254.089,255.825,260.652,261.75,263.555,266.172,268.375,271.516,272.852,276.825,280.423,286.804,290.39,293.65,294.513,296.302,301.856,305.398,308.262
287.084,0.12931,0.424206,0.474471,0.192727,0.295913,0.00564884,0.115739,0.239654,0.239375,0.190601,0.0341121,0.479652,0.602394,0.12931,0.115739,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6169,49.1866,49.1442,62.4231,65.7596,75.7333,91.9174,99.0138,99.6467,112.195,111.099,121.787,124.503,128.657,132.403,131.8,145.297,152.007,151.094,152.629,154.093,177.921,177.346,184,185.23,187.711,190.681,193.395,193.515,196.031,212.149,216.118,223.863,226.715,229.632,239.515,244.605,244.533,250.839,247.429,250.108,249.661,254.505,260.549,261.243,263.21,262.162,267.687,272.074,272.846,277.143,278.403,286.461,289.351,293.714,295.118,294.926,301.003,304.15,308.008,0.151075,0.0152354,0.577251,0.395605,0.298634,0.135824,0.496591,-0.211143,0.265053,-0.000257782,0.517226,0.35529,-0.185886,-0.186728,0.11266,-0.0255323,0.0574642,0.0817956,0.355166,0.0126114,0.671886,0.143165,-0.0434173,0.700208,0.308874,0.841073,-0.252286,0.808298,0.0210565,-0.329532,-0.752319,0.479392,0.361301,0.848428,-0.580231,0.757973,-0.0334554,0.980295,0.722875,-0.818573,0.609704,-0.70879,-0.399703,-1.54899,-0.694341,-0.702196,-0.341711,-0.206162,0.285332,-0.329013,0.635043,-0.124489,-1.36776,-0.202196,-2.68371,-1.05933,-1.17953,-1.16671,0.805105,-3.07453,24.5219,48.8668,48.8837,62.8314,65.7134,76.0932,92.4424,97.9981,100.39,111.316,111.922,122.799,124.005,128.152,131.041,133.238,144.035,151.267,152.012,153.587,155.402,177.775,178.822,183.421,185.464,187.595,191.142,193.877,195.333,199.104,208.403,216.797,225.822,228.206,231.379,241.338,243.009,244.395,247.819,248.729,250.274,253.683,255.425,260.208,261.142,262.897,265.571,267.448,270.875,272.178,275.891,279.491,286.015,289.613,293.072,293.864,295.823,300.749,304.053,306.916
287.766,0.128908,0.42353,0.473979,0.186147,0.299348,0.00565511,0.118692,0.234473,0.234437,0.180023,-0.012412,0.490994,0.639403,0.128908,0.118692,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.7175,48.4197,48.5675,63.3862,65.3775,75.9794,92.46,97.9818,99.7774,111.367,112.029,123.342,124.305,127.569,130.284,132.361,142.837,151.43,152.331,152.885,156.525,177.203,178.948,183.185,184.741,186.255,190.947,195.658,194.429,198.673,207.717,217.573,225.784,227.287,230.265,241.328,244.368,243.611,248.212,247.755,250.868,250.867,254.981,262.078,262.634,264.119,265.151,267.142,270.899,273.945,276.381,279.196,288.847,288.764,292.241,295.552,299.144,302.131,306.068,307.941,0.102611,0.129547,0.551858,0.383181,0.27647,0.092782,0.479902,-0.234611,0.191534,0.0832196,0.60408,0.272768,-0.0303665,-0.148813,0.193307,-0.0570096,0.0573555,0.0401237,0.306619,-0.00587519,0.614467,0.0743684,-0.047771,0.806539,0.307787,0.957042,-0.217359,0.8501,-0.0271346,-0.283963,-0.902435,0.584379,0.259241,0.819008,-0.648122,0.839504,0.111378,1.10505,0.787553,-0.828033,0.738675,-0.696298,-0.357215,-1.48187,-0.630697,-0.665196,-0.242109,-0.0135946,0.235698,-0.368852,0.609697,0.0120277,-1.24266,-0.247884,-2.66381,-0.976239,-1.21307,-1.1488,0.963697,-2.63136,24.5704,48.7525,48.9091,62.8438,65.7355,76.1362,92.4591,98.0216,100.463,111.233,111.835,122.881,123.849,128.114,130.961,133.269,144.035,151.309,152.06,153.606,155.46,177.844,178.827,183.314,185.465,187.479,191.107,193.835,195.381,199.058,208.553,216.692,225.924,228.235,231.447,241.256,242.865,244.27,247.754,248.738,250.145,253.67,255.382,260.141,261.079,262.86,265.471,267.256,270.924,272.218,275.916,279.355,285.89,289.659,293.052,293.781,295.856,300.731,303.894,306.472
288.308,0.128018,0.42267,0.472972,0.176343,0.299889,0.00564613,0.123163,0.232524,0.231704,0.172699,-0.0593619,0.50064,0.671692,0.128018,0.123163,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6406,48.67,49.6092,62.7968,66.1128,76.2037,92.9168,98.2094,99.8072,111.653,112.036,121.771,124.227,127.426,131.252,131.786,143.198,151.668,153.816,152.734,154.258,177.805,179.367,182.474,185.772,189.063,191.435,195.077,193.804,198.27,208.24,216.449,226.861,227.597,232.308,239.71,242.959,243.735,250.689,249.03,250.684,256.485,256.464,262.611,260.984,265.644,264.004,268.552,269.232,273.352,275.258,281.314,286.633,286.873,290.669,293.307,296.058,302.45,303.18,306.335,0.0284888,0.218319,0.498038,0.323006,0.211572,0.0245673,0.437459,-0.283597,0.0387267,0.112382,0.636922,0.126909,0.0531074,-0.138144,0.251255,-0.109131,0.0237479,-0.0868506,0.155195,-0.0749096,0.497289,-0.0821888,-0.118733,0.844299,0.221758,1.0006,-0.288232,0.804057,-0.170403,-0.320277,-1.19826,0.544758,0.0399921,0.690052,-0.857826,0.854417,0.126766,1.09759,0.762242,-0.984394,0.724389,-0.770667,-0.393179,-1.47742,-0.690209,-0.764646,-0.252955,0.0333047,0.048499,-0.589079,0.358667,-0.0260432,-1.26418,-0.477434,-2.752,-1.00228,-1.34144,-1.34001,0.876964,-2.34376,24.6445,48.6637,48.963,62.904,65.8004,76.2044,92.5015,98.0706,100.616,111.204,111.802,123.027,123.766,128.103,130.903,133.321,144.068,151.436,152.212,153.675,155.577,178,178.898,183.277,185.551,187.435,191.178,193.881,195.524,199.094,208.849,216.731,226.143,228.364,231.657,241.242,242.849,244.277,247.78,248.894,250.16,253.745,255.418,260.136,261.138,262.96,265.482,267.209,271.112,272.438,276.167,279.393,285.911,289.888,293.14,293.807,295.984,300.922,303.981,306.185
