# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 0
# model = rus
# method = optimize
#   optimize
#     algorithm = lbfgs (Default)
#       lbfgs
#         init_alpha = 0.001 (Default)
#         tol_obj = 9.9999999999999998e-13 (Default)
#         tol_rel_obj = 10000 (Default)
#         tol_grad = 1e-08 (Default)
#         tol_rel_grad = 10000000 (Default)
#         tol_param = 1e-08 (Default)
#         history_size = 5 (Default)
#     iter = 500
#     save_iterations = 1
#     laplace_draws = 250
#     laplace_diag_shift = 0 (Default)
# id = 0 (Default)
# data
#   file = VB-LA_datafiles_VB3-v1/datafile_VB3-v1_40N.dat
# init = init-cij-tbc1.dat
# random
#   seed = 1216346545 (Default)
# output
#   file = VB-LA_outputs_VB3-v1/output_VB3-v1_40N_init-cij-tbc1_1.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,c44_coat,c11_coat,c33_coat,c12_coat,c13_coat,sigma,c66_coat,ct1_coat,Ep,Et,vp,vtp,vpt,Gt,Gp,Csub.1.1,Csub.2.1,Csub.3.1,Csub.4.1,Csub.5.1,Csub.6.1,Csub.1.2,Csub.2.2,Csub.3.2,Csub.4.2,Csub.5.2,Csub.6.2,Csub.1.3,Csub.2.3,Csub.3.3,Csub.4.3,Csub.5.3,Csub.6.3,Csub.1.4,Csub.2.4,Csub.3.4,Csub.4.4,Csub.5.4,Csub.6.4,Csub.1.5,Csub.2.5,Csub.3.5,Csub.4.5,Csub.5.5,Csub.6.5,Csub.1.6,Csub.2.6,Csub.3.6,Csub.4.6,Csub.5.6,Csub.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30,yhat.31,yhat.32,yhat.33,yhat.34,yhat.35,yhat.36,yhat.37,yhat.38,yhat.39,yhat.40,residual.1,residual.2,residual.3,residual.4,residual.5,residual.6,residual.7,residual.8,residual.9,residual.10,residual.11,residual.12,residual.13,residual.14,residual.15,residual.16,residual.17,residual.18,residual.19,residual.20,residual.21,residual.22,residual.23,residual.24,residual.25,residual.26,residual.27,residual.28,residual.29,residual.30,residual.31,residual.32,residual.33,residual.34,residual.35,residual.36,residual.37,residual.38,residual.39,residual.40,calcfq.1,calcfq.2,calcfq.3,calcfq.4,calcfq.5,calcfq.6,calcfq.7,calcfq.8,calcfq.9,calcfq.10,calcfq.11,calcfq.12,calcfq.13,calcfq.14,calcfq.15,calcfq.16,calcfq.17,calcfq.18,calcfq.19,calcfq.20,calcfq.21,calcfq.22,calcfq.23,calcfq.24,calcfq.25,calcfq.26,calcfq.27,calcfq.28,calcfq.29,calcfq.30,calcfq.31,calcfq.32,calcfq.33,calcfq.34,calcfq.35,calcfq.36,calcfq.37,calcfq.38,calcfq.39,calcfq.40
-512.557,0.15,0.5,0.5,0.1,0.1,0.005,0.2,0.48,0.466667,0.466667,0.166667,0.166667,0.166667,0.15,0.2,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,26.1918,50.4976,51.3362,66.1378,68.1712,77.1655,94.3376,99.2532,104.397,114.954,115.033,126.526,128.758,130.73,132.952,135.09,147.418,154.199,158.296,159.929,158.378,182.305,183.465,188.537,192.464,192.092,197.977,198.619,201.485,205.221,214.821,224.894,234.363,235.11,241.798,249.001,250.956,251.682,256.972,257.471,-1.2341,-1.55246,-1.79711,-2.62029,-2.38484,-1.29737,-1.15182,-1.83221,-4.31969,-3.7872,-3.26387,-3.56711,-5.11616,-2.53074,-1.92993,-1.33245,-2.27242,-4.01889,-4.96571,-4.24504,-3.69935,-4.28514,-4.89085,-3.994,-5.21148,-4.1097,-6.84303,-4.92155,-5.84998,-6.01961,-8.67554,-8.4198,-6.92948,-5.18587,-8.77687,-6.16785,-8.42146,-7.46534,-7.23582,-8.8722,25.9071,50.4345,51.2581,65.8473,68.3968,77.5264,94.0908,99.6192,104.975,115.103,115.703,126.721,128.935,130.496,133.084,134.544,146.364,155.368,157.333,157.845,159.773,182.203,183.67,188.115,190.984,192.546,197.733,199.607,201.204,204.794,216.327,225.696,233.112,234.24,239.576,248.264,251.397,252.84,255.778,256.782
100.466,0.13915,0.443875,0.488106,0.307423,0.161974,0.00545337,0.0682257,0.390125,0.225177,0.418266,0.650237,0.215592,0.116066,0.13915,0.0682257,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,23.6949,48.8203,51.4644,62.4077,65.4972,75.6101,92.5871,97.9601,99.3392,111.801,113.829,120.233,126.823,128.425,132.128,133.884,145.817,150.134,151.723,154.142,153.637,176.898,178.451,184.123,185.153,191.243,191.761,193.811,193.664,197.517,207.373,216.878,225.006,227.08,231.497,238.959,244.861,244.373,247.011,251.092,0.980317,0.514511,-1.83846,0.629636,0.761824,0.831205,0.806322,0.24735,1.41973,-1.67066,-1.31639,2.14965,-2.94312,-0.629298,-1.05565,-0.181573,-0.00510745,1.13649,0.925772,0.0665282,1.69573,1.47781,0.0795782,0.151012,0.301204,-1.59384,-0.687206,0.63599,1.01049,-0.526867,0.669835,-0.164016,2.67003,1.95519,0.205679,1.38309,-0.670287,-0.044961,1.8018,-1.28267,23.6927,48.3675,51.2995,62.5974,65.2502,75.3978,92.1327,97.5397,99.2353,112.987,113.755,121.004,126.762,128.594,132.21,133.394,144.097,150.213,151.441,153.533,154.378,176.44,178.699,183.97,185.472,190.03,191.577,194.049,194.344,199.301,206.981,217.44,223.513,227.099,230.593,240.713,243.646,245.42,246.74,249.193
127.72,0.140297,0.450034,0.489148,0.247496,0.168576,0.00547392,0.101269,0.391937,0.300412,0.407666,0.483239,0.241676,0.178093,0.140297,0.101269,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.2687,48.5847,51.2896,64.107,66.2375,75.6767,92.7165,98.3463,101.635,112.491,114.352,123.166,126.902,129.289,132.178,133.125,144.552,151.994,152.706,153.708,155.168,179.47,179.755,183.13,186.814,190.711,192.739,196.53,196.979,201.33,207.854,221.445,224.793,230.862,231.957,243.139,245.182,247.651,251.506,249.944,0.36735,-0.0278261,-1.61174,-0.223345,-0.0903282,0.296854,0.315554,-0.294239,-0.133457,-2.07239,-1.64623,0.476443,-3.39429,-1.0639,-1.28904,-0.267104,-0.542971,-0.661743,-0.870155,-0.723907,0.51665,-0.185461,-1.20018,-0.931954,-1.11491,-2.30758,-2.28486,-1.02553,-0.859751,-2.08445,-1.81303,-2.73982,-0.142626,-0.261696,-2.00065,-0.744275,-3.05593,-2.79456,-1.3045,-3.06712,24.3057,48.9098,51.0727,63.4503,66.1023,75.9321,92.6234,98.0812,100.788,113.388,114.085,122.678,127.213,129.029,132.443,133.479,144.635,152.011,153.237,154.324,155.557,178.103,179.979,185.053,186.888,190.744,193.175,195.711,196.214,200.858,209.464,220.016,226.326,229.316,232.8,242.84,246.032,248.17,249.846,250.977
139.358,0.139592,0.446784,0.488197,0.25212,0.180158,0.00549873,0.097332,0.380301,0.289686,0.395318,0.488132,0.257772,0.188893,0.139592,0.097332,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.2619,48.7491,50.8405,63.4515,66.3038,76.3,92.6932,98.047,99.9315,114.224,114.236,122.648,126.448,128.592,133.461,133.342,144.088,151.756,153.261,154.411,154.596,178.243,179.133,185.866,187.229,190.696,191.874,196.381,197.135,201.17,209.103,218.037,226.128,228.15,230.376,243.058,246.935,248.068,248.688,249.717,0.439879,0.0479292,-1.50328,-0.0728067,0.045188,0.36429,0.393246,-0.216358,0.104688,-1.89615,-1.46949,0.686195,-3.15992,-0.961654,-1.20899,-0.189332,-0.43318,-0.39908,-0.55206,-0.560432,0.697525,0.0514467,-0.97032,-0.736194,-0.846934,-2.06105,-1.94453,-0.730799,-0.564969,-1.81346,-1.36956,-2.27541,0.251182,0.0646739,-1.61083,-0.413933,-2.64446,-2.35627,-0.813636,-2.68713,24.2331,48.8341,50.9643,63.2998,65.9668,75.8647,92.5458,98.0034,100.55,113.212,113.908,122.468,126.979,128.927,132.363,133.401,144.525,151.748,152.919,154.16,155.376,177.867,179.749,184.857,186.62,190.497,192.835,195.416,195.919,200.587,209.021,219.551,225.932,228.989,232.41,242.51,245.62,247.731,249.356,250.597
171.301,0.135618,0.429335,0.482265,0.247554,0.267721,0.00565638,0.0908907,0.280714,0.245847,0.270488,0.352433,0.395517,0.359486,0.135618,0.0908907,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.0866,48.7659,49.7921,62.4669,65.5309,75.8111,92.9793,97.8535,100.201,111.984,113.653,122.78,123.985,128.716,131.446,131.621,142.973,149.047,151.977,153.596,154.818,177.041,177.759,185.017,186.691,189.423,191.218,195.195,194.394,198.175,208.414,216.352,223.934,228.905,230.578,242.659,242.949,245.375,247.579,248.92,0.575912,0.282928,-0.281695,0.618694,0.594737,0.506679,0.689656,0.039127,0.997871,-0.52978,-0.0552075,1.24331,-1.19245,-0.354568,-0.449591,0.19072,0.122179,0.706654,0.965297,0.203123,1.25665,0.918702,0.147947,0.358514,0.528427,-0.030091,-0.120249,0.833692,0.646726,-0.401467,0.575997,0.322803,1.59833,1.45797,0.121279,1.02505,-0.427223,0.221608,1.38388,-0.650164,24.0971,48.5991,49.7427,62.6083,65.4173,75.7223,92.2493,97.7479,99.6571,111.846,112.494,121.911,125.011,128.32,131.604,133.021,143.97,150.642,151.402,153.397,154.817,176.999,178.631,183.762,185.245,188.466,191.01,193.851,194.707,199.175,207.075,216.953,224.585,227.596,230.678,241.071,243.403,245.153,247.158,248.56
181.323,0.135844,0.430537,0.48258,0.234071,0.266576,0.00565688,0.0982327,0.283281,0.256675,0.268731,0.306464,0.401103,0.383108,0.135844,0.0982327,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.1546,49.2189,49.7286,62.6905,65.6685,75.226,91.8473,98.6781,99.4807,111.878,113.052,124.456,125.83,127.545,131.726,134.168,143.332,151.927,150.929,155.102,156.783,176.18,178.115,184.29,185.844,187.336,191.13,194.192,196.027,197.969,207.466,217.433,223.513,226.916,232.798,242.584,244.3,245.626,249.529,248.775,0.443218,0.16861,-0.241094,0.441236,0.419935,0.388581,0.586931,-0.0732596,0.660161,-0.616957,-0.133093,0.899631,-1.27128,-0.430072,-0.450025,0.106112,0.0108614,0.326339,0.55712,0.0371616,1.00147,0.542919,-0.100508,0.162089,0.220932,-0.1197,-0.503462,0.518071,0.259722,-0.67251,-0.061812,-0.1638,0.985469,0.988205,-0.381683,0.602296,-0.87161,-0.135791,0.7227,-1.09801,24.2298,48.7134,49.7021,62.7858,65.5921,75.8404,92.3521,97.8603,99.9948,111.933,112.572,122.254,125.09,128.395,131.604,133.106,144.081,151.023,151.81,153.563,155.073,177.375,178.88,183.959,185.552,188.556,191.393,194.167,195.094,199.447,207.713,217.44,225.198,228.066,231.181,241.494,243.848,245.511,247.819,249.008
188.773,0.134916,0.427198,0.480971,0.195788,0.300506,0.00571132,0.115705,0.239445,0.239175,0.191064,0.033553,0.482364,0.603827,0.134916,0.115705,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4928,48.8483,49.065,62.9307,66.1707,75.8494,92.2059,97.4835,100.08,110.966,112.028,121.187,123.63,128.961,131.639,134.363,143.961,152.659,151.32,153.762,156.716,177.532,180.6,182.039,183.452,189.706,189.804,194.315,194.808,201.29,205.792,219.69,228.548,226.587,231.995,241.896,243.096,242.556,245.4,248.051,0.149346,0.0170809,0.577792,0.392642,0.295971,0.134737,0.492767,-0.216561,0.256714,-0.00267443,0.514776,0.346436,-0.189927,-0.201622,0.097819,-0.0457269,0.0395158,0.0622102,0.338559,-0.0108904,0.649611,0.108031,-0.0715652,0.671411,0.262242,0.802456,-0.286098,0.77453,-0.0122942,-0.391346,-0.824473,0.442956,0.243941,0.734528,-0.713515,0.634272,-0.147155,0.80095,0.593116,-1.02178,24.5237,48.8649,48.8832,62.8344,65.716,76.0943,92.4462,98.0036,100.398,111.319,111.924,122.808,124.009,128.167,131.056,133.258,144.052,151.287,152.028,153.611,155.424,177.81,178.851,183.45,185.511,187.634,191.176,193.91,195.366,199.165,208.475,216.833,225.939,228.319,231.513,241.462,243.123,244.574,247.949,248.932
190.555,0.135233,0.428965,0.481749,0.188127,0.289724,0.00567802,0.120419,0.254725,0.253968,0.209699,0.0545184,0.469499,0.568613,0.135233,0.120419,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.6909,49.2108,49.611,63.2058,65.4883,76.301,93.7525,96.8397,101.435,110.737,112.114,123.632,124.967,128.002,129.59,133.329,144.18,151.35,152.467,153.798,155.056,178.457,179.285,183.336,186.703,188.544,191.47,196.046,196.611,203.362,209.488,217.77,226.004,227.017,233.739,241.005,242.125,243.691,249.324,247.388,0.0652897,-0.0931733,0.420938,0.194143,0.122098,0.0525562,0.391291,-0.315281,-0.0434909,-0.27149,0.246848,0.0921502,-0.562741,-0.347027,-0.0425326,-0.119009,-0.105526,-0.297066,-0.0810766,-0.214127,0.417994,-0.239656,-0.363495,0.296553,-0.115691,0.447743,-0.780211,0.356201,-0.405285,-0.782804,-1.38718,-0.256819,-0.274949,0.288984,-1.30007,0.134685,-0.803069,0.158658,-0.0570453,-1.61656,24.6077,48.9752,49.0401,63.0329,65.8899,76.1764,92.5477,98.1023,100.698,111.587,112.192,123.062,124.382,128.312,131.197,133.331,144.198,151.646,152.448,153.814,155.656,178.158,179.142,183.824,185.889,187.988,191.67,194.329,195.759,199.557,209.038,217.533,226.458,228.765,232.099,241.961,243.779,245.216,248.599,249.527
190.879,0.135255,0.429029,0.481778,0.192505,0.287947,0.0056729,0.118262,0.256931,0.25531,0.214976,0.0794245,0.463284,0.550205,0.135255,0.118262,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4926,49.0407,49.5808,63.8536,65.3948,75.8016,92.0871,97.6414,100.366,111.773,112.038,123.057,124.305,127.069,131.383,132.983,144.87,150.681,151.751,153.063,155.063,179.135,176.719,183.294,186.96,186.519,191.424,194.959,195.717,198.217,208.037,217.826,225.918,230.094,233.232,242.176,240.929,244.146,248.13,250.038,0.10121,-0.0688559,0.361913,0.217242,0.149377,0.0851354,0.409776,-0.29277,0.02407,-0.301876,0.213988,0.164271,-0.62875,-0.356929,-0.0803543,-0.0944075,-0.0935465,-0.242828,-0.0199439,-0.186503,0.473325,-0.166681,-0.338865,0.272224,-0.0838297,0.403628,-0.759531,0.366372,-0.343126,-0.774889,-1.25525,-0.258723,-0.16402,0.347911,-1.20492,0.159089,-0.83477,0.139054,-0.0212297,-1.55641,24.5718,48.9509,49.0991,63.0098,65.8626,76.1439,92.5292,98.0798,100.631,111.618,112.225,122.99,124.448,128.322,131.234,133.306,144.186,151.592,152.387,153.787,155.601,178.085,179.118,183.849,185.857,188.032,191.65,194.319,195.697,199.549,208.906,217.535,226.347,228.706,232.004,241.937,243.811,245.236,248.563,249.466
191.063,0.135156,0.428801,0.481619,0.196397,0.288118,0.00565733,0.116202,0.25644,0.254187,0.216065,0.0937318,0.460843,0.542155,0.135156,0.116202,3.48979,0.76393,1.24628,0.194843,-0.225282,0.0957425,0.76393,3.41676,1.31931,0.121814,-0.0968611,-0.305638,1.24628,1.31931,2.93442,-0.316656,0.322143,0.209895,0.194843,0.121814,-0.316656,1.21931,0.209895,-0.0968611,-0.225282,-0.0968611,0.322143,0.209895,1.14628,0.194843,0.0957425,-0.305638,0.209895,-0.0968611,0.194843,0.66393,24.4938,48.9941,49.164,62.8197,65.5605,76.2641,92.166,97.9229,101.447,111.716,112.183,123.864,124.72,127.821,131.732,132.713,144.497,150.162,150.553,153.442,156.243,179.356,178.183,182.594,185.844,187.768,191.065,192.85,194.215,198.227,208.477,216.604,227.293,230.714,230.53,242.33,243.137,244.577,248.977,249.611,0.136406,-0.0398492,0.344262,0.258832,0.190634,0.117716,0.435502,-0.264626,0.108855,-0.28744,0.22661,0.246701,-0.624751,-0.344248,-0.0873396,-0.0682237,-0.0664232,-0.158857,0.0763037,-0.141407,0.541019,-0.0724898,-0.283336,0.304544,-0.0123727,0.41966,-0.680428,0.428515,-0.249683,-0.718045,-1.09206,-0.168274,-0.0194901,0.446961,-1.06467,0.242673,-0.767701,0.208808,0.0952636,-1.44068,24.5366,48.9218,49.1167,62.9682,65.8214,76.1113,92.5035,98.0516,100.546,111.603,112.212,122.907,124.444,128.309,131.241,133.28,144.158,151.508,152.291,153.741,155.533,177.99,179.062,183.816,185.785,188.016,191.57,194.256,195.604,199.492,208.743,217.444,226.202,228.607,231.864,241.853,243.744,245.166,248.447,249.351
